building,parameter,code_output,idf_object_names,zone_areas_m2,manual_area_weighted_calc,difference_pct
OfficeMedium,lighting_W_m2,6.664,Core_bottom_Lights;Core_mid_Lights;Core_top_Lights;Perimeter_top_ZN_3_Lights;Perimeter_top_ZN_2_Lights;Perimeter_top_ZN_1_Lights;Perimeter_top_ZN_4_Lights;Perimeter_bot_ZN_3_Lights;Perimeter_bot_ZN_2_Lights;Perimeter_bot_ZN_1_Lights;Perimeter_bot_ZN_4_Lights;Perimeter_mid_ZN_3_Lights;Perimeter_mid_ZN_2_Lights;Perimeter_mid_ZN_1_Lights;Perimeter_mid_ZN_4_Lights,CORE_BOTTOM:983.54;CORE_MID:983.54;CORE_TOP:983.54;PERIMETER_TOP_ZN_3:207.34;PERIMETER_TOP_ZN_2:131.26;PERIMETER_TOP_ZN_1:207.34;PERIMETER_TOP_ZN_4:131.25;PERIMETER_BOT_ZN_3:207.34;PERIMETER_BOT_ZN_2:131.26;PERIMETER_BOT_ZN_1:207.34;PERIMETER_BOT_ZN_4:131.25;PERIMETER_MID_ZN_3:207.34;PERIMETER_MID_ZN_2:131.26;PERIMETER_MID_ZN_1:207.34;PERIMETER_MID_ZN_4:131.25,6.66362,0.006
OfficeMedium,equipment_W_m2,8.158,Core_bottom_MiscPlug_Equip;Core_mid_MiscPlug_Equip;Core_top_MiscPlug_Equip;Perimeter_top_ZN_3_MiscPlug_Equip;Perimeter_top_ZN_2_MiscPlug_Equip;Perimeter_top_ZN_1_MiscPlug_Equip;Perimeter_top_ZN_4_MiscPlug_Equip;Perimeter_bot_ZN_3_MiscPlug_Equip;Perimeter_bot_ZN_2_MiscPlug_Equip;Perimeter_bot_ZN_1_MiscPlug_Equip;Perimeter_bot_ZN_4_MiscPlug_Equip;Perimeter_mid_ZN_3_MiscPlug_Equip;Perimeter_mid_ZN_2_MiscPlug_Equip;Perimeter_mid_ZN_1_MiscPlug_Equip;Perimeter_mid_ZN_4_MiscPlug_Equip;Core_bottom_Elevators_Equip;Elevators_Lights_Fan,CORE_BOTTOM:983.54;CORE_MID:983.54;CORE_TOP:983.54;PERIMETER_TOP_ZN_3:207.34;PERIMETER_TOP_ZN_2:131.26;PERIMETER_TOP_ZN_1:207.34;PERIMETER_TOP_ZN_4:131.25;PERIMETER_BOT_ZN_3:207.34;PERIMETER_BOT_ZN_2:131.26;PERIMETER_BOT_ZN_1:207.34;PERIMETER_BOT_ZN_4:131.25;PERIMETER_MID_ZN_3:207.34;PERIMETER_MID_ZN_2:131.26;PERIMETER_MID_ZN_1:207.34;PERIMETER_MID_ZN_4:131.25,8.158311,0.004
OfficeMedium,occupancy_m2_person,18.579,Core_bottom;Core_mid;Core_top;Perimeter_top_ZN_3;Perimeter_top_ZN_2;Perimeter_top_ZN_1;Perimeter_top_ZN_4;Perimeter_bot_ZN_3;Perimeter_bot_ZN_2;Perimeter_bot_ZN_1;Perimeter_bot_ZN_4;Perimeter_mid_ZN_3;Perimeter_mid_ZN_2;Perimeter_mid_ZN_1;Perimeter_mid_ZN_4,CORE_BOTTOM:983.54;CORE_MID:983.54;CORE_TOP:983.54;PERIMETER_TOP_ZN_3:207.34;PERIMETER_TOP_ZN_2:131.26;PERIMETER_TOP_ZN_1:207.34;PERIMETER_TOP_ZN_4:131.25;PERIMETER_BOT_ZN_3:207.34;PERIMETER_BOT_ZN_2:131.26;PERIMETER_BOT_ZN_1:207.34;PERIMETER_BOT_ZN_4:131.25;PERIMETER_MID_ZN_3:207.34;PERIMETER_MID_ZN_2:131.26;PERIMETER_MID_ZN_1:207.34;PERIMETER_MID_ZN_4:131.25,18.578794,0.001
OfficeMedium,outdoor_air,0.000432,SZ DSOA CORE_BOTTOM;SZ DSOA PERIMETER_BOT_ZN_1;SZ DSOA PERIMETER_BOT_ZN_2;SZ DSOA PERIMETER_BOT_ZN_3;SZ DSOA PERIMETER_BOT_ZN_4;SZ DSOA CORE_MID;SZ DSOA PERIMETER_MID_ZN_1;SZ DSOA PERIMETER_MID_ZN_2;SZ DSOA PERIMETER_MID_ZN_3;SZ DSOA PERIMETER_MID_ZN_4;SZ DSOA CORE_TOP;SZ DSOA PERIMETER_TOP_ZN_1;SZ DSOA PERIMETER_TOP_ZN_2;SZ DSOA PERIMETER_TOP_ZN_3;SZ DSOA PERIMETER_TOP_ZN_4,CORE_BOTTOM:983.54;PERIMETER_BOT_ZN_1:207.34;PERIMETER_BOT_ZN_2:131.26;PERIMETER_BOT_ZN_3:207.34;PERIMETER_BOT_ZN_4:131.25;CORE_MID:983.54;PERIMETER_MID_ZN_1:207.34;PERIMETER_MID_ZN_2:131.26;PERIMETER_MID_ZN_3:207.34;PERIMETER_MID_ZN_4:131.25;CORE_TOP:983.54;PERIMETER_TOP_ZN_1:207.34;PERIMETER_TOP_ZN_2:131.26;PERIMETER_TOP_ZN_3:207.34;PERIMETER_TOP_ZN_4:131.25,0.000432,0.046
SchoolPrimary,lighting_W_m2,7.554,Corner_Class_1_Pod_1_ZN_1_FLR_1_Lights;Mult_Class_1_Pod_1_ZN_1_FLR_1_Lights;Corridor_Pod_1_ZN_1_FLR_1_Lights;Corner_Class_2_Pod_1_ZN_1_FLR_1_Lights;Mult_Class_2_Pod_1_ZN_1_FLR_1_Lights;Corner_Class_1_Pod_2_ZN_1_FLR_1_Lights;Mult_Class_1_Pod_2_ZN_1_FLR_1_Lights;Corridor_Pod_2_ZN_1_FLR_1_Lights;Corner_Class_2_Pod_2_ZN_1_FLR_1_Lights;Mult_Class_2_Pod_2_ZN_1_FLR_1_Lights;Corner_Class_1_Pod_3_ZN_1_FLR_1_Lights;Mult_Class_1_Pod_3_ZN_1_FLR_1_Lights;Corridor_Pod_3_ZN_1_FLR_1_Lights;Corner_Class_2_Pod_3_ZN_1_FLR_1_Lights;Mult_Class_2_Pod_3_ZN_1_FLR_1_Lights;Computer_Class_ZN_1_FLR_1_Lights;Main_Corridor_ZN_1_FLR_1_Lights;Lobby_ZN_1_FLR_1_Lights;Mech_ZN_1_FLR_1_Lights;Bath_ZN_1_FLR_1_Lights;Offices_ZN_1_FLR_1_Lights;Gym_ZN_1_FLR_1_Lights;Kitchen_ZN_1_FLR_1_Lights;Cafeteria_ZN_1_FLR_1_Lights;Library_Media_Center_ZN_1_FLR_1_Lights,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_1_ZN_1_FLR_1:477.00;CORRIDOR_POD_1_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_1_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_2_ZN_1_FLR_1:477.00;CORRIDOR_POD_2_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_2_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_3_ZN_1_FLR_1:477.00;CORRIDOR_POD_3_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_3_ZN_1_FLR_1:315.00;COMPUTER_CLASS_ZN_1_FLR_1:162.00;MAIN_CORRIDOR_ZN_1_FLR_1:546.00;LOBBY_ZN_1_FLR_1:171.00;MECH_ZN_1_FLR_1:252.00;BATH_ZN_1_FLR_1:190.00;OFFICES_ZN_1_FLR_1:441.00;GYM_ZN_1_FLR_1:357.00;KITCHEN_ZN_1_FLR_1:168.00;CAFETERIA_ZN_1_FLR_1:315.00;LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:399.00,7.554362,0.005
SchoolPrimary,equipment_W_m2,13.961,Corner_Class_1_Pod_1_ZN_1_FLR_1_PlugMisc_Equip;Mult_Class_1_Pod_1_ZN_1_FLR_1_PlugMisc_Equip;Corner_Class_2_Pod_1_ZN_1_FLR_1_PlugMisc_Equip;Mult_Class_2_Pod_1_ZN_1_FLR_1_PlugMisc_Equip;Corner_Class_1_Pod_2_ZN_1_FLR_1_PlugMisc_Equip;Mult_Class_1_Pod_2_ZN_1_FLR_1_PlugMisc_Equip;Corner_Class_2_Pod_2_ZN_1_FLR_1_PlugMisc_Equip;Mult_Class_2_Pod_2_ZN_1_FLR_1_PlugMisc_Equip;Corner_Class_1_Pod_3_ZN_1_FLR_1_PlugMisc_Equip;Mult_Class_1_Pod_3_ZN_1_FLR_1_PlugMisc_Equip;Corner_Class_2_Pod_3_ZN_1_FLR_1_PlugMisc_Equip;Mult_Class_2_Pod_3_ZN_1_FLR_1_PlugMisc_Equip;Computer_Class_ZN_1_FLR_1_PlugMisc_Equip;Offices_ZN_1_FLR_1_PlugMisc_Equip;Gym_ZN_1_FLR_1_PlugMisc_Equip;Kitchen_ZN_1_FLR_1_Reach-in-Freezer;Kitchen_ZN_1_FLR_1_Reach-in-Refrigerator;Cafeteria_ZN_1_FLR_1_PlugMisc_Equip;Library_Media_Center_ZN_1_FLR_1_PlugMisc_Equip,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_1_ZN_1_FLR_1:477.00;CORNER_CLASS_2_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_1_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_2_ZN_1_FLR_1:477.00;CORNER_CLASS_2_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_2_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_3_ZN_1_FLR_1:477.00;CORNER_CLASS_2_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_3_ZN_1_FLR_1:315.00;COMPUTER_CLASS_ZN_1_FLR_1:162.00;OFFICES_ZN_1_FLR_1:441.00;GYM_ZN_1_FLR_1:357.00;KITCHEN_ZN_1_FLR_1:168.00;CAFETERIA_ZN_1_FLR_1:315.00;LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:399.00,13.960963,0.0
SchoolPrimary,occupancy_m2_person,10.007,Corner_Class_1_Pod_1_ZN_1_FLR_1;Mult_Class_1_Pod_1_ZN_1_FLR_1;Corridor_Pod_1_ZN_1_FLR_1;Corner_Class_2_Pod_1_ZN_1_FLR_1;Mult_Class_2_Pod_1_ZN_1_FLR_1;Corner_Class_1_Pod_2_ZN_1_FLR_1;Mult_Class_1_Pod_2_ZN_1_FLR_1;Corridor_Pod_2_ZN_1_FLR_1;Corner_Class_2_Pod_2_ZN_1_FLR_1;Mult_Class_2_Pod_2_ZN_1_FLR_1;Corner_Class_1_Pod_3_ZN_1_FLR_1;Mult_Class_1_Pod_3_ZN_1_FLR_1;Corridor_Pod_3_ZN_1_FLR_1;Corner_Class_2_Pod_3_ZN_1_FLR_1;Mult_Class_2_Pod_3_ZN_1_FLR_1;Computer_Class_ZN_1_FLR_1;Mech_ZN_1_FLR_1;Bath_ZN_1_FLR_1;Offices_ZN_1_FLR_1;Gym_ZN_1_FLR_1;Kitchen_ZN_1_FLR_1;Cafeteria_ZN_1_FLR_1;Library_Media_Center_ZN_1_FLR_1;MAIN_CORRIDOR_ZN_1_FLR_1;LOBBY_ZN_1_FLR_1,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_1_ZN_1_FLR_1:477.00;CORRIDOR_POD_1_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_1_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_2_ZN_1_FLR_1:477.00;CORRIDOR_POD_2_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_2_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_3_ZN_1_FLR_1:477.00;CORRIDOR_POD_3_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_3_ZN_1_FLR_1:315.00;COMPUTER_CLASS_ZN_1_FLR_1:162.00;MECH_ZN_1_FLR_1:252.00;BATH_ZN_1_FLR_1:190.00;OFFICES_ZN_1_FLR_1:441.00;GYM_ZN_1_FLR_1:357.00;KITCHEN_ZN_1_FLR_1:168.00;CAFETERIA_ZN_1_FLR_1:315.00;LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:399.00;MAIN_CORRIDOR_ZN_1_FLR_1:546.00;LOBBY_ZN_1_FLR_1:171.00,10.006798,0.002
SchoolPrimary,outdoor_air,0.001509,SZ DSOA CORNER_CLASS_1_POD_1_ZN_1_FLR_1;SZ DSOA MULT_CLASS_1_POD_1_ZN_1_FLR_1;SZ DSOA CORRIDOR_POD_1_ZN_1_FLR_1;SZ DSOA CORNER_CLASS_2_POD_1_ZN_1_FLR_1;SZ DSOA MULT_CLASS_2_POD_1_ZN_1_FLR_1;SZ DSOA CORNER_CLASS_1_POD_2_ZN_1_FLR_1;SZ DSOA MULT_CLASS_1_POD_2_ZN_1_FLR_1;SZ DSOA CORRIDOR_POD_2_ZN_1_FLR_1;SZ DSOA CORNER_CLASS_2_POD_2_ZN_1_FLR_1;SZ DSOA MULT_CLASS_2_POD_2_ZN_1_FLR_1;SZ DSOA CORNER_CLASS_1_POD_3_ZN_1_FLR_1;SZ DSOA MULT_CLASS_1_POD_3_ZN_1_FLR_1;SZ DSOA CORRIDOR_POD_3_ZN_1_FLR_1;SZ DSOA CORNER_CLASS_2_POD_3_ZN_1_FLR_1;SZ DSOA MULT_CLASS_2_POD_3_ZN_1_FLR_1;SZ DSOA COMPUTER_CLASS_ZN_1_FLR_1;SZ DSOA MAIN_CORRIDOR_ZN_1_FLR_1;SZ DSOA LOBBY_ZN_1_FLR_1;SZ DSOA OFFICES_ZN_1_FLR_1;SZ DSOA LIBRARY_MEDIA_CENTER_ZN_1_FLR_1;SZ DSOA GYM_ZN_1_FLR_1;SZ DSOA KITCHEN_ZN_1_FLR_1;SZ DSOA CAFETERIA_ZN_1_FLR_1,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_1_ZN_1_FLR_1:477.00;CORRIDOR_POD_1_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_1_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_1_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_2_ZN_1_FLR_1:477.00;CORRIDOR_POD_2_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_2_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_2_ZN_1_FLR_1:477.00;CORNER_CLASS_1_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_1_POD_3_ZN_1_FLR_1:477.00;CORRIDOR_POD_3_ZN_1_FLR_1:192.00;CORNER_CLASS_2_POD_3_ZN_1_FLR_1:99.00;MULT_CLASS_2_POD_3_ZN_1_FLR_1:315.00;COMPUTER_CLASS_ZN_1_FLR_1:162.00;MAIN_CORRIDOR_ZN_1_FLR_1:546.00;LOBBY_ZN_1_FLR_1:171.00;OFFICES_ZN_1_FLR_1:441.00;LIBRARY_MEDIA_CENTER_ZN_1_FLR_1:399.00;GYM_ZN_1_FLR_1:357.00;KITCHEN_ZN_1_FLR_1:168.00;CAFETERIA_ZN_1_FLR_1:315.00,0.001509,0.028
RestaurantFastFood,lighting_W_m2,7.308,Dining_Lights;Kitchen_Lights,DINING:116.17;KITCHEN:116.17,7.30817,0.002
RestaurantFastFood,equipment_W_m2,40.624,Dining_MiscElec_Equip;Kitchen_Reach-in-Freezer;Kitchen_Reach-in-Refrigerator,DINING:116.17;KITCHEN:116.17,40.624175,0.0
