building,parameter,lobo_midpoint,lobo_median_loo,global_constant,mc_value_median,mc_value_ci95_lo,mc_value_ci95_hi,gso_midpoint_pct,gso_median_loo_pct,gso_global_constant_pct
OfficeMedium,window_u_value,2.7593,2.0839,2.0839,2.782199,1.991865,3.51156,33.87,1.1,1.1
OfficeMedium,window_shgc,0.4233,0.378,0.378,0.426252,0.36444,0.4831,11.98,0.0,0.0
OfficeMedium,lighting_W_m2,6.5805,7.223,7.034,6.669504,2.662307,10.442901,1.25,8.39,5.55
OfficeMedium,equipment_W_m2,21.781,13.229,13.229,21.422705,1.489324,42.46,166.99,62.16,62.16
OfficeMedium,occupancy_m2_person,29.3515,17.849,18.579,29.948775,4.176522,54.221537,57.98,3.93,0.0
OfficeMedium,outdoor_air,0.00358,0.001078,0.000609,0.003552,0.000158,0.006999,728.7,149.54,40.97
OfficeMedium,cooling_cop,5.0095,3.912,4.117,4.940077,3.176236,6.785308,47.38,15.09,21.12
OfficeMedium,heating_setpoint_C,19.7,21.0,21.0,19.780716,18.188115,21.241548,4.04,2.29,2.29
OfficeMedium,cooling_setpoint_C,24.495,24.45,24.1,24.495521,22.840152,26.171146,4.5,4.68,6.04
SchoolPrimary,window_u_value,2.7593,2.0669,2.0839,2.770112,2.012605,3.529444,31.0,1.88,1.07
SchoolPrimary,window_shgc,0.4233,0.378,0.378,0.425104,0.362823,0.48382,12.76,0.69,0.69
SchoolPrimary,lighting_W_m2,6.5805,7.034,7.034,6.380305,2.601697,10.462365,12.89,6.88,6.88
SchoolPrimary,equipment_W_m2,21.781,11.963,13.229,23.147493,1.313814,42.327483,56.01,14.31,5.24
SchoolPrimary,occupancy_m2_person,29.3515,18.579,18.579,28.549604,4.198686,54.566425,193.31,85.66,85.66
SchoolPrimary,outdoor_air,0.00358,0.000609,0.000609,0.00351,0.000208,0.006984,137.24,59.64,59.64
SchoolPrimary,cooling_cop,5.0095,3.912,4.117,4.946759,3.225962,6.807093,32.95,3.82,9.26
SchoolPrimary,heating_setpoint_C,19.7,20.97,21.0,19.688984,18.179926,21.224262,6.19,0.14,0.0
SchoolPrimary,cooling_setpoint_C,24.335,24.45,24.1,24.452591,22.835327,25.832954,6.51,6.07,7.41
RetailStripmall,window_u_value,2.7593,2.0839,2.0839,2.795672,2.01236,3.52796,34.24,1.38,1.38
RetailStripmall,window_shgc,0.4233,0.378,0.378,0.423632,0.362835,0.483498,11.69,0.26,0.26
RetailStripmall,lighting_W_m2,6.5805,7.034,7.034,6.476568,2.749981,10.472921,24.47,19.26,19.26
RetailStripmall,equipment_W_m2,21.781,13.229,13.229,20.794645,1.104643,42.108856,406.53,207.65,207.65
RetailStripmall,occupancy_m2_person,29.3515,18.579,18.579,28.981339,4.286831,54.833434,373.87,199.95,199.95
RetailStripmall,outdoor_air,0.00358,0.000609,0.000609,0.003472,0.000193,0.006979,203.13,48.43,48.43
RetailStripmall,cooling_cop,5.0095,3.912,4.117,4.998235,3.217122,6.809717,32.25,3.27,8.69
RetailStripmall,heating_setpoint_C,19.7,20.97,21.0,19.65555,18.159451,21.255923,6.68,0.66,0.52
RetailStripmall,cooling_setpoint_C,24.495,24.93,24.1,24.519047,22.826787,26.1342,2.53,4.35,0.88
ApartmentMidRise,window_u_value,2.7593,2.0669,2.0839,2.791142,1.986477,3.523409,27.21,4.71,3.93
ApartmentMidRise,window_shgc,0.4233,0.378,0.378,0.422023,0.363216,0.482983,15.03,2.72,2.72
ApartmentMidRise,lighting_W_m2,6.5805,7.223,7.034,6.524467,2.665055,10.470096,121.12,142.71,136.36
ApartmentMidRise,equipment_W_m2,21.781,13.229,13.229,21.534992,1.557679,41.882359,226.55,98.34,98.34
ApartmentMidRise,occupancy_m2_person,29.3515,17.849,18.579,30.234207,4.013738,54.885256,11.1,45.94,43.73
ApartmentMidRise,outdoor_air,0.00358,0.001078,0.000609,0.003454,0.000123,0.006977,1093.33,259.33,103.0
ApartmentMidRise,cooling_cop,5.0095,3.835,4.117,4.908997,3.215945,6.814766,28.05,1.97,5.24
ApartmentMidRise,heating_setpoint_C,19.7,21.0,21.0,19.678197,18.164821,21.235673,4.51,1.79,1.79
ApartmentMidRise,cooling_setpoint_C,24.495,24.93,24.1,24.435931,22.823203,26.155425,0.18,1.96,1.43
RestaurantFastFood,window_u_value,2.7593,2.0839,2.0839,2.77638,1.992457,3.512974,34.24,1.38,1.38
RestaurantFastFood,window_shgc,0.4233,0.378,0.378,0.422247,0.363171,0.483556,11.69,0.26,0.26
RestaurantFastFood,lighting_W_m2,6.5805,7.034,7.034,6.644134,2.68581,10.543466,9.95,3.75,3.75
RestaurantFastFood,equipment_W_m2,20.474,11.963,13.229,20.809553,1.816527,39.378671,49.6,70.55,67.44
RestaurantFastFood,occupancy_m2_person,29.3515,18.579,18.579,28.940297,3.503641,55.055553,195.79,87.23,87.23
RestaurantFastFood,outdoor_air,0.002661,0.000609,0.000609,0.002793,0.000163,0.005205,60.31,90.91,90.91
RestaurantFastFood,cooling_cop,5.0095,3.912,4.117,4.983711,3.219216,6.786023,31.86,2.97,8.37
RestaurantFastFood,heating_setpoint_C,19.7,21.0,21.0,19.632697,18.197277,21.212992,1.5,5.0,5.0
RestaurantFastFood,cooling_setpoint_C,24.495,24.45,24.1,24.503662,22.818954,26.16522,2.02,2.2,3.6
