building,parameter,inside_range
OfficeMedium,window_u_value,True
OfficeMedium,window_shgc,True
OfficeMedium,lighting_W_m2,True
OfficeMedium,equipment_W_m2,True
OfficeMedium,occupancy_m2_person,True
OfficeMedium,outdoor_air,True
OfficeMedium,cooling_cop,True
OfficeMedium,heating_setpoint_C,True
OfficeMedium,cooling_setpoint_C,True
SchoolPrimary,window_u_value,True
SchoolPrimary,window_shgc,True
SchoolPrimary,lighting_W_m2,True
SchoolPrimary,equipment_W_m2,True
SchoolPrimary,occupancy_m2_person,True
SchoolPrimary,outdoor_air,True
SchoolPrimary,cooling_cop,True
SchoolPrimary,heating_setpoint_C,True
SchoolPrimary,cooling_setpoint_C,False
RetailStripmall,window_u_value,True
RetailStripmall,window_shgc,True
RetailStripmall,lighting_W_m2,True
RetailStripmall,equipment_W_m2,True
RetailStripmall,occupancy_m2_person,True
RetailStripmall,outdoor_air,True
RetailStripmall,cooling_cop,True
RetailStripmall,heating_setpoint_C,True
RetailStripmall,cooling_setpoint_C,True
ApartmentMidRise,window_u_value,True
ApartmentMidRise,window_shgc,True
ApartmentMidRise,lighting_W_m2,True
ApartmentMidRise,equipment_W_m2,True
ApartmentMidRise,occupancy_m2_person,True
ApartmentMidRise,outdoor_air,True
ApartmentMidRise,cooling_cop,True
ApartmentMidRise,heating_setpoint_C,True
ApartmentMidRise,cooling_setpoint_C,True
RestaurantFastFood,window_u_value,True
RestaurantFastFood,window_shgc,True
RestaurantFastFood,lighting_W_m2,True
RestaurantFastFood,equipment_W_m2,False
RestaurantFastFood,occupancy_m2_person,True
RestaurantFastFood,outdoor_air,False
RestaurantFastFood,cooling_cop,True
RestaurantFastFood,heating_setpoint_C,True
RestaurantFastFood,cooling_setpoint_C,True
ApartmentHighRise,window_u_value,True
ApartmentHighRise,window_shgc,True
ApartmentHighRise,lighting_W_m2,True
ApartmentHighRise,equipment_W_m2,True
ApartmentHighRise,occupancy_m2_person,True
ApartmentHighRise,outdoor_air,True
ApartmentHighRise,cooling_cop,True
ApartmentHighRise,heating_setpoint_C,True
ApartmentHighRise,cooling_setpoint_C,True
Hospital,window_u_value,True
Hospital,window_shgc,True
Hospital,lighting_W_m2,True
Hospital,equipment_W_m2,True
Hospital,occupancy_m2_person,False
Hospital,outdoor_air,True
Hospital,cooling_cop,True
Hospital,heating_setpoint_C,True
Hospital,cooling_setpoint_C,True
HotelLarge,window_u_value,True
HotelLarge,window_shgc,True
HotelLarge,lighting_W_m2,True
HotelLarge,equipment_W_m2,True
HotelLarge,occupancy_m2_person,True
HotelLarge,outdoor_air,True
HotelLarge,cooling_cop,False
HotelLarge,heating_setpoint_C,True
HotelLarge,cooling_setpoint_C,True
HotelSmall,window_u_value,True
HotelSmall,window_shgc,True
HotelSmall,lighting_W_m2,True
HotelSmall,equipment_W_m2,True
HotelSmall,occupancy_m2_person,True
HotelSmall,outdoor_air,True
HotelSmall,cooling_cop,True
HotelSmall,heating_setpoint_C,True
HotelSmall,cooling_setpoint_C,False
OfficeLarge,window_u_value,True
OfficeLarge,window_shgc,True
OfficeLarge,lighting_W_m2,True
OfficeLarge,equipment_W_m2,True
OfficeLarge,occupancy_m2_person,True
OfficeLarge,outdoor_air,True
OfficeLarge,cooling_cop,True
OfficeLarge,heating_setpoint_C,True
OfficeLarge,cooling_setpoint_C,True
OfficeSmall,window_u_value,True
OfficeSmall,window_shgc,True
OfficeSmall,lighting_W_m2,True
OfficeSmall,equipment_W_m2,True
OfficeSmall,occupancy_m2_person,True
OfficeSmall,outdoor_air,True
OfficeSmall,cooling_cop,True
OfficeSmall,heating_setpoint_C,True
OfficeSmall,cooling_setpoint_C,True
OutPatientHealthCare,window_u_value,True
OutPatientHealthCare,window_shgc,True
OutPatientHealthCare,lighting_W_m2,True
OutPatientHealthCare,equipment_W_m2,True
OutPatientHealthCare,occupancy_m2_person,True
OutPatientHealthCare,outdoor_air,True
OutPatientHealthCare,cooling_cop,True
OutPatientHealthCare,heating_setpoint_C,False
OutPatientHealthCare,cooling_setpoint_C,True
RestaurantSitDown,window_u_value,True
RestaurantSitDown,window_shgc,True
RestaurantSitDown,lighting_W_m2,True
RestaurantSitDown,equipment_W_m2,True
RestaurantSitDown,occupancy_m2_person,True
RestaurantSitDown,outdoor_air,True
RestaurantSitDown,cooling_cop,True
RestaurantSitDown,heating_setpoint_C,True
RestaurantSitDown,cooling_setpoint_C,True
RetailStandalone,window_u_value,True
RetailStandalone,window_shgc,True
RetailStandalone,lighting_W_m2,False
RetailStandalone,equipment_W_m2,True
RetailStandalone,occupancy_m2_person,True
RetailStandalone,outdoor_air,True
RetailStandalone,cooling_cop,True
RetailStandalone,heating_setpoint_C,True
RetailStandalone,cooling_setpoint_C,True
SchoolSecondary,window_u_value,True
SchoolSecondary,window_shgc,True
SchoolSecondary,lighting_W_m2,True
SchoolSecondary,equipment_W_m2,True
SchoolSecondary,occupancy_m2_person,True
SchoolSecondary,outdoor_air,True
SchoolSecondary,cooling_cop,True
SchoolSecondary,heating_setpoint_C,True
SchoolSecondary,cooling_setpoint_C,True
Warehouse,window_u_value,False
Warehouse,window_shgc,False
Warehouse,lighting_W_m2,True
Warehouse,equipment_W_m2,True
Warehouse,occupancy_m2_person,True
Warehouse,outdoor_air,True
Warehouse,cooling_cop,True
Warehouse,heating_setpoint_C,True
Warehouse,cooling_setpoint_C,True
