building,parameter,code_output,idf_object_names,zone_areas_m2,manual_area_weighted_calc,difference_pct,cop_object_types_present
OfficeMedium,window_u_value,2.0612,,,,,
OfficeMedium,window_shgc,0.378,,,,,
OfficeMedium,lighting_W_m2,6.664,,,,,
OfficeMedium,equipment_W_m2,8.158,,,,,
OfficeMedium,occupancy_m2_person,18.579,,,,,
OfficeMedium,outdoor_air,0.000432,,,,,
OfficeMedium,cooling_cop,3.399,,,,,COIL:COOLING:DX:TWOSPEED
OfficeMedium,heating_setpoint_C,20.53,,,,,
OfficeMedium,cooling_setpoint_C,25.65,,,,,
SchoolPrimary,window_u_value,2.1064,,,,,
SchoolPrimary,window_shgc,0.3754,,,,,
SchoolPrimary,lighting_W_m2,7.554,,,,,
SchoolPrimary,equipment_W_m2,13.961,,,,,
SchoolPrimary,occupancy_m2_person,10.007,,,,,
SchoolPrimary,outdoor_air,0.001509,,,,,
SchoolPrimary,cooling_cop,3.768,,,,,COIL:COOLING:DX:MULTISPEED;COIL:COOLING:DX:TWOSPEED
SchoolPrimary,heating_setpoint_C,21.0,,,,,
SchoolPrimary,cooling_setpoint_C,26.03,,,,,
RestaurantFastFood,window_u_value,2.0555,,,,,
RestaurantFastFood,window_shgc,0.379,,,,,
RestaurantFastFood,lighting_W_m2,7.308,,,,,
RestaurantFastFood,equipment_W_m2,40.624,,,,,
RestaurantFastFood,occupancy_m2_person,9.923,,,,,
RestaurantFastFood,outdoor_air,0.006703,,,,,
RestaurantFastFood,cooling_cop,3.799,,,,,COIL:COOLING:DX:MULTISPEED
RestaurantFastFood,heating_setpoint_C,20.0,,,,,
RestaurantFastFood,cooling_setpoint_C,25.0,,,,,
