building,parameter,mc_gso_mean_pct,mc_gso_median_pct,mc_gso_ci95_lo_pct,mc_gso_ci95_hi_pct
OfficeMedium,window_u_value,35.19,34.98,1.23,70.36
OfficeMedium,window_shgc,13.04,12.77,0.42,27.8
OfficeMedium,lighting_W_m2,30.28,30.08,1.33,60.23
OfficeMedium,equipment_W_m2,183.91,162.6,8.48,420.47
OfficeMedium,occupancy_m2_person,84.26,73.17,4.21,191.84
OfficeMedium,outdoor_air,744.78,722.25,22.96,1520.13
OfficeMedium,cooling_cop,46.73,45.34,1.17,99.63
OfficeMedium,heating_setpoint_C,4.83,3.71,0.2,11.41
OfficeMedium,cooling_setpoint_C,4.92,4.5,0.18,10.95
SchoolPrimary,window_u_value,32.1,31.51,1.07,67.56
SchoolPrimary,window_shgc,13.7,13.24,0.49,28.88
SchoolPrimary,lighting_W_m2,29.0,27.3,1.15,65.56
SchoolPrimary,equipment_W_m2,89.13,80.03,4.67,203.18
SchoolPrimary,occupancy_m2_person,198.02,185.3,5.02,445.28
SchoolPrimary,outdoor_air,156.67,132.63,4.95,362.84
SchoolPrimary,cooling_cop,35.06,31.28,1.14,80.66
SchoolPrimary,heating_setpoint_C,6.42,6.24,0.18,13.43
SchoolPrimary,cooling_setpoint_C,6.29,6.06,0.76,12.27
RetailStripmall,window_u_value,35.69,36.01,1.15,71.64
RetailStripmall,window_shgc,12.44,11.78,0.35,27.57
RetailStripmall,lighting_W_m2,30.21,25.66,1.33,68.43
RetailStripmall,equipment_W_m2,405.06,383.6,14.49,879.28
RetailStripmall,occupancy_m2_person,377.31,367.89,13.3,785.27
RetailStripmall,outdoor_air,216.62,193.99,7.79,490.9
RetailStripmall,cooling_cop,35.26,31.95,0.9,79.77
RetailStripmall,heating_setpoint_C,6.82,6.89,0.15,13.98
RetailStripmall,cooling_setpoint_C,4.07,3.67,0.19,9.39
ApartmentMidRise,window_u_value,29.35,28.68,0.83,62.44
ApartmentMidRise,window_shgc,14.81,14.68,0.52,31.25
ApartmentMidRise,lighting_W_m2,120.97,119.24,4.1,251.82
ApartmentMidRise,equipment_W_m2,237.56,222.86,7.67,527.92
ApartmentMidRise,occupancy_m2_person,40.6,39.88,1.16,87.84
ApartmentMidRise,outdoor_air,1068.83,1051.17,35.6,2225.77
ApartmentMidRise,cooling_cop,31.39,25.49,1.59,74.2
ApartmentMidRise,heating_setpoint_C,5.26,4.61,0.22,11.95
ApartmentMidRise,cooling_setpoint_C,3.61,3.56,0.19,6.98
RestaurantFastFood,window_u_value,34.16,35.07,1.4,70.91
RestaurantFastFood,window_shgc,12.33,11.41,0.57,27.59
RestaurantFastFood,lighting_W_m2,29.61,29.14,1.44,63.25
RestaurantFastFood,equipment_W_m2,48.74,48.78,3.07,95.53
RestaurantFastFood,occupancy_m2_person,203.1,191.65,6.87,454.83
RestaurantFastFood,outdoor_air,59.65,58.34,22.35,97.57
RestaurantFastFood,cooling_cop,34.41,31.18,0.91,78.63
RestaurantFastFood,heating_setpoint_C,4.04,3.9,0.22,9.01
RestaurantFastFood,cooling_setpoint_C,3.75,3.35,0.2,8.72
