building_type,window_u_value,window_shgc,lighting_W_m2,equipment_W_m2,occupancy_m2_person,infiltration,outdoor_air,cooling_cop,heating_efficiency,heating_setpoint_C,cooling_setpoint_C,roof_u_value,zone_count
ApartmentHighRise,2.1691,0.368,2.976,6.67,33.015,0.00057,0.0003,4.409,0.8,20.85,24.98,0.1864,27
Hospital,2.0669,0.378,9.44,23.706,52.687,0.00057,0.000609,5.418,0.812,21,24,0.1864,55
HotelLarge,2.0839,0.376,7.223,18.443,13.853,0.00057,0.00121,6.67,0.8,21.02,23.63,0.1864,22
HotelSmall,2.0839,0.376,5.105,13.229,20.995,0.00057,0.000483,4.004,0.8,21.11,22.96,0.1864,67
OfficeLarge,2.0612,0.378,6.624,35.212,18.579,0.00057,0.000432,6.28,0.81,20.38,25.71,0.1864,23
OfficeSmall,2.0612,0.378,6.981,6.78,18.581,0.00057,0.000432,4.117,0.8,21.11,23.89,0.122,6
OutPatientHealthCare,2.0669,0.378,9.326,17.606,17.849,0.00057,0.001078,3.349,0.8,18.29,24.93,0.1864,118
RestaurantSitDown,2.0555,0.379,7.034,38.01,6.016,0.00057,0.004986,3.52,0.8,20,25,0.122,3
RetailStandalone,2.2285,0.3836,10.185,5.244,12.86,0.00057,0.001086,3.552,0.8,20.97,24.1,0.1864,5
SchoolSecondary,2.1401,0.3765,7.282,11.963,9.696,0.00057,0.001698,5.951,0.812,21,24,0.1864,46
Warehouse,3.4631,0.4786,4.703,2.938,43.025,0.000869,0.000311,3.835,0.8,21.1,25.3,0.2163,3
