building,format,model,seed,climate,param_id,true_name,value
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.3
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,0.97
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,5.41
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,225.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.006
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,70.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.3
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.11
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,5.41
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,225.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.06
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,11.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,68.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,75.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,0.35
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.63
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,0.79
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,5.41
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,225.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.006
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,11.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,70.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,75.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,0.3
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.63
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,0.97
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,1.14
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,200.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.006
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,11.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,70.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,75.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,0.3
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_2,window_shgc,0.63
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_3,lighting_W_m2,0.97
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_4,equipment_W_m2,5.41
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_5,occupancy_m2_person,225.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_6,outdoor_air,0.06
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_7,cooling_cop,11.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_8,heating_setpoint_C,70.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_9,cooling_setpoint_C,75.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_1,window_u_value,0.35
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_2,window_shgc,0.35
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_3,lighting_W_m2,0.9
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_4,equipment_W_m2,1.2
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_5,occupancy_m2_person,15.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_6,outdoor_air,0.5
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_7,cooling_cop,3.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_8,heating_setpoint_C,21.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_9,cooling_setpoint_C,24.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_1,window_u_value,0.35
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_2,window_shgc,0.45
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_3,lighting_W_m2,9.7
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_4,equipment_W_m2,16.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_5,occupancy_m2_person,14.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_6,outdoor_air,0.0003
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_7,cooling_cop,3.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_8,heating_setpoint_C,20.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_9,cooling_setpoint_C,24.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_1,window_u_value,0.35
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_2,window_shgc,0.5
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_3,lighting_W_m2,10.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_4,equipment_W_m2,5.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_5,occupancy_m2_person,20.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_6,outdoor_air,0.5
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_7,cooling_cop,3.5
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_8,heating_setpoint_C,21.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_9,cooling_setpoint_C,24.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_1,window_u_value,0.35
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_2,window_shgc,0.4
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_3,lighting_W_m2,0.9
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_4,equipment_W_m2,1.2
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_5,occupancy_m2_person,15.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_6,outdoor_air,0.005
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_7,cooling_cop,3.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_8,heating_setpoint_C,21.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_9,cooling_setpoint_C,24.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_1,window_u_value,0.35
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_2,window_shgc,0.45
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_3,lighting_W_m2,9.7
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_4,equipment_W_m2,16.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_5,occupancy_m2_person,18.6
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_6,outdoor_air,0.00046
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_7,cooling_cop,3.5
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_8,heating_setpoint_C,21.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_9,cooling_setpoint_C,24.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.3
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,0.97
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,1.15
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,65.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.06
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,70.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.3
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.2
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,1.79
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,40.0
