building,format,model,seed,climate,climate_role,parameter,value,physical_bound_ok,lobo_range_ok
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,window_u_value,0.3,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,window_shgc,0.63,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,lighting_W_m2,0.97,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,equipment_W_m2,5.41,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,occupancy_m2_person,225.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,outdoor_air,0.006,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,cooling_cop,11.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,heating_setpoint_C,70.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,cooling_setpoint_C,75.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,window_u_value,0.3,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,window_shgc,0.63,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,lighting_W_m2,1.11,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,equipment_W_m2,5.41,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,occupancy_m2_person,225.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,outdoor_air,0.06,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,cooling_cop,11.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,heating_setpoint_C,68.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,cooling_setpoint_C,75.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,window_u_value,0.35,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,window_shgc,0.63,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,lighting_W_m2,0.79,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,equipment_W_m2,5.41,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,occupancy_m2_person,225.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,outdoor_air,0.006,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,cooling_cop,11.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,heating_setpoint_C,70.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,cooling_setpoint_C,75.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,window_u_value,0.3,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,window_shgc,0.63,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,lighting_W_m2,0.97,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,equipment_W_m2,1.14,True,
