tag,building,climate,source,format,model,seed,round_trip_ok,energyplus_ok,duration_s
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,False,,1.0
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,False,,0.6
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799870,F1,llama-3.3-70b-versatile,1542799870.0,False,,0.6
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799871,F1,llama-3.3-70b-versatile,1542799871.0,False,,0.7
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799867,F1,openai/gpt-oss-120b,1542799867.0,True,True,462.0
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799868,F1,llama-3.3-70b-versatile,1542799868.0,True,True,685.3
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799868,F1,openai/gpt-oss-120b,1542799868.0,True,True,480.2
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799869,F1,openai/gpt-oss-120b,1542799869.0,True,True,476.4
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799870,F1,openai/gpt-oss-120b,1542799870.0,True,True,483.7
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799871,F1,openai/gpt-oss-120b,1542799871.0,True,True,486.4
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799867,F2,llama-3.3-70b-versatile,1542799867.0,True,True,681.4
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799868,F2,llama-3.3-70b-versatile,1542799868.0,True,True,685.6
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799869,F2,llama-3.3-70b-versatile,1542799869.0,True,True,728.7
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799870,F2,llama-3.3-70b-versatile,1542799870.0,True,True,806.8
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799871,F2,llama-3.3-70b-versatile,1542799871.0,True,True,687.6
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799867,F2,openai/gpt-oss-120b,1542799867.0,True,True,687.6
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799868,F2,openai/gpt-oss-120b,1542799868.0,True,True,604.4
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799869,F2,openai/gpt-oss-120b,1542799869.0,True,True,655.1
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799870,F2,openai/gpt-oss-120b,1542799870.0,True,True,830.0
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799871,F2,openai/gpt-oss-120b,1542799871.0,True,True,665.9
ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799867,F3,llama-3.3-70b-versatile,1542799867.0,True,True,632.5
ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799868,F3,llama-3.3-70b-versatile,1542799868.0,True,True,622.9
ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799869,F3,llama-3.3-70b-versatile,1542799869.0,True,True,602.6
ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799870,F3,llama-3.3-70b-versatile,1542799870.0,True,True,609.4
ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799871,F3,llama-3.3-70b-versatile,1542799871.0,True,True,605.8
ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799867,F3,openai/gpt-oss-120b,1542799867.0,True,True,685.3
ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799868,F3,openai/gpt-oss-120b,1542799868.0,True,True,666.7
ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799869,F3,openai/gpt-oss-120b,1542799869.0,True,True,684.8
ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799870,F3,openai/gpt-oss-120b,1542799870.0,True,True,712.5
ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799871,F3,openai/gpt-oss-120b,1542799871.0,True,True,554.7
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,595.0
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,575.4
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,621.6
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,602.2
ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,595.3
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,708.1
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,597.6
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,598.4
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,598.0
OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,False,,0.6
OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799868,F1,llama-3.3-70b-versatile,1542799868.0,False,,0.6
OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,False,,0.5
OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799870,F1,llama-3.3-70b-versatile,1542799870.0,False,,0.6
OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799871,F1,llama-3.3-70b-versatile,1542799871.0,False,,0.5
ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,562.0
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799867,F1,openai/gpt-oss-120b,1542799867.0,True,True,173.0
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799869,F1,openai/gpt-oss-120b,1542799869.0,True,True,180.7
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799868,F1,openai/gpt-oss-120b,1542799868.0,True,True,214.7
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799870,F1,openai/gpt-oss-120b,1542799870.0,True,True,192.9
OfficeMedium_5A_F1_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F1_gpt-oss-120b_seed1542799871,F1,openai/gpt-oss-120b,1542799871.0,True,True,221.3
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799867,F2,llama-3.3-70b-versatile,1542799867.0,True,True,210.8
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799868,F2,llama-3.3-70b-versatile,1542799868.0,True,True,207.6
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799869,F2,llama-3.3-70b-versatile,1542799869.0,True,True,208.0
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799870,F2,llama-3.3-70b-versatile,1542799870.0,True,True,204.4
OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799871,F2,llama-3.3-70b-versatile,1542799871.0,True,True,207.9
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799867,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799867,F2,openai/gpt-oss-120b,1542799867.0,True,True,215.2
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799868,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799868,F2,openai/gpt-oss-120b,1542799868.0,True,True,199.3
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799869,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799869,F2,openai/gpt-oss-120b,1542799869.0,True,True,216.1
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799870,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799870,F2,openai/gpt-oss-120b,1542799870.0,True,True,187.7
OfficeMedium_5A_F2_gpt-oss-120b_seed1542799871,OfficeMedium,5A,F2_gpt-oss-120b_seed1542799871,F2,openai/gpt-oss-120b,1542799871.0,True,True,221.6
