tag,building,climate,source,format,model,seed,round_trip_ok,energyplus_ok,duration_s
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,423.1
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,432.1
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,429.3
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,435.7
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,427.4
ApartmentMidRise_7_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,517.3
ApartmentMidRise_7_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,434.0
ApartmentMidRise_7_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,565.5
ApartmentMidRise_7_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,431.0
OfficeMedium_7_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,168.6
ApartmentMidRise_7_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,508.7
OfficeMedium_7_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,154.8
OfficeMedium_7_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,166.6
OfficeMedium_7_F4_llama-3.3-70b-versatile_seed1542799870,OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,164.1
OfficeMedium_7_F4_gpt-oss-120b_seed1542799867,OfficeMedium,7,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,True,True,155.9
OfficeMedium_7_F4_llama-3.3-70b-versatile_seed1542799871,OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,True,True,169.4
OfficeMedium_7_F4_gpt-oss-120b_seed1542799868,OfficeMedium,7,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,True,True,154.7
OfficeMedium_7_F4_gpt-oss-120b_seed1542799869,OfficeMedium,7,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,True,True,164.1
OfficeMedium_7_F4_gpt-oss-120b_seed1542799870,OfficeMedium,7,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,True,True,155.2
OfficeMedium_7_F4_gpt-oss-120b_seed1542799871,OfficeMedium,7,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,True,True,149.5
RestaurantFastFood_7_F4_llama-3.3-70b-versatile_seed1542799867,RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,True,True,79.7
RestaurantFastFood_7_F4_llama-3.3-70b-versatile_seed1542799868,RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,True,True,90.1
RestaurantFastFood_7_F4_llama-3.3-70b-versatile_seed1542799869,RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,True,True,92.1
RestaurantFastFood_7_F4_llama-3.3-70b-versatile_seed1542799870,RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,True,True,87.4
