tag,building,climate,source,format,model,seed,duration_s,parameter,target,readback,diff_pct,tolerance_pct,status
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,window_u_value,0.3,0.3,0.0,0.5,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,window_shgc,0.63,0.63,0.0,0.5,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,lighting_W_m2,0.97,0.97,0.0,0.5,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,equipment_W_m2,4.99,4.99,0.0,1.0,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,occupancy_m2_person,240.0,239.803,0.0821,1.0,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,outdoor_air,0.0012,0.0012,0.0,2.0,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,cooling_cop,11.0,11.0,0.0,1.0,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,heating_setpoint_C,72.0,,,,MISSING
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,F1,llama-3.3-70b-versatile,1542799867.0,1.0,cooling_setpoint_C,75.0,,,,MISSING
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,0.6,window_u_value,0.35,0.35,0.0,0.5,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,0.6,window_shgc,0.63,0.63,0.0,0.5,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,0.6,lighting_W_m2,0.94,0.94,0.0,0.5,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,0.6,equipment_W_m2,1.16,1.16,0.0,1.0,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,0.6,occupancy_m2_person,250.0,249.969,0.0124,1.0,OK
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,F1,llama-3.3-70b-versatile,1542799869.0,0.6,outdoor_air,0.0018,0.0018,0.0,2.0,OK
