tag,building,climate,source,format,model,seed,duration_s,parameter,target,readback,diff_pct,tolerance_pct,status
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,window_u_value,2.25,2.25,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,lighting_W_m2,7.5,7.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,equipment_W_m2,5.5,5.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,occupancy_m2_person,40.0,40.005,0.0125,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,outdoor_air,0.0025,0.0025,0.0,2.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,cooling_cop,4.5,4.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,506.7,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,window_u_value,2.45,2.45,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,lighting_W_m2,9.5,9.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,equipment_W_m2,5.5,5.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,occupancy_m2_person,40.0,40.005,0.0125,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,outdoor_air,0.0025,0.0025,0.0,2.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,cooling_cop,4.2,4.2,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,heating_setpoint_C,22.0,22.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,508.3,cooling_setpoint_C,23.0,23.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,window_u_value,2.44,2.44,0.0,0.5,OK
