tag,building,climate,source,format,model,seed,duration_s,parameter,target,readback,diff_pct,tolerance_pct,status
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,window_u_value,2.23,2.23,0.0,0.5,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,lighting_W_m2,5.5,5.5,0.0,0.5,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,equipment_W_m2,4.8,4.8,0.0,1.0,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,occupancy_m2_person,40.9,40.894,0.0147,1.0,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,outdoor_air,0.0014,0.0014,0.0,2.0,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,cooling_cop,4.3,4.3,0.0,1.0,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,423.1,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_7_F4_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,432.1,window_u_value,2.25,2.25,0.0,0.5,OK
