building,climate,climate_role,format,model,seed,source,source_type,status,duration_s
ApartmentMidRise,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799867.0,F1_llama-3.3-70b-versatile_seed1542799867,llm,round_trip_failed,1.0
ApartmentMidRise,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799869.0,F1_llama-3.3-70b-versatile_seed1542799869,llm,round_trip_failed,0.6
ApartmentMidRise,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799870.0,F1_llama-3.3-70b-versatile_seed1542799870,llm,round_trip_failed,0.6
ApartmentMidRise,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799871.0,F1_llama-3.3-70b-versatile_seed1542799871,llm,round_trip_failed,0.7
OfficeMedium,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799867.0,F1_llama-3.3-70b-versatile_seed1542799867,llm,round_trip_failed,0.6
OfficeMedium,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799868.0,F1_llama-3.3-70b-versatile_seed1542799868,llm,round_trip_failed,0.6
OfficeMedium,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799869.0,F1_llama-3.3-70b-versatile_seed1542799869,llm,round_trip_failed,0.5
OfficeMedium,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799870.0,F1_llama-3.3-70b-versatile_seed1542799870,llm,round_trip_failed,0.6
OfficeMedium,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799871.0,F1_llama-3.3-70b-versatile_seed1542799871,llm,round_trip_failed,0.5
RestaurantFastFood,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799867.0,F1_llama-3.3-70b-versatile_seed1542799867,llm,round_trip_failed,0.2
RestaurantFastFood,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799868.0,F1_llama-3.3-70b-versatile_seed1542799868,llm,round_trip_failed,0.2
RestaurantFastFood,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799869.0,F1_llama-3.3-70b-versatile_seed1542799869,llm,round_trip_failed,0.2
RestaurantFastFood,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799870.0,F1_llama-3.3-70b-versatile_seed1542799870,llm,round_trip_failed,0.2
RestaurantFastFood,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799871.0,F1_llama-3.3-70b-versatile_seed1542799871,llm,round_trip_failed,0.2
RetailStripmall,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799867.0,F1_llama-3.3-70b-versatile_seed1542799867,llm,round_trip_failed,0.7
RetailStripmall,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799868.0,F1_llama-3.3-70b-versatile_seed1542799868,llm,round_trip_failed,1.0
RetailStripmall,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799869.0,F1_llama-3.3-70b-versatile_seed1542799869,llm,round_trip_failed,0.9
RetailStripmall,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799870.0,F1_llama-3.3-70b-versatile_seed1542799870,llm,round_trip_failed,0.7
RetailStripmall,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799871.0,F1_llama-3.3-70b-versatile_seed1542799871,llm,round_trip_failed,0.5
SchoolPrimary,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799867.0,F1_llama-3.3-70b-versatile_seed1542799867,llm,round_trip_failed,0.9
SchoolPrimary,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799868.0,F1_llama-3.3-70b-versatile_seed1542799868,llm,round_trip_failed,1.0
SchoolPrimary,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799869.0,F1_llama-3.3-70b-versatile_seed1542799869,llm,round_trip_failed,0.9
SchoolPrimary,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799870.0,F1_llama-3.3-70b-versatile_seed1542799870,llm,round_trip_failed,0.9
SchoolPrimary,5A,main_experiment,F1,llama-3.3-70b-versatile,1542799871.0,F1_llama-3.3-70b-versatile_seed1542799871,llm,round_trip_failed,0.9
SchoolPrimary,5A,main_experiment,F2,llama-3.3-70b-versatile,1542799867.0,F2_llama-3.3-70b-versatile_seed1542799867,llm,round_trip_failed,0.9
SchoolPrimary,5A,main_experiment,F2,llama-3.3-70b-versatile,1542799869.0,F2_llama-3.3-70b-versatile_seed1542799869,llm,round_trip_failed,0.9
SchoolPrimary,5A,main_experiment,F4,openai/gpt-oss-120b,1542799870.0,F4_gpt-oss-120b_seed1542799870,llm,round_trip_failed,1.4
