building,climate,source,source_type,format,model,seed,window_u_value,window_shgc,lighting_W_m2,equipment_W_m2,occupancy_m2_person,outdoor_air,cooling_cop,heating_setpoint_C,cooling_setpoint_C
ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,7.5,5.5,40.0,0.0025,4.5,20.0,24.0
ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.45,0.42,9.5,5.5,40.0,0.0025,4.2,22.0,23.0
ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.44,0.42,6.5,4.6,40.9,0.0018,4.2,20.0,24.4
ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.45,0.43,7.5,5.5,40.0,0.0018,4.2,20.0,24.0
ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.45,0.42,7.5,5.5,40.0,0.0025,4.2,21.1,23.0
ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.4,5.0,10.0,30.0,0.004,4.5,20.0,24.0
ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.4,5.0,10.0,30.0,0.004,4.0,20.0,24.0
ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.42,5.0,15.0,30.0,0.003,4.5,20.0,24.0
ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,8.0,12.0,30.0,0.003,4.5,20.0,24.0
ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.2,0.41,8.0,10.0,30.0,0.004,4.5,20.0,24.0
ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,6.5,4.8,40.0,0.0015,4.2,20.0,24.0
ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.23,0.42,5.5,4.8,40.9,0.0014,4.3,20.0,24.0
ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.22,0.42,6.5,4.8,39.5,0.0018,4.2,20.0,23.9
ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.23,0.42,6.5,4.8,40.9,0.0014,4.2,20.0,24.0
ApartmentMidRise,7,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.25,0.42,6.5,4.8,40.0,0.0015,4.5,20.0,24.0
ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.2,0.42,7.0,10.0,30.0,0.003,4.5,20.5,24.0
ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.2,0.42,7.5,5.0,30.0,0.003,4.5,20.0,24.0
ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.2,0.42,6.5,12.0,30.0,0.0035,4.5,20.5,24.5
ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.38,5.0,5.0,30.0,0.004,4.0,20.5,24.0
ApartmentMidRise,7,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,3.0,0.38,5.0,10.0,30.0,0.004,4.0,20.0,24.0
OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.75,0.42,9.5,5.5,10.8,0.0025,4.5,21.1,23.9
OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.45,0.42,6.5,5.5,10.8,0.0025,4.5,20.0,24.4
OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.5,0.42,9.5,6.5,10.8,0.0024,4.2,21.1,23.9
OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.45,0.43,9.5,7.5,10.8,0.0035,4.2,21.1,23.0
OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.25,0.42,9.5,6.5,10.76,0.0035,4.3,21.1,23.0
OfficeMedium,1A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.42,8.0,12.0,15.0,0.004,5.0,20.0,24.0
OfficeMedium,1A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.42,8.0,15.0,15.0,0.004,5.0,20.0,24.0
OfficeMedium,1A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.42,8.0,15.0,15.0,0.004,4.5,20.0,24.0
OfficeMedium,1A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,9.5,5.0,15.0,0.003,4.2,20.0,24.0
OfficeMedium,1A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.5,0.4,10.0,15.0,15.0,0.003,5.0,20.0,24.0
OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.23,0.42,9.5,4.8,10.8,0.0025,4.2,20.0,24.0
OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.25,0.42,6.5,5.0,10.76,0.0014,4.2,20.0,24.0
OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.21,0.42,9.5,5.5,11.6,0.0018,4.5,20.0,23.9
OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.25,0.42,9.5,5.5,11.6,0.0024,4.5,20.0,24.0
OfficeMedium,7,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.25,0.42,9.5,6.5,10.8,0.0018,4.5,20.0,24.0
OfficeMedium,7,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.42,7.0,12.0,15.0,0.004,5.0,20.0,24.0
OfficeMedium,7,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.8,0.45,8.0,12.0,15.0,0.005,4.0,20.5,24.0
OfficeMedium,7,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.8,0.42,5.2,12.0,15.0,0.0035,4.5,20.0,24.0
OfficeMedium,7,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,6.0,10.0,15.0,0.0035,4.5,20.0,24.0
OfficeMedium,7,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.8,0.42,6.5,12.0,15.0,0.0045,4.8,20.0,24.0
RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.75,0.42,7.5,7.4,4.6,0.0025,4.2,21.1,23.9
RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.75,0.42,9.5,12.8,4.6,0.0025,4.5,21.1,23.9
RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.44,0.43,7.4,8.1,4.6,0.0018,4.2,21.1,23.9
RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.45,0.42,8.5,12.8,4.6,0.0025,4.2,20.0,24.0
RestaurantFastFood,1A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.45,0.43,7.4,10.2,4.6,0.0025,4.2,21.1,23.9
RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.8,0.42,6.5,15.0,12.0,0.0035,5.0,20.0,24.5
RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.42,10.0,30.0,12.0,0.003,4.5,20.0,24.0
RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.42,10.0,25.0,5.0,0.004,4.5,19.0,24.0
RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,8.0,15.0,15.0,0.003,5.0,20.0,24.0
RestaurantFastFood,1A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.5,0.42,6.0,15.0,15.0,0.0015,4.5,20.0,24.0
RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,7.4,9.5,4.6,0.0025,4.2,20.0,24.0
