building,format,model,seed,climate,param_id,true_name,value,ref_value,gso_pct
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.3,2.0612,85.44537162817775
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63,0.378,66.66666666666666
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,0.97,6.664,85.44417767106843
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,5.41,8.158,33.6847266486884
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,225.0,18.579,1111.0447279186178
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.006,0.000432,1288.888888888889
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0,3.399,223.6245954692557
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,70.0,20.53,240.96444227959083
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0,25.65,192.39766081871346
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.3,2.0612,85.44537162817775
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63,0.378,66.66666666666666
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.11,6.664,83.34333733493396
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,5.41,8.158,33.6847266486884
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,225.0,18.579,1111.0447279186178
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.06,0.000432,13788.888888888889
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,11.0,3.399,223.6245954692557
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,68.0,20.53,231.22260107160253
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,75.0,25.65,192.39766081871346
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,0.35,2.0612,83.01960023287404
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.63,0.378,66.66666666666666
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,0.79,6.664,88.1452581032413
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,5.41,8.158,33.6847266486884
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,225.0,18.579,1111.0447279186178
