tag,building,climate,source,source_type,format,model,seed,cvrmse_pct,nmbe_pct,ashrae14_pass
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799868,llm,F1,llama-3.3-70b-versatile,1542799868.0,15.443587968273121,-14.493606027774419,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,40.038044656034074,-39.86404049214209,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,35.551162487348364,-35.42372028456405,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,49.13510902054217,48.69660213385443,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,36.40946241618146,-36.20578457965365,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,37.18405519113014,-36.95952831338862,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,11.991758694308226,10.926673967007394,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,10.830381532088172,10.010453163614265,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,11.941409619727171,10.930087940439034,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,18.752526823655057,16.34989991695077,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,9.0940989512805,8.652395257727877,False
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,25.352996245145427,24.452954500448737,False
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,4.491098492798814,3.94427676863411,True
