tag,building,climate,source,source_type,format,model,seed,energy_ratio,anomaly
ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799868,llm,F1,llama-3.3-70b-versatile,1542799868.0,0.8472923615838817,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,0.8531209570196461,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,1.2336623242481581,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,8.314361057912468,True
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799870,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,1.1973213142762276,False
ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799871,ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,0.7626197602265297,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799867,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,1.0402893455058562,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799868,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,1.0407533635085005,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,1.024782418952689,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,0.9789018605049742,False
ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,1.041103291814145,False
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799867,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,1.1939993101199582,False
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799868,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,1.0922817673619458,False
ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799869,ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,1.2214442027554415,False
