building,format,model,seed,climate,param_id,true_name,value,lo_bound,hi_bound,bound_violated,lo_basis,hi_basis
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,5.41,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,225.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.006,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.11,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,5.41,0.0,,False,physical: cannot be negative,not enforced
