building,format,model,mean,std,n,sti,stable
ApartmentMidRise,F1,llama-3.3-70b-versatile,15.443587968273121,,1,,
ApartmentMidRise,F1,openai/gpt-oss-120b,39.66356675424724,5.556513927144337,5,0.14009113102641824,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,12.522035124211826,3.6759279157389733,5,0.2935567485057943,False
ApartmentMidRise,F2,openai/gpt-oss-120b,19.9677014130946,13.077656914223533,5,0.6549405283898801,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,2.3198179182776535,1.5543509468641907,5,0.6700314428203991,False
ApartmentMidRise,F3,openai/gpt-oss-120b,20.304083842649426,7.699424281444327,5,0.3792056977853599,False
ApartmentMidRise,F4,llama-3.3-70b-versatile,3.596036650351133,2.78682974576048,5,0.7749725647229878,False
ApartmentMidRise,F4,openai/gpt-oss-120b,7.534861607138787,8.748183735424284,5,1.161027792087907,False
OfficeMedium,F1,openai/gpt-oss-120b,2932.7902548196803,3951.7570062096324,5,1.347439353944731,False
OfficeMedium,F2,llama-3.3-70b-versatile,21.136292831483935,2.0581285839919117,5,0.09737415167366484,True
OfficeMedium,F2,openai/gpt-oss-120b,40.96378894152969,21.973575063006102,5,0.5364146147313285,False
OfficeMedium,F3,llama-3.3-70b-versatile,37.232771196296866,3.7375956140221014,5,0.10038456698044111,False
OfficeMedium,F3,openai/gpt-oss-120b,34.47547976307068,4.673144230633377,5,0.13554979547055176,False
OfficeMedium,F4,llama-3.3-70b-versatile,27.754017908422053,1.626608912830781,5,0.05860805156925336,True
OfficeMedium,F4,openai/gpt-oss-120b,40.24444966601452,12.506239467828232,5,0.3107568763299416,False
RestaurantFastFood,F1,openai/gpt-oss-120b,153.67229227796295,129.63351848972536,5,0.8435711901482137,False
RestaurantFastFood,F2,llama-3.3-70b-versatile,51.72394006557998,6.356803903282495,5,0.12289867893325222,False
RestaurantFastFood,F2,openai/gpt-oss-120b,43.63329105399308,6.035232508955671,5,0.13831715103698006,False
RestaurantFastFood,F3,llama-3.3-70b-versatile,66.42898973346414,0.28395205426419057,5,0.004274520136517257,True
RestaurantFastFood,F3,openai/gpt-oss-120b,57.289894656580316,8.167171590350772,5,0.14255867704606945,False
RestaurantFastFood,F4,llama-3.3-70b-versatile,53.01694227952642,6.204648412509978,5,0.11703142704452102,False
RestaurantFastFood,F4,openai/gpt-oss-120b,46.86989277259021,7.144290814114353,5,0.15242814505204877,False
RetailStripmall,F1,openai/gpt-oss-120b,1418.6053473882246,1494.8698543931337,5,1.0537601998648312,False
RetailStripmall,F2,llama-3.3-70b-versatile,28.871784284677915,10.436948346228766,5,0.36149301488677277,False
RetailStripmall,F2,openai/gpt-oss-120b,32.87298923899626,9.840711548694058,5,0.2993555431527447,False
RetailStripmall,F3,llama-3.3-70b-versatile,21.01580046962524,17.77886227492371,5,0.8459759741543049,False
RetailStripmall,F3,openai/gpt-oss-120b,9.105231763891485,4.887784933011209,5,0.536810600735573,False
RetailStripmall,F4,llama-3.3-70b-versatile,11.089547989166226,9.210529406303698,5,0.8305594975829305,False
RetailStripmall,F4,openai/gpt-oss-120b,7.265732335962087,6.479855582916858,5,0.8918379157520715,False
SchoolPrimary,F1,openai/gpt-oss-120b,825.2487586837267,1374.0165222200144,5,1.6649725404150542,False
SchoolPrimary,F2,llama-3.3-70b-versatile,21.552634939725237,5.855442092322683,3,0.2716810315164801,
SchoolPrimary,F2,openai/gpt-oss-120b,27.477926024823024,13.504534609383525,5,0.4914684826352539,False
SchoolPrimary,F3,llama-3.3-70b-versatile,62.19536904729125,5.269472256532994,5,0.0847245114427453,True
SchoolPrimary,F3,openai/gpt-oss-120b,23.0461476350266,13.068342944839506,5,0.5670510816730877,False
SchoolPrimary,F4,llama-3.3-70b-versatile,44.19327475586105,6.611820994570122,5,0.1496114743950547,False
SchoolPrimary,F4,openai/gpt-oss-120b,32.541226904018956,17.084124273557602,4,0.5249993899722217,
