building,format,model,true_name,mean,std,n,sti,stable
ApartmentMidRise,F1,llama-3.3-70b-versatile,cooling_cop,181.18609406952964,0.0,5,0.0,True
ApartmentMidRise,F1,llama-3.3-70b-versatile,cooling_setpoint_C,166.25766871165644,90.54017577606511,5,0.544577441014709,False
ApartmentMidRise,F1,llama-3.3-70b-versatile,equipment_W_m2,45.6671664167916,33.88896208403894,5,0.7420859392663812,False
ApartmentMidRise,F1,llama-3.3-70b-versatile,heating_setpoint_C,196.65535627726615,106.33190176012616,5,0.5407017829212232,False
ApartmentMidRise,F1,llama-3.3-70b-versatile,lighting_W_m2,67.60752688172045,0.45082015675398773,5,0.006668194763915841,True
ApartmentMidRise,F1,llama-3.3-70b-versatile,occupancy_m2_person,620.8844464637286,65.66555622801398,5,0.10576131613863851,False
ApartmentMidRise,F1,llama-3.3-70b-versatile,outdoor_air,980.0000000000002,843.8009243891597,5,0.8610213514175097,False
ApartmentMidRise,F1,llama-3.3-70b-versatile,window_shgc,71.19565217391305,0.0,5,0.0,True
ApartmentMidRise,F1,llama-3.3-70b-versatile,window_u_value,85.70835830528792,1.0308736238531204,5,0.012027690697110448,True
ApartmentMidRise,F1,openai/gpt-oss-120b,cooling_cop,23.31288343558282,0.0,5,0.0,True
ApartmentMidRise,F1,openai/gpt-oss-120b,cooling_setpoint_C,1.8404907975460092,0.0,5,0.0,True
ApartmentMidRise,F1,openai/gpt-oss-120b,equipment_W_m2,88.00599700149925,6.704851506745998,5,0.07618630247018024,True
ApartmentMidRise,F1,openai/gpt-oss-120b,heating_setpoint_C,1.793504604944261,0.0,5,0.0,True
ApartmentMidRise,F1,openai/gpt-oss-120b,lighting_W_m2,69.75806451612904,0.0,5,0.0,True
ApartmentMidRise,F1,openai/gpt-oss-120b,occupancy_m2_person,8.508253824019386,1.3952143067240865,5,0.1639836252634237,False
ApartmentMidRise,F1,openai/gpt-oss-120b,outdoor_air,22440.0,43393.87053490389,5,1.9337731967425975,False
ApartmentMidRise,F1,openai/gpt-oss-120b,window_shgc,21.195652173913043,14.8837651495969,5,0.7022084070579051,False
ApartmentMidRise,F1,openai/gpt-oss-120b,window_u_value,57.58609561569314,24.644133070682027,5,0.42795283839257375,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,cooling_cop,15.644171779141104,3.615065343489501,5,0.2310806474465838,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,cooling_setpoint_C,3.231083844580776,1.8199260091032303,5,0.563255581298405,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,equipment_W_m2,19.34032983508246,0.0,5,0.0,True
ApartmentMidRise,F2,llama-3.3-70b-versatile,heating_setpoint_C,3.6160930683470682,1.7238985345919724,5,0.47672958134895954,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,lighting_W_m2,261.55913978494624,0.0,5,0.0,True
ApartmentMidRise,F2,llama-3.3-70b-versatile,occupancy_m2_person,35.94426775708011,20.816695307613177,5,0.5791381103740196,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,outdoor_air,233.3333333333334,0.0,5,0.0,True
ApartmentMidRise,F2,llama-3.3-70b-versatile,window_shgc,36.41304347826086,13.367797691574825,5,0.3671156380969804,False
ApartmentMidRise,F2,llama-3.3-70b-versatile,window_u_value,18.399336130192236,0.0,5,0.0,True
ApartmentMidRise,F2,openai/gpt-oss-120b,cooling_cop,17.177914110429445,6.416104497960702,5,0.37350894041699806,False
ApartmentMidRise,F2,openai/gpt-oss-120b,cooling_setpoint_C,1.8404907975460092,0.0,5,0.0,True
ApartmentMidRise,F2,openai/gpt-oss-120b,equipment_W_m2,23.47826086956522,3.375145263029735,5,0.14375618712904426,False
ApartmentMidRise,F2,openai/gpt-oss-120b,heating_setpoint_C,1.793504604944261,0.0,5,0.0,True
ApartmentMidRise,F2,openai/gpt-oss-120b,lighting_W_m2,249.46236559139788,30.054677116932663,5,0.12047780051184212,False
ApartmentMidRise,F2,openai/gpt-oss-120b,occupancy_m2_person,9.132212630622446,0.0,5,0.0,True
ApartmentMidRise,F2,openai/gpt-oss-120b,outdoor_air,1566.6666666666667,0.0,5,0.0,True
ApartmentMidRise,F2,openai/gpt-oss-120b,window_shgc,20.000000000000007,21.23880779426518,5,1.0619403897132587,False
ApartmentMidRise,F2,openai/gpt-oss-120b,window_u_value,41.09815130699368,24.49989305869351,5,0.5961312681849112,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,cooling_cop,10.42944785276074,4.200326361235934,5,0.40273717463615116,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,cooling_setpoint_C,1.5132924335378304,0.7316377840490083,5,0.4834741572972507,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,equipment_W_m2,25.337331334332834,1.6423464992658645,5,0.06481923757457583,True
ApartmentMidRise,F3,llama-3.3-70b-versatile,heating_setpoint_C,2.4721279689772118,1.3006696912262503,5,0.5261336417646589,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,lighting_W_m2,152.01612903225808,23.760308507612482,5,0.15630123368402904,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,occupancy_m2_person,18.400726942298956,8.052615613367186,5,0.4376248633338562,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,outdoor_air,620.0000000000002,159.16448515084434,5,0.2567169115336198,False
ApartmentMidRise,F3,llama-3.3-70b-versatile,window_shgc,14.130434782608694,0.0,5,0.0,True
ApartmentMidRise,F3,llama-3.3-70b-versatile,window_u_value,10.183947259231951,3.7876715516008943,5,0.3719256841365998,False
ApartmentMidRise,F3,openai/gpt-oss-120b,cooling_cop,15.030674846625768,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,cooling_setpoint_C,1.5132924335378304,0.7316377840490083,5,0.4834741572972507,False
ApartmentMidRise,F3,openai/gpt-oss-120b,equipment_W_m2,44.94752623688156,11.130053501198354,5,0.24762327169110415,False
ApartmentMidRise,F3,openai/gpt-oss-120b,heating_setpoint_C,3.053805138148323,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,lighting_W_m2,81.45161290322581,50.96018443583031,5,0.6256497891131642,False
ApartmentMidRise,F3,openai/gpt-oss-120b,occupancy_m2_person,9.132212630622446,0.0,5,0.0,True
ApartmentMidRise,F3,openai/gpt-oss-120b,outdoor_air,1033.3333333333335,182.57418583505535,5,0.17668469596940836,False
ApartmentMidRise,F3,openai/gpt-oss-120b,window_shgc,8.695652173913052,0.0,5,0.0,True
