building,climate,source,source_type,format,model,seed,window_u_value,window_shgc,lighting_W_m2,equipment_W_m2,occupancy_m2_person,outdoor_air,cooling_cop,heating_setpoint_C,cooling_setpoint_C,tag,round_trip_ok,energyplus_ok,duration_s
ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799867,llm,F1,llama-3.3-70b-versatile,1542799867.0,0.3,0.63,0.97,4.99,240.0,0.0012,11.0,72.0,75.0,ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799867,False,,1.0
ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799868,llm,F1,llama-3.3-70b-versatile,1542799868.0,0.3,0.63,0.97,5.41,250.0,0.0012,11.0,22.0,25.5,ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799868,True,True,685.3
ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799869,llm,F1,llama-3.3-70b-versatile,1542799869.0,0.35,0.63,0.94,1.16,250.0,0.0018,11.0,70.0,75.0,ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799869,False,,0.6
ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799870,llm,F1,llama-3.3-70b-versatile,1542799870.0,0.3,0.63,0.97,5.41,200.0,0.006,11.0,70.0,75.0,ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799870,False,,0.6
ApartmentMidRise,5A,F1_llama-3.3-70b-versatile_seed1542799871,llm,F1,llama-3.3-70b-versatile,1542799871.0,0.3,0.63,0.97,1.15,250.0,0.006,11.0,72.0,75.0,ApartmentMidRise_5A_F1_llama-3.3-70b-versatile_seed1542799871,False,,0.7
ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,1.5,0.35,0.9,0.5,30.0,0.0018,3.0,21.0,24.0,ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799867,True,True,462.0
ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,1.2,0.35,0.9,0.5,30.0,0.018,3.0,21.0,24.0,ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799868,True,True,480.2
ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,1.2,0.25,0.9,1.5,30.0,0.3,3.0,21.0,24.0,ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799869,True,True,476.4
ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,0.35,0.25,0.9,0.5,35.0,0.018,3.0,21.0,24.0,ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799870,True,True,483.7
ApartmentMidRise,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,0.35,0.25,0.9,1.0,30.0,0.0003,3.0,21.0,24.0,ApartmentMidRise_5A_F1_gpt-oss-120b_seed1542799871,True,True,486.4
ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,1.77,0.48,10.76,5.38,40.87,0.001,3.1,20.0,23.0,ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799867,True,True,681.4
ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,1.77,0.48,10.76,5.38,40.87,0.001,3.2,21.1,23.9,ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799868,True,True,685.6
