comparison,p_raw,p_fdr,reject_fdr
GSO F1 vs F2,8.935733374563451e-27,2.5317911227929778e-26,True
GSO F1 vs F3,1.9907702278228186e-29,6.768618774597583e-29,True
GSO F1 vs F4,7.63872704242166e-33,4.328611990705607e-32,True
GSO F4 vs lobo_median_loo,0.00565332940118862,0.006864757130014753,True
GSO F4 vs global_constant,0.005006715309844886,0.0065472430974894665,True
GSO F4 vs uniform_random,0.00019973548476031981,0.00028295860341045304,True
GSO F4 vs range_midpoint,0.08743347889258325,0.09909127607826103,False
K4-energy ANOVA: C(Unit),2.5351606776268676e-08,4.309773151965675e-08,True
K4-energy ANOVA: C(Range),1.7091309725187774e-10,3.2283585036465794e-10,True
K4-energy ANOVA: C(building),1.5843080455155957e-13,3.366654596720641e-13,True
K4-energy ANOVA: C(model),0.7499390849347232,0.7499390849347232,False
K4-energy ANOVA: C(Unit):C(Range),4.635969471070803e-07,7.164680091654877e-07,True
K4-GSO ANOVA: C(Unit),1.9474222283405205e-29,6.768618774597583e-29,True
K4-GSO ANOVA: C(Range),1.1816621522165091e-41,1.0044128293840327e-40,True
K4-GSO ANOVA: C(building),0.18839580058473787,0.200170538121284,False
K4-GSO ANOVA: C(true_name),6.829514791375085e-237,1.1610175145337644e-235,True
K4-GSO ANOVA: C(Unit):C(Range),1.407127772622545e-26,3.4173103049404663e-26,True
