building,format,model,seed,climate,param_id,true_name,value,ref_value,gso_pct,range_lo,range_hi,range_width,dist_to_midpoint_pct,dist_to_lobo_median_pct,dist_to_reference_pct,midpoint_sticky
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,2.25,2.0612,9.1597127886668,1.954957,3.563643,1.6086859999999998,31.659379145464072,10.325197086317663,11.736286633936025,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.42,0.378,11.111111111111107,0.3601,0.4865,0.1264,2.6107594936709058,33.227848101265806,33.227848101265806,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,7.5,6.664,12.545018007202884,2.461071,10.699929,8.238857999999999,11.160527344930577,3.362116448663154,10.147037368528508,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,5.0,8.158,38.71046825202255,0.246143,43.315857,43.069714000000005,38.962413356169485,19.10623321065006,7.332298514914679,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,25.0,18.579,34.560525324290865,2.682357,56.020643,53.338286,8.15830489941128,13.406880003605664,12.038257097350296,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.0025,0.000432,478.7037037037037,0.0,0.00716,0.00716,15.083798882681561,19.86033519553073,28.88268156424581,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,4.5,3.399,32.3918799646955,3.111786,6.907214,3.795428,13.424045983746764,15.49232392236133,29.008586119931667,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,20.0,20.53,2.5815879201169074,18.088571,21.311429,3.2228579999999987,9.308508162630723,31.028360542102707,16.44503108731447,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,24.5,25.65,4.483430799220268,22.740714,26.249286,3.508572000000001,0.14250812011265562,1.42508120112686,32.776867625917276,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,2.25,2.0612,9.1597127886668,1.954957,3.563643,1.6086859999999998,31.659379145464072,10.325197086317663,11.736286633936025,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.42,0.378,11.111111111111107,0.3601,0.4865,0.1264,2.6107594936709058,33.227848101265806,33.227848101265806,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,0.9,6.664,86.49459783913565,2.461071,10.699929,8.238857999999999,68.94766240661025,76.74607330287766,69.9611523830123,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,5.0,8.158,38.71046825202255,0.246143,43.315857,43.069714000000005,38.962413356169485,19.10623321065006,7.332298514914679,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,25.0,18.579,34.560525324290865,2.682357,56.020643,53.338286,8.15830489941128,13.406880003605664,12.038257097350296,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.0018,0.000432,316.66666666666663,0.0,0.00716,0.00716,24.860335195530723,10.083798882681565,19.106145251396647,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,4.3,3.399,26.507796410709027,3.111786,6.907214,3.795428,18.693543916522728,10.222825989585361,23.739088187155698,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,21.1,20.53,2.776424744276669,18.088571,21.311429,3.2228579999999987,43.43970475894374,3.1028360542103144,17.68616550899855,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,23.9,25.65,6.822612085769982,22.740714,26.249286,3.508572000000001,16.95846629340946,15.675893212395259,49.87784203943939,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,2.45,2.0612,18.862798369881638,1.954957,3.563643,1.6086859999999998,19.226872117989462,22.757704113792272,24.168793661410636,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.42,0.378,11.111111111111107,0.3601,0.4865,0.1264,2.6107594936709058,33.227848101265806,33.227848101265806,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,7.5,6.664,12.545018007202884,2.461071,10.699929,8.238857999999999,11.160527344930577,3.362116448663154,10.147037368528508,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,5.0,8.158,38.71046825202255,0.246143,43.315857,43.069714000000005,38.962413356169485,19.10623321065006,7.332298514914679,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,25.0,18.579,34.560525324290865,2.682357,56.020643,53.338286,8.15830489941128,13.406880003605664,12.038257097350296,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.0025,0.000432,478.7037037037037,0.0,0.00716,0.00716,15.083798882681561,19.86033519553073,28.88268156424581,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,4.5,3.399,32.3918799646955,3.111786,6.907214,3.795428,13.424045983746764,15.49232392236133,29.008586119931667,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,20.0,20.53,2.5815879201169074,18.088571,21.311429,3.2228579999999987,9.308508162630723,31.028360542102707,16.44503108731447,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691,22.740714,26.249286,3.508572000000001,14.108303891155744,12.82573081014154,47.02767963718568,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,2.25,2.0612,9.1597127886668,1.954957,3.563643,1.6086859999999998,31.659379145464072,10.325197086317663,11.736286633936025,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.42,0.378,11.111111111111107,0.3601,0.4865,0.1264,2.6107594936709058,33.227848101265806,33.227848101265806,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,7.5,6.664,12.545018007202884,2.461071,10.699929,8.238857999999999,11.160527344930577,3.362116448663154,10.147037368528508,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,5.0,8.158,38.71046825202255,0.246143,43.315857,43.069714000000005,38.962413356169485,19.10623321065006,7.332298514914679,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,20.0,18.579,7.648420259432689,2.682357,56.020643,53.338286,17.53243439431106,4.0327505087058855,2.6641276024505163,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.0025,0.000432,478.7037037037037,0.0,0.00716,0.00716,15.083798882681561,19.86033519553073,28.88268156424581,False
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,4.5,3.399,32.3918799646955,3.111786,6.907214,3.795428,13.424045983746764,15.49232392236133,29.008586119931667,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,20.0,20.53,2.5815879201169074,18.088571,21.311429,3.2228579999999987,9.308508162630723,31.028360542102707,16.44503108731447,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691,22.740714,26.249286,3.508572000000001,14.108303891155744,12.82573081014154,47.02767963718568,True
OfficeMedium,F3,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,2.25,2.0612,9.1597127886668,1.954957,3.563643,1.6086859999999998,31.659379145464072,10.325197086317663,11.736286633936025,False
