Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,112216187.1571487,112216187.15714866 
 01/01  02:00:00,,,119290919.8546218,119290919.85462174 
 01/01  03:00:00,,,123735616.6022799,123735616.60227981 
 01/01  04:00:00,,,117406600.69606559,117406600.69606555 
 01/01  05:00:00,,,128307869.6922301,128307869.69223008 
 01/01  06:00:00,,,158458452.4507046,158458452.45070457 
 01/01  07:00:00,,,205236369.38247484,205236369.3824749 
 01/01  08:00:00,,,208674148.25231576,208674148.25231582 
 01/01  09:00:00,,,220323387.68313172,220323387.68313175 
 01/01  10:00:00,,,188652502.58119345,188652502.58119357 
 01/01  11:00:00,,,207962212.5331936,207962212.5331937 
 01/01  12:00:00,,,180615979.65795782,180615979.65795794 
 01/01  13:00:00,,,171332146.47313246,171332146.47313255 
 01/01  14:00:00,,,168374543.90616858,168374543.90616855 
 01/01  15:00:00,,,167155425.45401028,167155425.4540103 
 01/01  16:00:00,,,167948128.91290388,167948128.91290396 
 01/01  17:00:00,,,205219984.10216728,205219984.10216737 
 01/01  18:00:00,,,274259541.9979912,274259541.9979913 
 01/01  19:00:00,,,277389460.0274281,277389460.0274282 
 01/01  20:00:00,,,267167110.0671112,267167110.0671113 
 01/01  21:00:00,,,252584008.5124602,252584008.5124603 
 01/01  22:00:00,,,225277753.0341395,225277753.03413957 
 01/01  23:00:00,,,218608794.51011896,218608794.51011905 
 01/01  24:00:00,,,195640032.17101735,195640032.17101735 
 01/02  01:00:00,,,118644944.9234696,118644944.92346954 
 01/02  02:00:00,,,128236030.42945628,128236030.42945623 
 01/02  03:00:00,,,102350667.19277415,102350667.19277407 
 01/02  04:00:00,,,106522008.95039758,106522008.95039754 
 01/02  05:00:00,,,114109404.62101972,114109404.62101966 
 01/02  06:00:00,,,140909296.2932807,140909296.29328063 
 01/02  07:00:00,,,218079070.2218058,218079070.22180593 
 01/02  08:00:00,,,228886525.3916102,228886525.39161026 
 01/02  09:00:00,,,240845833.1038543,240845833.1038544 
 01/02  10:00:00,,,219889357.9733611,219889357.97336113 
 01/02  11:00:00,,,228908113.80085108,228908113.80085126 
 01/02  12:00:00,,,222634681.84525704,222634681.84525716 
 01/02  13:00:00,,,214700438.6554223,214700438.65542242 
 01/02  14:00:00,,,169494183.65645865,169494183.6564586 
 01/02  15:00:00,,,156949818.26289335,156949818.26289338 
 01/02  16:00:00,,,170667366.85017887,170667366.85017893 
 01/02  17:00:00,,,194004106.63077056,194004106.63077062 
 01/02  18:00:00,,,260744320.69780242,260744320.69780257 
 01/02  19:00:00,,,323201567.27114654,323201567.2711466 
 01/02  20:00:00,,,310523967.0628164,310523967.0628165 
 01/02  21:00:00,,,285956161.00753105,285956161.0075311 
 01/02  22:00:00,,,270845449.1507611,270845449.15076125 
 01/02  23:00:00,,,223161498.15795276,223161498.15795287 
 01/02  24:00:00,,,163863138.75270724,163863138.75270727 
 01/03  01:00:00,,,115504267.71351157,115504267.71351151 
 01/03  02:00:00,,,112733525.12500508,112733525.12500504 
 01/03  03:00:00,,,94504323.80764394,94504323.80764388 
 01/03  04:00:00,,,100245144.54906842,100245144.54906836 
 01/03  05:00:00,,,104691506.94637251,104691506.94637245 
 01/03  06:00:00,,,133737594.6619215,133737594.66192141 
 01/03  07:00:00,,,210830154.72780874,210830154.72780883 
 01/03  08:00:00,,,236869296.02776998,236869296.02777004 
 01/03  09:00:00,,,227869305.17115018,227869305.17115027 
 01/03  10:00:00,,,224326051.75347984,224326051.75347987 
 01/03  11:00:00,,,223239996.68938315,223239996.6893832 
 01/03  12:00:00,,,239094984.9747292,239094984.97472936 
 01/03  13:00:00,,,206122991.53485063,206122991.53485072 
 01/03  14:00:00,,,170241423.53800434,170241423.5380044 
 01/03  15:00:00,,,179161932.44681224,179161932.4468123 
 01/03  16:00:00,,,190392412.38025612,190392412.3802562 
 01/03  17:00:00,,,220635168.4475153,220635168.44751537 
 01/03  18:00:00,,,275747389.77160496,275747389.771605 
 01/03  19:00:00,,,333926544.1273257,333926544.1273258 
 01/03  20:00:00,,,320070973.632622,320070973.63262206 
 01/03  21:00:00,,,293988033.0979157,293988033.09791577 
 01/03  22:00:00,,,259550238.13617504,259550238.13617504 
 01/03  23:00:00,,,225237607.54374877,225237607.5437489 
 01/03  24:00:00,,,167345455.1919962,167345455.1919962 
 01/04  01:00:00,,,132866176.56327465,132866176.56327458 
 01/04  02:00:00,,,104536184.365882,104536184.36588195 
 01/04  03:00:00,,,107988853.29546224,107988853.29546218 
 01/04  04:00:00,,,112158112.78785403,112158112.78785396 
 01/04  05:00:00,,,108908277.72338815,108908277.72338809 
 01/04  06:00:00,,,142859629.05263835,142859629.05263826 
 01/04  07:00:00,,,219594766.87186298,219594766.87186304 
 01/04  08:00:00,,,248566678.483983,248566678.4839831 
 01/04  09:00:00,,,227390734.11795858,227390734.11795864 
 01/04  10:00:00,,,231746602.11987457,231746602.1198746 
 01/04  11:00:00,,,205990399.41524696,205990399.41524708 
 01/04  12:00:00,,,178141087.47431788,178141087.47431797 
 01/04  13:00:00,,,178341827.27408066,178341827.27408075 
 01/04  14:00:00,,,176259926.25202212,176259926.25202224 
 01/04  15:00:00,,,161560183.34129566,161560183.34129578 
 01/04  16:00:00,,,178430986.16031748,178430986.1603176 
