Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,113882879.47982828,113882879.47982821 
 01/01  02:00:00,,,121181424.42740268,121181424.42740263 
 01/01  03:00:00,,,125676854.72574992,125676854.72574988 
 01/01  04:00:00,,,119390903.40931514,119390903.40931506 
 01/01  05:00:00,,,130453036.37403052,130453036.37403046 
 01/01  06:00:00,,,160907594.67156187,160907594.67156184 
 01/01  07:00:00,,,206010971.91984975,206010971.9198498 
 01/01  08:00:00,,,209124222.63242775,209124222.6324279 
 01/01  09:00:00,,,221743974.55942523,221743974.55942538 
 01/01  10:00:00,,,189097740.8840494,189097740.88404948 
 01/01  11:00:00,,,209951948.86779773,209951948.86779785 
 01/01  12:00:00,,,181174221.69509518,181174221.6950953 
 01/01  13:00:00,,,172127613.5457547,172127613.54575482 
 01/01  14:00:00,,,169716224.61899728,169716224.61899725 
 01/01  15:00:00,,,167945888.14351398,167945888.14351398 
 01/01  16:00:00,,,169984925.31799293,169984925.31799302 
 01/01  17:00:00,,,206362164.1441334,206362164.1441335 
 01/01  18:00:00,,,276212650.7576133,276212650.7576134 
 01/01  19:00:00,,,279047608.23214483,279047608.23214495 
 01/01  20:00:00,,,268739297.27420175,268739297.27420187 
 01/01  21:00:00,,,254754320.20508042,254754320.2050805 
 01/01  22:00:00,,,227134407.4050143,227134407.4050144 
 01/01  23:00:00,,,221036277.64410865,221036277.64410877 
 01/01  24:00:00,,,198403446.461298,198403446.461298 
 01/02  01:00:00,,,120819962.83154294,120819962.8315429 
 01/02  02:00:00,,,130159812.67757708,130159812.67757702 
 01/02  03:00:00,,,104098257.5461164,104098257.54611634 
 01/02  04:00:00,,,108157136.83855446,108157136.83855438 
 01/02  05:00:00,,,115704740.40707755,115704740.40707748 
 01/02  06:00:00,,,142651626.1571554,142651626.15715533 
 01/02  07:00:00,,,219879618.25201318,219879618.2520132 
 01/02  08:00:00,,,230761700.5003721,230761700.5003722 
 01/02  09:00:00,,,242708197.58868825,242708197.5886883 
 01/02  10:00:00,,,221653446.15651947,221653446.15651956 
 01/02  11:00:00,,,231719832.0221799,231719832.02217996 
 01/02  12:00:00,,,225272784.35659313,225272784.35659322 
 01/02  13:00:00,,,217326692.0730185,217326692.07301855 
 01/02  14:00:00,,,169881068.77776653,169881068.77776647 
