Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,144002.5020816336,2870830440.0395746,496881.989920252,2164140596.8386292,30751745.97944847,2117111045.9272563,438089.3798272671,2172248836.7261457,455610.08358806936,2300679361.48857,454742.15033413726,2301535120.8774676,93136.61269025889,3061940003.7524962,91329.4919084678,3024697854.6524935,101926.11310922996,3770757568.023003,295747.39697589463,2958878849.9099083,48423.52329827889,3785333773.9273562,302600.49484971265,2969649369.2149553,354702.16049685096,2910386138.3322597,354578.7832568925,2911769211.62331,67702.62241884497,3759389113.3336716,67570.08184297696,3760210706.112806,99844.14999528736,3481581038.9983816,276491.025569422,2648704175.7898183,46427.24785438301,3491820089.842134,260659.23887824328,2653647194.105363,313075.8935514907,2622715430.2553425,310787.4980936406,2625506247.968607,69835.16583468701,3487747366.57964,69240.22752548396,3489348401.1266885,0.0,0.0,0.0,0.0,0.0,0.0,168523579846.30832,6897316.3841846995 
February,150208.7297996705,2730034774.6957088,441857.65202517307,2093690707.7548227,24236689.218649242,2031184906.9941504,435795.3799899177,2102371924.5106087,466084.47235648514,2162580439.714953,465895.5950489158,2163442024.544232,111446.8161166808,2853053321.114805,105062.37903653392,2829717456.986502,92804.72885844896,3646772697.9883285,250951.67579527086,2951985379.112566,64291.465241054495,3656398633.040362,260804.2929406733,2963598329.3788147,326502.12144681416,2794454343.6748967,328201.7994877515,2796247503.5744658,81411.15714828191,3524019063.3218484,81381.25689099573,3524710365.245473,95857.75042584656,3424090753.415281,201410.43185447645,2713841923.0911717,66053.33446860628,3430656069.6268477,199823.2010095171,2719858614.352961,289088.9359004521,2594139931.509983,290751.08171795844,2596224991.855488,85449.87173925592,3331926453.3376184,84366.15565552202,3332894830.187858,0.0,0.0,0.0,0.0,0.0,0.0,155088889752.14044,0.0 
March,345268.23627191834,2638946672.7706785,603831.7739012253,2323227903.400455,80124051.02730012,1967248105.5401309,553907.8834322136,2308050568.2423716,583164.9763137548,2370478965.562103,583068.8366335138,2370573449.694337,276753.08545952244,2738883634.7739205,277354.90600564994,2719946906.0653534,181584.98299829636,3934487449.226989,351532.39106587274,3573907522.9267654,123182.47284963357,3924472586.6087832,359838.5619335301,3564201165.5271044,428059.6192529003,3256730304.671136,426861.13091088855,3258044200.5914416,173150.8636574461,3658482949.959993,173009.10980049535,3659038672.215142,182893.75209725497,3793299212.224894,298884.37816112867,3427009387.014224,124736.50223430229,3776938218.3701396,285635.67339383264,3408215806.260646,368237.7572656408,3147567160.0268884,366787.1605744905,3149565991.535584,169381.42744992577,3537895608.5642095,164520.8880157541,3539842744.606173,0.0,0.0,0.0,0.0,0.0,0.0,172116910430.3195,0.0 
April,308915.3529826799,2975926110.554585,430782.53806927253,2903815004.546498,250970923.93861866,1750465837.8588536,378877.67422930524,2886290703.6057477,437277.20029275876,2771827026.9728494,437022.35531455756,2772229820.762185,297040.5117193841,2885130747.8184338,298083.68738578877,2955355157.828308,180197.26773541424,4294786430.2940397,241485.7683197602,4196247949.505855,141731.62883491363,4276519647.7534456,225696.20895425472,4177096114.9415126,316019.80675038166,3637129311.7765317,313310.5508763025,3638731561.1020308,194067.1365669669,3773162743.170961,193807.35192666634,3773937489.3677216,176271.03892978272,4433283867.993675,193560.63030349152,4357102769.906313,121436.64743049021,4405038633.931766,174445.9787934111,4322073001.736454,251586.71384820572,3800848665.2573776,251171.83735716844,3802473822.8403397,189094.37576010934,3913854176.8458714,185777.82908396702,3915117278.5876536,0.0,0.0,0.0,0.0,0.0,0.0,174660062678.3717,0.0 
May,262139.710921411,2984248610.8473744,367340.6308720947,3275044729.0242257,361961577.174245,1927771116.410809,269993.39170661976,3335594488.894227,275953.4768946908,3127644463.626207,276861.531986412,3131388532.694361,234435.22291061087,2872109673.7142787,225497.25493468574,2966127978.5738654,158136.46763069322,4381798241.22141,250379.17246830647,4662440856.877965,94163.09483465282,4451592211.948441,182274.52175834763,4733231964.478546,257209.4199777802,4051586371.4523845,253602.22031891308,4055493499.6950045,166815.7612658063,3806355459.923353,157788.31836519975,3809935556.285892,131728.83925157692,4662638221.375121,199554.44417292974,4967955210.124207,82535.11563841505,4729740745.029821,104776.82711076654,5035460462.802206,181835.1741419753,4354248271.294081,178624.0956105785,4358782773.695839,134874.76692074793,4085170821.6243687,130877.00899865186,4089467352.937068,0.0,0.0,0.0,0.0,0.0,0.0,186930267589.40576,0.0 
June,163210.56424695687,3353764185.293841,182264.15871405238,3744681878.1430287,423619176.4933764,2217178660.087492,118951.4734891736,3834640941.52385,117427.70104818119,3495017556.345728,115753.9099596004,3499435047.9131145,144717.17260252615,3144561906.329714,135481.3181637808,3282570621.238375,107531.32957001321,4434539512.419475,126521.15594456882,4811571973.876174,87968.2452783493,4530377826.264021,109897.83764700837,4908152072.523238,152663.78809207983,4187800314.0125294,149335.61135491845,4191610945.3136396,122142.52185384277,3844646237.0694647,120718.8202610237,3848449098.8059154,115564.04259489877,4810135619.697697,123531.33844027919,5231384174.464247,84471.95158140617,4905990191.367672,78886.66226671872,5327943632.713136,124130.39966906015,4595397066.047648,123956.23151562318,4599879723.435673,115995.74152997285,4212094100.3264775,115934.4013608516,4216584875.151835,0.0,0.0,0.0,0.0,0.0,0.0,185068390584.1942,0.0 
July,139800.61267306824,3892357813.5244603,60545.331469061915,4217521598.3169775,429688785.2428838,2264580394.2453094,45681.84885616734,4288867479.106956,41212.06652474338,3832116357.497331,41141.35448465784,3835559108.7427278,124596.96847444779,3549480096.139582,118927.29579402602,3735018465.5556,130959.01763573775,4800394932.237215,57979.118830336505,5117837348.596926,118903.26929270463,4873595149.314687,46941.26787313428,5191833265.873041,60445.10045546615,4398879531.892794,60338.918972925996,4401767985.078114,134900.1925707752,4114514599.611525,134796.46795555635,4117487388.7549934,132487.1823354187,5241710206.448646,52442.8619675309,5604318936.522072,114831.40492665328,5311573602.745387,37701.46692548277,5675175846.177625,51980.40628726859,4861055832.664641,47798.605779562975,4864342412.67932,126764.63438008026,4535182268.789436,126726.71485950619,4538551831.818536,0.0,0.0,0.0,0.0,0.0,0.0,195897959727.84558,0.0 
August,103275.29961935643,4212192969.330679,53797.759464056406,4417606569.471739,372787411.19895715,2732810780.4369073,23004.712973764625,4397622751.746343,22841.807636867292,3913611603.1662536,22799.028103101853,3913049725.8703685,97397.77041686307,3757489445.714989,94049.01899482979,3932817803.349418,86045.7531450274,4878432248.350348,57873.08831367353,5054364486.091748,89602.38151196015,4854297651.809882,38301.451999410405,5030683847.976336,48786.01829693095,4307331904.710986,48624.21234324245,4306828224.709991,99127.61397414141,4169802429.383736,99094.16390530806,4169277264.0525055,88601.14545612235,5293989873.166563,50061.80012313156,5497475366.961671,86879.27701046437,5262858479.526399,32180.58959401516,5466907786.015925,35578.06217005418,4728390523.576538,30626.38596162393,4727692407.694047,100312.07460374976,4567549361.844835,100328.00232083496,4566856154.039486,0.0,0.0,0.0,0.0,0.0,0.0,194668807711.23627,0.0 
September,164688.01494764833,4217400436.6243815,268059.9573478614,4073332694.4939623,189451293.9916696,2474154687.392339,192765.41980268585,4111455610.069705,174913.93008475116,3674687425.1053944,174621.25395723458,3676460792.656503,143117.1774056069,3864433549.654849,131608.65340438194,4037574444.0711336,150358.1994022788,4642333986.101436,235797.49358837813,4465527441.816205,134150.81567073066,4683900924.325894,210381.56869752085,4507518679.881176,257224.9436439138,3919509280.8830295,256304.35204301984,3921179195.3345137,150367.20552698727,4127831007.7712736,150314.5089590394,4129454239.74922,146582.4001419295,4925481449.373242,223896.97833346,4774041046.795138,140563.18144866594,4966762520.309172,184207.36229223714,4815471536.742488,233583.26957746936,4219282889.321981,233310.68443412526,4221385334.4236927,147262.04197898737,4406431652.013324,147285.16222179285,4408480387.272288,0.0,0.0,0.0,0.0,0.0,0.0,185241438310.97772,0.0 
October,162778.955349384,4341621215.055988,376011.94042358047,3884941418.9424047,87694298.93579783,2752956019.5322137,263542.7030511291,3912049846.4654393,300530.7600700269,3536781235.0304418,296988.37303158303,3538846796.7670064,138045.98723367447,4044016201.510727,109137.12422131063,4193564161.0255113,156599.2111812048,4668666594.704382,331904.18243450875,4161521868.006195,115696.68536304776,4696670444.071307,277985.8840430701,4188374746.4231877,350502.7603071622,3721013231.7999635,349535.8016242388,3723376918.4695706,140288.3851318234,4263300604.526301,139769.39383253,4265085772.4945703,157267.03636530004,4803161843.451921,294077.12578421645,4289994593.8269105,113479.7059970958,4828284441.437116,213038.1153335705,4311481910.218183,308705.70797318994,3851998902.8002725,308052.94307515654,3854746716.923922,142511.3752782598,4405542836.002287,139927.62746576927,4407826179.068335,0.0,0.0,0.0,0.0,0.0,0.0,184679462654.1683,0.0 
