Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,56396211.442782536,56396211.44278255 
 01/01  02:00:00,,,74528877.30383766,74528877.30383767 
 01/01  03:00:00,,,53456491.06573117,53456491.06573118 
 01/01  04:00:00,,,59718398.28637173,59718398.286371745 
 01/01  05:00:00,,,70365415.9383832,70365415.9383832 
 01/01  06:00:00,,,95268943.30302814,95268943.30302806 
 01/01  07:00:00,,,162426847.75778037,162426847.75778034 
 01/01  08:00:00,,,166293607.90864557,166293607.9086455 
 01/01  09:00:00,,,166195381.27982533,166195381.27982527 
 01/01  10:00:00,,,141578285.93321934,141578285.93321937 
 01/01  11:00:00,,,127789376.78577913,127789376.78577906 
 01/01  12:00:00,,,133475609.93724331,133475609.93724328 
 01/01  13:00:00,,,113119145.62188807,113119145.62188804 
 01/01  14:00:00,,,102300987.7654969,102300987.7654969 
 01/01  15:00:00,,,109071870.36542429,109071870.36542428 
 01/01  16:00:00,,,114193712.37102541,114193712.37102531 
 01/01  17:00:00,,,138684597.90269542,138684597.9026954 
 01/01  18:00:00,,,161517887.7508458,161517887.75084576 
 01/01  19:00:00,,,199112255.45044655,199112255.45044646 
 01/01  20:00:00,,,193055091.93709707,193055091.93709707 
 01/01  21:00:00,,,186984980.6670598,186984980.66705978 
 01/01  22:00:00,,,155601001.6124717,155601001.61247164 
 01/01  23:00:00,,,132804266.20406981,132804266.20406973 
 01/01  24:00:00,,,93880082.07109024,93880082.07109016 
 01/02  01:00:00,,,76566629.70145933,76566629.70145933 
 01/02  02:00:00,,,61659612.4307127,61659612.43071272 
 01/02  03:00:00,,,66820114.817383915,66820114.81738393 
 01/02  04:00:00,,,53191376.05542642,53191376.05542642 
 01/02  05:00:00,,,64667930.67022008,64667930.67022006 
 01/02  06:00:00,,,108928964.77277613,108928964.77277607 
 01/02  07:00:00,,,162870511.9952461,162870511.99524602 
 01/02  08:00:00,,,166624988.2473181,166624988.247318 
 01/02  09:00:00,,,156955076.07886344,156955076.07886344 
 01/02  10:00:00,,,137597576.83519366,137597576.83519363 
 01/02  11:00:00,,,141638422.25164425,141638422.2516442 
 01/02  12:00:00,,,120044621.6054391,120044621.60543905 
 01/02  13:00:00,,,111696828.06806564,111696828.0680656 
 01/02  14:00:00,,,117330944.83411424,117330944.83411425 
 01/02  15:00:00,,,101970152.65620369,101970152.65620366 
 01/02  16:00:00,,,121641804.90870307,121641804.908703 
 01/02  17:00:00,,,131393338.62821501,131393338.62821496 
 01/02  18:00:00,,,169196963.8356065,169196963.8356064 
 01/02  19:00:00,,,191428163.5141076,191428163.51410758 
 01/02  20:00:00,,,196804584.01881796,196804584.01881802 
 01/02  21:00:00,,,186853618.48674798,186853618.4867479 
 01/02  22:00:00,,,155445487.9806303,155445487.98063028 
 01/02  23:00:00,,,136941990.21356183,136941990.21356174 
 01/02  24:00:00,,,93834094.2299731,93834094.22997305 
 01/03  01:00:00,,,76719188.22923368,76719188.2292337 
 01/03  02:00:00,,,54593490.807555,54593490.80755502 
 01/03  03:00:00,,,60465861.5029681,60465861.502968125 
 01/03  04:00:00,,,66267248.90362486,66267248.90362486 
 01/03  05:00:00,,,64923720.390483424,64923720.3904834 
 01/03  06:00:00,,,96004590.41360928,96004590.41360922 
 01/03  07:00:00,,,176972153.56343764,176972153.56343764 
 01/03  08:00:00,,,167172685.29526097,167172685.29526088 
 01/03  09:00:00,,,155817415.7028121,155817415.70281208 
 01/03  10:00:00,,,145156765.12689364,145156765.12689358 
 01/03  11:00:00,,,145098130.9427558,145098130.94275573 
 01/03  12:00:00,,,123486217.94640519,123486217.94640514 
 01/03  13:00:00,,,113331762.78830534,113331762.78830525 
 01/03  14:00:00,,,113512895.92536896,113512895.92536895 
 01/03  15:00:00,,,111222476.9468628,111222476.94686279 
 01/03  16:00:00,,,108874231.99706003,108874231.99705996 
 01/03  17:00:00,,,137914711.93242908,137914711.93242902 
 01/03  18:00:00,,,183723832.15816107,183723832.15816098 
 01/03  19:00:00,,,192215220.01488402,192215220.014884 
 01/03  20:00:00,,,193654783.16518402,193654783.1651841 
 01/03  21:00:00,,,177688036.7911726,177688036.79117253 
 01/03  22:00:00,,,169320823.12178174,169320823.12178165 
 01/03  23:00:00,,,137434121.60336718,137434121.6033671 
 01/03  24:00:00,,,94356894.19372359,94356894.19372353 
 01/04  01:00:00,,,73480960.21903017,73480960.2190302 
 01/04  02:00:00,,,58959217.24213173,58959217.24213175 
 01/04  03:00:00,,,61101684.58433581,61101684.58433581 
 01/04  04:00:00,,,66854776.504237875,66854776.50423788 
 01/04  05:00:00,,,65430988.8861496,65430988.886149555 
 01/04  06:00:00,,,96496955.57102525,96496955.57102521 
 01/04  07:00:00,,,165438272.68097812,165438272.68097806 
 01/04  08:00:00,,,180080342.36778477,180080342.36778468 
 01/04  09:00:00,,,152344578.93410262,152344578.93410257 
 01/04  10:00:00,,,149683920.8103971,149683920.81039706 
 01/04  11:00:00,,,145030428.50669068,145030428.50669062 
 01/04  12:00:00,,,123450320.38525808,123450320.38525802 
 01/04  13:00:00,,,113089502.11858945,113089502.1185894 
 01/04  14:00:00,,,113308527.53143637,113308527.53143631 
 01/04  15:00:00,,,97721769.22832732,97721769.22832732 
 01/04  16:00:00,,,118557852.43442085,118557852.4344208 
 01/04  17:00:00,,,141816161.45758793,141816161.45758784 
 01/04  18:00:00,,,184003727.18745965,184003727.18745956 
 01/04  19:00:00,,,192445302.86103913,192445302.8610391 
 01/04  20:00:00,,,194039252.01090217,194039252.01090217 
 01/04  21:00:00,,,178137803.93920505,178137803.939205 
 01/04  22:00:00,,,169963208.81980956,169963208.8198095 
 01/04  23:00:00,,,137804193.11189944,137804193.11189935 
 01/04  24:00:00,,,94610641.3187606,94610641.31876054 
 01/05  01:00:00,,,64242782.89598152,64242782.895981535 
 01/05  02:00:00,,,68359981.52100806,68359981.52100804 
 01/05  03:00:00,,,61358778.49210876,61358778.49210878 
 01/05  04:00:00,,,67069997.94533262,67069997.945332624 
 01/05  05:00:00,,,65461389.18938828,65461389.18938823 
 01/05  06:00:00,,,96430270.24796768,96430270.2479676 
 01/05  07:00:00,,,159615708.32078838,159615708.32078832 
 01/05  08:00:00,,,185266084.83661693,185266084.83661684 
 01/05  09:00:00,,,153435723.6402465,153435723.64024645 
 01/05  10:00:00,,,148138084.95392588,148138084.95392585 
 01/05  11:00:00,,,144848004.86276242,144848004.86276233 
 01/05  12:00:00,,,123257376.48762083,123257376.48762074 
 01/05  13:00:00,,,112916048.25647463,112916048.2564746 
 01/05  14:00:00,,,113051139.30587307,113051139.30587305 
 01/05  15:00:00,,,97276441.18510018,97276441.18510018 
 01/05  16:00:00,,,122306481.47325872,122306481.47325866 
 01/05  17:00:00,,,136930815.37321398,136930815.3732139 
 01/05  18:00:00,,,183277227.64375925,183277227.6437592 
