Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,1262721421.583972,41291511.14011995,2269281340.822329,0.0,1298624484.5755014,1006098776.8008269,2217136497.356476,0.0,1059480622.4771135,1363768.6941356098,1057155641.4174472,1339716.1568418478,318299357.2179686,181257593.11183265,498712491.72709644,131964774.07709973,847318559.1399835,148359603.57638016,1729400396.1020603,4846150.6786528295,801091850.121341,157499258.2028643,1672465662.5189347,2644444.9515785617,550550129.9259475,64146171.33902983,548097132.2213236,64149320.22446345,108842479.89958079,469158021.7085306,108111379.21656097,470452903.080936,2693257381.7046185,53897431.65148334,3737843642.833936,322351.164761076,2633627003.199315,53813528.06140865,3675564661.0181108,0.0,2177146353.633778,0.0,2174547297.41838,0.0,1288678070.9736302,118512906.21914771,1286804460.5350585,118867510.95360422,0.0,0.0,0.0,0.0,0.0,0.0,99195514438.39194,78258614433.74304 
February,1198319893.2699208,27520500.139222365,2121029993.0659318,0.0,1228080440.8397934,902492541.8592813,2136062319.7354307,0.0,1062476350.176323,53921.951082747524,1063297505.5616015,49761.79943001399,360376885.7937168,168446274.37393397,505201488.6899442,107677604.03054233,709235615.7720977,202004456.05957362,1449805194.7878191,8504428.605435083,708171484.3945987,190641385.24040344,1460057559.9464893,2560960.0884104613,472123318.4790794,65100370.407359354,472210495.2712643,64244588.535176545,120783299.64135377,459893855.9334523,120880748.20041956,459796682.39702475,2351342582.3884196,67609253.05327168,3253907503.6805778,1644428.8113562353,2355079436.0575104,61096379.44333936,3267342296.8890376,0.0,1933017590.1597292,938283.0696615288,1934212770.590386,776097.1919079061,1156936083.0857284,122758870.99326631,1158206867.2222042,122512992.64662574,0.0,0.0,0.0,0.0,0.0,0.0,89874356143.8401,72751856177.27585 
March,661565759.0606545,196217008.37074822,1356230841.2399745,41665329.51226277,843939116.5627174,1247010161.4664752,1362266443.003549,39311331.05779881,608027221.8894863,73144800.59853551,608885969.1654493,72798820.28356071,179818001.55893937,328084516.2145593,266103898.71176192,283760375.5844604,247591160.64552474,650891806.4175783,647387637.616676,265718703.72447175,243842842.94208458,641805856.9292465,632364569.6599987,244519838.07048133,176222683.1368227,362092593.0152255,176476162.85699183,362373023.5142335,38657085.25504989,864348845.0287381,38545652.76295251,865721797.2088792,1229883662.7853477,419555778.8070792,1878931367.5224442,124281020.41149656,1214715287.4699867,395341870.04268634,1865884051.8152468,103177095.63641317,1026730166.9759568,137904031.165272,1027862450.0896709,137759328.83739424,544891187.565271,477468799.0485247,546436817.1261747,480008230.43765104,0.0,0.0,0.0,0.0,0.0,0.0,98824732901.56349,37592774242.35408 
April,17996982.092233602,370227168.65995276,252333276.8368714,129054363.60680401,265201958.76113802,1328362550.0270836,225786740.40063545,136138687.7238317,34907941.371542856,246542998.17852268,34639270.3686223,247982425.87234116,42363.250024609006,433012888.28211445,525384.438667163,410021206.86066127,594.9582102429872,1125951070.288343,48.22025113769541,663427422.6639316,903.6724978945927,1135777413.6008646,423160.49727701314,659794318.0396763,3068.174553285299,716175257.3331225,3101.983993108508,719862712.8362134,4850.913670850801,1268635585.8840294,4904.514145936184,1274121890.1965964,228047571.75487512,708323499.1622539,507315558.9156167,312567333.30281484,215016374.91352284,683589143.44972,463457345.31308705,282289667.31240404,190841603.20467445,327991234.6330713,190441521.49091837,328577709.9971722,54171639.84722725,729133933.9805838,54483187.324974105,732915673.215557,0.0,0.0,0.0,0.0,0.0,0.0,95719212427.93132,6358013329.398534 
May,279178.9296469233,809351403.9285275,586794.3250245457,570673780.7077988,52708588.471911915,1366385960.2690125,301270.94806235743,567206461.2075231,576067.2239185349,548452642.3927077,561420.9752246683,549678531.5647143,260818.10134530664,820975844.3956698,305471.6036655071,745163262.1089326,35596.93014257538,2150225228.109173,64325.35784574787,1725503419.7893844,47166.909968181884,2180477041.318833,82791.37385491688,1735784925.9102945,117412.22424173362,1499208092.793258,116627.49130782289,1499314496.7997577,88549.89666236864,1925129695.382603,84615.74798799132,1927907428.9808412,34553.21854761248,1691472001.6899447,10203763.358119871,1298897971.5252562,16081.797423040785,1703391699.4639316,5698566.467766776,1293797147.739732,103310.3121317232,1113386677.3832078,102467.27913452446,1113345939.1758425,52115.689450035214,1499366968.1085606,50360.84422655645,1506065404.6339908,0.0,0.0,0.0,0.0,0.0,0.0,107599447859.45842,134360471.69901425 
June,323375.3646561116,1676226080.9793205,486891.75339641765,1459598541.0803885,84636166.02117203,1639359964.1571805,396128.4183000245,1473391232.9744608,679072.5284964705,1294572278.475867,661703.201514524,1297722844.159022,458138.95149766235,1510246498.8577256,452773.3024758843,1532226680.1013772,118671.85804502259,2733160489.1624928,162362.7974403029,2491296207.272519,121201.71487111115,2760588391.552677,160114.0912771725,2517956533.7209706,308136.15978992527,2007375717.9603038,303624.32566203864,2013474091.9801521,253722.93681528326,2249728310.034012,252546.48966198158,2255675726.619901,95129.59151275014,2547238292.84089,148135.77071303842,2296922390.709064,67407.29923153888,2565387821.0213423,98616.18854250904,2302340273.428616,232945.3768543459,1888598131.6166606,231454.20501458028,1896913440.1076593,179661.6029398921,2128780894.469321,174104.83762885578,2136582108.4872122,0.0,0.0,0.0,0.0,0.0,0.0,114734100743.98187,0.0 
July,544172.1268512004,2609052970.999876,571191.2027943814,2328656802.8935614,150490351.00061506,1904541438.1832185,521510.365238331,2231718974.2024035,688520.1002163482,1865555009.6883135,690168.8731900345,1863095335.651891,677289.476907832,2151607779.854456,646803.0775008178,2253310475.80621,283317.2200039401,3522804022.323478,291913.5839776338,3209251845.6960716,262317.8765297719,3415990410.0673256,280821.16750578076,3104097924.5945687,484871.4102021781,2432458350.9897194,479142.2071447396,2433865863.490217,451727.5699513749,2746279664.036957,450653.3994032848,2747495110.584065,223920.97431715718,3557032815.241206,218696.30944696342,3229255483.640391,166219.17593659065,3432687616.6888328,162255.4397640395,3100318179.885848,345038.0317285502,2493349439.419699,342175.11114496377,2496392448.5349183,345238.3448059189,2815499535.909676,329267.40268329525,2817420627.3168187,0.0,0.0,0.0,0.0,0.0,0.0,129118598311.7011,0.0 
August,268521.3741643943,2462135953.662694,397018.37397105066,1904828366.1152804,44898848.10578973,2207799387.8194175,367704.718847514,1925218395.0311508,533115.2656422701,1596705723.4130886,527499.9940018152,1603735378.0245728,366150.41646546836,2159124336.3049655,354781.4074114175,2224574855.245241,116203.60897198207,3122066256.5866523,205261.3580918175,2516223537.196507,122990.03744702996,3136642741.788249,198984.89958956983,2534040728.5433383,375345.38793198287,2006808600.038553,363462.422606737,2022987241.7943714,234947.02068266313,2622401205.427527,232420.08202394054,2632226839.6740885,90229.66162792724,2970873128.3402443,159681.45640757223,2346595739.011336,81515.15517966688,2960918018.5739737,119999.14409392294,2330712887.3805785,286980.69021936815,1905062680.70906,281084.37135045306,1916537516.79555,174552.23860509778,2520517857.5587735,172458.4766481078,2529112459.404745,0.0,0.0,0.0,0.0,0.0,0.0,121383465775.59111,0.0 
September,152276.78064730155,1921728677.478018,185238.33807393763,1214541352.0393662,14958933.124989836,2006233211.6588948,175228.51754492338,1202148697.1225624,244540.07685499432,1155245925.9334621,243402.35393429152,1155647718.1485007,181161.35655003326,1886304890.337115,180154.8004541763,1876701344.3195655,58909.99158272815,2330103175.305538,107955.7758613291,1557995753.1451473,52726.58713710586,2330580493.737519,103112.54479936308,1544256797.7757137,169194.9311516809,1431170128.5339959,168153.89366771138,1432926541.4731283,122260.99277422228,2227271464.750333,121403.65745638828,2230105883.0083637,591763.5160724234,1904560533.2214665,3250879.4944301653,1190060600.1587791,435812.6378316808,1896475891.6482472,4054772.6418425543,1165775794.7110717,135077.07523337158,1081620312.765041,129931.74776405012,1082934199.8011131,75269.20310086326,1813946174.6611633,69993.82459305582,1817440417.618295,0.0,0.0,0.0,0.0,0.0,0.0,107264903148.2201,35019608.158042 
October,13671.157725048299,1165995251.457119,217408.5137724026,598431331.9105005,22497362.817403957,1966481945.302039,54629.74786392797,600731075.7785755,87415.84180599583,694878729.8198467,87790.83493226746,697139507.2367785,28212.377963548708,1366678959.988416,28801.767061155966,1249276129.3235455,3989.767855317112,1412650161.4888449,392397.2334043638,728794056.2757291,2966.9698289814883,1433760120.5695007,21745.424861098007,744386172.4055134,53455.32601688595,867459851.2738127,49269.207500429875,871335785.9306862,4631.184081689986,1653060847.844487,4597.577342411286,1656141941.9392157,179059383.6693559,866067077.6978288,343158410.1527805,349060247.94981664,170231035.0657381,867944013.8789494,319795492.60565263,332441807.4923617,104492803.144258,389669144.64254814,103961466.27903228,393383821.15304196,50919123.847486466,979408718.6813996,50849206.04626159,984662204.4258754,0.0,0.0,0.0,0.0,0.0,0.0,99617099702.50337,2665339938.6756215 
