Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,1370201326.6583598,31296679.220889233,2243615386.164775,0.0,1602089076.3733993,740112033.8704411,2196593161.6864605,0.0,867938379.1354148,16979795.987502243,866008379.7704661,16901500.471159738,295086029.0753413,201571680.69642416,477329191.48062277,142271455.3065352,956387994.0453793,112976562.96613063,1720163111.5378184,11978019.164459819,910148284.9158139,117046557.81438895,1667515144.8102927,9768470.817003569,426032995.25659263,133962418.59134552,424220451.8335434,134052727.18482117,102226390.93245487,472160800.0660182,101664200.99468027,473291132.9984658,2802770461.0776763,23440417.305656612,3723748007.2273345,47013.343387206914,2747373450.7688937,23479375.72633481,3666665296.91187,0.0,1980727728.9290063,5094213.610691434,1978503889.9391446,5014630.030618663,1223204956.4987855,98903932.55254692,1221389639.3509848,99175957.95029375,0.0,0.0,0.0,0.0,0.0,0.0,112056951716.10156,99734469621.79187 
February,1399712848.062203,13878343.639367092,2196464183.2793207,0.0,1531549561.1470537,585283122.0354036,2207448567.174262,0.0,938307407.1370599,3717175.0726156295,938753091.0433263,3619105.0111577115,380786220.6827166,164842781.12653345,539796263.8755052,106204388.17467365,878895083.615629,128741788.20864524,1538003389.8562348,7897026.395951064,875013741.5748724,116252585.37321863,1544985193.4267921,4457981.156406414,405178667.0597906,112121158.15511848,405135552.83029854,111329138.5585491,134762870.07965526,437849371.79155916,134737965.46588987,437683832.60496336,2526982471.445683,35252988.77793906,3333075600.643532,664441.7515908546,2529494885.1329,30420463.915327467,3343807255.9334326,0.0,1811921279.0472155,4615033.936995713,1812626382.6283925,4480095.61913215,1141757612.3333073,95852160.87251194,1142555947.3056831,95558447.51270507,0.0,0.0,0.0,0.0,0.0,0.0,101517585854.97357,97047559191.56676 
March,792360069.4415921,153772350.4076033,1422901643.8826263,44827265.28175475,1244122532.7717385,1390879344.1212852,1420862698.5364377,43132099.71317583,523190914.5944919,109871218.44322182,523505735.76923364,109547300.6705439,184584488.36407796,307367265.404467,281669750.41292346,259192601.82590103,329434085.5430642,483039152.4747802,707184034.0601848,247712763.1760522,327819914.1411839,482183876.8173957,692844708.0208455,233349879.47073326,148843527.3640274,428819891.1929749,148783378.6834815,429081477.64112294,40671425.669724494,781639306.307439,40468582.5356449,782462503.6024938,1337300463.2470415,301803738.97118324,1931135423.2048504,114547753.41162458,1318234206.5502868,282927760.898201,1915197717.825982,103496849.23624189,942540697.2691178,175584639.89127833,943281914.5690533,175518347.13962373,539296964.5323718,417686616.1325307,540134130.971716,419170986.23025846,0.0,0.0,0.0,0.0,0.0,0.0,111676525837.12094,54704197940.43079 
April,42689839.161705725,314773009.3503615,294488883.5166359,129498373.20785928,711122416.8622425,1973829278.4355536,267173436.52511793,134409160.06388947,22474054.37127465,290685677.8930136,22382921.396005586,291600478.5721996,133173.99015126325,422882298.71080106,3734270.8178799823,385635551.69061315,3179.25010890036,900885747.9136536,980436.5171658286,636071192.3200694,990.1725450093136,904315757.4835097,2141964.20140822,631916387.1073128,3214.139726344604,826679017.2427363,3225.5593767336672,831229521.8595771,410.50988935644,1174320398.2838593,381.81344637225266,1179249131.7633457,243129925.14615983,552670083.2643236,516239194.4360177,294670421.86369973,228883915.97029057,535045047.5816555,475324572.6674047,274333134.1292098,147627688.6682165,405501300.71640754,147437159.75434256,409453895.7834545,43031619.264531575,690448156.3255409,43242276.56332324,692902711.7590265,0.0,0.0,0.0,0.0,0.0,0.0,107819756397.41528,15419754310.481789 
May,395735.90404407674,631839815.9048558,441956.79136461223,537565130.3959638,337114602.7363781,2525695166.3250403,286440.32621074514,536128815.43280125,339621.73618462693,612388926.7959822,330664.5392214276,613616937.7821412,292354.32780073775,730092793.4636134,476243.2086788892,533537663.0897076,133143.2025845846,1877074166.52465,73339.99534887336,1660619888.9453804,78292.31054934555,1904674169.473112,36165.82301598707,1677538701.3047066,61640.89902914694,1695072541.6626854,59779.78639611218,1697184350.5902114,116922.87048970103,1929499121.7635207,114033.5339503369,1934190988.7858644,106770.47856587375,1479748327.9446213,8144609.25443695,1267120224.226197,61727.23190282847,1485811519.2500892,4454208.8477353705,1260072827.8447378,44584.25251545815,1269128059.6333468,44910.67368242162,1271196206.3131642,88740.62209585679,1485196030.8964787,87729.57791643478,1490660400.3635504,0.0,0.0,0.0,0.0,0.0,0.0,117764515648.02838,2783246747.183438 
June,394258.19196302217,1471798643.738619,494933.7442561919,1398638118.2191308,139806624.6567759,2451570044.3202004,394667.128187965,1410451763.7790654,523147.9217749882,1425816400.9606066,518940.9027507521,1427858784.5612917,379014.14223254507,1494983943.2422812,458571.95545014984,1277823956.1097596,241155.25575082324,2553732404.55088,183492.97580092112,2458046676.8113804,166527.14417197148,2585470999.0457463,165902.9559683559,2488353896.671688,290655.808913154,2212604952.222679,289926.594008819,2218301541.326138,231945.07923026124,2332136197.5403004,229925.4391710143,2336210619.7022276,203445.91791227547,2371862491.5633492,144711.28723843355,2274034977.989988,111911.75050275131,2389911994.090341,108386.32162273198,2284260252.4490113,199633.87010577496,2076745908.0159147,197371.06825117185,2083003633.0114837,170893.47608520865,2168952303.161312,169530.8512430422,2175209206.0995445,0.0,0.0,0.0,0.0,0.0,0.0,122295721225.28983,410726816.2093003 
July,481130.87153006654,2418107128.008006,619700.446354897,2304209812.764876,217167797.359004,2410013977.1011157,588516.1819163347,2233226935.6535993,682337.8773929338,2067088136.938674,683357.6500088567,2065631102.3043766,493210.39365612477,2192206128.785659,506791.99892123765,2095283660.4357557,390309.9004585712,3345457439.1774764,361297.7623139307,3205589225.3041406,256885.9441843736,3276045645.150017,311846.78271334665,3135749346.9789014,501773.61674986477,2692905747.972849,497694.934992463,2694924512.528246,355477.218971932,2852603981.3158846,354072.251337495,2853355385.5835443,380196.7681205001,3368479086.2143097,313041.37876288895,3227436514.28322,193299.02328817116,3281709785.622027,238345.52097776002,3135218355.122293,385261.36945521313,2737122568.3529434,385261.4478670378,2739276066.224445,324322.535588217,2888647847.8018074,314934.15827200643,2890277326.3508744,0.0,0.0,0.0,0.0,0.0,0.0,134877122262.94363,45513266.86464081 
August,198554.51651857607,2210489501.493631,363543.1328701156,1898722651.1806538,61495382.66160108,2763372859.7448015,367792.3211407516,1912660447.9938278,410592.29040293494,1788974183.8924348,414646.7487711046,1794434401.3310091,184957.28467394505,2108751598.356259,212046.30217592928,1932604639.9041708,203079.43694174226,2897488192.7589765,185282.84779225485,2539682374.466413,111714.04740738036,2920721210.773887,204931.28389559477,2568547464.455699,295708.9354511523,2270624134.5293016,295720.62377301446,2279679306.6671557,135409.2675908138,2647736431.104772,133123.0034407327,2653434076.9474015,186101.44863916465,2739201515.921619,147145.45161217498,2375291995.6655536,93266.80765422805,2750491566.258809,140097.0411552419,2380298769.6617203,231426.98193135238,2144957757.3524807,228646.42573120788,2153219992.553143,131690.81491513833,2512270693.371838,124934.96525327176,2519302720.2943354,0.0,0.0,0.0,0.0,0.0,0.0,128392317392.4551,80771232.7410387 
September,117827.50990632223,1701133682.1453207,233038.5573779554,1249040204.2443972,84999170.98016568,3240942002.272084,216894.96806796285,1241304506.1314332,274722.53365356836,1336291434.860225,274270.09820273874,1336895541.9182467,112598.82889430581,1812335667.0192993,141624.3472796915,1509255311.4972994,95367.88730127516,2158819837.7366242,130279.78718973568,1650259679.9200127,60759.26503948547,2167038590.689225,128665.5687996771,1645987741.4395528,187049.04829297485,1705936131.4821475,185517.13321628506,1707592710.938217,83144.22736704827,2253344530.0773168,78060.54601529386,2254896559.1666584,90070.989042426,1755110353.92612,353052.41288877104,1285486266.3622742,46100.895601626165,1751422423.9694622,1265196.3387631814,1270840706.5153806,146392.13531205364,1324703724.8965192,142289.8810971445,1333517237.472634,61034.447715541,1823789005.0877929,58499.24974479145,1826488395.6225498,0.0,0.0,0.0,0.0,0.0,0.0,116650227698.3069,873910134.1915338 
October,12030.932374895569,945772705.2109942,118818.94805063443,619545061.2451704,259214126.67869332,3284079517.9531593,43153.30912454476,623376831.0203681,59731.30601239974,820083111.3130478,58979.919454539486,822377029.441457,11639.288504115737,1220151412.735346,13161.073488384769,864139106.5338095,10865.664673990388,1210727348.798491,19691.54988710526,808620846.9684228,5847.070172211943,1230740927.1994653,23253.859628868628,822107255.3055593,34762.89435077344,1099079198.3231256,33344.48830651186,1103139740.1126697,3360.0816515226243,1595506865.4242692,2935.6492548128904,1605044436.140135,154150383.7218322,722478340.2029368,288153999.25521415,394961045.1337174,145622011.56090808,718515504.590627,270925605.1200116,385941947.96565956,63550848.87178774,540394640.3975347,63219596.54984646,541640603.6840272,34370444.138517156,926471696.8489509,34322672.27560271,930713985.1284398,0.0,0.0,0.0,0.0,0.0,0.0,111455578490.28947,6813077147.66957 
