Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,54213268.23822072,54213268.23822072 
 01/01  02:00:00,,,72351638.8211228,72351638.82112281 
 01/01  03:00:00,,,51274682.707832664,51274682.70783267 
 01/01  04:00:00,,,57444685.076024,57444685.07602402 
 01/01  05:00:00,,,66989975.082053974,66989975.08205399 
 01/01  06:00:00,,,89909930.54782052,89909930.54782052 
 01/01  07:00:00,,,156762662.25282186,156762662.2528218 
 01/01  08:00:00,,,160941401.54881245,160941401.54881236 
 01/01  09:00:00,,,162797675.42722446,162797675.42722446 
 01/01  10:00:00,,,138673996.41392767,138673996.41392758 
 01/01  11:00:00,,,124842502.4908249,124842502.49082483 
 01/01  12:00:00,,,130523368.14985645,130523368.1498564 
 01/01  13:00:00,,,110153208.80834053,110153208.80834049 
 01/01  14:00:00,,,99218274.4330567,99218274.43305664 
 01/01  15:00:00,,,106019996.64291944,106019996.64291942 
 01/01  16:00:00,,,110343644.97701395,110343644.97701393 
 01/01  17:00:00,,,132912008.47875705,132912008.47875696 
 01/01  18:00:00,,,154072271.25211525,154072271.2521152 
 01/01  19:00:00,,,189794337.63265705,189794337.63265696 
 01/01  20:00:00,,,182391595.01395386,182391595.0139538 
 01/01  21:00:00,,,176317958.43845886,176317958.43845877 
 01/01  22:00:00,,,147733836.18803334,147733836.18803328 
 01/01  23:00:00,,,127803022.33581004,127803022.33580998 
 01/01  24:00:00,,,90889546.14562646,90889546.14562646 
 01/02  01:00:00,,,74404027.86797543,74404027.86797543 
 01/02  02:00:00,,,59580695.2345749,59580695.2345749 
 01/02  03:00:00,,,64772383.12765603,64772383.12765604 
 01/02  04:00:00,,,51108725.28763136,51108725.28763136 
 01/02  05:00:00,,,61457915.94337907,61457915.94337909 
 01/02  06:00:00,,,103747867.99773604,103747867.99773605 
 01/02  07:00:00,,,157401482.84105223,157401482.84105217 
 01/02  08:00:00,,,161415343.6001574,161415343.60015732 
 01/02  09:00:00,,,153683580.31713006,153683580.31713006 
 01/02  10:00:00,,,134783934.43770555,134783934.4377055 
 01/02  11:00:00,,,138787833.18917322,138787833.18917316 
 01/02  12:00:00,,,117120759.65470931,117120759.65470928 
 01/02  13:00:00,,,108727717.14512712,108727717.14512706 
 01/02  14:00:00,,,114362626.03413741,114362626.03413737 
 01/02  15:00:00,,,98999882.13843079,98999882.13843074 
 01/02  16:00:00,,,117852683.99161422,117852683.99161418 
