Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,678874878.4627179,116658356.38592839,1161853700.3876727,31316751.826887667,1019549233.194688,854294466.7742546,1117060061.9327772,29514663.29833014,157380012.25947836,267919877.76549533,156140688.8830408,268397669.94103092,33204919.275906757,524780093.4335479,98707207.1814999,389296352.0054548,317467779.06444275,377743943.3902282,663895144.158486,199378929.0067925,292648255.30567664,394698021.45884705,620981769.0343319,201298880.9401362,13638352.517771231,598395251.8571794,13266507.90377878,599874819.5173423,0.0,882968429.2957499,0.0,883576906.1234262,2071930869.3834121,58916418.34690336,2627797632.9233956,12438563.108729636,2019907081.544823,56772008.26953012,2572242874.304686,9559070.433236241,1043677435.3045429,73401292.24456753,1041493437.6065527,73351786.21463767,666794093.9110105,224391266.54229164,665360466.0541087,224939260.62468678,0.0,0.0,0.0,0.0,0.0,0.0,131950229174.00298,42678090974.54338 
February,746947220.41385,70970263.47213766,1220680719.7574775,11626388.211718287,1040913072.690815,785991571.7523639,1226368447.3623002,8154752.718774105,234415912.57369947,183220583.00202492,234153709.3438658,182714215.43302482,65669748.86303485,418567760.42582196,146809806.09053886,303539221.0169705,321368971.2615612,343783876.5558087,621810547.4633863,156450464.21016762,321991299.3915938,347081709.89602035,614631638.4822721,143298361.5159272,41631548.33580638,543821519.1552321,41624134.051659964,544045821.1667533,4757121.9781646505,735971402.1061893,4799933.417480108,735429483.2729456,1871341086.4509368,67923318.93175453,2341043184.451873,10951170.10047853,1865837978.198657,58694932.80040043,2344791906.0595593,6643450.489168342,959134151.8099952,66905764.27733265,959330580.1733781,66369731.90419785,638445175.5364395,212452448.1207542,638972216.4908983,212124606.9537085,0.0,0.0,0.0,0.0,0.0,0.0,119440155275.20409,43077820546.380966 
March,361188932.4588415,327572058.8757893,645599609.6965915,175358272.10785356,564241186.2748582,846650541.296761,639373417.4347793,167207331.8929207,86000172.98764218,394000571.3582539,85934321.30211116,394076275.32167804,22734219.45481161,665083736.4938443,56579310.513292596,557449757.8401742,86710116.41347855,1015558229.9726309,207033038.95578766,666295393.4346716,82931873.19258751,1011325938.5540953,196902547.62262446,662224011.7279814,2433415.3553386717,1081536036.8036141,2380279.087324269,1081736584.070048,0.0,1545492136.1757402,0.0,1547170447.050306,923359453.5670862,558818541.9244547,1205748638.993363,309550460.9002948,902773878.2103723,546129140.6892993,1184486515.19163,284196017.6894435,434040872.6505065,473243218.0557775,433715828.4498417,473738005.7447795,260771839.56659016,785101212.8738335,261245044.33466387,787630741.8411304,0.0,0.0,0.0,0.0,0.0,0.0,134318810469.68187,18916222267.309925 
April,6459.957797124651,667401976.0015103,2119199.5508734784,464572955.68557805,88740123.02500233,848644590.4487325,3790573.8336502635,468697514.21388566,8168.333687183677,721960062.9366711,8144.0344878800315,725525753.6941932,8319.468943778102,1047604384.0774739,8555.217881371058,921857733.1392149,94.09012727716117,1636805356.2418559,3543.8780955904194,1225696264.9349844,1896.7997521131679,1654835472.7263799,6570.03025623704,1241453043.3214834,6448.720821286246,1677333476.726643,6500.968968864685,1682377603.3821964,4462.909986980707,2139977765.0458212,4497.176602116542,2142730763.1984007,96535444.04623891,1020357637.6695846,145963335.86317658,689496185.8347065,89294115.99014127,1004753014.4723264,132096213.8199049,679466723.8265636,5698545.043722553,900829237.9684855,6084794.669997882,903860356.9360503,67926.33646104553,1271684599.2057114,80933.70568777209,1276059727.511537,0.0,0.0,0.0,0.0,0.0,0.0,133154580934.76024,1417079486.5605483 
May,75327.1925660219,1415809867.187678,113987.61520585846,1161909886.090491,62956955.33610805,1068076039.9533445,118731.02564506071,1171958238.6672363,122263.90490338925,1483875917.5315568,122417.91076288492,1484197239.4998112,96300.14312326684,1759907545.3545148,95999.58440199165,1656716449.0819776,29252.40006486377,2774585175.2591925,76453.03352269303,2486920571.928581,31313.166882769692,2807016872.3338556,54039.562341461315,2513643014.977044,88397.44125432003,2535044180.003379,88206.18275463245,2537053767.2446136,62314.65323028981,2843677731.615505,62286.986807112975,2845802958.726902,20755.57834505268,2245133236.2393575,43646.7575898985,1958521761.2699323,10814.50889238831,2270110974.4456053,20364.52393627122,1980083533.3568816,68944.91642722473,2055497956.6691153,68707.12504878137,2060347891.5389278,28008.948373739913,2346034674.130203,28290.707629499913,2351369682.5986066,0.0,0.0,0.0,0.0,0.0,0.0,147870100299.72147,4812657.738462714 
June,283336.1515390951,2298214660.427829,322618.894085105,2159609973.2465243,148104083.03944972,1551732840.8962522,281673.4326145803,2181656894.127638,351314.67860136146,2222274414.3383756,346848.6926670099,2224564469.9081655,310914.81691790326,2365658114.971118,307008.19291947916,2391322789.1986403,129140.88248470279,3357744252.8744683,171967.4416922132,3207260994.258343,122732.0661521015,3384399995.9745207,166730.07850500723,3237127206.2780476,225045.5028600179,2985230207.9186606,221363.66390458605,2988843726.488228,195295.79769962185,3144175342.9306593,196765.81447803756,3147603731.611279,87608.75671605738,3132786756.197703,93578.38389506064,2973355743.642255,66290.84882835636,3153313096.2573633,64751.32641133623,2994028033.3538203,143476.7182037341,2800796025.252794,138566.61028125358,2805335324.0878386,133062.25065425978,2953632677.6484323,133627.1029577975,2959291879.2383432,0.0,0.0,0.0,0.0,0.0,0.0,152509591686.10464,0.0 
July,432562.59884874243,3243590142.376008,404059.0271414513,3059199889.631969,254830239.34980354,1882444655.04264,340855.1522365021,2995144529.450587,404401.3127056339,2850706269.6280317,397468.6470781049,2849916643.5784135,458423.4277674921,3047241403.3990746,440866.43645263807,3145135020.5360556,223804.51525601232,4159581560.1692786,240388.08836296943,3953394167.6491923,193876.87891730864,4089880378.7910132,224226.40953068418,3886142641.1748414,301012.88092672644,3468887542.518315,299172.6485690664,3469746718.0441966,317585.0429013318,3679859325.378599,309688.2903965528,3679968315.5484314,158758.13144498676,4161647012.552801,192111.95316194015,3942741441.8242064,130980.8099498134,4082949579.5633225,124933.66338687383,3860751894.90889,219125.8218561693,3475584989.792557,215548.05116329406,3476472512.9052424,222187.50810940622,3697726208.234525,213334.04239009222,3698336384.7192826,0.0,0.0,0.0,0.0,0.0,0.0,167015347978.85974,0.0 
August,224368.2739633463,3074213863.69018,287551.3433085877,2705902206.939834,115838969.08178268,2127421822.5736618,206432.79475651105,2727907612.8681717,277713.2524202407,2620536459.5942554,269907.5500054153,2625527293.425929,220212.73268347763,3009598570.35678,209551.24061954644,3074163501.6961465,98619.17861781358,3727136295.0282297,174621.3528156703,3327754378.8106127,95890.39845708947,3752944784.700307,152456.7504941406,3357340680.5279026,209572.86169147198,3079525745.4357142,207902.46682971946,3085321586.3914013,147829.45085037654,3488042815.7436914,149097.52013940673,3493116990.730163,72440.59531867069,3536901484.2743974,120434.55149400137,3121363306.042751,69904.52462502886,3550198742.2985134,90981.3793969086,3132164453.8041697,157899.33863639928,2904677003.992131,152481.2528173289,2910853515.420773,111235.29314032425,3321115338.9211063,105172.5405718402,3326698107.9806376,0.0,0.0,0.0,0.0,0.0,0.0,160187507189.15756,0.0 
September,112953.57045371151,2574274382.3305216,187150.4871192274,2054415435.8305292,47064148.479677156,1732826195.3156507,145687.1114644978,2052621284.889172,161815.87120002403,2184990096.0866847,161449.06711069218,2185935630.8814383,93334.99554538925,2731946948.0566735,82438.9941747842,2740491572.5450187,52932.89978776406,2985100185.694989,125193.64077751825,2431235605.6539545,43779.82333457274,2989695056.477324,109327.39352820974,2435077424.839138,134060.847149292,2510267785.025732,132917.5465274444,2511951630.072315,74703.32945276781,3079757594.053223,73234.39249593444,3081043400.4573054,31548.122768386515,2489290573.7032037,95965.51845279174,1961809022.8135254,28565.571154286758,2493578308.8434925,74781.21712480755,1958388802.648048,112523.92289901018,2068629946.9299345,106052.55634437532,2071683378.100048,57054.37222433042,2620250790.8392916,55744.35344190029,2622252520.037861,0.0,0.0,0.0,0.0,0.0,0.0,146702811963.88025,0.0 
October,10841.624779956877,1806650679.289546,37614.96859901241,1298427082.8638437,12533445.044141348,1458219610.178582,39125.68788793024,1317216603.0815816,46049.63757753799,1721348106.7083023,45887.08818640514,1723896641.3215628,15820.268797371342,2271509402.892567,16084.559592693702,2169195162.0089726,2743.2670745789387,2057033363.2500105,20956.784309411552,1498649424.847324,2986.8131196952727,2080992438.5185344,25049.997763469397,1523051127.3523462,30412.31511578692,1980433653.164399,30237.620671314773,1983500160.2637043,3542.5341430211643,2569807583.4812217,3550.0934280208676,2571909709.453234,56955956.65574723,1322367215.5344543,78522101.1021125,856447607.3700842,53165208.941890255,1337424919.535965,71022923.1689307,855550069.9155647,408676.47083221015,1154365515.5958633,405537.0180011856,1159035491.3833315,713901.0265466663,1697513937.4186625,709739.977697249,1700637614.9481497,0.0,0.0,0.0,0.0,0.0,0.0,140436631518.81918,618698823.7294294 
