Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,187733536.0093253,187733536.00932539 
 01/01  02:00:00,,,180488575.53697458,180488575.53697464 
 01/01  03:00:00,,,179623587.88374013,179623587.88374022 
 01/01  04:00:00,,,172594938.8364928,172594938.8364929 
 01/01  05:00:00,,,183439802.63639393,183439802.63639402 
 01/01  06:00:00,,,225584033.6423548,225584033.64235488 
 01/01  07:00:00,,,327851124.404841,327851124.40484077 
 01/01  08:00:00,,,363781325.0905489,363781325.09054863 
 01/01  09:00:00,,,362076940.9616855,362076940.96168524 
 01/01  10:00:00,,,332044298.31128174,332044298.3112815 
 01/01  11:00:00,,,346358928.8193822,346358928.81938195 
 01/01  12:00:00,,,326945855.8052968,326945855.8052966 
 01/01  13:00:00,,,317174431.89531744,317174431.8953172 
 01/01  14:00:00,,,315137867.17108643,315137867.1710862 
 01/01  15:00:00,,,297157573.38428307,297157573.3842828 
 01/01  16:00:00,,,310595737.3014529,310595737.30145264 
 01/01  17:00:00,,,372580073.7591128,372580073.75911254 
 01/01  18:00:00,,,486179429.7828994,486179429.7828992 
 01/01  19:00:00,,,495160698.35986614,495160698.3598661 
 01/01  20:00:00,,,475371034.2760522,475371034.27605194 
 01/01  21:00:00,,,448993757.5302953,448993757.53029513 
 01/01  22:00:00,,,426451078.46910846,426451078.46910834 
 01/01  23:00:00,,,346163749.82538724,346163749.825387 
 01/01  24:00:00,,,264154243.36372063,264154243.3637204 
 01/02  01:00:00,,,187301951.248189,187301951.24818912 
 01/02  02:00:00,,,191093500.12294233,191093500.12294242 
 01/02  03:00:00,,,163147875.86535108,163147875.86535114 
 01/02  04:00:00,,,167308305.03460047,167308305.03460062 
 01/02  05:00:00,,,178698349.93425232,178698349.9342524 
 01/02  06:00:00,,,220237969.69415402,220237969.69415402 
 01/02  07:00:00,,,322160360.4599785,322160360.4599783 
 01/02  08:00:00,,,365926872.28875154,365926872.2887512 
 01/02  09:00:00,,,355176722.15958214,355176722.1595819 
 01/02  10:00:00,,,338476931.00336814,338476931.00336796 
 01/02  11:00:00,,,328892556.8388634,328892556.83886313 
 01/02  12:00:00,,,330024425.1279676,330024425.12796736 
 01/02  13:00:00,,,321989091.80098563,321989091.80098546 
 01/02  14:00:00,,,301229538.37729913,301229538.37729883 
 01/02  15:00:00,,,301257998.4413075,301257998.4413073 
 01/02  16:00:00,,,314521395.8307784,314521395.8307782 
 01/02  17:00:00,,,370660687.3698321,370660687.3698319 
 01/02  18:00:00,,,470447186.8679165,470447186.8679163 
 01/02  19:00:00,,,495381912.4437006,495381912.4437003 
 01/02  20:00:00,,,481205389.0697296,481205389.0697294 
 01/02  21:00:00,,,456395284.6727787,456395284.67277855 
 01/02  22:00:00,,,411635139.5205226,411635139.52052236 
 01/02  23:00:00,,,347563997.1048525,347563997.10485226 
 01/02  24:00:00,,,263249266.98942608,263249266.98942593 
 01/03  01:00:00,,,199017199.48201537,199017199.48201546 
 01/03  02:00:00,,,166545070.08737695,166545070.08737707 
 01/03  03:00:00,,,167882419.2245768,167882419.2245769 
 01/03  04:00:00,,,169424247.51154068,169424247.5115408 
 01/03  05:00:00,,,166156565.71750036,166156565.71750048 
 01/03  06:00:00,,,212904868.78006446,212904868.78006455 
 01/03  07:00:00,,,311568946.2545862,311568946.254586 
 01/03  08:00:00,,,360555522.5364611,360555522.53646094 
 01/03  09:00:00,,,347037332.2343014,347037332.23430115 
 01/03  10:00:00,,,340811164.50180376,340811164.50180346 
 01/03  11:00:00,,,330856404.7893568,330856404.7893565 
 01/03  12:00:00,,,321848872.78968585,321848872.7896856 
 01/03  13:00:00,,,313497404.1266659,313497404.1266657 
 01/03  14:00:00,,,292764193.1784816,292764193.17848134 
 01/03  15:00:00,,,285634217.36512274,285634217.36512256 
 01/03  16:00:00,,,308750357.67623633,308750357.67623615 
 01/03  17:00:00,,,370643815.23440754,370643815.2344073 
 01/03  18:00:00,,,450060608.13770485,450060608.1377046 
 01/03  19:00:00,,,484356333.4492061,484356333.4492059 
 01/03  20:00:00,,,460630803.8818231,460630803.8818228 
 01/03  21:00:00,,,442290374.71588224,442290374.71588194 
 01/03  22:00:00,,,398952697.29701793,398952697.2970176 
 01/03  23:00:00,,,330627640.8298577,330627640.8298574 
 01/03  24:00:00,,,256565197.63684326,256565197.63684303 
 01/04  01:00:00,,,194503739.77052578,194503739.77052584 
 01/04  02:00:00,,,173890372.16279376,173890372.16279387 
 01/04  03:00:00,,,165809261.29950044,165809261.29950053 
 01/04  04:00:00,,,159444898.70713767,159444898.70713776 
 01/04  05:00:00,,,170203468.85537943,170203468.85537955 
 01/04  06:00:00,,,217201389.26755604,217201389.26755616 
 01/04  07:00:00,,,313793480.3120459,313793480.31204563 
 01/04  08:00:00,,,353660427.4034027,353660427.4034025 
 01/04  09:00:00,,,341761070.3079419,341761070.3079417 
 01/04  10:00:00,,,337468827.4916398,337468827.4916395 
 01/04  11:00:00,,,338024005.9248445,338024005.9248442 
 01/04  12:00:00,,,324534911.90644497,324534911.90644467 
 01/04  13:00:00,,,313217843.5557812,313217843.5557808 
 01/04  14:00:00,,,305205863.15502036,305205863.1550202 
 01/04  15:00:00,,,286374229.8747273,286374229.874727 
 01/04  16:00:00,,,310810634.770264,310810634.7702638 
 01/04  17:00:00,,,366576706.6858941,366576706.6858937 
 01/04  18:00:00,,,459489784.9018332,459489784.90183294 
 01/04  19:00:00,,,477245951.0779146,477245951.0779143 
 01/04  20:00:00,,,452144992.69712687,452144992.6971266 
 01/04  21:00:00,,,436058741.3977495,436058741.3977493 
 01/04  22:00:00,,,396918233.378403,396918233.37840277 
 01/04  23:00:00,,,329191140.630194,329191140.63019365 
 01/04  24:00:00,,,255144902.29478204,255144902.29478177 
 01/05  01:00:00,,,191334191.950471,191334191.95047107 
 01/05  02:00:00,,,175758705.41047084,175758705.41047093 
 01/05  03:00:00,,,167151908.23474926,167151908.23474935 
 01/05  04:00:00,,,159084440.78384164,159084440.78384176 
 01/05  05:00:00,,,171246125.42720976,171246125.42720985 
 01/05  06:00:00,,,213534781.02663004,213534781.02663007 
 01/05  07:00:00,,,314842834.3725696,314842834.37256944 
 01/05  08:00:00,,,355809089.255375,355809089.2553747 
 01/05  09:00:00,,,351124816.1374511,351124816.1374509 
 01/05  10:00:00,,,334246515.3824201,334246515.3824199 
 01/05  11:00:00,,,335469308.684299,335469308.68429875 
 01/05  12:00:00,,,330521176.0091465,330521176.00914633 
 01/05  13:00:00,,,316844340.12851715,316844340.1285169 
 01/05  14:00:00,,,307456592.48551804,307456592.4855178 
 01/05  15:00:00,,,296688283.8850522,296688283.885052 
 01/05  16:00:00,,,316485984.9842118,316485984.98421156 
 01/05  17:00:00,,,376565723.1473935,376565723.1473933 
 01/05  18:00:00,,,465611645.5475075,465611645.54750735 
 01/05  19:00:00,,,487049457.18343353,487049457.1834333 
 01/05  20:00:00,,,463529401.1122279,463529401.11222774 
 01/05  21:00:00,,,449833283.0914582,449833283.091458 
 01/05  22:00:00,,,408332952.94269675,408332952.9426966 
 01/05  23:00:00,,,337156396.2307941,337156396.2307938 
 01/05  24:00:00,,,254442923.28715545,254442923.2871552 
 01/06  01:00:00,,,195329583.39574245,195329583.39574257 
 01/06  02:00:00,,,174118358.92079023,174118358.92079028 
 01/06  03:00:00,,,169362969.1012374,169362969.10123754 
 01/06  04:00:00,,,162161234.18935794,162161234.18935806 
 01/06  05:00:00,,,170237776.24970666,170237776.24970672 
 01/06  06:00:00,,,216406952.85333392,216406952.85333404 
 01/06  07:00:00,,,318562356.61719835,318562356.6171981 
 01/06  08:00:00,,,355102699.014733,355102699.0147327 
 01/06  09:00:00,,,350282567.04256034,350282567.0425602 
 01/06  10:00:00,,,337742884.0037445,337742884.0037443 
 01/06  11:00:00,,,345679552.7622906,345679552.76229036 
 01/06  12:00:00,,,340498251.5362015,340498251.5362013 
 01/06  13:00:00,,,326483234.4516432,326483234.4516431 
 01/06  14:00:00,,,319836345.5929408,319836345.5929406 
 01/06  15:00:00,,,306183510.25660056,306183510.2566004 
 01/06  16:00:00,,,331164645.9787137,331164645.97871345 
 01/06  17:00:00,,,381504681.90211576,381504681.9021156 
 01/06  18:00:00,,,472833376.52194774,472833376.5219475 
 01/06  19:00:00,,,491661687.7294779,491661687.72947776 
 01/06  20:00:00,,,470046297.82542294,470046297.8254227 
 01/06  21:00:00,,,448552492.43113256,448552492.4311322 
 01/06  22:00:00,,,410630420.5393384,410630420.5393383 
 01/06  23:00:00,,,339819416.2286294,339819416.2286291 
 01/06  24:00:00,,,260768688.39566907,260768688.3956688 
 01/07  01:00:00,,,206368829.42540404,206368829.42540413 
 01/07  02:00:00,,,185191712.7756516,185191712.7756517 
 01/07  03:00:00,,,176567721.38796997,176567721.38797003 
 01/07  04:00:00,,,166259627.7940745,166259627.7940746 
 01/07  05:00:00,,,179802694.39371535,179802694.39371547 
 01/07  06:00:00,,,220803755.41642308,220803755.41642314 
 01/07  07:00:00,,,315761981.14539933,315761981.1453991 
 01/07  08:00:00,,,366258667.06269753,366258667.06269723 
 01/07  09:00:00,,,343098040.20664066,343098040.2066404 
 01/07  10:00:00,,,334203835.29412913,334203835.2941289 
 01/07  11:00:00,,,331539739.2433052,331539739.2433049 
 01/07  12:00:00,,,321385776.5768474,321385776.5768471 
 01/07  13:00:00,,,305161198.5940695,305161198.5940693 
 01/07  14:00:00,,,292726146.6471844,292726146.64718413 
 01/07  15:00:00,,,284070283.36317194,284070283.36317164 
 01/07  16:00:00,,,302343535.8656212,302343535.865621 
 01/07  17:00:00,,,359488160.3363148,359488160.33631456 
 01/07  18:00:00,,,457360284.7132341,457360284.7132339 
 01/07  19:00:00,,,478105349.418756,478105349.41875577 
 01/07  20:00:00,,,460064141.8755781,460064141.875578 
 01/07  21:00:00,,,444446765.75828344,444446765.7582832 
 01/07  22:00:00,,,397919088.13904434,397919088.13904417 
 01/07  23:00:00,,,335216901.683765,335216901.6837647 
 01/07  24:00:00,,,256738904.22063276,256738904.2206325 
 01/08  01:00:00,,,193881320.56713593,193881320.56713602 
 01/08  02:00:00,,,171389005.2814473,171389005.2814474 
 01/08  03:00:00,,,166961973.7828389,166961973.78283903 
 01/08  04:00:00,,,164448467.73875126,164448467.73875138 
 01/08  05:00:00,,,169386174.53382826,169386174.53382835 
