Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,915140391.3610574,18213350.364400048,666803503.8724177,925449304.0970138,161320886.63693407,10710981.211873064,690751281.2063761,0.0,1268957545.0108068,0.0,1270657710.603604,0.0,1536427292.3513892,0.0,1483752761.5987582,0.0,1211094464.8627682,124126.28482256964,1008117263.8388478,0.0,1228333940.9538445,0.0,1018676604.5894419,0.0,1921977823.187414,0.0,1928929506.885531,0.0,2255761950.088243,0.0,2261835960.3366375,550791385.7015529,435405571.0672575,1074582562.6958187,206557816.0298497,520356848.9176288,449417153.63093656,1018109315.3892305,206685648.05164632,124285904.52373734,582908782.1142485,123263624.23601364,583895726.7447437,23184805.41294496,918007556.5749954,22927511.932626057,919453079.959496,0.0,0.0,0.0,0.0,0.0,0.0,176439229842.91302,7541817525.148629 
February,4496555.459498589,761102751.9097539,88175476.68447568,513803977.28846586,823221042.5727383,82406386.79321395,85848306.52147998,518085523.6969959,0.0,995049945.0704473,0.0,992731986.3352013,0.0,1182351122.8281329,0.0,1153353028.0201585,0.0,1103467354.7925854,17186127.68499987,894562156.1083281,0.0,1086872854.7984219,15000899.842098635,876227380.2690215,0.0,1749918352.557602,0.0,1750346143.703455,0.0,2019699564.6119664,0.0,2020419996.2838755,556614805.864523,444927225.9915851,966520447.897535,217734880.91631746,551036919.3058171,434103792.37454,949991072.6228441,200541453.17878592,168516374.8822194,547521816.423794,168639341.02315444,546544835.8375897,54125714.08868527,828770540.2078493,54248885.856711075,827753568.2717785,0.0,0.0,0.0,0.0,0.0,0.0,159176530778.8878,8256227577.441758 
March,242629.81454495701,1264233697.0455296,11650549.27084199,1082415798.4189348,864501729.0222706,759712043.4105593,9666181.538859889,1074494153.3619363,0.0,1758414869.366371,0.0,1758157671.6301463,0.0,2032965711.4747381,0.0,1984904991.646585,0.0,2276963281.401083,601.8110391422283,2022163468.962463,0.0,2269821444.5297127,0.0,2013651995.3511071,0.0,2840587467.3664556,0.0,2843370542.2698874,0.0,3173556220.570629,0.0,3175685871.602312,190014962.59852582,1320027888.7298975,389870657.6086768,1061526023.22464,179067279.0358613,1306393113.8311148,367436219.7466898,1052387108.8490549,47812288.126615725,1594276253.0631077,47679095.7638438,1594955431.8212993,19540926.782238092,1860818310.6401303,19501061.21935597,1863319788.110573,0.0,0.0,0.0,0.0,0.0,0.0,182982328316.41888,2703493008.211462 
April,0.0,1918055635.2260427,4993.761564593035,1757825412.650232,887563503.5087899,1126075912.193269,6896.985629827199,1782316691.577617,7150.624522966473,2528955687.3957458,7190.328224333866,2531333054.45928,347.0450611942851,2694564995.929372,344.7332474916493,2682475476.370877,0.0,3121917283.475454,199.0073288435686,2983465338.9760957,0.0,3145889199.103643,673.6123598343056,3010500366.63719,996.5353717486664,3531283070.777461,1014.1098158151408,3532650159.4363785,0.0,3718188305.7851357,0.0,3719433692.5357227,0.0,2164856817.0017195,31.931487643638924,1961466867.3310373,0.0,2154147160.361862,282.83729844679704,1952620208.1934414,405.5400848015021,2477170507.6264167,422.2894809852619,2482790922.2089744,0.0,2655253642.536608,0.0,2661384500.277291,0.0,0.0,0.0,0.0,0.0,0.0,182926457660.81348,4158855.829048162 
May,7449.840509126056,2907262874.8109403,53890.63781191761,2955713629.360012,897940757.7513622,2173110618.2882404,53981.385225210826,2971971241.2935767,65179.27884660929,3329963080.367501,65139.818486044656,3330813950.007271,4421.113125821816,3328541528.5408735,4373.203960056722,3361132190.025051,3955.7288449971975,4321310589.551051,14940.39375429399,4353439818.860746,2107.0561345609804,4348422146.724085,9023.225881319784,4382089476.884146,15615.268811717744,4374606821.315018,15628.35612322593,4376049278.206703,2354.1273396516094,4376296132.12546,2350.3846654190356,4376929818.732926,1997.3141471931972,3693571475.72176,15480.276769071417,3693945797.13282,689.5355961497756,3728665045.433907,2579.17305868871,3729600960.9520206,14696.713110947756,3806836153.471295,13676.604358060287,3809795449.3918595,1345.1181074563096,3840207070.1468945,1326.165515635098,3842980605.954768,0.0,0.0,0.0,0.0,0.0,0.0,196518224970.91113,0.0 
June,30509.977954560327,3670922873.8791184,117026.7032352834,3851970595.6050415,702267893.4326779,2794309583.794744,128428.96228867394,3869952890.98553,170029.7103094364,3894635152.357011,170069.27103585028,3896632390.145376,31299.15001232083,3760795479.2249694,29001.560141598973,3829232391.4365015,28355.410092881248,4809556781.926366,47295.513289677285,4958925022.094537,8682.848499403693,4836099201.890954,34997.85403212641,4969724749.323735,51107.32429675095,4684859248.28648,50830.092576160954,4686925694.57784,14203.55552112026,4567721591.854408,14112.465706428771,4569257993.365124,20618.073962463564,4518627330.105121,41325.99949466016,4657721101.748938,6853.080414522369,4551395228.827463,17429.454211706936,4678746557.960733,29245.171605847645,4430568996.495604,29752.20476560475,4433044143.804818,14672.208411734518,4341682286.263998,14302.522039043191,4344806447.135942,0.0,0.0,0.0,0.0,0.0,0.0,196113129682.28265,0.0 
July,57321.389033506675,4704382806.312151,214241.34880615195,4806601768.795418,517498377.80060625,2985857325.038393,169195.2506408575,4725280351.081535,238740.690587226,4553070550.889795,237019.93521435623,4550842322.601613,61933.482629351565,4503546337.062185,48173.765403182086,4610624080.6541395,46752.26025260821,5704251582.062479,73224.14059673774,5767772486.118424,22008.620792815058,5622178530.807414,74093.87861341912,5672868289.730775,114461.06857170844,5209129773.082693,114331.28244944428,5207868177.874029,45329.53324024334,5182944642.4852495,45145.86777078892,5181251352.008571,46086.01287177884,5629609935.095505,66151.31529905503,5689195333.37315,25517.255618938285,5545551861.058979,37331.97332785208,5600534745.4202175,76002.05060033675,5155042030.682003,75592.00796088623,5154325984.775948,41468.594177790386,5145661407.821321,41011.074515787266,5144724017.1876335,0.0,0.0,0.0,0.0,0.0,0.0,209098323967.34436,0.0 
August,3445.072690348921,4481247298.527817,118717.49817924322,4419323716.679326,523827266.5509457,3434744546.511192,91539.2108545543,4431777225.388959,158984.08684559175,4308850924.6669445,155598.9547656903,4311610110.66123,10041.256155399762,4421028858.611432,6734.745980749157,4498526853.659512,8640.494855283774,5243028651.418407,43246.93477401599,5108961378.423433,3248.5255668694635,5269375875.04159,38993.68213505024,5113173928.003954,58080.60456762679,4808326017.827966,58032.260832536165,4811475584.577297,3415.895158777379,4979050748.403088,3165.1158400404383,4981725429.431317,8225.827036862358,4989874887.27161,40383.88880919209,4828474787.924642,3646.08261095789,5015714511.898327,21914.373968801374,4844389327.430419,41193.46997681385,4574167608.418387,40712.90567728128,4578258286.815192,3936.511082089376,4784192738.411526,3908.859570623632,4788167027.73019,0.0,0.0,0.0,0.0,0.0,0.0,204042209542.57822,0.0 
September,8232.969348101387,4057635790.534014,68783.15669759832,3714630209.266797,680966258.9742004,2762131412.98525,61178.14216704159,3714567510.7660456,88348.51086244569,3850691625.16582,87624.75234141991,3851152766.1029773,9153.940687317174,4251995993.540509,8764.289268611341,4334916167.1402445,10577.308987883947,4547728640.253844,28786.089646765846,4149795436.035459,4925.859027817461,4551228496.44694,25393.492817889884,4150282779.9235826,37138.02393433494,4215809327.822578,36127.892418684256,4216625169.9100304,7701.5843713959175,4652673967.335256,7681.219440048787,4652993860.598419,6989.564711679881,3930457415.4212766,32518.27628199619,3542616442.7127075,2852.1725673634023,3938489369.5667286,12403.44183979322,3542806622.7925806,33433.850414488654,3681061424.652409,33246.02804006679,3682080937.5266814,4561.072941781782,4114673395.3491106,4526.787035500282,4115915153.934107,0.0,0.0,0.0,0.0,0.0,0.0,192059979484.36404,0.0 
October,0.0,3234113185.307943,6772.382544618921,3008886522.8552403,864290712.98332,2223613100.124547,12193.381359099874,3033436469.0956383,18739.954455604413,3520978562.3807955,18761.494342732607,3522528603.4700723,0.0,3810759867.780574,0.0,3872047096.0948586,0.0,3538764648.117629,3621.5387937823825,3253698042.9570303,0.0,3568077647.713288,2139.778082970965,3281093877.5427613,5478.68116927401,3802126041.912056,5449.525527707032,3803688348.0019217,0.0,4139120144.2097073,0.0,4140383073.1440024,0.0,2582447518.87635,3733.3648799639186,2236014465.1649776,0.0,2610239770.3447576,2066.80305199711,2256878778.847887,2552.913315667134,2795817955.0272818,2602.245597526545,2799035821.4797325,0.0,3147301293.4554596,0.0,3149984888.273636,0.0,0.0,0.0,0.0,0.0,0.0,190233236778.88257,0.0 
