Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,88392369.28519464,88392369.28519459 
 01/01  02:00:00,,,105068693.42215988,105068693.42215982 
 01/01  03:00:00,,,82769453.445955,82769453.44595493 
 01/01  04:00:00,,,88780982.87269276,88780982.87269272 
 01/01  05:00:00,,,97996264.31616616,97996264.31616612 
 01/01  06:00:00,,,124057580.94586267,124057580.94586256 
 01/01  07:00:00,,,199180072.16766942,199180072.16766953 
 01/01  08:00:00,,,212638986.39305303,212638986.3930531 
 01/01  09:00:00,,,215616058.87882307,215616058.8788231 
 01/01  10:00:00,,,190086399.18071014,190086399.18071023 
 01/01  11:00:00,,,175296538.7394906,175296538.7394907 
 01/01  12:00:00,,,180166665.8571307,180166665.85713083 
 01/01  13:00:00,,,159343579.50740755,159343579.50740758 
 01/01  14:00:00,,,146479586.19523567,146479586.19523555 
 01/01  15:00:00,,,152555370.9328535,152555370.93285343 
 01/01  16:00:00,,,158386589.62904984,158386589.62904996 
 01/01  17:00:00,,,191852635.76611683,191852635.7661169 
 01/01  18:00:00,,,223970957.19881797,223970957.19881806 
 01/01  19:00:00,,,258612692.28092775,258612692.2809278 
 01/01  20:00:00,,,245740166.05597016,245740166.0559702 
 01/01  21:00:00,,,236518145.94584906,236518145.94584915 
 01/01  22:00:00,,,206631777.5231484,206631777.52314845 
 01/01  23:00:00,,,178261337.734311,178261337.7343111 
 01/01  24:00:00,,,132164405.20494054,132164405.20494047 
 01/02  01:00:00,,,107176471.9356308,107176471.93563075 
 01/02  02:00:00,,,89302289.46156056,89302289.4615605 
 01/02  03:00:00,,,93012248.9927787,93012248.99277866 
 01/02  04:00:00,,,78972527.85570231,78972527.85570224 
 01/02  05:00:00,,,89012123.07270421,89012123.07270415 
 01/02  06:00:00,,,134066471.85845712,134066471.85845706 
 01/02  07:00:00,,,195645580.82805043,195645580.8280504 
 01/02  08:00:00,,,208943764.706252,208943764.7062521 
 01/02  09:00:00,,,202341399.75908935,202341399.75908938 
 01/02  10:00:00,,,182062448.76481694,182062448.76481688 
 01/02  11:00:00,,,186776969.49340922,186776969.49340925 
 01/02  12:00:00,,,165672631.32009372,165672631.32009378 
 01/02  13:00:00,,,156525586.33156222,156525586.33156216 
 01/02  14:00:00,,,160156119.0343592,160156119.0343591 
 01/02  15:00:00,,,144213815.9393526,144213815.93935254 
 01/02  16:00:00,,,164640456.55547705,164640456.5554771 
 01/02  17:00:00,,,183160122.9797085,183160122.97970855 
 01/02  18:00:00,,,230554162.72869658,230554162.72869658 
 01/02  19:00:00,,,250264891.01284528,250264891.01284537 
 01/02  20:00:00,,,247534452.8764182,247534452.8764183 
 01/02  21:00:00,,,236864729.5251295,236864729.52512965 
 01/02  22:00:00,,,205320243.95810387,205320243.9581039 
 01/02  23:00:00,,,180704462.0489063,180704462.04890642 
 01/02  24:00:00,,,131151928.54189378,131151928.54189375 
 01/03  01:00:00,,,105780851.22936527,105780851.22936523 
 01/03  02:00:00,,,80886261.78396179,80886261.78396171 
 01/03  03:00:00,,,85446303.2172305,85446303.21723042 
 01/03  04:00:00,,,90432725.56376702,90432725.56376696 
 01/03  05:00:00,,,87691920.88299605,87691920.88299598 
 01/03  06:00:00,,,119905412.82148537,119905412.8214853 
 01/03  07:00:00,,,208322912.7532772,208322912.75327712 
 01/03  08:00:00,,,209229848.77891743,209229848.7789175 
 01/03  09:00:00,,,201732468.5296039,201732468.52960396 
 01/03  10:00:00,,,192073845.18385988,192073845.18385988 
 01/03  11:00:00,,,192058150.83487096,192058150.83487096 
 01/03  12:00:00,,,171265305.2790854,171265305.27908534 
 01/03  13:00:00,,,160647094.3086764,160647094.3086764 
 01/03  14:00:00,,,159106110.1620191,159106110.1620192 
 01/03  15:00:00,,,155257914.49953756,155257914.4995375 
 01/03  16:00:00,,,153918556.7695391,153918556.769539 
 01/03  17:00:00,,,192047216.21958095,192047216.21958104 
 01/03  18:00:00,,,246531648.14452347,246531648.14452353 
 01/03  19:00:00,,,252015700.95006752,252015700.9500676 
 01/03  20:00:00,,,246975132.92535308,246975132.92535317 
 01/03  21:00:00,,,234335917.47232035,234335917.4723205 
 01/03  22:00:00,,,214731618.3522334,214731618.35223347 
 01/03  23:00:00,,,184572730.42668775,184572730.42668787 
 01/03  24:00:00,,,135588466.02299127,135588466.02299124 
 01/04  01:00:00,,,106784188.96722262,106784188.96722257 
 01/04  02:00:00,,,89700664.65254508,89700664.65254503 
 01/04  03:00:00,,,91093380.63758782,91093380.63758779 
 01/04  04:00:00,,,96046483.78989798,96046483.78989792 
 01/04  05:00:00,,,92873767.19520438,92873767.19520432 
 01/04  06:00:00,,,125364282.79637097,125364282.79637095 
 01/04  07:00:00,,,205759840.52004343,205759840.52004352 
 01/04  08:00:00,,,222357721.5484423,222357721.54844242 
 01/04  09:00:00,,,204438221.39394438,204438221.39394435 
 01/04  10:00:00,,,198449772.41698027,198449772.41698024 
 01/04  11:00:00,,,196032758.51884103,196032758.51884097 
 01/04  12:00:00,,,175157169.25133577,175157169.25133577 
 01/04  13:00:00,,,164689084.1205264,164689084.1205264 
 01/04  14:00:00,,,163626740.9474277,163626740.94742775 
 01/04  15:00:00,,,150380401.9446002,150380401.94460028 
 01/04  16:00:00,,,163570883.7619756,163570883.7619756 
 01/04  17:00:00,,,195756589.0197338,195756589.01973388 
 01/04  18:00:00,,,249514746.64926714,249514746.64926726 
 01/04  19:00:00,,,255243809.34514278,255243809.34514287 
 01/04  20:00:00,,,251748491.12873203,251748491.12873214 
 01/04  21:00:00,,,235350619.83572996,235350619.83573008 
 01/04  22:00:00,,,217970607.90851873,217970607.9085188 
 01/04  23:00:00,,,186131689.6522145,186131689.6522146 
 01/04  24:00:00,,,136505164.88008416,136505164.88008422 
 01/05  01:00:00,,,104406656.23439027,104406656.23439023 
 01/05  02:00:00,,,93519153.08607577,93519153.0860757 
 01/05  03:00:00,,,91188302.12147261,91188302.12147255 
 01/05  04:00:00,,,95969032.81192833,95969032.81192829 
 01/05  05:00:00,,,92813100.07967396,92813100.07967392 
 01/05  06:00:00,,,125182210.66806626,125182210.6680662 
 01/05  07:00:00,,,204093314.8557185,204093314.85571864 
 01/05  08:00:00,,,224187345.02787465,224187345.02787477 
 01/05  09:00:00,,,204783588.96664524,204783588.96664524 
 01/05  10:00:00,,,197429373.18728063,197429373.1872806 
 01/05  11:00:00,,,195158861.04608285,195158861.0460828 
 01/05  12:00:00,,,173712081.0886693,173712081.08866933 
 01/05  13:00:00,,,162944533.95586753,162944533.95586753 
 01/05  14:00:00,,,164134625.15034387,164134625.15034395 
 01/05  15:00:00,,,148764095.68332034,148764095.68332037 
 01/05  16:00:00,,,162190987.23115894,162190987.23115885 
 01/05  17:00:00,,,193311318.1676852,193311318.16768533 
 01/05  18:00:00,,,248658404.77637324,248658404.77637333 
 01/05  19:00:00,,,255620118.2731568,255620118.27315682 
 01/05  20:00:00,,,251233301.30171028,251233301.30171034 
 01/05  21:00:00,,,233547253.3558021,233547253.35580218 
 01/05  22:00:00,,,213195968.26515937,213195968.26515946 
 01/05  23:00:00,,,181929361.30044824,181929361.3004483 
 01/05  24:00:00,,,141364648.43736178,141364648.43736175 
 01/06  01:00:00,,,103148156.84626286,103148156.84626281 
 01/06  02:00:00,,,96363448.87108386,96363448.87108381 
 01/06  03:00:00,,,86906529.25522208,86906529.25522207 
 01/06  04:00:00,,,87954552.12216532,87954552.12216526 
 01/06  05:00:00,,,99826763.76640846,99826763.76640843 
 01/06  06:00:00,,,124750031.98121831,124750031.98121826 
 01/06  07:00:00,,,205742892.28324395,205742892.2832441 
 01/06  08:00:00,,,220499310.4354435,220499310.43544358 
 01/06  09:00:00,,,205967371.88526398,205967371.88526392 
 01/06  10:00:00,,,194427914.3505655,194427914.3505655 
 01/06  11:00:00,,,193783673.0706097,193783673.07060963 
 01/06  12:00:00,,,172477903.576757,172477903.57675695 
 01/06  13:00:00,,,165276262.47443023,165276262.4744302 
 01/06  14:00:00,,,161485311.01482505,161485311.01482508 
 01/06  15:00:00,,,143531187.3213569,143531187.3213568 
 01/06  16:00:00,,,159802461.4793075,159802461.4793074 
 01/06  17:00:00,,,198241711.44456053,198241711.44456065 
 01/06  18:00:00,,,237433605.759024,237433605.7590241 
 01/06  19:00:00,,,257500323.61898685,257500323.61898693 
 01/06  20:00:00,,,252103695.49633053,252103695.49633065 
 01/06  21:00:00,,,232030301.3761815,232030301.3761816 
 01/06  22:00:00,,,208760015.08922276,208760015.08922276 
 01/06  23:00:00,,,180973796.28414917,180973796.28414926 
 01/06  24:00:00,,,142508627.4643011,142508627.4643011 
 01/07  01:00:00,,,103453287.86284912,103453287.86284907 
 01/07  02:00:00,,,99929245.2386581,99929245.23865807 
 01/07  03:00:00,,,89817851.67533056,89817851.67533052 
 01/07  04:00:00,,,86059727.75861257,86059727.75861254 
 01/07  05:00:00,,,94595342.4205895,94595342.42058945 
 01/07  06:00:00,,,128227323.68517819,128227323.68517813 
 01/07  07:00:00,,,198181110.3855476,198181110.38554767 
 01/07  08:00:00,,,217960357.62120444,217960357.62120444 
 01/07  09:00:00,,,199919585.50663793,199919585.50663802 
 01/07  10:00:00,,,188643420.32952064,188643420.32952067 
 01/07  11:00:00,,,188572621.03983295,188572621.0398331 
 01/07  12:00:00,,,167358593.80884925,167358593.80884936 
 01/07  13:00:00,,,164203083.21898195,164203083.218982 
 01/07  14:00:00,,,156050010.23772234,156050010.23772228 
 01/07  15:00:00,,,145590492.61263987,145590492.61263978 
 01/07  16:00:00,,,158428592.40248403,158428592.40248415 
 01/07  17:00:00,,,190487737.05136678,190487737.05136687 
 01/07  18:00:00,,,235646119.57876107,235646119.57876125 
 01/07  19:00:00,,,255428867.22237435,255428867.22237447 
 01/07  20:00:00,,,245950195.25165555,245950195.2516556 
 01/07  21:00:00,,,233557296.1107644,233557296.1107645 
 01/07  22:00:00,,,212081551.44291347,212081551.44291356 
 01/07  23:00:00,,,176695778.76593667,176695778.76593673 
 01/07  24:00:00,,,135359343.78227788,135359343.78227782 
 01/08  01:00:00,,,99606147.00978974,99606147.00978966 
 01/08  02:00:00,,,97130928.58697423,97130928.58697417 
 01/08  03:00:00,,,88387161.09835409,88387161.09835403 
 01/08  04:00:00,,,85792648.63059133,85792648.63059127 
 01/08  05:00:00,,,89664481.73270878,89664481.73270871 
 01/08  06:00:00,,,128079154.00266388,128079154.00266382 
 01/08  07:00:00,,,196944885.793804,196944885.79380402 
 01/08  08:00:00,,,217760401.88778678,217760401.88778684 
 01/08  09:00:00,,,204179803.47562835,204179803.47562844 
 01/08  10:00:00,,,188095150.79239398,188095150.79239404 
 01/08  11:00:00,,,185332998.24658862,185332998.24658874 
 01/08  12:00:00,,,168900791.5797892,168900791.57978922 
 01/08  13:00:00,,,164820162.65662378,164820162.65662387 
 01/08  14:00:00,,,154851411.7820292,154851411.78202915 
 01/08  15:00:00,,,146225026.90318328,146225026.90318322 
 01/08  16:00:00,,,159465772.1484033,159465772.14840335 
 01/08  17:00:00,,,194388757.65912527,194388757.6591254 
 01/08  18:00:00,,,239322428.69164908,239322428.6916491 
 01/08  19:00:00,,,256264189.01731917,256264189.0173192 
 01/08  20:00:00,,,248718489.88735032,248718489.8873505 
 01/08  21:00:00,,,236598250.68365604,236598250.68365613 
 01/08  22:00:00,,,216772042.3813504,216772042.38135046 
 01/08  23:00:00,,,182895554.47266412,182895554.47266424 
 01/08  24:00:00,,,137408696.0575015,137408696.05750147 
 01/09  01:00:00,,,99621730.4811642,99621730.48116416 
 01/09  02:00:00,,,95917370.28182426,95917370.28182422 
 01/09  03:00:00,,,92984249.8720755,92984249.87207545 
 01/09  04:00:00,,,92853829.55874372,92853829.55874369 
 01/09  05:00:00,,,95358101.29456034,95358101.29456027 
 01/09  06:00:00,,,124771728.1196076,124771728.11960754 
 01/09  07:00:00,,,199716747.3688223,199716747.36882243 
 01/09  08:00:00,,,221155309.9908673,221155309.99086738 
 01/09  09:00:00,,,212932498.43047816,212932498.4304781 
 01/09  10:00:00,,,198138842.28614554,198138842.28614554 
 01/09  11:00:00,,,183185889.28554022,183185889.28554016 
 01/09  12:00:00,,,178806466.59298038,178806466.59298033 
 01/09  13:00:00,,,162760713.07127616,162760713.07127625 
 01/09  14:00:00,,,153177266.34526202,153177266.34526202 
 01/09  15:00:00,,,146882895.0920923,146882895.09209222 
 01/09  16:00:00,,,161647856.05025274,161647856.05025274 
 01/09  17:00:00,,,192790834.5362133,192790834.53621334 
 01/09  18:00:00,,,241767150.59242386,241767150.59242395 
 01/09  19:00:00,,,254821926.86924466,254821926.86924478 
 01/09  20:00:00,,,240262113.45274153,240262113.45274168 
 01/09  21:00:00,,,233865088.62244612,233865088.6224462 
 01/09  22:00:00,,,214118437.68293533,214118437.68293542 
 01/09  23:00:00,,,178549736.95632356,178549736.95632356 
 01/09  24:00:00,,,138897084.61000493,138897084.6100049 
 01/10  01:00:00,,,101472499.22996928,101472499.22996923 
 01/10  02:00:00,,,92669839.2332705,92669839.23327042 
 01/10  03:00:00,,,84278196.02919948,84278196.02919942 
 01/10  04:00:00,,,89955508.24673542,89955508.24673535 
 01/10  05:00:00,,,92010786.10650763,92010786.10650754 
 01/10  06:00:00,,,121591448.59499896,121591448.5949989 
 01/10  07:00:00,,,202673004.4969255,202673004.4969255 
 01/10  08:00:00,,,217846157.43630046,217846157.43630058 
 01/10  09:00:00,,,202731422.23366162,202731422.2336616 
 01/10  10:00:00,,,192692322.69794518,192692322.6979452 
 01/10  11:00:00,,,190017546.27902302,190017546.27902302 
 01/10  12:00:00,,,170112720.903941,170112720.90394098 
 01/10  13:00:00,,,165994629.54554817,165994629.5455483 
 01/10  14:00:00,,,157308517.92294574,157308517.92294574 
 01/10  15:00:00,,,148108202.8574629,148108202.85746282 
 01/10  16:00:00,,,154759565.43630293,154759565.43630284 
 01/10  17:00:00,,,193769084.81221226,193769084.81221235 
 01/10  18:00:00,,,241116686.55826437,241116686.5582645 
 01/10  19:00:00,,,253853752.54132447,253853752.5413245 
 01/10  20:00:00,,,244171564.80207616,244171564.80207625 
 01/10  21:00:00,,,232913226.66775215,232913226.6677523 
 01/10  22:00:00,,,211027810.52651402,211027810.52651408 
 01/10  23:00:00,,,176650603.00500488,176650603.00500494 
 01/10  24:00:00,,,131878706.23514083,131878706.23514074 
 01/11  01:00:00,,,99041015.23836151,99041015.23836146 
 01/11  02:00:00,,,91007289.74697968,91007289.7469796 
 01/11  03:00:00,,,82746764.19482249,82746764.19482245 
 01/11  04:00:00,,,94566225.4120559,94566225.41205582 
 01/11  05:00:00,,,84519317.82970418,84519317.8297041 
 01/11  06:00:00,,,121451356.39253485,121451356.39253476 
 01/11  07:00:00,,,207082278.127857,207082278.1278571 
 01/11  08:00:00,,,215866980.47487542,215866980.47487557 
 01/11  09:00:00,,,203136544.12626275,203136544.1262627 
 01/11  10:00:00,,,194385134.58465537,194385134.58465543 
 01/11  11:00:00,,,188159488.3310477,188159488.33104765 
 01/11  12:00:00,,,169231756.95903853,169231756.9590385 
 01/11  13:00:00,,,165742985.85343462,165742985.8534347 
 01/11  14:00:00,,,156476429.59094134,156476429.5909413 
 01/11  15:00:00,,,154014569.93622154,154014569.93622145 
 01/11  16:00:00,,,155646614.17608044,155646614.1760804 
 01/11  17:00:00,,,194224041.87429085,194224041.87429088 
 01/11  18:00:00,,,234847079.40017253,234847079.40017265 
 01/11  19:00:00,,,254551543.47529763,254551543.47529766 
 01/11  20:00:00,,,245394510.74692762,245394510.7469277 
 01/11  21:00:00,,,240628344.54164305,240628344.54164308 
 01/11  22:00:00,,,206473529.2683981,206473529.2683982 
 01/11  23:00:00,,,179726462.58658576,179726462.58658588 
 01/11  24:00:00,,,133711698.8691656,133711698.86916554 
 01/12  01:00:00,,,105407710.96172802,105407710.96172795 
 01/12  02:00:00,,,84501597.45941709,84501597.45941702 
 01/12  03:00:00,,,98996773.7932232,98996773.79322314 
 01/12  04:00:00,,,81423955.41267528,81423955.4126752 
 01/12  05:00:00,,,86436855.56011668,86436855.56011662 
 01/12  06:00:00,,,136857413.9996525,136857413.99965245 
 01/12  07:00:00,,,195019924.4339429,195019924.4339429 
 01/12  08:00:00,,,212789426.39752248,212789426.39752257 
 01/12  09:00:00,,,215519698.80753654,215519698.80753648 
 01/12  10:00:00,,,191778222.014354,191778222.01435402 
 01/12  11:00:00,,,183231803.45744556,183231803.4574455 
 01/12  12:00:00,,,179236737.32926667,179236737.3292666 
 01/12  13:00:00,,,164919387.10657996,164919387.10657996 
 01/12  14:00:00,,,153423444.6475187,153423444.6475188 
 01/12  15:00:00,,,153962634.25482064,153962634.2548206 
 01/12  16:00:00,,,166583080.95791548,166583080.95791546 
 01/12  17:00:00,,,191196774.81117508,191196774.81117514 
 01/12  18:00:00,,,228803938.77445677,228803938.77445686 
 01/12  19:00:00,,,257785888.70349136,257785888.70349145 
 01/12  20:00:00,,,247755394.75061822,247755394.7506183 
 01/12  21:00:00,,,240429230.1681729,240429230.16817302 
 01/12  22:00:00,,,210055630.28167012,210055630.28167027 
 01/12  23:00:00,,,179101993.659669,179101993.65966907 
 01/12  24:00:00,,,149536295.75760922,149536295.75760916 
 01/13  01:00:00,,,93228182.60983548,93228182.60983543 
 01/13  02:00:00,,,105286703.6774872,105286703.67748716 
 01/13  03:00:00,,,82599888.57535088,82599888.57535085 
 01/13  04:00:00,,,88119913.59594694,88119913.59594688 
 01/13  05:00:00,,,97549485.15412544,97549485.15412538 
 01/13  06:00:00,,,123569564.01534422,123569564.01534416 
 01/13  07:00:00,,,199222362.30693537,199222362.3069355 
 01/13  08:00:00,,,226743538.78956684,226743538.78956687 
 01/13  09:00:00,,,203997760.12780544,203997760.12780538 
 01/13  10:00:00,,,199207423.37175936,199207423.3717593 
 01/13  11:00:00,,,192349168.91326404,192349168.91326404 
 01/13  12:00:00,,,171397984.51400405,171397984.51400396 
 01/13  13:00:00,,,162139354.76909992,162139354.7691 
 01/13  14:00:00,,,156614673.9499376,156614673.94993758 
 01/13  15:00:00,,,139966064.45541903,139966064.45541894 
 01/13  16:00:00,,,164517346.98324218,164517346.98324215 
 01/13  17:00:00,,,189328210.55964166,189328210.55964178 
 01/13  18:00:00,,,246065758.50006384,246065758.50006393 
 01/13  19:00:00,,,252361358.96300977,252361358.96300983 
 01/13  20:00:00,,,252539834.42427936,252539834.42427948 
 01/13  21:00:00,,,224449593.5127372,224449593.5127373 
 01/13  22:00:00,,,224300072.42645383,224300072.42645395 
 01/13  23:00:00,,,180375588.40221342,180375588.40221354 
 01/13  24:00:00,,,134679535.6901021,134679535.69010204 
 01/14  01:00:00,,,101629892.48048845,101629892.48048842 
 01/14  02:00:00,,,99053905.16585612,99053905.16585608 
 01/14  03:00:00,,,84593703.3391343,84593703.33913423 
 01/14  04:00:00,,,95123950.879159,95123950.87915896 
 01/14  05:00:00,,,91601810.24170104,91601810.24170098 
 01/14  06:00:00,,,122036732.33816616,122036732.33816609 
 01/14  07:00:00,,,202886635.0160304,202886635.01603046 
 01/14  08:00:00,,,219233899.67420983,219233899.67420992 
 01/14  09:00:00,,,199320722.2301129,199320722.23011303 
 01/14  10:00:00,,,188912811.36615595,188912811.366156 
 01/14  11:00:00,,,188962607.4020968,188962607.40209693 
 01/14  12:00:00,,,168134390.7185742,168134390.7185743 
 01/14  13:00:00,,,166222389.33557874,166222389.33557883 
 01/14  14:00:00,,,154711765.15769604,154711765.157696 
 01/14  15:00:00,,,153223649.69717604,153223649.697176 
 01/14  16:00:00,,,146705234.58288386,146705234.582884 
 01/14  17:00:00,,,194554114.2544256,194554114.25442567 
 01/14  18:00:00,,,239726695.5710012,239726695.57100132 
 01/14  19:00:00,,,250966394.13116798,250966394.1311681 
 01/14  20:00:00,,,245332364.3116149,245332364.31161502 
 01/14  21:00:00,,,240176814.4751925,240176814.47519252 
 01/14  22:00:00,,,205671924.52404025,205671924.52404034 
 01/14  23:00:00,,,181191751.26488015,181191751.26488024 
 01/14  24:00:00,,,131706589.54552098,131706589.5455209 
 01/15  01:00:00,,,106732149.71845227,106732149.71845222 
 01/15  02:00:00,,,81656625.63500006,81656625.63499998 
 01/15  03:00:00,,,99420361.11119804,99420361.11119798 
 01/15  04:00:00,,,78539653.60173042,78539653.60173035 
 01/15  05:00:00,,,88718364.82332663,88718364.82332657 
 01/15  06:00:00,,,134087625.88639463,134087625.88639453 
 01/15  07:00:00,,,195771861.66253063,195771861.6625306 
 01/15  08:00:00,,,209747925.05995312,209747925.0599532 
 01/15  09:00:00,,,209744503.60237992,209744503.60237998 
 01/15  10:00:00,,,181254619.24422315,181254619.2442231 
 01/15  11:00:00,,,180794509.77513686,180794509.7751368 
 01/15  12:00:00,,,170968450.57447568,170968450.57447574 
 01/15  13:00:00,,,164721830.0981661,164721830.09816605 
 01/15  14:00:00,,,147468593.3825401,147468593.38254005 
 01/15  15:00:00,,,151302883.73424837,151302883.7342483 
 01/15  16:00:00,,,157256349.23191506,157256349.23191512 
 01/15  17:00:00,,,189242114.31006044,189242114.31006056 
 01/15  18:00:00,,,232339669.3837492,232339669.38374928 
 01/15  19:00:00,,,252644044.38975573,252644044.3897558 
 01/15  20:00:00,,,238934121.9320377,238934121.93203777 
 01/15  21:00:00,,,238862700.53109518,238862700.53109527 
 01/15  22:00:00,,,204388613.3090033,204388613.30900332 
 01/15  23:00:00,,,179435128.74398142,179435128.74398145 
 01/15  24:00:00,,,144052497.43565723,144052497.43565717 
 01/16  01:00:00,,,92029759.8586265,92029759.85862644 
 01/16  02:00:00,,,93518024.73613013,93518024.73613007 
 01/16  03:00:00,,,83188808.32530978,83188808.32530971 
 01/16  04:00:00,,,78330657.12201555,78330657.12201549 
 01/16  05:00:00,,,97818012.05504826,97818012.05504818 
