Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,3309157650.521793,4032718.1376403933,4584295993.73462,0.0,2992577440.3674355,171152924.11361217,4563752381.007562,0.0,2504480966.4160237,0.0,2503903747.1124897,0.0,1343198414.3911219,38369257.88895313,1621938534.7137706,28211002.51427497,2663624023.358376,36825479.30071145,3873062211.8974223,0.0,2632332634.9915156,28774033.678666722,3850063539.10308,0.0,1699455221.0822554,6516760.877311601,1698869955.137792,6459081.202115342,776689687.828767,226495037.53235152,776517249.3108423,226766050.85269123,5395285151.930263,14268875.754881524,6703687248.313292,0.0,5361796029.7973,8678098.05105231,6676395690.834622,0.0,4172441067.155583,0.0,4171855428.695985,0.0,2963668173.9660177,50370181.280772135,2963273011.368378,50380494.91058239,0.0,0.0,0.0,0.0,0.0,0.0,113909532137.95218,225940662681.93344 
February,2169432454.2319126,56968715.659141056,3349349113.3653574,0.0,2095676209.8195257,503452218.2842618,3345193563.2489276,0.0,1753255922.4698842,1138167.9919297113,1753463139.393939,1134830.9444701015,798769408.895327,158685484.78416306,980753624.8658123,123700406.26856948,1592287382.1853812,146176884.60709664,2652583967.8444886,12285552.170528231,1583891414.7623286,146088911.21140432,2639964211.3275757,7120419.066991251,1073137074.0552812,48434919.54290586,1073021228.5238811,48159519.66696849,401345704.6281652,361795579.01578856,401414484.6945849,361653680.3235689,3640671562.8743563,86340388.25133786,4852554817.077897,3002961.3860336607,3620107705.833155,83109612.90096724,4838085609.213861,453628.658575179,2932673131.1854424,5972340.935236895,2932910662.527401,5834114.663170213,1879912659.7310123,145178337.98911315,1880999726.8772259,145289794.22258994,0.0,0.0,0.0,0.0,0.0,0.0,102423502803.8951,154298419024.8 
March,1286934967.3226256,66566824.764088534,2471999385.470769,991043.7740152793,1549607235.6524773,821504223.5174834,2441889959.576488,800103.3432560719,1137984310.4661572,7318500.766951967,1136800177.4116924,7087658.267184378,304407815.0642747,275779649.5781684,448398085.07390285,212092118.50133902,515228873.8282202,330048747.80926734,1374575104.8264983,45287032.09347671,492408411.10492957,342066097.8841166,1321594408.8160336,28022809.12685554,356970223.8093031,189867932.37286466,355598635.77448726,189486057.27932703,19463731.403949138,670611956.091553,19560222.994525675,670956292.4248161,2068009531.7599022,142633053.96651894,3151862220.527113,13546292.85275561,2021121607.3947217,141548702.26912063,3100503052.713216,5029199.702105623,1721885861.9624274,30856384.20708252,1720899358.754612,30342649.062093962,877509277.7445043,263186712.09662348,878558288.743641,263525363.77958494,0.0,0.0,0.0,0.0,0.0,0.0,111486587677.35349,92097585375.01985 
April,449820585.9149698,221837835.6668253,998197957.5375502,66543203.87464411,862651319.1943696,1618377729.3458498,914868225.2983644,61973490.81482564,337774124.6819106,155590252.43600586,334517359.116278,155482074.1047709,93718014.17811681,391132047.3208094,148819423.30785602,329166547.92558706,102844545.7179019,706030578.930197,308022587.1089687,370128797.3120775,84112251.00391838,709673215.1123108,257332383.3102763,377754222.86854917,40031291.107780375,583184359.0386937,39199999.0763054,582698669.6773005,812790.6776197331,998009442.4577032,711531.764427442,1002541092.3881584,724785276.1938723,438549468.53374296,1185534225.0886245,179354393.248007,663751658.9883729,430040595.271515,1092873952.358488,164925680.85657123,520159010.55567974,251374185.14319485,517964660.2008975,250622262.31975076,247694205.39955094,571346464.4635315,246431030.26526755,574404388.2676136,0.0,0.0,0.0,0.0,0.0,0.0,106806251069.30151,36649874731.03246 
May,11095755.182076192,446068809.9647691,96955187.42084971,261197211.5443354,551264609.2050134,2340525761.8419514,99717516.82009439,266961308.31746888,851046.9799871016,397769225.85319793,891732.6756501385,399248591.71609396,137365.8009759391,571517941.045268,323655.3646357905,435709552.90392816,33829.64858541991,1496695321.0993984,57705.93796227277,1117109039.212064,9897.527801279452,1523391693.0320778,15134.010537022987,1131312801.0270343,40125.24070152457,1268053937.2252204,39277.61746105907,1273294358.7178419,14578.616296981028,1697475536.1032126,14492.989811750307,1702676816.548581,49851133.89339482,1117876566.8772442,132989615.44793032,768273908.4464093,46560442.07632931,1107190942.6554892,127329642.67856634,748387940.5195898,10644928.894017283,819123297.4870608,11072439.299326641,823370187.8478175,21026.94598923225,1187542560.5873685,20718.961362425904,1196114859.9195747,0.0,0.0,0.0,0.0,0.0,0.0,113874662627.97133,7282230446.759681 
June,116820.7435495754,1088512463.7243268,319945.99410170974,854666769.2553824,154220926.75719386,2685577116.8405294,194999.40256002243,869923626.0154705,334978.72662651923,1005957712.0790722,326818.2814148104,1008728412.8044438,124490.52539341265,1233399527.4593105,190772.42592357157,938135164.3152574,93176.6994553039,2155310755.4631968,153622.43545249786,1888689962.2375395,29550.610502118496,2186419121.7520747,48361.41883433569,1924879101.8717463,108957.44605123521,1839348291.2361493,107354.56846032021,1844946540.1529016,48129.631671812844,2107362149.5592892,47457.31977134376,2112565645.656685,79280.33210729617,1835591659.821179,123319.64024331133,1557090950.3396912,19032.68941114029,1855078495.734873,37055.3789265279,1574410351.1367767,66404.52095192997,1538665233.7204535,65062.18256359873,1546172330.1653924,29189.41117764167,1809156705.3359914,27901.824900617197,1816841420.6059728,0.0,0.0,0.0,0.0,0.0,0.0,117038197417.97572,1253079861.4325538 
July,179861.25852293617,1828950624.467965,224536.45174674378,1505847445.409985,146235117.0072708,2888260189.8947887,209334.4693431178,1555729056.2815976,255702.3882841697,1492434546.8861916,252969.64771191133,1499853630.2306166,234505.36670889962,1807167844.1717172,255078.30264222893,1573531438.0354838,71739.46069143146,2766452807.27425,119915.56447772616,2407022752.5885816,62285.595826391895,2835966749.545675,90604.16456426389,2476517665.2849665,170994.43343934527,2175597082.4679794,169262.1309618397,2185079433.9510384,108965.28469436023,2540984078.222219,110293.44034504265,2549906891.4585915,75415.32173891194,2583781420.5715594,92667.34298708959,2207649652.4133673,44302.5584775903,2629589781.04448,57358.65969050112,2245962339.60691,106655.20178288278,2005492885.1175132,103636.3645762454,2016664711.9930167,78185.12943276213,2374014391.2482457,74899.8677175098,2384504825.067173,0.0,0.0,0.0,0.0,0.0,0.0,127797631494.01283,507616537.38015455 
August,210153.65409573968,1930722151.9366336,315893.67507246276,1416964144.3236988,102582368.52642132,3329272780.2221947,286503.9346246132,1447809789.6830113,361529.53670695197,1440142100.7608058,358530.24518389476,1444234321.8178606,257122.3693013603,1955655573.2614539,267565.91468076763,1673372108.9628398,97005.17876280847,2627939766.167743,176136.54791275153,2056325902.5840936,80200.69223270979,2679191697.5828624,169087.3567628307,2102758027.2298522,245300.15036638104,1954686481.6841786,245788.65607860396,1960032162.9699357,140693.58877398696,2537657531.740086,139335.85870653612,2544502608.228127,96076.08544358886,2301827182.4893622,157998.7208239157,1737054550.079674,69013.10705303901,2334530635.7902403,113113.95709936143,1760706198.56394,184932.37562524373,1652405670.552152,183965.56115506048,1660731124.1502142,114049.93893171407,2223006687.0085707,108619.39394455616,2230051509.710875,0.0,0.0,0.0,0.0,0.0,0.0,125123778325.223,737120443.9372213 
September,33846.64556811647,1113627365.0771449,163544.20037847038,648258272.0015032,306119264.249151,3313866971.1043043,127020.71449649332,617699522.1280375,164582.63246903245,813022265.453586,163114.59251119063,812044762.6837965,43233.27996248215,1360598671.2355568,47711.722686978894,979593379.2905524,12928.607071188246,1582022559.1937113,52297.58990661954,990443569.3532542,14676.254106710954,1551323040.9933498,36156.65031582248,956650306.2742362,62967.422439614646,1233962462.8059886,61666.491740922065,1233299640.9928892,20591.9244049179,1882807941.6222868,20660.322368738918,1881935099.3014905,8457511.447906468,1093493475.6221669,52963863.497857675,603624334.2952702,8704000.908297168,1040960807.9863263,51446412.32351487,554798839.1303608,1044354.3735163896,693877360.0565078,1093495.8238343715,693125203.3966068,12001.469664439037,1218834610.8784318,13512.62353102441,1220420522.8915024,0.0,0.0,0.0,0.0,0.0,0.0,109682037412.88557,4300199076.502313 
October,6920271.916570352,594163175.3479865,199565349.70961428,268448119.7735248,702046764.8470901,2662494422.528379,198113575.5647641,262882843.18564054,8094382.668616078,454923442.2740847,8210484.029914732,454703736.98904973,6211.699137151466,791143943.5451638,9587.267057449339,629317412.717826,4629927.161631605,741551589.5290453,164401115.0403018,361895534.97844464,3925258.3571743523,733844198.8275341,160873037.23427966,355301258.20919824,582432.501568292,620786674.1357977,586501.989289618,620488916.0967816,166.81934237059295,1099078785.9200919,173.41593628557348,1099420686.3296552,678099193.7900556,384711124.18084294,1204922691.156867,113228409.98524417,671158334.6494187,366805732.3523538,1186008746.553456,105577333.15548153,456762893.1874944,193204360.31727934,457418065.2608943,191569708.6014827,172422847.81886762,546809309.1343812,172903615.64254817,547734329.1957214,0.0,0.0,0.0,0.0,0.0,0.0,107355745924.12112,24251617835.466347 
