Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,57666998.984714225,57666998.98471424 
 01/01  02:00:00,,,77655280.37843311,77655280.37843314 
 01/01  03:00:00,,,56790327.45793011,56790327.457930155 
 01/01  04:00:00,,,63578220.25620267,63578220.25620273 
 01/01  05:00:00,,,72258420.89361005,72258420.89361005 
 01/01  06:00:00,,,93686309.6230868,93686309.62308678 
 01/01  07:00:00,,,160203923.9672308,160203923.9672308 
 01/01  08:00:00,,,165734199.80109826,165734199.8010982 
 01/01  09:00:00,,,168667357.53651497,168667357.53651494 
 01/01  10:00:00,,,142983392.04279745,142983392.0427974 
 01/01  11:00:00,,,126910185.66396987,126910185.66396984 
 01/01  12:00:00,,,130352279.95933676,130352279.95933667 
 01/01  13:00:00,,,110201263.99405795,110201263.99405791 
 01/01  14:00:00,,,99477973.80024391,99477973.80024388 
 01/01  15:00:00,,,106208584.73844579,106208584.73844577 
 01/01  16:00:00,,,109595456.6976745,109595456.69767442 
 01/01  17:00:00,,,133368617.09138459,133368617.09138453 
 01/01  18:00:00,,,149948756.2416083,149948756.2416082 
 01/01  19:00:00,,,183943639.1318156,183943639.13181552 
 01/01  20:00:00,,,176047156.50878713,176047156.50878704 
 01/01  21:00:00,,,170213376.85510305,170213376.85510302 
 01/01  22:00:00,,,144193899.6445173,144193899.64451724 
 01/01  23:00:00,,,126658780.58181278,126658780.58181272 
 01/01  24:00:00,,,91331037.25200164,91331037.25200164 
 01/02  01:00:00,,,75897610.85082538,75897610.85082543 
 01/02  02:00:00,,,60781953.25807867,60781953.25807869 
 01/02  03:00:00,,,65867812.909459494,65867812.90945952 
 01/02  04:00:00,,,52591906.17996222,52591906.17996225 
 01/02  05:00:00,,,62068919.92256226,62068919.92256227 
 01/02  06:00:00,,,102344034.16150108,102344034.161501 
 01/02  07:00:00,,,155187500.30579084,155187500.30579078 
 01/02  08:00:00,,,160487913.23863247,160487913.23863238 
 01/02  09:00:00,,,153787108.79432976,153787108.7943297 
 01/02  10:00:00,,,133390802.80281332,133390802.8028133 
 01/02  11:00:00,,,137394624.4340534,137394624.4340534 
 01/02  12:00:00,,,115317313.5517236,115317313.55172355 
