Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,3489923003.4089985,2031314.8406964578,4809578331.897134,0.0,2870924032.586724,182003941.8266528,4793363243.846604,0.0,2939570381.393534,0.0,2939101907.284969,0.0,1698474742.1253734,14436325.151608948,1971687540.8309438,11263139.942123218,2835754967.1345086,30154853.187440008,4096219087.204363,0.0,2811620147.5177855,24302248.11516381,4078359235.743049,0.0,2133448654.1148582,0.0,2133040624.520334,0.0,1048415257.3784095,123807562.94498312,1048332967.4187022,124014210.40074421,5576957144.533787,14294134.416640546,6926721529.218869,0.0,5548620188.59463,8417276.746875841,6904948910.996368,0.0,4612227870.7955475,0.0,4611777883.084859,0.0,3341357045.3278866,39191482.571926296,3341207510.4200826,39280186.82558089,0.0,0.0,0.0,0.0,0.0,0.0,91989354570.87794,207491546600.352 
February,2349407780.5923705,37055397.00964328,3600131330.5282845,0.0,2039558220.2970457,528946880.5177493,3599300527.131945,0.0,2176679308.523313,0.0,2176976947.01216,0.0,1064849688.3224261,90984698.59936148,1261942689.9122353,71440442.40476908,1754777557.5926635,119180279.81672995,2896046456.406797,2058139.8420694314,1750946933.0444152,120356066.21775942,2891280443.086554,434288.8032714561,1454831597.8888154,5334690.818132553,1455106799.8734424,5321245.948745031,586363570.1804343,264343251.02942783,586641642.2435852,263836299.87663662,3820604348.1666727,76836010.8982211,5096525068.44797,1746577.8301301638,3804175927.1410704,72877662.56134844,5087244389.149941,0.0,3352390192.67253,0.0,3352847741.4607687,0.0,2186816478.474728,112877893.5541919,2188182844.4521036,112943199.49469908,0.0,0.0,0.0,0.0,0.0,0.0,82228908668.7805,142603454032.9437 
March,1561382521.504478,29952123.968038976,2828567921.0321984,0.0,1577052831.6573734,844173849.1769772,2800463131.775279,0.0,1652090919.4611187,0.0,1651147790.4587028,0.0,564084053.0562928,119828511.74138585,752999794.7695943,92640535.88744397,718285923.4302608,226372045.00518093,1711649196.7405112,8996818.931441955,692032456.6828742,230883800.21442908,1674378356.8202302,2620039.1970541594,711102905.5413991,30414718.563000865,709740710.5847296,30061958.14022662,120730243.69865093,496283028.2851333,120857448.5087818,496817530.46793133,2333659903.4374824,115879806.7816159,3492565844.7613983,4854555.710362403,2292956101.200733,115452590.63704325,3450087836.4597163,636214.6812260876,2208877135.0910535,4071125.749769408,2208343793.095896,3976437.2916020365,1197943411.9552329,178755412.3883754,1199144450.9624753,178845862.40847138,0.0,0.0,0.0,0.0,0.0,0.0,88550860369.83453,87527982348.92308 
April,658996730.4530424,125701537.24908984,1376046176.055263,17345548.936033882,904751727.7695451,1399261128.4626684,1296570708.525292,13727628.1748943,698511355.7239381,27713146.185337365,695597953.5803138,27336061.693690598,210015431.83208334,236354858.1854832,316600251.00022835,185177039.49631217,183586656.07172462,494026289.2710898,501729256.80106115,205014152.58988556,153636834.11570036,497969766.94438887,425218071.3894828,212731212.9351781,142742695.75114462,275506915.8598036,140581221.7563046,276916834.428362,24427214.86369791,618750796.7090074,24128439.380472872,619820652.0005523,928266588.4562839,296050011.03956014,1491556786.9362485,96164632.81240879,860309918.0250888,290288114.47810143,1397142788.538493,91715841.3496046,824956918.4687413,111561602.75282729,823098132.1512855,111450309.67595705,406988383.1831578,352647033.35651684,405606355.0828172,354898205.9388321,0.0,0.0,0.0,0.0,0.0,0.0,83122458351.81937,35101671824.29405 
May,97598679.75760943,240095233.89344436,304239472.59591615,112648748.27679136,513779127.2422725,1397012644.25365,289999168.18174434,115903347.19843389,89291897.35725266,145320505.40440625,89989646.72947556,145901805.3006089,14417461.18081842,292601708.45915926,35658837.145544,250576207.85372874,20263.446273444933,1048342790.1654768,84258.02562160062,704085527.5805683,19783.21777869528,1070526994.2773563,390701.2108021306,717149056.7882748,71857.94534086577,699062648.0701729,70307.71170067877,702565549.674778,48776.507335796836,1074893790.120891,48469.97541468378,1079781402.6788242,136693759.83037844,783745944.1399685,264646467.22890958,462207848.3759047,126527766.81316514,767852387.7898673,252767580.97294247,443970582.82993007,94551749.91418642,423535328.1126472,96008202.0777371,425983038.29110324,25646354.764552403,728188412.4441621,26082839.77169331,733969155.0360409,0.0,0.0,0.0,0.0,0.0,0.0,86019490417.91321,5777710298.292057 
June,276706.8647351355,653602004.1842773,840595.1130764957,441868352.89925236,56579278.287422694,1521256032.9463704,586040.3835633796,447267932.89492494,871646.5771797877,465037079.74586695,857656.2873804237,468366998.08127624,282554.03786926315,690979228.4663956,416854.5459534944,577318176.7800934,48119.478591520696,1655502180.2964242,85157.3185703532,1364640104.4050276,53638.00404544229,1683993720.8370697,96487.71962214749,1389332514.6082873,154348.35406369175,1223928784.7803614,147684.3838175654,1229610606.7014377,95006.58173064986,1509657692.4011166,94645.11150399668,1514731034.7458158,27785.023652486907,1385653228.6445532,68884.6965031024,1087291120.796983,17359.95748127882,1399194643.8758783,260765.93413159534,1086925788.7861376,109656.84906480458,973863246.605306,110868.59725569829,982606930.643602,54367.959454937736,1258894434.0146372,51266.89215628322,1269219720.0999842,0.0,0.0,0.0,0.0,0.0,0.0,87163630137.72917,128612707.59570497 
July,283555.2867450894,1331511686.8250356,389635.0694961956,1004666080.7801081,71956686.24406491,1769270923.433359,241566.12771861625,1052146916.9135936,465688.1926910562,904935907.1523238,454806.88589210383,912188405.1989816,365755.5572568027,1232193784.658746,397221.5820336106,1160861288.279916,97320.57932634192,2217287168.9735904,139805.15325882327,1836371275.551178,102160.82163070062,2278270155.909944,124846.51002757202,1897135282.8202856,237464.24307046633,1516855321.679124,227776.95417950163,1532014206.0851572,191156.26197172486,1900916830.877295,188406.99680681934,1910905811.944692,132550.93497015868,2074512262.6339698,162223.64824780266,1674801490.047611,96539.52520565927,2103277842.2506685,230905.2555710054,1695261506.5473979,158060.73644043307,1392531592.7180092,154155.88907315276,1405628396.954267,123310.24079117953,1778754375.7444081,121745.89827967575,1790828553.0885205,0.0,0.0,0.0,0.0,0.0,0.0,95566592770.66174,54170839.98971049 
August,246976.2387349832,1441062164.0064402,546876.56902697,932179972.3367047,36913105.89909781,2102230829.1187155,353297.39851279225,952416503.7030047,798492.2163362801,861505142.3439373,770832.6228687854,865634168.6744664,297546.960798075,1389509372.2246404,310560.43544613686,1285370832.496944,118454.52328301659,2077480557.8518791,240389.29470520315,1490127911.1447089,119322.9640966068,2121960894.2599049,206384.07413751536,1525196208.9898076,394249.8446369535,1303082917.7930725,374060.3370796129,1307655303.5672772,190804.6732405184,1896679161.8166168,190829.6827862682,1901543880.9263444,88490.71096864594,1792271509.568171,621853.5452111276,1228006379.9307082,56481.567437853366,1815678979.0412128,906351.683546714,1232237913.5918796,251626.90915932998,1056362055.0188329,244597.961469707,1063097121.8935,135958.35655349537,1620487621.0757856,132111.46228746948,1627600151.2970588,0.0,0.0,0.0,0.0,0.0,0.0,93178584271.0552,66442958.26547786 
September,100924.39470944618,718149988.701759,302791.7560306102,404679017.3371452,126129388.57179423,2055013536.6400316,287747.2138835496,386229379.90745443,335030.08035413927,429964917.45514244,332921.1711446888,429077586.0574588,92473.38173339561,822589108.3437591,133657.45421448554,658569404.4828801,26718.999723046167,1121854719.776141,183791.49905791643,597385500.5952106,34779.567147835136,1082932935.0145872,99431.80308130439,558145004.8099346,199986.1611661527,655147560.0376036,196539.38782242776,654548862.604222,48991.24604271415,1270023099.5248697,48803.92840904756,1268591510.5624979,49309346.8535316,735175072.8671329,204131847.9746403,339820312.40197814,48681131.357505165,682229204.2325208,193738072.89432767,306020719.02791244,51697690.8129087,354850761.8611438,52895257.43708724,353091589.65630996,4504393.398380916,751521360.5454236,4639876.19489775,751377632.2447689,0.0,0.0,0.0,0.0,0.0,0.0,81520407700.02719,2004295471.1787748 
October,92012338.0934371,374230277.84353703,503591455.4863062,111002226.1361774,698077477.854175,2072968999.3254826,505029364.59142286,108216483.46663524,137569734.63749012,206808204.1725469,138093940.389793,206158618.4520642,1935545.0058893287,538291886.0127605,10895981.24246094,443662502.2148656,100528636.53656982,500459954.25185126,438889313.2555326,170063539.9796929,101489124.02228434,490669900.83448356,438353195.3000784,166929156.11570817,75181953.53832382,293415941.9428831,75484713.98841284,292718711.37486017,4697.414094175276,707772869.4864659,4691.775152357935,707898340.067695,983236684.5162058,251365071.9564793,1644060824.9919438,45671350.80968111,978107698.3221732,235258586.95704928,1629151005.60421,37767756.59111609,870973396.8695903,66215573.30027588,872014930.7035248,65501915.32778496,395447748.5677106,332880131.6367271,396266194.69940007,332912884.7438035,0.0,0.0,0.0,0.0,0.0,0.0,82638542425.8584,25504971150.313145 
