Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,98324896.63538353,98324896.63538349 
 01/01  02:00:00,,,115684108.35239686,115684108.35239686 
 01/01  03:00:00,,,93257225.87923282,93257225.87923278 
 01/01  04:00:00,,,99332813.95444882,99332813.95444877 
 01/01  05:00:00,,,108825282.24697596,108825282.24697591 
 01/01  06:00:00,,,135920444.39551026,135920444.3955103 
 01/01  07:00:00,,,212459143.7516065,212459143.75160652 
 01/01  08:00:00,,,227256935.6423188,227256935.64231896 
 01/01  09:00:00,,,229777524.8746798,229777524.87467992 
 01/01  10:00:00,,,203714879.15593362,203714879.1559337 
 01/01  11:00:00,,,187699008.63137043,187699008.63137054 
 01/01  12:00:00,,,191546970.2136884,191546970.2136885 
 01/01  13:00:00,,,170689585.18230507,170689585.1823052 
 01/01  14:00:00,,,157604335.87818906,157604335.87818912 
 01/01  15:00:00,,,163477225.36710235,163477225.36710227 
 01/01  16:00:00,,,169736276.66589466,169736276.66589475 
 01/01  17:00:00,,,204852084.524449,204852084.52444908 
 01/01  18:00:00,,,240113197.5538537,240113197.5538538 
 01/01  19:00:00,,,274427795.19118226,274427795.1911823 
 01/01  20:00:00,,,261737044.66290233,261737044.6629024 
 01/01  21:00:00,,,251361361.04498222,251361361.04498228 
 01/01  22:00:00,,,220866602.31455046,220866602.31455055 
 01/01  23:00:00,,,190934927.21491978,190934927.21491987 
 01/01  24:00:00,,,142454669.55870458,142454669.55870456 
 01/02  01:00:00,,,115926785.9836199,115926785.98361985 
 01/02  02:00:00,,,97572530.57622547,97572530.57622543 
 01/02  03:00:00,,,101044006.30785623,101044006.30785617 
 01/02  04:00:00,,,87055066.49776329,87055066.49776325 
 01/02  05:00:00,,,97326664.46666996,97326664.46666992 
 01/02  06:00:00,,,143121612.44229794,143121612.44229788 
 01/02  07:00:00,,,205857197.02524358,205857197.0252437 
 01/02  08:00:00,,,220354291.96942133,220354291.96942145 
 01/02  09:00:00,,,213180542.3476507,213180542.34765074 
 01/02  10:00:00,,,192584847.10382771,192584847.10382774 
 01/02  11:00:00,,,197418728.9260842,197418728.92608428 
 01/02  12:00:00,,,176239477.2027395,176239477.2027396 
 01/02  13:00:00,,,166895993.78720662,166895993.78720674 
 01/02  14:00:00,,,169344493.92555228,169344493.92555228 
 01/02  15:00:00,,,154999387.55381706,154999387.55381703 
 01/02  16:00:00,,,174938719.84651554,174938719.8465156 
 01/02  17:00:00,,,195389518.236373,195389518.23637307 
 01/02  18:00:00,,,245526820.95746592,245526820.95746598 
 01/02  19:00:00,,,265742072.00115532,265742072.00115538 
 01/02  20:00:00,,,262422483.92879808,262422483.9287982 
 01/02  21:00:00,,,251391810.82058686,251391810.82058692 
 01/02  22:00:00,,,218850296.61268693,218850296.61268702 
 01/02  23:00:00,,,192081165.38002503,192081165.38002512 
 01/02  24:00:00,,,140646912.78355056,140646912.78355056 
 01/03  01:00:00,,,113883920.28337485,113883920.2833748 
 01/03  02:00:00,,,88431772.11804,88431772.11803995 
 01/03  03:00:00,,,92679758.0016514,92679758.00165135 
 01/03  04:00:00,,,97557077.86844751,97557077.86844748 
 01/03  05:00:00,,,95267471.32501207,95267471.32501201 
 01/03  06:00:00,,,128552838.96259548,128552838.96259542 
 01/03  07:00:00,,,216960181.31357062,216960181.31357068 
 01/03  08:00:00,,,221391030.13549787,221391030.13549793 
 01/03  09:00:00,,,212769912.03481835,212769912.0348185 
 01/03  10:00:00,,,205738964.57371926,205738964.57371938 
 01/03  11:00:00,,,204164893.7132917,204164893.71329176 
 01/03  12:00:00,,,184153335.13577226,184153335.13577238 
 01/03  13:00:00,,,172838625.91300628,172838625.91300637 
 01/03  14:00:00,,,170579845.48887464,170579845.48887473 
 01/03  15:00:00,,,167744323.4225764,167744323.42257646 
 01/03  16:00:00,,,164923764.91009665,164923764.9100967 
 01/03  17:00:00,,,208004951.42258653,208004951.42258668 
 01/03  18:00:00,,,263385982.9490552,263385982.94905525 
 01/03  19:00:00,,,269099153.6140667,269099153.6140667 
 01/03  20:00:00,,,263350991.67692864,263350991.67692873 
 01/03  21:00:00,,,244849446.7378121,244849446.73781216 
 01/03  22:00:00,,,236421452.68227038,236421452.68227053 
 01/03  23:00:00,,,199402193.81155497,199402193.8115551 
 01/03  24:00:00,,,149120640.63160157,149120640.63160157 
 01/04  01:00:00,,,118708045.64878768,118708045.64878762 
 01/04  02:00:00,,,101363751.20515853,101363751.20515849 
 01/04  03:00:00,,,102972871.62349115,102972871.6234911 
 01/04  04:00:00,,,107831477.07968567,107831477.07968564 
 01/04  05:00:00,,,103802115.90007402,103802115.90007398 
 01/04  06:00:00,,,139530275.8090144,139530275.80901447 
 01/04  07:00:00,,,215012963.30683643,215012963.30683652 
 01/04  08:00:00,,,241417541.3383841,241417541.33838418 
 01/04  09:00:00,,,219343978.57718626,219343978.5771864 
 01/04  10:00:00,,,217098992.5754794,217098992.5754795 
 01/04  11:00:00,,,210354077.7760575,210354077.7760576 
 01/04  12:00:00,,,191478559.35338062,191478559.35338074 
 01/04  13:00:00,,,180903155.3126639,180903155.31266397 
 01/04  14:00:00,,,176762169.87400487,176762169.87400502 
 01/04  15:00:00,,,160517268.22079346,160517268.22079355 
 01/04  16:00:00,,,181740610.1763234,181740610.17632356 
 01/04  17:00:00,,,216165792.77173302,216165792.77173308 
 01/04  18:00:00,,,268930511.8518379,268930511.8518379 
 01/04  19:00:00,,,275098530.4210876,275098530.4210877 
 01/04  20:00:00,,,268725518.5372336,268725518.53723365 
 01/04  21:00:00,,,250091661.08199686,250091661.08199692 
 01/04  22:00:00,,,242528847.81502977,242528847.81502983 
 01/04  23:00:00,,,202238539.3522516,202238539.3522517 
 01/04  24:00:00,,,150761624.89601648,150761624.89601645 
 01/05  01:00:00,,,110892697.97728771,110892697.9772877 
 01/05  02:00:00,,,111748542.92599535,111748542.9259953 
 01/05  03:00:00,,,103097113.24725032,103097113.24725029 
 01/05  04:00:00,,,107636861.47101931,107636861.47101925 
 01/05  05:00:00,,,104591631.9460929,104591631.94609284 
 01/05  06:00:00,,,138172643.66329765,138172643.6632977 
 01/05  07:00:00,,,209516642.1033352,209516642.1033353 
 01/05  08:00:00,,,247894436.65489975,247894436.6548999 
 01/05  09:00:00,,,219370358.11796477,219370358.11796492 
 01/05  10:00:00,,,215069326.54509008,215069326.54509017 
 01/05  11:00:00,,,210082817.66037968,210082817.66037974 
 01/05  12:00:00,,,188575818.8583298,188575818.8583299 
 01/05  13:00:00,,,177016660.80403998,177016660.80404004 
 01/05  14:00:00,,,174352279.16988155,174352279.16988167 
 01/05  15:00:00,,,157766025.96811444,157766025.96811455 
 01/05  16:00:00,,,182943600.8867946,182943600.8867947 
 01/05  17:00:00,,,211497267.17202252,211497267.17202264 
 01/05  18:00:00,,,267361710.72426093,267361710.72426102 
 01/05  19:00:00,,,273257930.63170654,273257930.63170666 
 01/05  20:00:00,,,267540940.0389164,267540940.03891656 
