Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2060904317.4707804,20144566.69726724,3005592554.2850914,10822.707315902793,1949017397.986677,347321708.4488727,2990048307.5327673,0.0,1203885332.43636,31369019.241679177,1203280043.48782,31251500.24278018,484195106.88073874,209568710.6266106,727696779.352329,130601585.2750085,1388710527.9047377,133927068.36830933,2222964811.9058795,16881864.093378697,1375262230.8351476,141204462.76256332,2202151740.722265,13657234.215875028,555936424.5391657,212441200.9619114,555265462.6710109,212197611.85680458,175693673.3286345,651860872.9287282,175552221.24757466,651727396.9130521,4132440899.47078,35956665.05596922,5094853446.064935,144891.9775934652,4101016432.564412,27666463.421499476,5073637833.8006935,11446.193073079367,2819360963.125394,6259037.605145932,2818827609.089475,6166434.391567898,1959295328.688856,110186131.3713138,1959412416.8564723,110423935.40313184,0.0,0.0,0.0,0.0,0.0,0.0,134937692003.13159,133211815939.68439 
February,1233574962.295593,146035175.98906174,2009826088.7389684,23630147.530946366,1301782172.3223796,700694103.9896594,2000502845.9971611,16283680.052590288,701468602.6843736,97027631.95096172,701516536.2630962,96807897.96966398,254672271.70538497,379898475.3786206,384181330.6842871,289889627.80233955,748710619.3128009,390707093.1995516,1321966739.0692163,109494557.59471679,742267191.5401632,384357327.4160946,1311861874.2075596,108862243.75004941,282770863.99429125,378721874.9315949,282732429.1708148,378209989.1438816,78754263.89091137,871913543.728293,78901690.41074112,873083275.0503436,2687931440.5035243,172889050.3281535,3502601402.842176,30104259.933597863,2668054801.3926873,161250219.75381517,3478698147.0806274,18808058.230323046,1815616773.0966434,57452088.430067316,1815661590.7859888,56868140.91217943,1161919263.2099433,295840750.44041455,1162662607.7991514,296690848.4702609,0.0,0.0,0.0,0.0,0.0,0.0,121349101148.26003,82307725023.40471 
March,447049119.81758916,245359801.0662075,1129271130.3895042,50528964.80167749,863278640.1726805,1141675903.8942626,1083368010.3633225,35680624.849921584,199063170.94578102,244060703.51379213,197817134.58967292,243919648.69123277,2439593.2240238823,672473046.9495993,31715630.29897401,535499652.543283,25844445.142257772,787004287.5880167,267042429.95785245,414937764.5987773,20065827.756349392,794045719.7398744,234861898.48183212,424313145.7178075,4967926.1327675255,762603416.5653528,5005229.574578672,762448596.4249986,0.0,1283843751.6551938,0.0,1286454162.7343488,1239856711.8856833,298461800.1555116,1853054186.1081202,96053571.36227909,1190909499.7494073,285879816.2415724,1783501023.5679293,79133679.21933037,736441872.1382028,207289951.7076991,735697224.4000505,206412630.56905144,353012743.07046366,523193261.8055101,353678557.56742823,524963254.99240595,0.0,0.0,0.0,0.0,0.0,0.0,131735895190.30803,29697996039.441162 
April,79155557.30205871,557038190.3490477,250700791.1203664,312415115.38109064,246274364.4539892,1053793754.2519621,208514270.07881087,326717718.4978148,12031578.973808276,568453720.1249338,11604939.188618204,568887078.8854207,0.0,913264366.9942089,303331.69606841775,787690138.200039,331536.26162287686,1594106010.7756522,16840821.14115582,1047301743.4293659,0.0,1630946503.785435,12905969.561481168,1066998523.7923656,0.0,1433518323.0229921,0.0,1439571129.3252704,0.0,2080394810.4447248,0.0,2086735841.1915154,349266543.31921595,936897819.731044,504202935.9452669,525775258.37159246,305613359.4017433,934254552.9925524,447798501.2223899,513237645.3918331,138013232.47100723,690203530.515242,137314939.33604726,692673723.9755783,71253198.95932682,1190709792.1718943,70909258.98654628,1196773509.188181,0.0,0.0,0.0,0.0,0.0,0.0,131140531673.08922,6811513321.108897 
May,37320.31444298531,1168375010.4416144,67998.38843067177,873921029.7418071,64039978.317243055,937752419.919563,75100.11545658251,887383432.2976966,78421.92117944562,1204699471.123188,78218.11502463017,1209016001.1771903,37392.82272462961,1560973523.4719958,38607.71134164713,1443420555.2470927,4757.266807642271,2489916150.7638087,17602.260374764974,2084586506.151275,4625.278929097067,2526861737.405503,26160.911071580354,2124138662.1993344,36927.74343001129,2283686537.9979973,36643.967201508705,2287691075.4208364,10065.690551193286,2703896845.8000937,10064.473500379829,2706781738.8943424,28810.33692927668,1906535819.011041,667224.9801412519,1501365852.6316354,14956.748173651702,1914652208.537758,956944.07762603,1499322465.3112943,19228.78960107637,1627771647.1478999,19412.889680229688,1635454469.3368332,2859.4804704621647,2051624005.339416,2794.3250847807576,2057191107.6988988,0.0,0.0,0.0,0.0,0.0,0.0,143086607191.1923,78114319.86178605 
June,95187.17499026275,1995744891.390677,141999.18549072882,1779550819.901144,72908941.19181816,1416090861.3555653,149523.56631913505,1803678550.412906,198344.57200071338,1950955050.096906,197750.94635783162,1954370670.8469875,108872.17255869802,2180922387.617069,110646.66975735655,2164002957.9919744,21797.37931463674,3072308441.9765134,52070.884189211654,2828144603.9259048,20233.300840659627,3115735266.2168846,54084.24543297777,2873705698.811344,103304.26359405793,2741488978.187699,102846.76961481571,2747366286.3123236,54305.90904118847,2996396169.2934575,54083.958049718305,3001790245.208102,17917.560960649615,2678487912.246218,28834.151930214968,2411804690.3790417,9214.917490436548,2719474503.759499,20738.3908034833,2446643341.022437,66967.55851482772,2392325710.850367,66460.77424518968,2400026097.733023,23519.355008983246,2650013190.9200454,22165.117317240976,2657321046.828483,0.0,0.0,0.0,0.0,0.0,0.0,146293934082.76675,0.0 
July,172397.00373822715,2757590777.288379,239401.55277321956,2443533691.574841,113037534.14338396,1777737124.476413,167872.94075109827,2502276724.0207796,259074.83580145604,2426093393.5625725,255213.06078258366,2432623866.634049,198890.1525325476,2754275015.820904,194841.76921312153,2794225324.861614,66427.85984184411,3692676168.5600405,120510.68422699401,3344951465.011009,31147.950760985663,3760056907.277348,89835.16521462504,3417790275.3107266,176183.1780002418,3086285378.3728814,174873.11118890057,3094132305.3045125,100242.58175301972,3440756249.059465,99221.38066703746,3447829996.360991,42425.30879470224,3455979592.7453976,81233.55356448183,3085844315.244858,21759.513715093482,3513149677.0680237,29075.26601828919,3131190804.2102633,113134.04594785691,2863713862.839862,103391.27012428644,2873228440.499038,67480.34214093591,3227578594.253717,65790.81763999477,3236716628.6372566,0.0,0.0,0.0,0.0,0.0,0.0,157966263943.03366,0.0 
August,158206.62639363736,2878914626.8186235,215507.25737137833,2381066885.3177915,69450534.00919154,2107350471.240033,179373.6808054099,2421307163.362482,248567.64154915523,2398854949.0830736,246159.43207084973,2402970890.204978,170105.865861553,2918403898.3407836,166496.09469709496,2941902053.6848674,60030.96631920537,3551987272.09228,129916.29484307222,3010978004.161014,46875.507527545524,3602693085.3259954,117684.70623225947,3066216050.197941,162854.8817255008,2878678898.889436,160307.99472339728,2884146126.027581,93761.68585879613,3431631500.7622643,91732.52121060253,3435811601.655663,47448.0271827661,3155555529.9693103,91303.30699360475,2598849516.697025,30103.95758095102,3203975975.2608147,48800.05667424786,2638238078.2708945,135553.6245835084,2511024056.710344,130029.39986446161,2518152332.3109093,62500.67004891495,3070349506.8793473,60859.437286475586,3076191086.4143877,0.0,0.0,0.0,0.0,0.0,0.0,155455703148.74612,0.0 
September,33160.59518719348,2112549527.5755029,49869.21733258441,1531750763.5386233,43870713.40044459,1414042799.7778518,39926.17752780186,1506094481.3620093,47986.56520769658,1821259060.8703098,47775.68385332692,1820028294.9197872,34275.68839635578,2427075003.0741024,34417.47805989594,2375131073.407541,11744.75110733432,2564237878.5015173,31238.69682237254,1929982154.000524,12088.074531445669,2535700633.586378,35713.624033388274,1901831039.1838913,38922.39698887737,2193649957.5265684,38729.90044269093,2192487676.8811736,16114.875962680846,2844566731.2015667,16132.787097401877,2843728489.4432135,4236.699339015353,1866954969.7267296,22980.9227762667,1272304596.483604,2604.378054059347,1827413113.4170663,26616.162242289425,1226024266.1107924,25027.41392017757,1457061517.253104,24758.04950335073,1458458933.7386186,3796.6706717695556,2092186997.6204515,3819.4228725875346,2092981534.671615,0.0,0.0,0.0,0.0,0.0,0.0,138980707830.9801,4817218.170062978 
October,6234.054174264241,1269737355.673509,6490.307489199597,801598324.885209,40818168.76336938,1352428969.7972417,8212.759140209437,791494898.7907064,10764.503523988311,1170577567.4678974,10800.07610153557,1170112215.1148503,7047.470113086465,1815788059.2415497,7224.3953125205235,1652406271.190571,1063.8558038555288,1533125152.0518413,5417.185828459074,961281131.4637792,1189.9614340464607,1523840456.5285401,6250.820069694759,948940072.482993,6616.464316820857,1477378595.387563,6642.732026165777,1477088009.3332095,1274.4883403212611,2186781806.8826356,1261.438691534977,2186165062.2274003,282077471.8339689,797025970.3665153,412131797.1200337,377960063.04018384,277906694.5051352,778962702.9923906,400746102.86506367,360022622.2371177,55333520.268911846,594116820.2260332,55674894.08391954,593419630.378654,20499141.56717741,1101147620.2207367,20408092.59651645,1102209195.126164,0.0,0.0,0.0,0.0,0.0,0.0,133240242704.01892,3367994611.481742 
