Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,97410159.03788368,97410159.03788367 
 01/01  02:00:00,,,114479174.16044807,114479174.16044804 
 01/01  03:00:00,,,92022708.16689241,92022708.16689238 
 01/01  04:00:00,,,98051379.18015155,98051379.18015152 
 01/01  05:00:00,,,107619421.85281275,107619421.85281274 
 01/01  06:00:00,,,134869086.89974618,134869086.89974618 
 01/01  07:00:00,,,211450614.23310342,211450614.23310354 
 01/01  08:00:00,,,226223874.25110796,226223874.25110808 
 01/01  09:00:00,,,228650076.06724668,228650076.06724676 
 01/01  10:00:00,,,202672176.50129554,202672176.50129563 
 01/01  11:00:00,,,187012853.14538106,187012853.14538115 
 01/01  12:00:00,,,191176310.09988004,191176310.09988016 
 01/01  13:00:00,,,170303641.92135078,170303641.92135084 
 01/01  14:00:00,,,157188333.7445878,157188333.74458784 
 01/01  15:00:00,,,163085534.13896555,163085534.13896552 
 01/01  16:00:00,,,169438957.7156738,169438957.71567386 
 01/01  17:00:00,,,204617060.64864033,204617060.64864042 
 01/01  18:00:00,,,240231843.66975316,240231843.66975316 
 01/01  19:00:00,,,274576675.33199346,274576675.3319935 
 01/01  20:00:00,,,262046580.0553982,262046580.0553983 
 01/01  21:00:00,,,251585312.59644416,251585312.59644425 
 01/01  22:00:00,,,220830595.80225483,220830595.80225495 
 01/01  23:00:00,,,190604757.37597945,190604757.3759795 
 01/01  24:00:00,,,141949101.34884655,141949101.34884652 
 01/02  01:00:00,,,115308574.14043795,115308574.1404379 
 01/02  02:00:00,,,96955331.48453814,96955331.4845381 
 01/02  03:00:00,,,100426881.50901023,100426881.50901017 
 01/02  04:00:00,,,86395171.88132668,86395171.88132663 
 01/02  05:00:00,,,96755062.15338969,96755062.15338962 
 01/02  06:00:00,,,142777921.03335792,142777921.03335783 
 01/02  07:00:00,,,205621893.48240894,205621893.48240897 
