Date/Time,G SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),OFFICE:Zone Air System Sensible Heating Energy [J](Monthly),OFFICE:Zone Air System Sensible Cooling Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),G S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),M S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NW APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T SE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T NE APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T N2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S1 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Heating Energy [J](Monthly),T S2 APARTMENT:Zone Air System Sensible Cooling Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),T CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),G CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Heating Energy [J](Monthly),M CORRIDOR:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,2011912218.8930197,21820832.132438593,2955061952.0165157,134218.2419934468,1936311908.733972,381685422.94153106,2939609390.5608153,134153.08993887992,1162598467.2375917,35145915.714818664,1161987937.669418,35008378.72696797,456235467.702766,222170354.43993434,694603316.420448,139131852.05748868,1344246227.5647953,143590617.39122522,2171113419.188564,19536620.81685232,1330983367.0334544,150942313.7976588,2150130063.436727,16052983.105076851,526906623.9165744,228090078.81149,526275484.10685706,227895972.53926784,162721370.32103002,676095827.3306639,162585312.51400125,675984182.505826,4082539181.4316163,36869207.36964014,5043512147.28235,247061.18859276982,4051224710.5637016,28701852.47688192,5022415884.8678665,134194.0212494696,2774083174.7560368,7183360.657531649,2773552241.85571,7091871.176419228,1918833815.6194234,114143932.5463527,1918945278.4461386,114357457.16882747,0.0,0.0,0.0,0.0,0.0,0.0,134702444854.83377,137193927593.58392 
February,1201424111.5388887,151310421.66651392,1971069250.4687848,25407588.25967921,1331706168.3449833,866334001.3509203,1961383371.7489965,17719070.270630416,672901135.0437425,102996034.35811868,672969331.1074295,102812214.59513465,240234690.04497322,391233865.71922237,366321737.5302378,293686137.7466834,720349204.4439362,394366126.11144716,1277097200.4861548,117114320.82898708,713955956.8560159,390556035.6852932,1267620503.8756542,117044363.81795673,267706758.63074976,398086829.02923054,267650847.82735288,397520079.8177238,70717676.78903727,868469720.4988922,70876850.1721611,869195569.8818802,2641801101.5081496,162182727.06313983,3457910551.059898,32441801.05861338,2623103510.197351,153244788.71717575,3433327421.776044,20657864.90047179,1777314967.73694,60815435.284350894,1777360203.0735757,60240038.98513272,1127509314.7271101,286084734.5382074,1128278996.210268,286758658.7736644,0.0,0.0,0.0,0.0,0.0,0.0,121234018530.07675,85089046576.21133 
March,421801667.90435123,255273712.26191953,1092907580.2606845,54828202.62057702,931317702.4034338,1399610953.420678,1046913789.811574,40210499.308505334,181389616.2305015,258083098.8586783,180163915.7381641,257926607.4900156,1331982.095918809,689959471.0120368,28864214.29729752,540369508.9916078,15855760.606379105,790066317.6735052,235603220.65750623,444415074.464938,13351893.840020921,801381246.6777579,206213279.49262583,455521030.9788589,2990332.335739066,792617955.856026,3001491.6722876807,792076402.0620301,0.0,1204400064.4931777,0.0,1206508956.4666033,1197034921.0797422,287246357.3829108,1809789494.1914694,100950568.30749448,1150743429.0683894,282292825.41091317,1740221381.9843967,84611485.82971387,705464624.4462546,217030285.42765036,704661805.5134187,216074450.03852078,328443566.29447764,513939760.4487179,329167858.4632036,514816972.23500186,0.0,0.0,0.0,0.0,0.0,0.0,131730641221.53171,31811279421.308968 
April,72456152.57206666,530908511.95151514,239534974.49857032,320697537.4321651,369210252.1539997,1767728348.73858,198388208.5503173,334789503.3950811,9943145.61377805,581189933.0778391,9554597.037193395,581636708.4512181,0.0,854977880.6116054,384401.60002369224,696121095.7066466,0.0,1543469955.8936534,12020648.117135214,1114038436.3089676,0.0,1572293032.017406,8969257.56131476,1137039511.4426112,0.0,1514119208.292363,0.0,1520772568.2251425,0.0,2016638869.218881,0.0,2024187742.4765406,319336538.9346137,885470037.8828917,482125623.35170764,556271409.4633894,277993578.04665005,879236854.5481426,426996736.95793116,543883637.8007247,128600934.12514226,729748836.42782,127829948.7123676,733001503.8562791,65317253.67192785,1137658039.8353727,64996963.73705342,1143395653.0713837,0.0,0.0,0.0,0.0,0.0,0.0,131437136875.70695,7777738660.065102 
May,36347.88079425868,1059719244.5638052,69997.93604547724,899295067.5976466,87016096.44390145,1614668695.5464365,69609.41819609713,913146992.1603271,68600.59086197393,1233068463.12507,68449.50021498193,1237088072.951717,41566.07609903762,1414504573.8441725,46132.213471934934,1189257904.6909807,10714.823513973466,2379174515.3298655,14929.316285991046,2173880239.094571,6744.1407861190055,2412316545.7425046,18997.05422556248,2214431491.503928,36929.149756796796,2375083990.756732,36831.145586877516,2379150967.3813434,15284.270440542845,2603622936.547647,15259.383148562585,2606036541.3014717,7947.053533945069,1819597547.891729,168068.53458380236,1568093386.7154846,2893.424383901355,1826638374.954314,232585.59437512464,1565532223.1163008,22858.287492064286,1698967502.151396,23034.677764409254,1706946065.3304849,6343.168870966407,1949334205.8008115,6362.499912588701,1954976753.1828387,0.0,0.0,0.0,0.0,0.0,0.0,143554242150.1753,290482088.18980783 
June,78086.24244378135,1873842245.1942823,123600.7065628319,1826601293.4102347,34667938.435752474,1825798721.6166046,122089.81506910647,1849525355.3603466,168255.5242690656,1996181918.6188343,163475.50380408354,1999910163.6890981,88280.25638184295,2081366374.9334023,90395.68525439347,1953008852.0500853,26938.897269490997,2989783536.148672,24208.66251057662,2922257988.5374255,15895.696750953046,3031026820.0803623,24932.951290196135,2967354448.445129,90089.51709511995,2833528694.5799475,88864.55041414812,2839267976.5796876,26114.455130008002,2938257138.8264375,25189.32691434597,2941871165.915483,19998.545794626858,2587790351.948837,29014.05541078666,2500255677.2901287,12115.59451693574,2630634280.6898437,27499.73627108066,2534241575.2531767,35973.988677514586,2475222875.273716,36076.11487380717,2483683185.263891,17271.182020455253,2570695457.5537252,15852.815440883112,2576518754.2916346,0.0,0.0,0.0,0.0,0.0,0.0,147167014073.81235,1129813.6955860334 
July,109134.66311857235,2682057173.04351,217235.42391173387,2488789630.5950665,63185312.745966055,2149749217.78102,187703.37914840513,2551021093.227459,267460.55184145586,2470516047.9789524,260345.88792852688,2477061259.500776,117764.85168172081,2699670501.3352757,116974.83549322026,2637754028.742033,43910.28762977886,3640550991.3313613,90101.64263644819,3428035284.3511405,17082.808884703394,3706151278.946504,66259.62618139641,3502905482.669219,159190.34454693273,3168057102.636305,159800.1493819695,3176376689.5429444,58347.23764140955,3410360917.1609774,57500.04623478821,3416002481.119893,25972.879026045543,3388477079.5624537,65430.84083933296,3166336776.07604,4648.365759504199,3454044253.928561,41898.60212416023,3216285882.7640305,111943.42543468965,2939134310.0977106,102962.14914136368,2949003129.778892,30517.565861690964,3179137996.106184,29936.507565268577,3187356359.994904,0.0,0.0,0.0,0.0,0.0,0.0,159387127227.82352,0.0 
August,90069.39726941372,2744599646.5418468,200779.44222312074,2431758474.247288,29253162.67772351,2509456430.4756002,192543.219329259,2470330040.4605107,263296.0973556602,2447240623.6852145,262333.5248640668,2451326894.737533,95063.41048212224,2800664303.47887,97199.00049613278,2714392112.7334857,45010.244390241685,3455806753.4902267,98289.44601857425,3102200165.6187544,16878.37342575738,3501131789.3990936,96530.29398885847,3152879000.522443,163685.61981212872,2966711398.806237,163926.05156254902,2971833815.2069817,47257.3591635255,3357469810.046999,46848.093820744965,3360859111.584511,31335.45922154717,3049219564.751377,66519.34582778398,2679088134.6298323,5365.355497082105,3097456752.2317533,60683.55160395565,2714867624.052126,116115.01667040652,2592219324.6929007,116462.57920903203,2598622834.0851874,20062.017741081556,2981564685.3362184,15747.643026962558,2986741276.9135957,0.0,0.0,0.0,0.0,0.0,0.0,156504472114.3779,0.0 
September,22241.111649578685,2002793642.050206,49536.609552056936,1573384410.080163,39945682.88115446,2128426056.7797089,52493.35082845742,1545096938.228704,58053.70493203992,1861904009.4058874,57797.55759003929,1860592046.7911446,31479.81063577511,2321188071.7440324,33523.25574105555,2120296691.88375,9546.79316997102,2493725445.2471666,20500.15832009255,2019739605.7516198,10658.11287386302,2464312055.086027,31115.03002438242,1989252423.930422,36777.98049626713,2281850121.964281,36625.57219434704,2280723448.0215006,14963.768810382151,2791600000.8210063,14993.729035333217,2790732306.0942965,7364.198410378284,1803500882.8554628,16674.935671099105,1333749297.2680256,3780.7548832166212,1760573885.1903226,16021.077826562287,1286297144.9944804,26796.166896569903,1526573676.6450272,26668.342493985772,1527598960.8801322,5126.188045058168,2020191548.5992024,5054.132789239376,2021365116.0267258,0.0,0.0,0.0,0.0,0.0,0.0,139670160326.82635,52859358.58327226 
October,1571.118437446279,1182648315.6503704,10388.26155091431,811493131.4645061,160475311.37886125,2381780596.334423,9254.18022418049,801412211.3717555,10007.24717066942,1188207200.8827453,9736.536482644673,1187788165.6770995,5802.369572441057,1666786349.5020115,6433.8182562287275,1376729331.4070437,171.22374167610133,1472388558.304303,4248.375565307489,1010186171.7915552,227.9616265072377,1464483989.4236617,6632.578512592821,1000087253.401852,7397.8957646591425,1554052498.498559,7404.119544185194,1553664633.5739243,321.569259188368,2092598360.3104413,319.44535343418465,2092005090.5651872,260781629.78726283,762909052.0110273,386858584.2072749,394354137.4982143,257654312.37752497,743693456.4828041,375667710.09718114,376575856.1841266,47144201.488150656,620237028.9072939,47442376.71374957,619604680.0857826,16695515.380530108,1047815561.227851,16588854.911523484,1049025690.9020253,0.0,0.0,0.0,0.0,0.0,0.0,133400288904.31348,3791065121.3842716 
