Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,24592720983.66211,422438438.4556414,4265944484.2072487,50719723.27379002,2847967409.769069,40220803.97709704,2898941754.9883165,0.0,21122404653.407635,0.0,19977950710.29285,69014122.20208378,4309257890.182849,38988169.163162395,4044002486.701392,47463227.80088874,9218783881.54075,43518258.837807,4022758084.0910263,13702273.475008605,3959745950.1811934,4200048.068824667,3607435691.950186,220582998.7550765,8845562058.341698,4756708.236051207,3538974017.913542,6561443.2778789215,4406875093.48106,4334258.432221183,3953828275.19467,3215345.477638337,9144548270.399004,4714597.912122062,4048385268.2515583,127086612813.37932,12381414981.993223 
February,0.0,23034525712.374317,241850755.50876364,4831958959.793071,24157875.34045142,3032837829.937756,22014220.35195399,3014759652.53975,0.0,19970103353.64414,0.0,19301176267.327972,12246260.050992968,4525693272.0472975,5579940.470021635,4404132585.072913,6334841.192676314,8841405655.021154,6468001.314698964,4363470044.329039,2758276.4673276,3849673350.9907427,84075.04509990243,3837232067.0659733,57464255.4825756,8427489893.9050255,83347.0439660039,3740165143.5097365,0.0,4521284242.116536,0.0,4250089764.04837,0.0,8675587950.305904,0.0,4320199274.333512,116989671535.15219,11007815653.022926 
March,0.0,26727494499.759342,284545347.46686184,6310039267.658328,13622626.826913627,3796328842.5430036,13714369.44018969,3556907862.423173,0.0,23339871471.970573,0.0,23061451181.767624,9433411.842696745,5822614826.795697,5013850.103376257,5816981799.611756,4028981.698089404,9064069392.482683,2987521.434745913,5836116739.009519,2204392.3935404634,4410620032.822113,0.0,4669486966.424381,147250276.45016903,7524371953.899525,0.0,4644454245.69962,75330.69620953938,5721780078.982201,6862.216738008101,5570606810.612129,0.0,8850781098.666801,0.0,5724302564.403147,138109772616.9152,12615327698.820152 
April,0.0,25237523657.25013,101894244.18869212,7791393708.551117,12192352.554083962,4395898718.796729,6163014.692867647,3810941351.9476566,0.0,22910712249.55351,0.0,23314414924.516933,0.0,6811047614.757766,0.0,6525029856.1876135,0.0,8155710379.646534,0.0,6571436766.6013565,0.0,4943450308.286715,0.0,5160269392.24559,32851887.27759725,6675820562.479534,0.0,5166341757.885064,0.0,6437600823.957507,0.0,6107765789.40504,0.0,7720921961.570144,0.0,6275767330.493514,136441006447.31976,11395638870.987206 
May,0.0,26772140329.883606,52076753.64369302,8958672869.657759,9848835.01241717,4891815768.629286,4601231.4634535145,4138641668.0255165,0.0,24394984879.865334,0.0,25403979811.195835,0.0,8252259281.742111,0.0,7515591311.014569,0.0,8100849652.38415,0.0,6979085933.976843,0.0,5921667875.58659,0.0,5941245743.611287,0.0,6647509838.971841,0.0,5382423469.01322,0.0,7659250149.649925,0.0,6917531461.2054205,0.0,7495605448.10672,0.0,6538546247.673298,156950463620.34064,11644059477.01078 
June,0.0,27175445460.05632,20360703.55017387,9521601170.768166,6121906.4723947495,5224451396.366618,2606452.8229522645,4607528128.934931,0.0,24604944703.90923,0.0,25849075720.10611,0.0,9038589329.773132,0.0,7570676437.017171,0.0,8403293059.289366,0.0,6925237751.125889,0.0,7121861982.513047,0.0,6341186218.586373,0.0,7766037956.845711,0.0,5647640149.906081,0.0,8458040725.333604,0.0,7004038206.282679,0.0,7842914598.306102,0.0,6534168163.138791,161949865457.3586,11061847459.64817 
July,0.0,26652146657.719387,19905941.20746605,9989313214.474804,11374695.355115931,5463102070.98314,3768860.3769427408,4810795936.082366,0.0,24583111525.504898,0.0,25795452694.23507,0.0,9204834898.769106,0.0,7802372026.934826,0.0,8762977129.851452,0.0,7305170440.468533,0.0,7607984704.9399805,0.0,6844269718.134669,0.0,8463574424.721622,0.0,6286182761.905799,0.0,8530213927.208001,0.0,7190729356.860473,0.0,8103852788.135961,0.0,6840880064.940066,163946811096.80493,10708950735.379774 
August,0.0,28697761240.669502,18587917.93835833,9945046536.223907,7511590.909887826,5589420028.774296,2780575.1633237614,5170508237.82691,0.0,25752631943.114044,0.0,26969141557.61243,0.0,9120480046.099712,0.0,7669791697.205382,0.0,9728731093.19365,0.0,7738625878.368439,0.0,7962470466.7310505,0.0,7040865370.311881,0.0,10012929964.703543,0.0,7088159936.070707,0.0,8490642382.051755,0.0,7059119617.734669,0.0,9077638811.173986,0.0,7278636114.944439,173015458249.87817,11108535039.025244 
September,0.0,26388148739.086834,32485121.17582378,8216158598.547914,11006049.681691086,4795813841.749082,8481507.613059754,4484801357.234098,0.0,23876763583.505226,0.0,24611464379.151634,0.0,7590340990.245777,0.0,6626133458.24467,0.0,9520145180.060795,0.0,6309490508.146818,0.0,6951531075.80948,0.0,6330836092.6979265,0.0,10100449091.126278,0.0,5986371579.683135,0.0,7067941143.17795,0.0,6079820593.609305,0.0,8924384835.66804,0.0,5910853783.147252,155047169077.727,10490833711.58831 
October,0.0,27097606013.752598,83539495.84609415,7145471079.364777,12185781.975966137,4488176089.058096,12524063.119929748,4373783801.879248,0.0,24334549979.542454,0.0,24489917337.01377,0.0,6768674645.232095,0.0,6129696599.229722,0.0,10446278520.831491,0.0,5934617323.563527,0.0,6528748095.85397,0.0,6112037710.731336,0.0,11302545640.519796,0.0,5877741059.397126,0.0,6479918437.932014,0.0,5749021562.395199,0.0,10015758472.93151,0.0,5700902639.781366,150539930602.89066,11078609754.77681 
November,0.0,26109589393.799232,120156914.6346414,5486941470.064722,16861082.90234456,3729068874.223411,15869833.819892805,3743658208.7159605,0.0,22934377085.2393,0.0,22216301870.82623,0.0,5500442087.504647,0.0,4902582241.843781,0.0,10001517500.646645,0.0,4747993033.00506,0.0,5457683539.3317585,0.0,4910307001.562922,519046.7160881977,10956839550.885843,0.0,4696165802.295879,0.0,5455199610.823085,0.0,4697030356.599827,0.0,9767489973.92248,0.0,4675540332.544967,136199187245.12097,11130242169.881699 
December,0.0,25401204709.105488,266074634.85099384,4263830516.0222616,17985233.38833981,3017780107.14156,18209061.370381106,3159735152.6588984,0.0,21709811825.551945,0.0,20052930664.250904,715366.8020217235,4318004025.131152,380986.49557774107,3905650496.49801,0.0,9592496951.485012,217571.82480235805,3929560266.681003,0.0,4451229515.29866,0.0,3866253949.4838476,46391290.72302088,10059083413.398212,0.0,3843887314.1424184,0.0,4492082669.324257,0.0,3867692561.2982726,0.0,9576244473.054012,0.0,4014609853.1127787,123715022722.9024,11603659080.591076 
