Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,363860768.4123051,3947743047.5368376,11012311527.273739,82997.56498744537,4243066736.5763636,558822.4586651969,2901001596.472916,223487286.80540177,1734829853.191512,2687045115.9217677,7023931475.823337,1582998615.0512695,5788778865.913576,38835148.509471096,3389060839.7617636,127693165.41098593,4436042111.290232,853770217.9931753,3555150588.574601,99751795.83603561,3694112609.3730836,74837493.25863516,2010841203.7833152,166104382.50438753,5443862565.184166,248113035.04038224,2147795718.887451,111050641.23945019,3536551453.6494503,122019354.00979127,2100036957.290556,156829799.32763833,2605956131.480208,1140030983.2936127,2143475698.0617795,165381679.25313357,165363958649.71002,69999858737.56178 
February,280938878.64037395,3584142035.2014832,9855644534.266943,642709.4695420535,3717027935.4253597,84779.18898458483,2545798101.327563,265586376.75947595,1398877914.6368325,2476230030.0156846,6144857092.817463,1576897713.0588982,4996068836.53365,115176618.9813749,2926456024.9173393,185660140.78227702,3864392544.7176576,931668515.7271537,2941148251.763135,191712616.71912116,3328475014.0134683,126273677.97927146,1801435910.4795673,198531665.08632886,5094038337.316049,207544101.6327867,1779821061.3960044,203599536.76684597,3071131643.645177,243726229.4481296,1808236177.8691418,204481572.87074506,2259019467.352639,1189667040.441867,1754262548.8756757,262557760.00585687,151271244560.52356,69070987889.8295 
March,107348255.01632802,6693522682.056198,6472820987.788133,512588209.4518012,2046823888.2913973,194259022.47998488,1364982219.7909918,445531834.6901699,428442834.2048234,5462841483.446364,3013751902.0204268,4469547985.16572,3015328266.2272167,784550792.6024637,1704801975.6939,691076246.9626871,2327692076.3803654,2129902022.9792876,1683500430.8576288,750344857.456317,2351239060.8485427,508239372.92070025,1118282844.1168976,610740037.6990451,3640454906.43543,842284757.5798575,1043614793.0891045,564139800.8068718,1682259626.0979648,1009671092.4903605,953405335.9471271,661010866.6165334,1239390965.00736,2330122358.0702734,904341626.255804,818542054.2595942,113390054269.31648,51690208125.85549 
April,63485086.51860017,7723516502.58409,3408987683.1922927,1271246907.9105668,556275112.2069708,424212310.9811449,340336310.92688715,645739711.5150906,74637479.997824,6818915289.868002,945412588.5662023,6174936117.134194,1298026956.4964306,1360296444.8258722,679082330.8770077,1080413263.1722076,1022470219.6448338,2090257005.8648217,651612686.0113007,1215639614.9284394,1012873134.301759,897037389.9806738,332169603.1055721,903489361.4746146,2121894676.6221457,924805075.6886154,315198498.0876424,882222285.505306,561726702.3548397,1614677306.3596518,274448970.446399,1030322945.5765451,388313144.19780374,2185774322.281555,242680435.10681748,1211283551.5272872,76112602446.72864,27493224319.32871 
May,5272118.536641327,10447411043.890388,861305693.3121938,3460379089.520045,35736839.70393937,1712114696.77838,12906341.02499051,1465506539.8188884,22717089.359542426,11464799201.222517,137958573.68898714,11482519950.566124,171567115.87284967,2392403045.329603,77967126.47722289,2304061215.027403,137606795.0383828,2898166719.7856317,77072364.65486003,2333094252.0787044,165292015.82615662,2063062565.1310256,26299277.416853875,1652929269.6788673,621649164.114006,1873182940.6167707,29032043.55139338,1611546489.8362443,24516569.607984968,2662477229.04534,8420771.095211994,2109458701.9834228,16565994.662706887,2819822729.026832,9962386.598645618,2146626670.6302798,55895806599.39699,12492946187.267393 
June,0.0,12817268667.198223,147629859.8739327,4914311410.859596,7868765.230516882,2815248477.199817,3470180.8996515675,2063454950.153792,0.0,15038688705.02918,12694179.967405299,15276227004.626503,769167.3842695261,3046901976.084726,0.0,3036061105.3343153,741658.8549079467,3404692182.4133115,228715.41589888968,2986062621.6001163,772763.4301215255,3212245177.8670244,0.0,2370536719.8375196,197449337.0294668,2601776037.1630564,0.0,2226124188.144036,0.0,3243025656.550239,0.0,2695227807.291916,0.0,3144841828.6177306,0.0,2680669141.936598,58447064990.07196,11140735808.65297 
July,0.0,14341389877.58136,60588020.06538946,6022429497.03634,12572603.180824025,3532440878.18964,10762429.685610425,2581140495.98608,257219.1829343175,16817890682.515816,92241.48497871791,17270447918.73734,0.0,3522341763.0885324,0.0,3468931775.1320143,0.0,4252725630.173511,0.0,3858553100.8579917,0.0,3776375580.7900023,0.0,2880260959.4479303,48094083.08321061,3744261969.3246107,0.0,3180237618.7506623,0.0,3558185017.6344686,0.0,3048811128.9524984,0.0,3822921452.581154,0.0,3441893251.8535395,72772607582.35036,10737678827.669666 
August,0.0,14197150339.877214,91776116.02321023,5024126479.916547,14388080.095646473,3088874950.3299103,13720405.423095714,2286705558.72048,131568.58189535342,16211536466.062368,5581964.152202153,16047226498.709995,0.0,3118191517.642211,0.0,2984204875.122092,0.0,4567266606.908153,0.0,2998242118.2275705,0.0,3651033301.932766,0.0,2807129818.624634,47686222.28284835,4243455091.337315,0.0,2714194148.087916,0.0,3344374996.162988,0.0,2704713170.525489,0.0,4308507672.59673,0.0,2737712684.1086264,68095782619.00242,11135499840.360582 
September,0.0,11620387416.455366,650879074.2006714,2818057647.98473,41631131.36846658,1881105557.3347511,18431274.504105452,1554202325.704328,10488181.662745185,12033243715.708601,110816031.68050121,11008600557.145643,162876631.92606908,2178948540.553875,79949090.631034,1650985348.7038698,110073130.85613053,3540806023.15294,71936322.8295209,1654995043.0045996,2949002.601020991,2778773386.0859513,0.0,1773829314.8885722,184763014.99053752,3387768391.973322,0.0,1695762140.5124078,26253995.522863362,2525186206.397141,11932454.342049336,1550659501.681754,18788687.502756618,3593775907.7290645,13467071.187293183,1598947145.1418505,58153455381.360954,10712871480.520998 
October,12839637.304405257,9147858721.497599,2908014382.7843113,1059550516.476751,529740262.9154939,655885178.3386189,199613247.57239142,764213103.0485324,111979792.13443102,7886318735.668761,994600565.5824827,6344833303.8410425,1061368798.7690786,1251026552.2684338,576351681.1393772,828025994.7508622,755413471.1829213,2604125970.1770267,592593046.9408213,877179501.5956266,191116818.8403223,1781203247.812937,67293562.0862137,1084119699.2244256,861911099.7121971,2286746334.1966157,79880892.09526476,1057645614.6688433,415078189.46275383,1584165667.7869537,223936232.31318966,804504500.2342247,279033999.2265347,2809943930.436213,227771480.5816423,936270985.1529353,69416377039.8398,16696076847.833015 
