Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,2.475257E+03,4.762235E+04,1.348561E-01,4.166043E+00,6.563261E+03,3.048979E+04,3.575772E-01,2.667280E+00,1.447026E+04,2.942749E+04,7.883637E-01,2.574349E+00,8.101635E+03,6.637686E+03,4.413234E-01,5.807287E-01,5.297444E+03,4.315763E+03,2.885679E-01,3.775859E-01,8.097027E+03,6.788349E+03,4.410724E-01,5.939100E-01,5.311038E+03,4.802929E+03,2.893084E-01,4.202072E-01,5.141870E+03,6.586623E+03,2.801131E-01,5.762362E-01,3.390739E+03,4.866230E+03,1.847163E-01,4.257263E-01,5.141867E+03,7.275830E+03,2.801129E-01,6.365312E-01,3.399685E+03,5.596058E+03,1.852037E-01,4.895750E-01,5.625493E+03,6.914861E+03,3.064460E-01,6.049696E-01,3.706406E+03,4.494478E+03,2.019036E-01,3.932155E-01,5.619273E+03,7.068977E+03,3.061071E-01,6.184527E-01,3.713722E+03,4.982033E+03,2.023021E-01,4.358702E-01
00:20:00,2.471714E+03,4.754627E+04,1.346630E-01,4.159386E+00,6.562540E+03,3.040216E+04,3.575379E-01,2.659611E+00,1.447010E+04,2.927350E+04,7.883546E-01,2.560875E+00,8.101598E+03,6.575513E+03,4.413214E-01,5.752890E-01,5.297420E+03,4.273873E+03,2.885666E-01,3.739208E-01,8.096990E+03,6.724299E+03,4.410704E-01,5.883061E-01,5.311014E+03,4.744896E+03,2.893071E-01,4.151299E-01,5.141475E+03,6.545253E+03,2.800916E-01,5.726166E-01,3.390496E+03,4.831189E+03,1.847031E-01,4.226606E-01,5.141472E+03,7.227287E+03,2.800914E-01,6.322841E-01,3.399443E+03,5.546566E+03,1.851905E-01,4.852452E-01,5.625328E+03,6.869382E+03,3.064370E-01,6.009904E-01,3.706301E+03,4.463093E+03,2.018979E-01,3.904696E-01,5.619107E+03,7.021218E+03,3.060981E-01,6.142741E-01,3.713617E+03,4.935043E+03,2.022964E-01,4.317590E-01
00:30:00,2.468192E+03,4.747104E+04,1.344712E-01,4.152803E+00,6.561823E+03,3.031535E+04,3.574989E-01,2.652013E+00,1.446993E+04,2.912330E+04,7.883455E-01,2.547732E+00,8.101561E+03,6.515227E+03,4.413194E-01,5.700143E-01,5.297397E+03,4.233170E+03,2.885654E-01,3.703596E-01,8.096953E+03,6.662068E+03,4.410684E-01,5.828613E-01,5.310991E+03,4.688908E+03,2.893059E-01,4.102313E-01,5.141083E+03,6.504807E+03,2.800702E-01,5.690776E-01,3.390255E+03,4.796802E+03,1.846900E-01,4.196520E-01,5.141079E+03,7.179674E+03,2.800700E-01,6.281183E-01,3.399202E+03,5.498353E+03,1.851774E-01,4.810270E-01,5.625165E+03,6.825030E+03,3.064281E-01,5.971097E-01,3.706197E+03,4.432425E+03,2.018922E-01,3.877863E-01,5.618943E+03,6.974544E+03,3.060892E-01,6.101903E-01,3.713513E+03,4.889540E+03,2.022907E-01,4.277778E-01
00:40:00,2.464691E+03,4.739658E+04,1.342804E-01,4.146285E+00,6.561112E+03,3.022924E+04,3.574601E-01,2.644478E+00,1.446976E+04,2.897657E+04,7.883365E-01,2.534893E+00,8.101525E+03,6.456692E+03,4.413174E-01,5.648927E-01,5.297374E+03,4.193577E+03,2.885641E-01,3.668953E-01,8.096917E+03,6.601533E+03,4.410664E-01,5.775646E-01,5.310967E+03,4.634803E+03,2.893046E-01,4.054975E-01,5.140693E+03,6.465215E+03,2.800490E-01,5.656135E-01,3.390016E+03,4.763030E+03,1.846769E-01,4.166971E-01,5.140689E+03,7.132932E+03,2.800488E-01,6.240285E-01,3.398963E+03,5.451318E+03,1.851643E-01,4.769118E-01,5.625002E+03,6.781719E+03,3.064192E-01,5.933201E-01,3.706093E+03,4.402426E+03,2.018866E-01,3.851613E-01,5.618780E+03,6.928877E+03,3.060803E-01,6.061945E-01,3.713410E+03,4.845407E+03,2.022851E-01,4.239164E-01
00:50:00,2.461211E+03,4.732277E+04,1.340908E-01,4.139823E+00,6.560404E+03,3.014375E+04,3.574216E-01,2.636996E+00,1.446960E+04,2.883301E+04,7.883275E-01,2.522332E+00,8.101488E+03,6.399784E+03,4.413154E-01,5.599133E-01,5.297351E+03,4.155021E+03,2.885628E-01,3.635218E-01,8.096880E+03,6.542578E+03,4.410644E-01,5.724062E-01,5.310944E+03,4.582439E+03,2.893033E-01,4.009158E-01,5.140305E+03,6.426417E+03,2.800279E-01,5.622186E-01,3.389778E+03,4.729838E+03,1.846640E-01,4.137929E-01,5.140302E+03,7.087005E+03,2.800277E-01,6.200099E-01,3.398726E+03,5.405374E+03,1.851514E-01,4.728919E-01,5.624840E+03,6.739372E+03,3.064104E-01,5.896147E-01,3.705990E+03,4.373050E+03,2.018810E-01,3.825909E-01,5.618618E+03,6.884145E+03,3.060715E-01,6.022805E-01,3.713307E+03,4.802540E+03,2.022795E-01,4.201657E-01
01:00:00,2.457752E+03,4.724952E+04,1.339023E-01,4.133410E+00,6.559701E+03,3.005879E+04,3.573833E-01,2.629560E+00,1.446944E+04,2.869237E+04,7.883186E-01,2.510025E+00,8.101452E+03,6.344394E+03,4.413135E-01,5.550668E-01,5.297328E+03,4.117439E+03,2.885616E-01,3.602334E-01,8.096844E+03,6.485105E+03,4.410624E-01,5.673774E-01,5.310921E+03,4.531692E+03,2.893021E-01,3.964756E-01,5.139921E+03,6.388359E+03,2.800069E-01,5.588885E-01,3.389542E+03,4.697195E+03,1.846511E-01,4.109366E-01,5.139917E+03,7.041845E+03,2.800067E-01,6.160584E-01,3.398490E+03,5.360445E+03,1.851385E-01,4.689608E-01,5.624679E+03,6.697922E+03,3.064016E-01,5.859876E-01,3.705888E+03,4.344260E+03,2.018754E-01,3.800717E-01,5.618458E+03,6.840291E+03,3.060627E-01,5.984431E-01,3.713204E+03,4.760850E+03,2.022739E-01,4.165179E-01
01:10:00,2.457975E+03,4.721322E+04,1.339145E-01,4.130228E+00,6.559748E+03,3.001089E+04,3.573858E-01,2.625365E+00,1.446945E+04,2.859075E+04,7.883192E-01,2.501131E+00,8.101455E+03,6.298222E+03,4.413136E-01,5.510266E-01,5.297329E+03,4.085715E+03,2.885617E-01,3.574575E-01,8.096847E+03,6.436827E+03,4.410626E-01,5.631529E-01,5.310923E+03,4.487405E+03,2.893022E-01,3.926006E-01,5.139946E+03,6.358716E+03,2.800083E-01,5.562945E-01,3.389558E+03,4.669946E+03,1.846520E-01,4.085523E-01,5.139942E+03,7.005129E+03,2.800081E-01,6.128455E-01,3.398505E+03,5.321355E+03,1.851394E-01,4.655404E-01,5.624690E+03,6.665141E+03,3.064022E-01,5.831191E-01,3.705895E+03,4.320983E+03,2.018758E-01,3.780349E-01,5.618468E+03,6.805102E+03,3.060633E-01,5.953638E-01,3.713211E+03,4.725233E+03,2.022743E-01,4.134014E-01
01:20:00,2.458197E+03,4.717845E+04,1.339266E-01,4.127180E+00,6.559794E+03,2.996481E+04,3.573883E-01,2.621331E+00,1.446946E+04,2.849304E+04,7.883198E-01,2.492580E+00,8.101457E+03,6.253894E+03,4.413137E-01,5.471479E-01,5.297331E+03,4.055188E+03,2.885618E-01,3.547863E-01,8.096849E+03,6.390375E+03,4.410627E-01,5.590883E-01,5.310925E+03,4.444867E+03,2.893023E-01,3.888786E-01,5.139971E+03,6.330092E+03,2.800097E-01,5.537897E-01,3.389573E+03,4.643437E+03,1.846528E-01,4.062327E-01,5.139968E+03,6.969475E+03,2.800095E-01,6.097257E-01,3.398521E+03,5.283405E+03,1.851402E-01,4.622199E-01,5.624701E+03,6.633633E+03,3.064028E-01,5.803619E-01,3.705902E+03,4.298545E+03,2.018761E-01,3.760714E-01,5.618479E+03,6.771188E+03,3.060639E-01,5.923961E-01,3.713218E+03,4.690970E+03,2.022747E-01,4.104033E-01
01:30:00,2.458418E+03,4.714447E+04,1.339386E-01,4.124204E+00,6.559840E+03,2.991956E+04,3.573908E-01,2.617369E+00,1.446947E+04,2.839816E+04,7.883204E-01,2.484277E+00,8.101460E+03,6.211164E+03,4.413139E-01,5.434091E-01,5.297332E+03,4.025704E+03,2.885618E-01,3.522065E-01,8.096852E+03,6.345507E+03,4.410628E-01,5.551625E-01,5.310926E+03,4.403883E+03,2.893023E-01,3.852926E-01,5.139997E+03,6.302328E+03,2.800111E-01,5.513602E-01,3.389589E+03,4.617565E+03,1.846536E-01,4.039689E-01,5.139993E+03,6.934724E+03,2.800109E-01,6.066850E-01,3.398536E+03,5.246461E+03,1.851411E-01,4.589875E-01,5.624711E+03,6.603172E+03,3.064034E-01,5.776965E-01,3.705908E+03,4.276807E+03,2.018765E-01,3.741693E-01,5.618489E+03,6.738333E+03,3.060644E-01,5.895212E-01,3.713225E+03,4.657884E+03,2.022750E-01,4.075084E-01
01:40:00,2.458638E+03,4.711115E+04,1.339506E-01,4.121287E+00,6.559886E+03,2.987497E+04,3.573933E-01,2.613466E+00,1.446948E+04,2.830587E+04,7.883210E-01,2.476201E+00,8.101462E+03,6.169944E+03,4.413140E-01,5.398025E-01,5.297334E+03,3.997214E+03,2.885619E-01,3.497138E-01,8.096854E+03,6.302144E+03,4.410630E-01,5.513684E-01,5.310928E+03,4.364366E+03,2.893024E-01,3.818352E-01,5.140022E+03,6.275369E+03,2.800124E-01,5.490014E-01,3.389604E+03,4.592299E+03,1.846545E-01,4.017582E-01,5.140018E+03,6.900828E+03,2.800122E-01,6.037193E-01,3.398552E+03,5.210468E+03,1.851419E-01,4.558384E-01,5.624721E+03,6.573695E+03,3.064039E-01,5.751173E-01,3.705915E+03,4.255735E+03,2.018768E-01,3.723255E-01,5.618500E+03,6.706478E+03,3.060650E-01,5.867340E-01,3.713231E+03,4.625909E+03,2.022754E-01,4.047109E-01
