Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,250519657.62729138,250519657.62729138 
 01/01  02:00:00,,,221171426.9048886,221171426.9048886 
 01/01  03:00:00,,,257203413.7457001,257203413.74570006 
 01/01  04:00:00,,,211278337.86817023,211278337.86817017 
 01/01  05:00:00,,,243244817.92998883,243244817.9299888 
 01/01  06:00:00,,,210745714.60163215,210745714.60163212 
 01/01  07:00:00,,,261831642.7294793,261831642.72947928 
 01/01  08:00:00,,,225633314.30165276,225633314.30165276 
 01/01  09:00:00,,,238768814.84423327,238768814.84423327 
 01/01  10:00:00,,,183822682.31101087,183822682.31101087 
 01/01  11:00:00,,,209413334.2815487,209413334.28154868 
 01/01  12:00:00,,,176013944.75159758,176013944.75159752 
 01/01  13:00:00,,,190965423.05002686,190965423.0500268 
 01/01  14:00:00,,,157952538.9297223,157952538.92972225 
 01/01  15:00:00,,,178288046.46018365,178288046.46018362 
 01/01  16:00:00,,,164467796.2137582,164467796.2137582 
 01/01  17:00:00,,,212326361.77478802,212326361.77478796 
 01/01  18:00:00,,,209041102.47824073,209041102.47824064 
 01/01  19:00:00,,,248911143.15359306,248911143.15359306 
 01/01  20:00:00,,,215736220.07008985,215736220.07008985 
 01/01  21:00:00,,,258390262.87214154,258390262.87214148 
 01/01  22:00:00,,,217968596.08295307,217968596.08295307 
 01/01  23:00:00,,,260937757.3136068,260937757.3136068 
 01/01  24:00:00,,,223983292.59576795,223983292.59576795 
 01/02  01:00:00,,,266158338.20426416,266158338.20426416 
 01/02  02:00:00,,,228815095.84212396,228815095.84212393 
 01/02  03:00:00,,,270758617.2633834,270758617.2633834 
 01/02  04:00:00,,,231995655.61679456,231995655.61679456 
 01/02  05:00:00,,,263949129.42111248,263949129.42111254 
 01/02  06:00:00,,,230413583.8771957,230413583.87719572 
 01/02  07:00:00,,,309927241.99868786,309927241.9986879 
 01/02  08:00:00,,,341548510.13124347,341548510.13124347 
 01/02  09:00:00,,,377718433.0364293,377718433.0364293 
 01/02  10:00:00,,,325474346.2974062,325474346.2974062 
 01/02  11:00:00,,,302080235.0490887,302080235.0490887 
 01/02  12:00:00,,,294497568.5198821,294497568.5198821 
 01/02  13:00:00,,,325940842.93380153,325940842.93380153 
 01/02  14:00:00,,,298384618.83401465,298384618.8340146 
 01/02  15:00:00,,,287486177.8273859,287486177.82738584 
 01/02  16:00:00,,,291109149.5286159,291109149.5286159 
 01/02  17:00:00,,,321713199.3923769,321713199.3923769 
 01/02  18:00:00,,,299577738.4162178,299577738.41621774 
 01/02  19:00:00,,,236571706.43354008,236571706.43354005 
 01/02  20:00:00,,,223308950.8253466,223308950.8253466 
 01/02  21:00:00,,,216688624.47349587,216688624.4734958 
 01/02  22:00:00,,,222246554.462028,222246554.46202794 
 01/02  23:00:00,,,205491232.02502745,205491232.02502745 
 01/02  24:00:00,,,187948759.0167337,187948759.01673365 
 01/03  01:00:00,,,222282517.78240246,222282517.78240246 
 01/03  02:00:00,,,195469863.34388545,195469863.3438854 
 01/03  03:00:00,,,224944494.13541108,224944494.13541108 
 01/03  04:00:00,,,201181691.49910715,201181691.49910715 
 01/03  05:00:00,,,239873244.5449186,239873244.5449186 
 01/03  06:00:00,,,213664447.02210006,213664447.02210006 
 01/03  07:00:00,,,287369381.9182913,287369381.91829133 
 01/03  08:00:00,,,325512844.4221151,325512844.4221151 
 01/03  09:00:00,,,378200921.84699357,378200921.84699357 
 01/03  10:00:00,,,328806314.8648448,328806314.8648448 
 01/03  11:00:00,,,309447734.4793429,309447734.4793429 
 01/03  12:00:00,,,300874176.36519426,300874176.3651942 
 01/03  13:00:00,,,332104040.0737485,332104040.07374847 
 01/03  14:00:00,,,306390847.0309677,306390847.0309677 
 01/03  15:00:00,,,292895349.5331017,292895349.5331017 
 01/03  16:00:00,,,304100939.32567275,304100939.3256726 
 01/03  17:00:00,,,335053790.680255,335053790.680255 
 01/03  18:00:00,,,317107528.8189698,317107528.81896985 
 01/03  19:00:00,,,262157006.48603523,262157006.48603523 
 01/03  20:00:00,,,242530792.11623728,242530792.11623728 
 01/03  21:00:00,,,236552169.59882724,236552169.59882718 
 01/03  22:00:00,,,246469282.07238173,246469282.0723817 
 01/03  23:00:00,,,226789654.88161743,226789654.88161743 
 01/03  24:00:00,,,207460599.93168417,207460599.93168414 
 01/04  01:00:00,,,238398750.73465455,238398750.73465455 
 01/04  02:00:00,,,206146422.7228445,206146422.72284454 
 01/04  03:00:00,,,236158016.65633282,236158016.65633282 
 01/04  04:00:00,,,215801503.83527544,215801503.83527547 
 01/04  05:00:00,,,276064322.1929753,276064322.1929753 
 01/04  06:00:00,,,231388470.81018957,231388470.81018957 
 01/04  07:00:00,,,342448688.9741761,342448688.97417605 
 01/04  08:00:00,,,399927524.6010639,399927524.60106385 
 01/04  09:00:00,,,406232424.5832645,406232424.58326447 
 01/04  10:00:00,,,327253158.6674503,327253158.6674502 
 01/04  11:00:00,,,299110488.04090834,299110488.0409083 
 01/04  12:00:00,,,294789840.38570315,294789840.38570315 
 01/04  13:00:00,,,330483658.4344738,330483658.43447375 
 01/04  14:00:00,,,292623556.2168634,292623556.21686333 
 01/04  15:00:00,,,283030718.95203125,283030718.9520312 
 01/04  16:00:00,,,285370011.603164,285370011.60316396 
 01/04  17:00:00,,,319464159.3016739,319464159.3016739 
 01/04  18:00:00,,,298622425.69702166,298622425.6970217 
 01/04  19:00:00,,,232386744.43262455,232386744.4326245 
