Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.752926E+03,3.223634E+04,1.947291E-01,2.845483E+00,7.348118E+03,2.297946E+04,3.812738E-01,2.028395E+00,1.499907E+04,2.221123E+04,7.782610E-01,1.960583E+00,9.868992E+03,4.890517E+03,5.119984E-01,4.317255E-01,6.433213E+03,3.200621E+03,3.337499E-01,2.825456E-01,9.863389E+03,5.045831E+03,5.117077E-01,4.454361E-01,6.491789E+03,3.679554E+03,3.367888E-01,3.248242E-01,7.006185E+03,4.757425E+03,3.635008E-01,4.199594E-01,4.596520E+03,3.695402E+03,2.384797E-01,3.262094E-01,7.006179E+03,5.438314E+03,3.635005E-01,4.800634E-01,4.645030E+03,4.407814E+03,2.409965E-01,3.890960E-01,7.452635E+03,5.099118E+03,3.866469E-01,4.501341E-01,4.883114E+03,3.336510E+03,2.533375E-01,2.945375E-01,7.445372E+03,5.259012E+03,3.862701E-01,4.642489E-01,4.933160E+03,3.816718E+03,2.559339E-01,3.369279E-01
00:20:00,3.747801E+03,3.214671E+04,1.944632E-01,2.837569E+00,7.347148E+03,2.287711E+04,3.812235E-01,2.019355E+00,1.499886E+04,2.204145E+04,7.782498E-01,1.945591E+00,9.868945E+03,4.822300E+03,5.119960E-01,4.257029E-01,6.433182E+03,3.154747E+03,3.337483E-01,2.784957E-01,9.863341E+03,4.975562E+03,5.117053E-01,4.392324E-01,6.491759E+03,3.617675E+03,3.367873E-01,3.193614E-01,7.005672E+03,4.710725E+03,3.634741E-01,4.158363E-01,4.596205E+03,3.656792E+03,2.384634E-01,3.228008E-01,7.005666E+03,5.384313E+03,3.634738E-01,4.752958E-01,4.644716E+03,4.354878E+03,2.409803E-01,3.844230E-01,7.452414E+03,5.047280E+03,3.866355E-01,4.455575E-01,4.882974E+03,3.300942E+03,2.533302E-01,2.913972E-01,7.445151E+03,5.204743E+03,3.862586E-01,4.594576E-01,4.933020E+03,3.765746E+03,2.559266E-01,3.324280E-01
00:30:00,3.742707E+03,3.205804E+04,1.941988E-01,2.829738E+00,7.346185E+03,2.277562E+04,3.811735E-01,2.010392E+00,1.499864E+04,2.187557E+04,7.782386E-01,1.930945E+00,9.868897E+03,4.756082E+03,5.119935E-01,4.198568E-01,6.433152E+03,3.110142E+03,3.337468E-01,2.745578E-01,9.863294E+03,4.907233E+03,5.117028E-01,4.332000E-01,6.491729E+03,3.557917E+03,3.367857E-01,3.140859E-01,7.005162E+03,4.665045E+03,3.634477E-01,4.118033E-01,4.595893E+03,3.618906E+03,2.384472E-01,3.194561E-01,7.005156E+03,5.331344E+03,3.634474E-01,4.706195E-01,4.644404E+03,4.303285E+03,2.409641E-01,3.798684E-01,7.452194E+03,4.996685E+03,3.866241E-01,4.410906E-01,4.882834E+03,3.266172E+03,2.533229E-01,2.883275E-01,7.444931E+03,5.151684E+03,3.862472E-01,4.547732E-01,4.932880E+03,3.716335E+03,2.559193E-01,3.280659E-01
00:40:00,3.737644E+03,3.197022E+04,1.939361E-01,2.821982E+00,7.345228E+03,2.267488E+04,3.811238E-01,2.001496E+00,1.499843E+04,2.171328E+04,7.782275E-01,1.916616E+00,9.868851E+03,4.691727E+03,5.119911E-01,4.141753E-01,6.433122E+03,3.066726E+03,3.337452E-01,2.707248E-01,9.863247E+03,4.840717E+03,5.117004E-01,4.273277E-01,6.491699E+03,3.500116E+03,3.367842E-01,3.089830E-01,7.004655E+03,4.620312E+03,3.634214E-01,4.078539E-01,4.595582E+03,3.581703E+03,2.384310E-01,3.161716E-01,7.004649E+03,5.279342E+03,3.634211E-01,4.660285E-01,4.644095E+03,4.252932E+03,2.409480E-01,3.754232E-01,7.451976E+03,4.947243E+03,3.866128E-01,4.367255E-01,4.882696E+03,3.232149E+03,2.533157E-01,2.853238E-01,7.444713E+03,5.099757E+03,3.862359E-01,4.501888E-01,4.932742E+03,3.668366E+03,2.559121E-01,3.238310E-01
00:50:00,3.732612E+03,3.188313E+04,1.936751E-01,2.814290E+00,7.344277E+03,2.257481E+04,3.810745E-01,1.992659E+00,1.499822E+04,2.155427E+04,7.782165E-01,1.902577E+00,9.868804E+03,4.629108E+03,5.119887E-01,4.086468E-01,6.433093E+03,3.024424E+03,3.337437E-01,2.669900E-01,9.863200E+03,4.775896E+03,5.116979E-01,4.216049E-01,6.491670E+03,3.444127E+03,3.367826E-01,3.040401E-01,7.004151E+03,4.576460E+03,3.633953E-01,4.039823E-01,4.595274E+03,3.545140E+03,2.384150E-01,3.129437E-01,7.004145E+03,5.228246E+03,3.633950E-01,4.615174E-01,4.643787E+03,4.203728E+03,2.409320E-01,3.710793E-01,7.451760E+03,4.898873E+03,3.866015E-01,4.324550E-01,4.882558E+03,3.198828E+03,2.533086E-01,2.823819E-01,7.444496E+03,5.048889E+03,3.862247E-01,4.456977E-01,4.932604E+03,3.621731E+03,2.559050E-01,3.197139E-01
01:00:00,3.727611E+03,3.179665E+04,1.934156E-01,2.806652E+00,7.343333E+03,2.247530E+04,3.810255E-01,1.983871E+00,1.499801E+04,2.139826E+04,7.782056E-01,1.888802E+00,9.868758E+03,4.568111E+03,5.119863E-01,4.032616E-01,6.433063E+03,2.983168E+03,3.337422E-01,2.633477E-01,9.863154E+03,4.712665E+03,5.116955E-01,4.160225E-01,6.491640E+03,3.389823E+03,3.367811E-01,2.992459E-01,7.003651E+03,4.533431E+03,3.633693E-01,4.001833E-01,4.594967E+03,3.509186E+03,2.383991E-01,3.097695E-01,7.003645E+03,5.178004E+03,3.633690E-01,4.570817E-01,4.643481E+03,4.155595E+03,2.409162E-01,3.668299E-01,7.451545E+03,4.851504E+03,3.865904E-01,4.282728E-01,4.882421E+03,3.166167E+03,2.533015E-01,2.794984E-01,7.444280E+03,4.999016E+03,3.862135E-01,4.412945E-01,4.932467E+03,3.576340E+03,2.558979E-01,3.157065E-01
01:10:00,3.727937E+03,3.175783E+04,1.934325E-01,2.803220E+00,7.343396E+03,2.242367E+04,3.810288E-01,1.979310E+00,1.499802E+04,2.129207E+04,7.782064E-01,1.879425E+00,9.868761E+03,4.518711E+03,5.119864E-01,3.989002E-01,6.433065E+03,2.949285E+03,3.337423E-01,2.603562E-01,9.863157E+03,4.661020E+03,5.116957E-01,4.114628E-01,6.491642E+03,3.343501E+03,3.367812E-01,2.951563E-01,7.003685E+03,4.501139E+03,3.633711E-01,3.973322E-01,4.594988E+03,3.480111E+03,2.384002E-01,3.072024E-01,7.003679E+03,5.138542E+03,3.633708E-01,4.535975E-01,4.643502E+03,4.114793E+03,2.409172E-01,3.632277E-01,7.451559E+03,4.815198E+03,3.865911E-01,4.250673E-01,4.882430E+03,3.140546E+03,2.533020E-01,2.772362E-01,7.444295E+03,4.960218E+03,3.862142E-01,4.378689E-01,4.932477E+03,3.538546E+03,2.558984E-01,3.123698E-01
01:20:00,3.728262E+03,3.172082E+04,1.934493E-01,2.799948E+00,7.343458E+03,2.237425E+04,3.810320E-01,1.974944E+00,1.499804E+04,2.119021E+04,7.782071E-01,1.870431E+00,9.868764E+03,4.471371E+03,5.119866E-01,3.947207E-01,6.433067E+03,2.916744E+03,3.337424E-01,2.574833E-01,9.863160E+03,4.611428E+03,5.116959E-01,4.070845E-01,6.491644E+03,3.299076E+03,3.367813E-01,2.912343E-01,7.003718E+03,4.470033E+03,3.633728E-01,3.945858E-01,4.595008E+03,3.451895E+03,2.384013E-01,3.047113E-01,7.003712E+03,5.100323E+03,3.633725E-01,4.502232E-01,4.643522E+03,4.075256E+03,2.409183E-01,3.597370E-01,7.451573E+03,4.780391E+03,3.865918E-01,4.219940E-01,4.882440E+03,3.115915E+03,2.533024E-01,2.750615E-01,7.444309E+03,4.922933E+03,3.862150E-01,4.345770E-01,4.932486E+03,3.502253E+03,2.558989E-01,3.091656E-01
01:30:00,3.728584E+03,3.168474E+04,1.934661E-01,2.796759E+00,7.343520E+03,2.232582E+04,3.810352E-01,1.970665E+00,1.499805E+04,2.109138E+04,7.782079E-01,1.861704E+00,9.868767E+03,4.425814E+03,5.119868E-01,3.906987E-01,6.433069E+03,2.885373E+03,3.337425E-01,2.547137E-01,9.863163E+03,4.563615E+03,5.116960E-01,4.028633E-01,6.491646E+03,3.256333E+03,3.367814E-01,2.874608E-01,7.003751E+03,4.439933E+03,3.633745E-01,3.919283E-01,4.595028E+03,3.424421E+03,2.384023E-01,3.022857E-01,7.003745E+03,5.063166E+03,3.633742E-01,4.469427E-01,4.643542E+03,4.036832E+03,2.409194E-01,3.563449E-01,7.451587E+03,4.746823E+03,3.865926E-01,4.190304E-01,4.882449E+03,3.092115E+03,2.533029E-01,2.729603E-01,7.444323E+03,4.886909E+03,3.862157E-01,4.313965E-01,4.932495E+03,3.467264E+03,2.558993E-01,3.060766E-01
01:40:00,3.728905E+03,3.164941E+04,1.934827E-01,2.793638E+00,7.343582E+03,2.227817E+04,3.810384E-01,1.966458E+00,1.499806E+04,2.099528E+04,7.782086E-01,1.853219E+00,9.868770E+03,4.381943E+03,5.119869E-01,3.868256E-01,6.433071E+03,2.855115E+03,3.337426E-01,2.520424E-01,9.863166E+03,4.517491E+03,5.116962E-01,3.987913E-01,6.491648E+03,3.215179E+03,3.367815E-01,2.838277E-01,7.003784E+03,4.410778E+03,3.633762E-01,3.893544E-01,4.595048E+03,3.397651E+03,2.384034E-01,2.999224E-01,7.003778E+03,5.027011E+03,3.633759E-01,4.437508E-01,4.643562E+03,3.999460E+03,2.409204E-01,3.530457E-01,7.451601E+03,4.714424E+03,3.865933E-01,4.161700E-01,4.882457E+03,3.069103E+03,2.533034E-01,2.709287E-01,7.444337E+03,4.852076E+03,3.862164E-01,4.283213E-01,4.932504E+03,3.433504E+03,2.558998E-01,3.030962E-01
