Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.722157E+04,4.873928E+00,5.325143E+04,6.977189E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.722157E+04,4.873928E+00,5.325085E+04,7.061175E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.722157E+04,4.873928E+00,5.325066E+04,7.106753E+04
00:20:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.732646E+04,4.873928E+00,5.314660E+04,6.962886E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.732646E+04,4.873928E+00,5.314603E+04,7.046087E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.732646E+04,4.873928E+00,5.314584E+04,7.093574E+04
00:30:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.743134E+04,4.873928E+00,5.304175E+04,6.947873E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.743134E+04,4.873928E+00,5.304120E+04,7.030470E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.743134E+04,4.873928E+00,5.304100E+04,7.079783E+04
00:40:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.753623E+04,4.873928E+00,5.293691E+04,6.933733E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.753623E+04,4.873928E+00,5.293637E+04,7.015825E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.753623E+04,4.873928E+00,5.293616E+04,7.066879E+04
00:50:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.764112E+04,4.873928E+00,5.283205E+04,6.920918E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.764112E+04,4.873928E+00,5.283152E+04,7.002606E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.764112E+04,4.873928E+00,5.283131E+04,7.055327E+04
01:00:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.774601E+04,4.873928E+00,5.272720E+04,6.909225E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.774601E+04,4.873928E+00,5.272667E+04,6.990632E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.774601E+04,4.873928E+00,5.272647E+04,7.044967E+04
01:10:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.781594E+04,4.873928E+00,5.265731E+04,6.901880E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.781594E+04,4.873928E+00,5.265679E+04,6.983149E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.781594E+04,4.873928E+00,5.265658E+04,7.039068E+04
01:20:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.788587E+04,4.873928E+00,5.258741E+04,6.895025E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.788587E+04,4.873928E+00,5.258690E+04,6.976285E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.788587E+04,4.873928E+00,5.258669E+04,7.033761E+04
01:30:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.795579E+04,4.873928E+00,5.251751E+04,6.888483E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.795579E+04,4.873928E+00,5.251700E+04,6.969843E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.795579E+04,4.873928E+00,5.251679E+04,7.028858E+04
01:40:00,4.873928E+00,5.680568E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.802572E+04,4.873928E+00,5.244761E+04,6.882157E+04,4.873928E+00,5.681923E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.802572E+04,4.873928E+00,5.244710E+04,6.963710E+04,4.873928E+00,5.682560E+03,4.873928E+00,0.000000E+00,0.000000E+00,4.873928E+00,3.802572E+04,4.873928E+00,5.244689E+04,7.024250E+04
