Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,256602430.29427317,256602430.29427314 
 01/01  02:00:00,,,232533996.38597986,232533996.38597986 
 01/01  03:00:00,,,262017702.7251442,262017702.72514415 
 01/01  04:00:00,,,223028924.1347484,223028924.1347484 
 01/01  05:00:00,,,264003530.22372893,264003530.2237289 
 01/01  06:00:00,,,220072115.4533949,220072115.4533949 
 01/01  07:00:00,,,275113758.9148358,275113758.9148358 
 01/01  08:00:00,,,242235828.74377653,242235828.74377653 
 01/01  09:00:00,,,253166480.45650566,253166480.45650572 
 01/01  10:00:00,,,209837297.691949,209837297.69194904 
 01/01  11:00:00,,,218798684.1072936,218798684.10729355 
 01/01  12:00:00,,,191397180.05163318,191397180.05163318 
 01/01  13:00:00,,,205144686.3464871,205144686.3464871 
 01/01  14:00:00,,,181218663.64468464,181218663.64468467 
 01/01  15:00:00,,,200823851.78743517,200823851.78743517 
 01/01  16:00:00,,,186149548.60510698,186149548.60510695 
 01/01  17:00:00,,,226058689.40315387,226058689.40315387 
 01/01  18:00:00,,,228478292.84204122,228478292.84204125 
 01/01  19:00:00,,,278448443.78091174,278448443.78091174 
 01/01  20:00:00,,,227731684.9158264,227731684.91582635 
 01/01  21:00:00,,,258206400.40669608,258206400.40669605 
 01/01  22:00:00,,,230794118.9321383,230794118.9321383 
 01/01  23:00:00,,,269712079.7927513,269712079.7927513 
 01/01  24:00:00,,,259575434.82989854,259575434.82989854 
 01/02  01:00:00,,,292194041.56742823,292194041.56742823 
 01/02  02:00:00,,,252814645.94063422,252814645.94063425 
 01/02  03:00:00,,,324637903.0950916,324637903.0950915 
 01/02  04:00:00,,,267840803.19602498,267840803.19602495 
 01/02  05:00:00,,,298331101.53284234,298331101.53284234 
 01/02  06:00:00,,,250960634.32803738,250960634.32803738 
 01/02  07:00:00,,,331226947.72226095,331226947.72226095 
 01/02  08:00:00,,,471652011.70060384,471652011.70060384 
 01/02  09:00:00,,,499989865.93215114,499989865.9321511 
 01/02  10:00:00,,,436574971.0661152,436574971.06611526 
 01/02  11:00:00,,,406709964.60992324,406709964.60992324 
 01/02  12:00:00,,,390120752.62024945,390120752.62024945 
 01/02  13:00:00,,,428172089.612082,428172089.61208194 
 01/02  14:00:00,,,380998655.72678876,380998655.7267887 
 01/02  15:00:00,,,365186030.42279094,365186030.42279094 
 01/02  16:00:00,,,371629980.01166373,371629980.0116637 
 01/02  17:00:00,,,399444444.5077648,399444444.5077648 
 01/02  18:00:00,,,426837961.9020115,426837961.9020115 
 01/02  19:00:00,,,376219016.401716,376219016.40171593 
 01/02  20:00:00,,,369529265.89823115,369529265.8982311 
 01/02  21:00:00,,,377623052.4520542,377623052.4520542 
 01/02  22:00:00,,,387086346.6233007,387086346.6233006 
 01/02  23:00:00,,,250071577.6733723,250071577.67337227 
 01/02  24:00:00,,,232622839.04524198,232622839.04524195 
 01/03  01:00:00,,,259904076.48749107,259904076.48749107 
 01/03  02:00:00,,,229630248.45128202,229630248.451282 
 01/03  03:00:00,,,264326780.48093477,264326780.48093474 
 01/03  04:00:00,,,231198083.8843694,231198083.8843694 
 01/03  05:00:00,,,310780997.947271,310780997.94727093 
 01/03  06:00:00,,,264617719.95817068,264617719.95817065 
 01/03  07:00:00,,,349375888.3171582,349375888.3171582 
 01/03  08:00:00,,,496477832.29678905,496477832.29678905 
 01/03  09:00:00,,,539878232.933754,539878232.933754 
 01/03  10:00:00,,,491552984.4638674,491552984.46386725 
 01/03  11:00:00,,,466480431.3023199,466480431.3023199 
 01/03  12:00:00,,,450272569.59870434,450272569.59870434 
 01/03  13:00:00,,,485660271.93688786,485660271.9368878 
 01/03  14:00:00,,,454431853.3723709,454431853.3723709 
 01/03  15:00:00,,,439187837.73779273,439187837.73779273 
 01/03  16:00:00,,,459717194.6064075,459717194.60640746 
 01/03  17:00:00,,,493942996.43332905,493942996.433329 
 01/03  18:00:00,,,517036397.06369114,517036397.06369114 
 01/03  19:00:00,,,478897829.6483481,478897829.64834803 
 01/03  20:00:00,,,484364500.6688139,484364500.6688138 
 01/03  21:00:00,,,487103033.37239933,487103033.37239933 
 01/03  22:00:00,,,503853126.1061768,503853126.1061768 
 01/03  23:00:00,,,275653960.0115088,275653960.0115088 
 01/03  24:00:00,,,272106572.0357854,272106572.0357853 
 01/04  01:00:00,,,306092257.4356438,306092257.4356438 
 01/04  02:00:00,,,258859331.53749382,258859331.53749382 
 01/04  03:00:00,,,308362470.03312624,308362470.03312624 
 01/04  04:00:00,,,269296362.8145517,269296362.8145518 
 01/04  05:00:00,,,332257511.5155422,332257511.51554215 
 01/04  06:00:00,,,298266053.9223171,298266053.922317 
 01/04  07:00:00,,,425651275.97382075,425651275.9738207 
 01/04  08:00:00,,,649922384.270112,649922384.2701119 
 01/04  09:00:00,,,644443156.1694155,644443156.1694155 
 01/04  10:00:00,,,533780422.0594447,533780422.0594446 
 01/04  11:00:00,,,458039061.69442874,458039061.69442874 
 01/04  12:00:00,,,430040020.36567384,430040020.36567396 
 01/04  13:00:00,,,472419451.2356759,472419451.2356759 
 01/04  14:00:00,,,413832497.9668772,413832497.96687716 
 01/04  15:00:00,,,392344435.43251127,392344435.43251115 
 01/04  16:00:00,,,411351783.58305824,411351783.58305824 
 01/04  17:00:00,,,459896414.3977608,459896414.39776075 
 01/04  18:00:00,,,497378647.2508327,497378647.25083274 
 01/04  19:00:00,,,459901681.0772905,459901681.0772904 
 01/04  20:00:00,,,459978540.12074506,459978540.12074506 
 01/04  21:00:00,,,465596109.74631065,465596109.7463106 
 01/04  22:00:00,,,472392812.5370377,472392812.5370376 
 01/04  23:00:00,,,290245014.4662982,290245014.46629816 
 01/04  24:00:00,,,263138547.29730108,263138547.29730108 
 01/05  01:00:00,,,290074637.09068173,290074637.09068173 
 01/05  02:00:00,,,257021026.53090885,257021026.53090885 
 01/05  03:00:00,,,311667944.97866124,311667944.97866124 
 01/05  04:00:00,,,283056757.7107212,283056757.71072114 
 01/05  05:00:00,,,336137301.67367446,336137301.67367446 
 01/05  06:00:00,,,283477081.2089722,283477081.2089722 
 01/05  07:00:00,,,357829484.38680947,357829484.3868095 
 01/05  08:00:00,,,536895022.8641933,536895022.8641932 
 01/05  09:00:00,,,569428059.6179368,569428059.6179368 
 01/05  10:00:00,,,481757272.86851925,481757272.86851925 
 01/05  11:00:00,,,418933155.33765393,418933155.3376539 
 01/05  12:00:00,,,389850120.18799937,389850120.18799937 
 01/05  13:00:00,,,431078059.7915563,431078059.7915563 
 01/05  14:00:00,,,360781520.26657856,360781520.2665785 
 01/05  15:00:00,,,343745719.74375457,343745719.7437546 
 01/05  16:00:00,,,357037077.58868694,357037077.58868694 
 01/05  17:00:00,,,403342606.09112054,403342606.0911205 
 01/05  18:00:00,,,455642831.5998532,455642831.5998532 
 01/05  19:00:00,,,430702382.36742955,430702382.36742955 
 01/05  20:00:00,,,434791887.57546717,434791887.57546717 
 01/05  21:00:00,,,436605185.2269657,436605185.22696567 
 01/05  22:00:00,,,449686639.148244,449686639.1482439 
 01/05  23:00:00,,,251572254.7797653,251572254.7797653 
 01/05  24:00:00,,,263313537.84833345,263313537.84833345 
 01/06  01:00:00,,,277313236.87738496,277313236.87738496 
 01/06  02:00:00,,,247636338.48140144,247636338.48140144 
 01/06  03:00:00,,,292911514.57887137,292911514.5788713 
 01/06  04:00:00,,,261276114.95444643,261276114.95444638 
 01/06  05:00:00,,,315953968.6840384,315953968.68403846 
 01/06  06:00:00,,,283401864.1762012,283401864.1762012 
 01/06  07:00:00,,,370597642.1345653,370597642.13456535 
 01/06  08:00:00,,,617435791.3346364,617435791.3346363 
 01/06  09:00:00,,,617005835.7510581,617005835.751058 
 01/06  10:00:00,,,485339864.44745547,485339864.44745535 
 01/06  11:00:00,,,420519335.78499514,420519335.78499514 
 01/06  12:00:00,,,386807577.58880067,386807577.5888006 
 01/06  13:00:00,,,427465622.79909515,427465622.79909503 
 01/06  14:00:00,,,350310996.62442106,350310996.624421 
 01/06  15:00:00,,,328097566.89670813,328097566.89670813 
 01/06  16:00:00,,,331164294.4711177,331164294.4711176 
 01/06  17:00:00,,,372914211.3906018,372914211.39060175 
 01/06  18:00:00,,,408705918.56191427,408705918.5619142 
 01/06  19:00:00,,,368942336.5043676,368942336.5043676 
 01/06  20:00:00,,,355255660.1512943,355255660.15129423 
 01/06  21:00:00,,,341627914.5320738,341627914.5320738 
 01/06  22:00:00,,,337533161.2952714,337533161.29527146 
 01/06  23:00:00,,,233210931.41868338,233210931.41868335 
 01/06  24:00:00,,,226297912.33828935,226297912.33828935 
 01/07  01:00:00,,,226061785.15420607,226061785.15420604 
 01/07  02:00:00,,,196285733.16338322,196285733.16338322 
 01/07  03:00:00,,,252158582.9904092,252158582.9904092 
 01/07  04:00:00,,,231489742.8505801,231489742.8505801 
 01/07  05:00:00,,,263750787.98182195,263750787.98182198 
 01/07  06:00:00,,,233219758.0209029,233219758.02090293 
 01/07  07:00:00,,,281427500.67446876,281427500.67446876 
 01/07  08:00:00,,,343781415.77919865,343781415.77919865 
 01/07  09:00:00,,,328172661.84535044,328172661.84535044 
 01/07  10:00:00,,,319634053.48480725,319634053.4848072 
 01/07  11:00:00,,,282971841.9789768,282971841.9789767 
 01/07  12:00:00,,,295934425.8127282,295934425.8127282 
 01/07  13:00:00,,,292428251.4302224,292428251.4302224 
 01/07  14:00:00,,,294091729.33854,294091729.33853996 
 01/07  15:00:00,,,309322829.8234168,309322829.82341677 
 01/07  16:00:00,,,332092802.13286924,332092802.13286924 
 01/07  17:00:00,,,363747110.55131364,363747110.55131364 
 01/07  18:00:00,,,393462632.0738035,393462632.07380337 
 01/07  19:00:00,,,289731428.5180352,289731428.5180351 
 01/07  20:00:00,,,246378136.92292166,246378136.92292166 
 01/07  21:00:00,,,328472625.50014615,328472625.50014615 
 01/07  22:00:00,,,278782092.7071691,278782092.70716906 
 01/07  23:00:00,,,350589061.6362449,350589061.63624495 
 01/07  24:00:00,,,290561625.5134398,290561625.5134398 
 01/08  01:00:00,,,342432178.89935946,342432178.89935946 
 01/08  02:00:00,,,288384225.3246659,288384225.3246659 
 01/08  03:00:00,,,355616949.91340876,355616949.91340876 
 01/08  04:00:00,,,297843705.6689042,297843705.6689042 
 01/08  05:00:00,,,361708919.039051,361708919.03905094 
 01/08  06:00:00,,,297460276.9873044,297460276.98730445 
 01/08  07:00:00,,,377934403.0998235,377934403.0998235 
 01/08  08:00:00,,,321328787.2896108,321328787.2896108 
 01/08  09:00:00,,,336090271.5940851,336090271.59408504 
 01/08  10:00:00,,,234517566.2283209,234517566.2283209 
 01/08  11:00:00,,,246081174.52164552,246081174.52164552 
 01/08  12:00:00,,,192032125.8010612,192032125.80106118 
 01/08  13:00:00,,,236520993.81905162,236520993.81905162 
 01/08  14:00:00,,,183443459.0673024,183443459.06730235 
 01/08  15:00:00,,,230790112.9341027,230790112.93410274 
 01/08  16:00:00,,,237635083.81314102,237635083.81314102 
 01/08  17:00:00,,,306510566.78432167,306510566.78432167 
 01/08  18:00:00,,,290943090.33371603,290943090.33371603 
 01/08  19:00:00,,,339742583.7984636,339742583.7984636 
 01/08  20:00:00,,,275216917.77000386,275216917.77000386 
 01/08  21:00:00,,,333638992.2904378,333638992.2904378 
 01/08  22:00:00,,,284250715.03522766,284250715.0352276 
 01/08  23:00:00,,,351513309.21305704,351513309.21305704 
 01/08  24:00:00,,,302190644.9690175,302190644.9690175 
 01/09  01:00:00,,,373868844.85352504,373868844.85352504 
 01/09  02:00:00,,,335588348.6155685,335588348.6155685 
 01/09  03:00:00,,,414151768.2983895,414151768.29838955 
 01/09  04:00:00,,,320405391.7913313,320405391.7913313 
 01/09  05:00:00,,,372449365.51030636,372449365.51030624 
 01/09  06:00:00,,,315546978.60254174,315546978.6025418 
 01/09  07:00:00,,,419856944.40952015,419856944.4095201 
 01/09  08:00:00,,,620823699.80587,620823699.8058699 
 01/09  09:00:00,,,627242145.6675082,627242145.6675084 
 01/09  10:00:00,,,569070348.9329964,569070348.9329964 
 01/09  11:00:00,,,523024885.0393456,523024885.0393456 
 01/09  12:00:00,,,490497739.3384812,490497739.3384812 
 01/09  13:00:00,,,518823189.9825255,518823189.98252547 
 01/09  14:00:00,,,464552170.34898293,464552170.3489829 
 01/09  15:00:00,,,426137300.89937073,426137300.89937085 
 01/09  16:00:00,,,444224961.75819206,444224961.75819194 
 01/09  17:00:00,,,490116402.1725138,490116402.17251366 
 01/09  18:00:00,,,526621332.11468554,526621332.1146854 
 01/09  19:00:00,,,500712744.21879566,500712744.2187956 
 01/09  20:00:00,,,519076306.55629194,519076306.5562919 
 01/09  21:00:00,,,534237609.5581326,534237609.5581325 
 01/09  22:00:00,,,547666380.3220857,547666380.3220857 
 01/09  23:00:00,,,339806829.8651844,339806829.8651844 
 01/09  24:00:00,,,305773784.01728576,305773784.0172857 
 01/10  01:00:00,,,351424630.7417752,351424630.74177516 
 01/10  02:00:00,,,304060969.9278868,304060969.9278867 
 01/10  03:00:00,,,356031923.8977822,356031923.8977822 
 01/10  04:00:00,,,316783299.27822924,316783299.27822924 
 01/10  05:00:00,,,379250943.33146536,379250943.3314655 
 01/10  06:00:00,,,331179555.1366793,331179555.13667923 
 01/10  07:00:00,,,444440893.6045385,444440893.6045385 
 01/10  08:00:00,,,634464663.7353257,634464663.7353257 
 01/10  09:00:00,,,605386645.0264441,605386645.026444 
 01/10  10:00:00,,,483569188.86577255,483569188.8657726 
 01/10  11:00:00,,,422423353.4732565,422423353.4732566 
 01/10  12:00:00,,,389162187.27462226,389162187.27462226 
 01/10  13:00:00,,,419922318.0548768,419922318.0548768 
 01/10  14:00:00,,,350206747.8939417,350206747.89394164 
 01/10  15:00:00,,,327347361.28200805,327347361.28200805 
 01/10  16:00:00,,,332435833.47413826,332435833.4741382 
 01/10  17:00:00,,,364249843.3766176,364249843.3766175 
 01/10  18:00:00,,,398658478.1844798,398658478.1844798 
 01/10  19:00:00,,,355225683.2296079,355225683.22960794 
 01/10  20:00:00,,,328501589.1452259,328501589.14522576 
 01/10  21:00:00,,,312719735.63476765,312719735.63476765 
 01/10  22:00:00,,,311062844.2131571,311062844.21315706 
 01/10  23:00:00,,,230688852.87950963,230688852.87950963 
 01/10  24:00:00,,,216983773.06871936,216983773.0687194 
 01/11  01:00:00,,,237696896.76076612,237696896.76076612 
 01/11  02:00:00,,,208922537.1217658,208922537.12176582 
 01/11  03:00:00,,,235103511.06807035,235103511.06807035 
 01/11  04:00:00,,,202785051.00446206,202785051.004462 
 01/11  05:00:00,,,239229356.546474,239229356.546474 
 01/11  06:00:00,,,87310418.86838587,87310418.86838585 
 01/11  07:00:00,,,267832874.7478042,267832874.74780416 
 01/11  08:00:00,,,341425578.1812731,341425578.1812731 
 01/11  09:00:00,,,383491927.74917674,383491927.7491767 
 01/11  10:00:00,,,331209372.91331655,331209372.91331655 
 01/11  11:00:00,,,308811834.8870868,308811834.88708675 
 01/11  12:00:00,,,308742961.4791633,308742961.4791633 
 01/11  13:00:00,,,334133017.57757854,334133017.57757854 
 01/11  14:00:00,,,311415995.6060143,311415995.6060143 
 01/11  15:00:00,,,302004933.0002228,302004933.00022274 
 01/11  16:00:00,,,302222770.9147381,302222770.91473806 
 01/11  17:00:00,,,321858396.8176983,321858396.8176983 
 01/11  18:00:00,,,269040659.14141005,269040659.14141005 
 01/11  19:00:00,,,192404562.10654777,192404562.10654774 
 01/11  20:00:00,,,221283366.7513699,221283366.75136986 
 01/11  21:00:00,,,248605805.61100376,248605805.6110038 
 01/11  22:00:00,,,276890141.9835245,276890141.9835245 
 01/11  23:00:00,,,267330940.06091917,267330940.06091914 
 01/11  24:00:00,,,241222876.01417726,241222876.01417723 
 01/12  01:00:00,,,288605783.595983,288605783.595983 
 01/12  02:00:00,,,276443921.8258295,276443921.82582945 
 01/12  03:00:00,,,365982544.4150429,365982544.4150429 
 01/12  04:00:00,,,309016113.9720764,309016113.9720765 
 01/12  05:00:00,,,389609875.8995496,389609875.89954966 
 01/12  06:00:00,,,333642206.0161332,333642206.0161332 
 01/12  07:00:00,,,384414438.15502167,384414438.1550216 
 01/12  08:00:00,,,559279833.5429164,559279833.5429163 
 01/12  09:00:00,,,603069345.5955321,603069345.595532 
 01/12  10:00:00,,,510538260.0149191,510538260.01491916 
 01/12  11:00:00,,,460807445.7158333,460807445.71583325 
 01/12  12:00:00,,,441578757.0875753,441578757.0875754 
 01/12  13:00:00,,,483605734.77668726,483605734.7766874 
 01/12  14:00:00,,,399440058.3596258,399440058.35962576 
 01/12  15:00:00,,,362586463.0879269,362586463.0879269 
 01/12  16:00:00,,,362875280.99810266,362875280.9981026 
 01/12  17:00:00,,,390193555.0151673,390193555.0151673 
 01/12  18:00:00,,,458487402.5528749,458487402.5528748 
 01/12  19:00:00,,,438863122.7517843,438863122.7517842 
 01/12  20:00:00,,,423905812.8895539,423905812.8895539 
 01/12  21:00:00,,,430662615.1246647,430662615.1246647 
 01/12  22:00:00,,,451295137.14253485,451295137.14253485 
 01/12  23:00:00,,,283657816.5659591,283657816.5659591 
 01/12  24:00:00,,,250090639.25883022,250090639.2588302 
 01/13  01:00:00,,,272468814.32531285,272468814.32531285 
 01/13  02:00:00,,,242603987.24176422,242603987.24176425 
 01/13  03:00:00,,,281401970.57246536,281401970.5724653 
 01/13  04:00:00,,,247283107.60895,247283107.60895 
 01/13  05:00:00,,,285640895.5760968,285640895.5760968 
 01/13  06:00:00,,,257468348.96698874,257468348.96698865 
 01/13  07:00:00,,,346150600.3327162,346150600.3327162 
 01/13  08:00:00,,,532759229.58513176,532759229.5851317 
 01/13  09:00:00,,,565786675.3285213,565786675.3285211 
 01/13  10:00:00,,,470500186.9555787,470500186.9555787 
 01/13  11:00:00,,,411670747.1937763,411670747.19377625 
 01/13  12:00:00,,,376580461.05447364,376580461.05447364 
 01/13  13:00:00,,,406109523.2292532,406109523.2292531 
 01/13  14:00:00,,,341667529.83092433,341667529.83092433 
 01/13  15:00:00,,,312525052.4247333,312525052.42473334 
 01/13  16:00:00,,,313861565.65152484,313861565.6515248 
 01/13  17:00:00,,,339936985.17625314,339936985.1762531 
 01/13  18:00:00,,,345092529.9529075,345092529.95290744 
 01/13  19:00:00,,,294322258.01260006,294322258.01260006 
 01/13  20:00:00,,,289731042.10244125,289731042.1024412 
 01/13  21:00:00,,,286007025.66100127,286007025.6610012 
 01/13  22:00:00,,,282922637.97502905,282922637.97502905 
 01/13  23:00:00,,,223374784.1447258,223374784.1447258 
 01/13  24:00:00,,,208139470.00838345,208139470.00838342 
 01/14  01:00:00,,,218080837.2643253,218080837.2643253 
 01/14  02:00:00,,,190501149.99223924,190501149.99223927 
 01/14  03:00:00,,,223646464.43470007,223646464.43470004 
 01/14  04:00:00,,,191021896.27906018,191021896.27906018 
 01/14  05:00:00,,,224781085.1092557,224781085.10925573 
 01/14  06:00:00,,,70481159.18014005,70481159.18014005 
 01/14  07:00:00,,,265072234.7412357,265072234.74123567 
 01/14  08:00:00,,,309704283.82163125,309704283.82163125 
 01/14  09:00:00,,,286340037.366765,286340037.366765 
 01/14  10:00:00,,,270331569.8997159,270331569.8997159 
 01/14  11:00:00,,,252727562.98050916,252727562.98050913 
 01/14  12:00:00,,,242602158.92405283,242602158.92405275 
 01/14  13:00:00,,,220142898.0100292,220142898.0100292 
 01/14  14:00:00,,,217582601.43455088,217582601.43455088 
 01/14  15:00:00,,,213699797.9016371,213699797.90163708 
 01/14  16:00:00,,,224253065.71864796,224253065.71864796 
 01/14  17:00:00,,,244308887.2197889,244308887.2197889 
 01/14  18:00:00,,,267258613.8849344,267258613.88493443 
 01/14  19:00:00,,,196579513.4259327,196579513.4259327 
 01/14  20:00:00,,,175289719.52751598,175289719.52751598 
 01/14  21:00:00,,,203971989.8016835,203971989.80168346 
 01/14  22:00:00,,,182819386.11019823,182819386.11019823 
 01/14  23:00:00,,,203215795.07427296,203215795.074273 
