Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,27013474583.24502,8187863568.589982,0.0,2559603615.868486,9281537.478310071,3890805110.2675295,81831790.90970206,760197.182506036,17914451769.02966,798574328.4106103,10699915323.69493,8107749929.513021,157134425.14945835,4920830121.208127,215998558.5238764,6514756983.3180475,1186438804.8521307,5267410771.234306,216150302.53107464,4538382477.421837,298852604.3136197,2721031951.343381,358462119.2855178,6559858584.247863,478232328.9192575,2963678365.4852576,268371803.6756196,5162392943.163049,376313388.15259415,3174757679.3830433,354102125.38505256,4081192658.743629,1747313933.1846187,3405463992.759784,391397196.32118446,281179023474.60785,28072249375.469296 
February,0.0,25125789862.97091,7504266191.569182,2826595.7629202968,2271875384.5670958,4379960.634811748,3364924299.394106,111991056.56985697,1178691.248962535,16452559008.585033,855494598.0250462,10026019789.270569,7631707831.012057,208204901.575423,4686947255.986064,241008083.88644552,6183781107.858612,1160684986.1375172,4746486980.841776,318503015.6792679,4705928381.213104,336282250.11964715,2830379096.8412585,324060458.2190915,6558276905.873027,283082656.69336945,2827135596.3930554,353999707.02175945,5111181341.182838,455922385.11829245,3144208054.6647363,383213020.6387364,4010774868.949567,1668771304.0235515,3171978965.7167754,524288108.83869374,263948970498.71515,26733033790.138416 
March,0.0,32168948201.683727,4409200009.979515,480954639.55267346,1355380965.901088,351867500.5897703,2447361803.0537467,397399857.2488866,146802.77258265263,19512259098.59866,117755694.9207094,15265041028.331234,3734611680.9114604,1343033179.421521,2238656709.7607517,1405060045.6893923,3010151686.117319,3160892813.2280636,2279935185.169834,1348701324.366601,1960150489.3924196,1218464322.7024713,1090970633.592801,1201316170.9812248,3528349996.7703185,1692159610.033305,1066410532.3635986,1136759812.2080088,2065255742.6272912,1938511688.1145518,1252311079.8980606,1585277171.989509,1608527060.9455972,3910738870.5006304,1258103419.515476,1759349634.172148,227503213786.24554,24006045783.352753 
April,0.0,33856176442.668003,1733360720.1310425,1108263637.6329002,547226276.1820478,612955618.949854,744958552.2378134,929343374.8335024,0.0,17543831641.98386,0.0,15382097308.27266,590706992.440685,2196351912.606666,339938354.08974695,2126208067.5827897,472072212.9659423,3841259339.8569784,338555555.7208214,2285138512.9094806,174406293.28052673,2132175449.667942,56497972.02119106,1895985978.2939334,1386628185.2437158,2449265583.9230294,44266955.538745634,1930773707.8233266,133947222.55440961,2908960269.848624,75746086.54146409,2468680586.191536,84641219.32735766,4538249089.00597,67659650.03522804,2713227154.1069365,176927891500.96613,16514044950.32342 
May,0.0,41115455800.58325,870450434.1941102,4234195684.879981,160045478.0230002,2263120279.9134355,120266517.43227357,3032185433.0357537,0.0,23498234401.523197,0.0,22053712830.585564,0.0,4817841853.571722,0.0,4974072052.364165,0.0,6619289371.032051,132192.0886792617,4870759174.404434,0.0,3877257066.111933,0.0,4096555731.7445807,289645777.50009644,4644759268.32312,0.0,3995323720.6958594,0.0,5067599143.771258,0.0,5079429282.849968,0.0,6821284974.040037,0.0,4985649787.347119,207293667409.6618,12457507477.94032 
June,0.0,43823616025.417114,553361087.0800151,6271767800.710475,26837126.367658198,3743456934.12506,32254556.064349107,4669772036.904188,0.0,26541451548.407646,0.0,26546523487.828377,0.0,7018407222.678615,0.0,6503940122.06747,0.0,8216743038.495616,0.0,6367352618.872159,0.0,5787874633.074043,0.0,5724403547.758637,16425875.228804365,6428380376.927817,0.0,5521633145.559896,0.0,7058616134.884361,0.0,6487641610.546167,0.0,8216834840.604861,0.0,6361986557.246762,228706478893.04102,11088746769.30532 
July,0.0,43590196412.85125,343751872.1843753,7764350087.296499,27398748.83463791,4823197284.587079,24571602.892509278,5740706998.669094,0.0,27542338188.18635,0.0,28177437387.4545,0.0,8309211667.407732,0.0,7377023623.0066,0.0,9875619142.976875,0.0,7803739419.293906,0.0,7099247143.972,0.0,6665227473.785159,0.0,8760636093.655373,0.0,7094564684.484843,0.0,8171090669.2478695,0.0,7243836290.75713,0.0,9701008108.541563,0.0,7681028475.454846,248646458532.26984,10690026314.829876 
August,0.0,46164446801.69167,452563521.0680239,6498185870.950917,30838499.20416307,4270482166.2584915,33143779.58294987,5455050680.096,0.0,28212644299.811375,0.0,28072392462.781555,0.0,7285450318.232563,0.0,6727085334.112572,0.0,10128669148.821985,0.0,6623766759.684291,0.0,6642117328.719063,0.0,6433747339.697783,0.0,9345284138.846073,0.0,6300246898.089367,0.0,7336948770.111889,0.0,6718447296.7002735,0.0,10145695138.874548,0.0,6640733750.929445,249343990417.26477,11086497492.821705 
September,0.0,40769078639.67715,671848818.6165882,3489046033.253898,121795201.14999838,2488439402.3121376,98035148.56545447,3545440356.1531115,0.0,23453915367.73637,0.0,21680485451.220234,99092.2559800304,4649067577.034759,111836.92590899381,4169238307.1753316,0.0,7678514484.200335,0.0,4117476631.4638166,0.0,4752660382.6004715,0.0,4282944651.5274286,47391737.81852382,7210536171.586312,0.0,4222702736.239298,0.0,5004474833.863213,0.0,4344494452.72859,0.0,8020548286.628695,0.0,4341203666.160211,206969412721.22546,10849316219.85281 
October,0.0,37631945234.985466,1487671966.2512205,1190804305.6421025,548444367.0396056,968663366.8443977,492647047.5297313,1596812548.618036,0.0,19274172128.083775,0.0,16130224703.079977,341932769.7127296,2595045628.635986,202789439.84662336,2158132456.201767,250652812.8835065,5047087228.020747,222593319.4406629,2182615617.404433,16189682.069186935,3210783633.399449,6969582.368890376,2571804864.81358,472457115.62015706,4820517185.828578,11887649.292591378,2570695885.573388,95777563.41058709,3287206106.930767,55037002.234150626,2521724921.641802,59737209.56183033,5848290980.443824,64882124.10392906,2636609821.637891,190462955893.95135,13883499902.878296 
