Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,224501747.08654484,224501747.0865448 
 01/01  02:00:00,,,222654929.24838677,222654929.24838677 
 01/01  03:00:00,,,221721274.51294562,221721274.5129456 
 01/01  04:00:00,,,215177358.81459722,215177358.81459722 
 01/01  05:00:00,,,218204001.13780934,218204001.1378093 
 01/01  06:00:00,,,214935833.6356451,214935833.6356451 
 01/01  07:00:00,,,265772501.90841243,265772501.90841243 
 01/01  08:00:00,,,267762200.47566336,267762200.4756633 
 01/01  09:00:00,,,241844735.66929308,241844735.669293 
 01/01  10:00:00,,,239179778.67902505,239179778.67902505 
 01/01  11:00:00,,,227050910.33428288,227050910.33428282 
 01/01  12:00:00,,,229905639.70848525,229905639.7084852 
 01/01  13:00:00,,,229881955.32511926,229881955.3251192 
 01/01  14:00:00,,,229881955.3251193,229881955.32511926 
 01/01  15:00:00,,,228000254.66793242,228000254.66793236 
 01/01  16:00:00,,,229000385.00550568,229000385.00550562 
 01/01  17:00:00,,,237192570.83541292,237192570.8354129 
 01/01  18:00:00,,,251097226.27115643,251097226.27115637 
 01/01  19:00:00,,,224276234.18541116,224276234.18541116 
 01/01  20:00:00,,,220696333.98048425,220696333.98048425 
 01/01  21:00:00,,,221427962.45322448,221427962.45322448 
 01/01  22:00:00,,,223138863.18860674,223138863.1886068 
 01/01  23:00:00,,,222611150.12420535,222611150.12420535 
 01/01  24:00:00,,,226770735.07387686,226770735.0738769 
 01/02  01:00:00,,,272747444.3260545,272747444.3260545 
 01/02  02:00:00,,,279484604.8357209,279484604.8357209 
 01/02  03:00:00,,,274612155.23351383,274612155.23351383 
 01/02  04:00:00,,,276767528.23797995,276767528.23797995 
 01/02  05:00:00,,,274744364.79481274,274744364.79481274 
 01/02  06:00:00,,,278664059.2829954,278664059.28299546 
 01/02  07:00:00,,,345039039.91881853,345039039.9188185 
 01/02  08:00:00,,,469008937.03588486,469008937.03588486 
 01/02  09:00:00,,,897495813.77507,897495813.7750698 
 01/02  10:00:00,,,811930058.2387254,811930058.2387257 
 01/02  11:00:00,,,792539440.4574225,792539440.4574224 
 01/02  12:00:00,,,813400859.1231285,813400859.1231287 
 01/02  13:00:00,,,825810401.5458002,825810401.5458001 
 01/02  14:00:00,,,833524243.9173026,833524243.9173026 
 01/02  15:00:00,,,798866999.9417803,798866999.9417803 
 01/02  16:00:00,,,801037457.1364272,801037457.1364272 
 01/02  17:00:00,,,846027685.4685194,846027685.4685193 
 01/02  18:00:00,,,643868848.2451322,643868848.2451323 
 01/02  19:00:00,,,366676030.10307705,366676030.10307705 
 01/02  20:00:00,,,346125073.96009314,346125073.960093 
 01/02  21:00:00,,,339137672.7324264,339137672.7324264 
 01/02  22:00:00,,,333547268.7324264,333547268.7324264 
 01/02  23:00:00,,,315161324.61799467,315161324.6179946 
 01/02  24:00:00,,,311030979.0819907,311030979.0819906 
 01/03  01:00:00,,,257109048.2426026,257109048.2426026 
 01/03  02:00:00,,,256164141.0833249,256164141.0833249 
 01/03  03:00:00,,,257109048.2426026,257109048.2426026 
 01/03  04:00:00,,,256164141.0833249,256164141.0833249 
 01/03  05:00:00,,,257109048.2426026,257109048.2426026 
 01/03  06:00:00,,,257052953.80512232,257052953.80512235 
 01/03  07:00:00,,,335202262.01034117,335202262.01034117 
 01/03  08:00:00,,,461979219.8257527,461979219.8257527 
 01/03  09:00:00,,,903018370.3618066,903018370.3618064 
 01/03  10:00:00,,,815220342.7962472,815220342.7962472 
 01/03  11:00:00,,,795273114.4632598,795273114.4632598 
 01/03  12:00:00,,,816272867.478853,816272867.4788531 
 01/03  13:00:00,,,835025296.5688723,835025296.5688722 
 01/03  14:00:00,,,836652721.7354481,836652721.7354481 
 01/03  15:00:00,,,800083073.019836,800083073.019836 
 01/03  16:00:00,,,803096833.7400203,803096833.7400203 
 01/03  17:00:00,,,846875843.3416467,846875843.3416467 
