Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.684884E+02,9.226044E+04,2.599061E-02,6.750919E+00,7.211410E+03,4.567162E+04,3.296974E-01,3.341904E+00,1.446581E+04,4.356061E+04,6.613602E-01,3.187437E+00,1.034041E+04,8.793222E+03,4.726821E-01,6.434886E-01,6.715773E+03,5.625837E+03,3.069905E-01,4.117008E-01,1.033465E+04,8.899614E+03,4.724186E-01,6.512741E-01,6.812304E+03,6.004692E+03,3.114031E-01,4.394246E-01,7.534193E+03,9.075299E+03,3.444257E-01,6.641002E-01,4.923403E+03,6.204616E+03,2.250726E-01,4.540337E-01,7.534185E+03,9.557882E+03,3.444253E-01,6.994134E-01,5.004392E+03,6.749341E+03,2.287751E-01,4.938943E-01,8.052927E+03,9.312138E+03,3.681239E-01,6.814515E-01,5.251189E+03,5.953771E+03,2.400467E-01,4.356916E-01,8.046046E+03,9.416632E+03,3.678093E-01,6.890981E-01,5.337455E+03,6.334372E+03,2.439902E-01,4.635429E-01
00:20:00,5.672077E+02,9.222827E+04,2.593205E-02,6.748565E+00,7.211184E+03,4.563025E+04,3.296871E-01,3.338877E+00,1.446577E+04,4.345497E+04,6.613585E-01,3.179707E+00,1.034040E+04,8.740755E+03,4.726817E-01,6.396491E-01,6.715767E+03,5.590725E+03,3.069902E-01,4.091313E-01,1.033464E+04,8.845862E+03,4.724183E-01,6.473406E-01,6.812299E+03,5.955923E+03,3.114029E-01,4.358558E-01,7.534083E+03,9.042879E+03,3.444207E-01,6.617278E-01,4.923336E+03,6.177385E+03,2.250696E-01,4.520411E-01,7.534076E+03,9.519968E+03,3.444204E-01,6.966390E-01,5.004326E+03,6.710193E+03,2.287720E-01,4.910296E-01,8.052876E+03,9.274894E+03,3.681216E-01,6.787261E-01,5.251157E+03,5.928265E+03,2.400452E-01,4.338251E-01,8.045994E+03,9.377587E+03,3.678070E-01,6.862408E-01,5.337422E+03,6.295687E+03,2.439887E-01,4.607120E-01
00:30:00,5.659344E+02,9.219645E+04,2.587383E-02,6.746236E+00,7.210960E+03,4.558911E+04,3.296768E-01,3.335866E+00,1.446573E+04,4.335222E+04,6.613568E-01,3.172187E+00,1.034039E+04,8.689837E+03,4.726813E-01,6.359229E-01,6.715762E+03,5.556563E+03,3.069900E-01,4.066313E-01,1.033463E+04,8.793647E+03,4.724179E-01,6.435196E-01,6.812294E+03,5.909055E+03,3.114026E-01,4.324261E-01,7.533975E+03,9.011252E+03,3.444157E-01,6.594134E-01,4.923269E+03,6.150731E+03,2.250665E-01,4.500906E-01,7.533968E+03,9.482899E+03,3.444154E-01,6.939264E-01,5.004259E+03,6.672148E+03,2.287690E-01,4.882456E-01,8.052825E+03,9.238772E+03,3.681192E-01,6.760828E-01,5.251124E+03,5.903448E+03,2.400437E-01,4.320091E-01,8.045943E+03,9.339544E+03,3.678046E-01,6.834569E-01,5.337390E+03,6.258306E+03,2.439872E-01,4.579765E-01
00:40:00,5.646686E+02,9.216494E+04,2.581595E-02,6.743928E+00,7.210736E+03,4.554818E+04,3.296666E-01,3.332870E+00,1.446570E+04,4.325215E+04,6.613551E-01,3.164864E+00,1.034038E+04,8.640320E+03,4.726810E-01,6.322991E-01,6.715757E+03,5.523268E+03,3.069898E-01,4.041947E-01,1.033462E+04,8.742839E+03,4.724175E-01,6.398014E-01,6.812288E+03,5.863889E+03,3.114024E-01,4.291208E-01,7.533867E+03,8.980336E+03,3.444108E-01,6.571510E-01,4.923203E+03,6.124649E+03,2.250635E-01,4.481820E-01,7.533860E+03,9.446668E+03,3.444105E-01,6.912750E-01,5.004194E+03,6.635139E+03,2.287660E-01,4.855374E-01,8.052774E+03,9.203593E+03,3.681169E-01,6.735083E-01,5.251092E+03,5.879222E+03,2.400423E-01,4.302362E-01,8.045892E+03,9.302536E+03,3.678023E-01,6.807487E-01,5.337358E+03,6.222158E+03,2.439857E-01,4.553312E-01
00:50:00,5.634101E+02,9.213371E+04,2.575841E-02,6.741641E+00,7.210515E+03,4.550742E+04,3.296565E-01,3.329886E+00,1.446566E+04,4.315456E+04,6.613534E-01,3.157722E+00,1.034038E+04,8.592015E+03,4.726806E-01,6.287640E-01,6.715752E+03,5.490725E+03,3.069895E-01,4.018131E-01,1.033461E+04,8.693310E+03,4.724171E-01,6.361767E-01,6.812283E+03,5.820264E+03,3.114022E-01,4.259283E-01,7.533759E+03,8.950046E+03,3.444059E-01,6.549343E-01,4.923137E+03,6.099192E+03,2.250605E-01,4.463190E-01,7.533752E+03,9.411330E+03,3.444055E-01,6.886890E-01,5.004128E+03,6.599108E+03,2.287630E-01,4.829007E-01,8.052723E+03,9.169258E+03,3.681146E-01,6.709956E-01,5.251060E+03,5.855529E+03,2.400408E-01,4.285023E-01,8.045842E+03,9.266426E+03,3.678000E-01,6.781061E-01,5.337326E+03,6.187186E+03,2.439842E-01,4.527720E-01
01:00:00,5.621590E+02,9.210273E+04,2.570121E-02,6.739371E+00,7.210294E+03,4.546682E+04,3.296464E-01,3.326914E+00,1.446562E+04,4.305931E+04,6.613517E-01,3.150751E+00,1.034037E+04,8.544847E+03,4.726802E-01,6.253120E-01,6.715747E+03,5.458885E+03,3.069893E-01,3.994829E-01,1.033460E+04,8.644916E+03,4.724168E-01,6.326351E-01,6.812278E+03,5.778042E+03,3.114019E-01,4.228385E-01,7.533653E+03,8.920299E+03,3.444010E-01,6.527572E-01,4.923072E+03,6.074250E+03,2.250575E-01,4.444937E-01,7.533646E+03,9.376718E+03,3.444007E-01,6.861561E-01,5.004063E+03,6.564007E+03,2.287600E-01,4.803320E-01,8.052673E+03,9.135688E+03,3.681123E-01,6.685388E-01,5.251028E+03,5.832321E+03,2.400393E-01,4.268039E-01,8.045791E+03,9.231123E+03,3.677977E-01,6.755225E-01,5.337294E+03,6.153380E+03,2.439828E-01,4.502980E-01
01:10:00,5.622392E+02,9.208003E+04,2.570487E-02,6.737708E+00,7.210308E+03,4.543379E+04,3.296470E-01,3.324496E+00,1.446562E+04,4.297337E+04,6.613518E-01,3.144461E+00,1.034037E+04,8.500603E+03,4.726802E-01,6.220741E-01,6.715747E+03,5.428903E+03,3.069893E-01,3.972887E-01,1.033461E+04,8.599292E+03,4.724168E-01,6.292961E-01,6.812279E+03,5.738219E+03,3.114020E-01,4.199242E-01,7.533660E+03,8.892789E+03,3.444013E-01,6.507439E-01,4.923076E+03,6.050882E+03,2.250577E-01,4.427836E-01,7.533652E+03,9.344549E+03,3.444010E-01,6.838019E-01,5.004067E+03,6.530921E+03,2.287602E-01,4.779107E-01,8.052676E+03,9.104579E+03,3.681124E-01,6.662621E-01,5.251030E+03,5.810684E+03,2.400394E-01,4.252204E-01,8.045795E+03,9.198329E+03,3.677979E-01,6.731225E-01,5.337296E+03,6.121739E+03,2.439829E-01,4.479826E-01
01:20:00,5.623189E+02,9.205775E+04,2.570852E-02,6.736075E+00,7.210322E+03,4.540117E+04,3.296477E-01,3.322108E+00,1.446563E+04,4.288976E+04,6.613519E-01,3.138343E+00,1.034037E+04,8.457849E+03,4.726803E-01,6.189451E-01,6.715747E+03,5.399878E+03,3.069893E-01,3.951645E-01,1.033461E+04,8.555083E+03,4.724168E-01,6.260607E-01,6.812279E+03,5.699793E+03,3.114020E-01,4.171121E-01,7.533666E+03,8.865986E+03,3.444016E-01,6.487824E-01,4.923080E+03,6.028084E+03,2.250579E-01,4.411152E-01,7.533659E+03,9.313205E+03,3.444013E-01,6.815080E-01,5.004071E+03,6.498829E+03,2.287604E-01,4.755622E-01,8.052679E+03,9.074403E+03,3.681126E-01,6.640537E-01,5.251032E+03,5.789639E+03,2.400395E-01,4.236802E-01,8.045798E+03,9.166520E+03,3.677980E-01,6.707946E-01,5.337298E+03,6.091255E+03,2.439830E-01,4.457517E-01
01:30:00,5.623981E+02,9.203573E+04,2.571214E-02,6.734462E+00,7.210336E+03,4.536877E+04,3.296483E-01,3.319736E+00,1.446563E+04,4.280822E+04,6.613520E-01,3.132375E+00,1.034037E+04,8.416531E+03,4.726803E-01,6.159213E-01,6.715748E+03,5.371782E+03,3.069893E-01,3.931084E-01,1.033461E+04,8.512261E+03,4.724168E-01,6.229268E-01,6.812279E+03,5.662611E+03,3.114020E-01,4.143910E-01,7.533673E+03,8.839896E+03,3.444019E-01,6.468730E-01,4.923085E+03,6.005810E+03,2.250581E-01,4.394852E-01,7.533666E+03,9.282612E+03,3.444016E-01,6.792692E-01,5.004075E+03,6.467691E+03,2.287606E-01,4.732836E-01,8.052683E+03,9.045012E+03,3.681127E-01,6.619027E-01,5.251034E+03,5.769121E+03,2.400396E-01,4.221786E-01,8.045801E+03,9.135604E+03,3.677981E-01,6.685320E-01,5.337300E+03,6.061839E+03,2.439831E-01,4.435990E-01
01:40:00,5.624769E+02,9.201395E+04,2.571574E-02,6.732868E+00,7.210350E+03,4.533657E+04,3.296489E-01,3.317379E+00,1.446563E+04,4.272862E+04,6.613521E-01,3.126550E+00,1.034037E+04,8.376623E+03,4.726803E-01,6.130009E-01,6.715748E+03,5.344603E+03,3.069894E-01,3.911194E-01,1.033461E+04,8.470818E+03,4.724169E-01,6.198940E-01,6.812280E+03,5.626681E+03,3.114020E-01,4.117616E-01,7.533680E+03,8.814524E+03,3.444022E-01,6.450163E-01,4.923089E+03,5.984029E+03,2.250583E-01,4.378913E-01,7.533673E+03,9.252719E+03,3.444019E-01,6.770816E-01,5.004079E+03,6.437505E+03,2.287608E-01,4.710747E-01,8.052686E+03,9.016505E+03,3.681129E-01,6.598164E-01,5.251036E+03,5.749190E+03,2.400397E-01,4.207199E-01,8.045804E+03,9.105479E+03,3.677983E-01,6.663275E-01,5.337302E+03,6.033428E+03,2.439832E-01,4.415199E-01
