Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,4065631.3636322343,20456334548.322105,16771294429.568647,0.0,5766392710.860521,0.0,3627126180.190153,518719092.54599845,1093803266.7224672,9527150914.460306,7181994269.420098,6035172522.766042,14030503762.969145,6225552.887172635,8563141878.954947,20200467.10071492,11024465255.25359,1036788398.1497296,8570485632.4081135,94635504.22018243,10636273907.813303,16264123.228604598,6305867301.918048,24671811.022834577,11417895339.855824,110380117.32564321,6318601035.3249445,85925288.24051145,10774068899.292992,34826454.96489834,6429758061.8881,49527372.66284703,8067338007.68997,1254677143.0881321,6329854775.177602,138968476.03973487,362905528039.98376,51250856085.0183 
February,38638.869007472094,19488156902.561752,11769377129.24556,12795449.711189803,3919649404.5931954,57521383.383123256,2646979799.8941708,364319147.45339566,214787382.44475418,11037188398.382736,3804092974.8581877,7078769008.927437,9905224016.808292,126591341.97938962,5860279482.269203,272135454.14649385,7383835810.571422,1696301649.304348,5794928665.513992,272375094.81438833,7391764479.659046,147669024.36763343,4195068853.8288217,312164325.74393755,7642983428.544887,608386085.5415508,4108065591.589421,273665746.5179587,7268271705.670913,218157982.44081435,4228674482.5556026,257611938.83612746,5123765906.750943,1973620931.5206137,4074553304.6891575,354085579.6042761,264697604907.94208,46127678193.74508 
March,0.0,23376271432.53473,7779626887.412767,86490835.29811686,2102003538.6192722,129891790.5329331,1901531958.9232402,342101624.841749,11275637.579954414,17005257172.937626,970427287.8194333,11567688458.774633,6078019064.806822,481801367.4527152,3423797273.136772,802293772.6533635,4515409419.606796,2270345924.4658914,3503249268.4404464,685601910.8132883,4526560004.409051,511636393.069995,2251851182.4694686,854770025.0036323,5544630186.042795,811466537.7428836,2248478854.6341414,669541189.6706835,3836670287.4762907,738312608.4455243,2153927969.391916,715306297.4331614,2691080325.7524586,2602797275.137018,2145511051.7433515,825345297.8454257,214409779219.56464,53818943411.25049 
April,0.0,21646916715.39589,3891400070.3035073,904632112.2204345,1128323708.904351,422249437.904164,1088164788.2023714,534439264.6484803,2700606.9009599346,15896023143.541405,217120131.9657563,13811458983.668873,2358419746.689918,1300043488.407114,1226936569.824886,1476717973.423762,1828505807.8448956,3024082992.1745524,1352804484.0293443,1544643341.3418155,1432488453.14383,1525722023.6691685,504740545.5128639,1347871717.2948275,2360644161.465726,1652463280.685169,639910919.0446655,1302659518.759161,1165838442.634899,1674178466.6486454,575566533.9165202,1552559698.4145553,812713287.0674723,3306930778.300876,649764197.8022125,1681819240.7592332,144363260024.53943,31652749023.70606 
May,0.0,26916090796.465233,1091152708.9258397,2634236807.475138,418370647.0300637,1295380139.2905054,278127983.5757617,1385250213.2252848,0.0,19034566961.088787,0.0,17633733831.21935,145791078.5807687,2808003222.142633,81942927.77871975,3125200010.844493,129444351.91438036,4633366097.220466,81995481.0666916,3102944067.164547,20580937.631820317,3097217889.086204,4343014.380809837,2642109502.331609,662414831.7428112,3090278915.779692,787567.4238864592,2531292322.102415,533403.3740581704,3230419657.91895,398292.56443587627,3213567266.0262494,243508.6710309583,4861136453.355483,93457.91285839933,3216019689.6017194,131751651007.79529,14682256490.588398 
June,0.0,31163683340.668133,406228644.28294796,4572715002.217654,47339094.00453876,2674442156.3567324,38496662.44100059,2684843730.87029,0.0,23107936768.78765,0.0,21142055149.15427,0.0,4651211159.585527,0.0,4831633533.757932,0.0,6320038210.716129,0.0,4573409876.161306,0.0,4403552681.691554,0.0,4294401693.690718,118411858.46966673,4655489623.099252,0.0,3987308840.987388,0.0,4942081992.880038,0.0,4834798534.82152,0.0,6435246073.113024,0.0,4635278981.631762,139993946110.70395,11127308422.141508 
July,0.0,31639215713.986374,345161751.9860605,5811235964.271146,46894557.337892205,3469728820.1536255,37506204.045024775,3415613502.590071,0.0,24452693727.88371,0.0,22799092122.176704,0.0,5485638076.2270775,0.0,5825693961.477848,0.0,7614795026.751278,0.0,5493261837.495741,0.0,5202928655.66115,0.0,5468789535.05704,52706727.58150517,6507883164.935398,0.0,5037239879.622369,0.0,5680817060.23867,0.0,5779636247.368231,0.0,7645890223.163211,0.0,5504412389.735346,146819546571.0538,10778256191.796324 
August,0.0,33408681534.63113,485276625.2462139,4878233153.821819,49316299.99033526,3054062893.2030635,37746509.5189955,3291826424.247672,0.0,24503860414.986454,0.0,22453628739.129585,0.0,4732712003.558966,0.0,5044372478.673566,0.0,7900482458.246494,0.0,4838326358.766675,0.0,5010789550.2333145,0.0,5056283810.362289,102455156.00981322,7154057034.810462,0.0,4765581417.264164,0.0,5080895599.234094,0.0,5078327511.69579,0.0,8064855782.175565,0.0,4931608608.379034,153905988493.65576,11304774544.189333 
September,0.0,26992507659.637135,947921652.1336535,1728846373.8429053,334486147.1953383,1120411915.2689807,193850807.05413574,1374856780.1857817,0.0,17617197660.67291,0.0,15254281945.40224,20128788.697524097,2230085084.5406065,11439487.827098543,2049773351.505256,10866481.910090327,4733151781.716,8611006.625688959,2378742246.997747,0.0,3411864708.917834,0.0,2459379221.822037,501687019.8286574,4343783481.02539,0.0,2684018581.184468,0.0,2768121712.785291,0.0,2246333191.516501,0.0,5173814510.953444,0.0,2596875220.4393325,125777660957.68352,13907827027.443296 
October,0.0,22075643812.378777,4096532821.704894,359944677.5681647,1388528161.7451632,279915412.495409,1322356202.7200618,379076275.13413686,0.0,15509672212.854568,85399764.07346831,13143149470.032686,2124182653.09966,1063934993.5071024,1320835115.9618075,847651544.7914325,1643217623.722933,2879705429.9327245,1280375162.521446,944992803.5845875,439584159.2645362,2093946562.4623675,231833113.87825966,1266741938.005775,1519667383.043317,2489076183.868151,209879756.73851356,1352471566.305762,873062070.8188775,1568022156.2362678,545626373.7360624,929202333.6537318,630597118.0734831,3386680818.456492,521587614.68355316,1184363485.1243737,142974534744.85364,29373119825.8599 
November,0.0,20491671694.75469,8533825872.086952,625116.9180499559,2787955248.751042,47333755.89933842,2389550272.943342,146134746.83787403,39255077.74062705,13921161671.391905,1787947395.4985516,8965596851.805914,6299518144.473436,277705934.88043,3973021803.4449153,241737832.1855888,5308606172.887106,1093835592.4000044,4051177643.7068887,260283781.429342,3059599209.298472,612393347.6234561,1905446303.4270778,430338698.52821773,5205526916.037645,560177293.2731689,1933928300.5113046,422167713.78543824,3939696867.0027795,516450402.4575548,2540707654.951226,283495918.9742317,3238569095.8171463,1409049336.6552641,2542194496.946773,377829324.2611711,208924642059.3802,45041070551.52758 
December,17409.24330050155,21540229783.104343,14443299067.900673,0.0,4980598629.192892,0.0,3194660281.2985806,353025807.1389414,346760041.9600932,10270931961.571625,5191191632.0693865,6109186924.250341,12118162037.690119,1280635.7736583515,7637589005.683661,13707944.655816456,9758208951.310158,692418468.507064,7596330143.364456,31044001.637077436,8452040765.105132,32006027.35708973,5269513652.604085,33867351.789646335,10024098803.022667,106552510.12362358,5173429123.91855,51549840.79696589,8962202164.058535,25964113.343366694,5661851086.275265,30057166.841805622,6928369783.755091,880153929.4124061,5524877778.9950075,72969359.76819251,319391016688.0087,50305818435.30383 
