Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,494718877.0187912,494718877.0187912 
 01/01  02:00:00,,,425787865.1063216,425787865.1063215 
 01/01  03:00:00,,,522261795.86776656,522261795.8677665 
 01/01  04:00:00,,,434496678.17939734,434496678.17939734 
 01/01  05:00:00,,,534471750.1043446,534471750.1043446 
 01/01  06:00:00,,,443546978.4140336,443546978.41403353 
 01/01  07:00:00,,,558143779.0174428,558143779.0174427 
 01/01  08:00:00,,,465214412.50584894,465214412.50584894 
 01/01  09:00:00,,,515497062.9492257,515497062.9492257 
 01/01  10:00:00,,,359378393.11580366,359378393.1158036 
 01/01  11:00:00,,,387621475.99423337,387621475.9942333 
 01/01  12:00:00,,,306758247.4786759,306758247.4786759 
 01/01  13:00:00,,,370591701.026082,370591701.026082 
 01/01  14:00:00,,,300894769.22227365,300894769.22227365 
 01/01  15:00:00,,,345343244.03004926,345343244.0300492 
 01/01  16:00:00,,,285910338.0430861,285910338.0430861 
 01/01  17:00:00,,,422319625.0773329,422319625.0773329 
 01/01  18:00:00,,,383035723.31867695,383035723.31867695 
 01/01  19:00:00,,,469342608.5957186,469342608.59571844 
 01/01  20:00:00,,,399968791.06259125,399968791.06259125 
 01/01  21:00:00,,,497419619.717735,497419619.717735 
 01/01  22:00:00,,,414339623.2193137,414339623.2193137 
 01/01  23:00:00,,,511496927.1782517,511496927.1782517 
 01/01  24:00:00,,,418162997.92651373,418162997.92651373 
 01/02  01:00:00,,,512549671.0287023,512549671.02870214 
 01/02  02:00:00,,,421474477.1500126,421474477.15001255 
 01/02  03:00:00,,,503994250.66914785,503994250.66914773 
 01/02  04:00:00,,,423437187.5576273,423437187.5576273 
 01/02  05:00:00,,,511052188.3126118,511052188.3126118 
 01/02  06:00:00,,,415264025.3261368,415264025.3261368 
 01/02  07:00:00,,,555143919.4788202,555143919.4788202 
 01/02  08:00:00,,,811936255.9557521,811936255.9557523 
 01/02  09:00:00,,,807558476.4164513,807558476.4164513 
 01/02  10:00:00,,,681992711.0397463,681992711.0397463 
 01/02  11:00:00,,,599309303.4820669,599309303.4820668 
 01/02  12:00:00,,,560839459.2568371,560839459.2568371 
 01/02  13:00:00,,,592152880.7972956,592152880.7972953 
 01/02  14:00:00,,,534281103.9432516,534281103.94325143 
 01/02  15:00:00,,,519391811.3719067,519391811.3719065 
 01/02  16:00:00,,,545327397.2709042,545327397.270904 
 01/02  17:00:00,,,601854305.5190294,601854305.5190291 
 01/02  18:00:00,,,633194444.1612478,633194444.1612477 
 01/02  19:00:00,,,644523775.1092395,644523775.1092395 
 01/02  20:00:00,,,644301270.0083424,644301270.0083423 
 01/02  21:00:00,,,632500324.5734189,632500324.5734189 
 01/02  22:00:00,,,629725030.4856111,629725030.485611 
 01/02  23:00:00,,,364651109.9385428,364651109.9385428 
 01/02  24:00:00,,,330516411.50161165,330516411.5016116 
 01/03  01:00:00,,,383397938.3359031,383397938.33590305 
 01/03  02:00:00,,,320316667.5493163,320316667.5493163 
 01/03  03:00:00,,,374427192.40685105,374427192.40685105 
 01/03  04:00:00,,,318883037.9996896,318883037.9996895 
 01/03  05:00:00,,,390985704.0738746,390985704.0738746 
 01/03  06:00:00,,,338267160.2571391,338267160.257139 
 01/03  07:00:00,,,441174117.5178128,441174117.5178128 
 01/03  08:00:00,,,644740010.9949638,644740010.9949636 
 01/03  09:00:00,,,691795277.4579349,691795277.4579347 
 01/03  10:00:00,,,666584563.9345161,666584563.934516 
 01/03  11:00:00,,,656302171.9233952,656302171.923395 
 01/03  12:00:00,,,670956947.7611374,670956947.7611375 
 01/03  13:00:00,,,708099230.9924017,708099230.9924018 
 01/03  14:00:00,,,677637901.271391,677637901.2713907 
 01/03  15:00:00,,,671757986.3450142,671757986.3450141 
 01/03  16:00:00,,,663640474.2016096,663640474.2016096 
 01/03  17:00:00,,,724251435.991967,724251435.9919667 
 01/03  18:00:00,,,767607309.4338447,767607309.4338447 
 01/03  19:00:00,,,758629395.4692981,758629395.469298 
 01/03  20:00:00,,,763651464.2943324,763651464.2943323 
 01/03  21:00:00,,,771209645.4158947,771209645.4158947 
 01/03  22:00:00,,,766878278.7601825,766878278.7601825 
 01/03  23:00:00,,,501550181.7601753,501550181.7601753 
 01/03  24:00:00,,,431038663.38309467,431038663.38309455 
 01/04  01:00:00,,,513565108.0489706,513565108.04897046 
 01/04  02:00:00,,,431613575.82749856,431613575.8274985 
 01/04  03:00:00,,,524286370.714265,524286370.7142649 
 01/04  04:00:00,,,440124776.5418961,440124776.5418961 
 01/04  05:00:00,,,532850325.5115232,532850325.5115231 
 01/04  06:00:00,,,445915669.71227455,445915669.71227455 
 01/04  07:00:00,,,634723934.3166132,634723934.3166131 
 01/04  08:00:00,,,845062617.1867485,845062617.1867485 
