Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.122131E+04,6.705643E+00,7.389322E+04,9.080361E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.122131E+04,6.705643E+00,7.389224E+04,9.192238E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.122131E+04,6.705643E+00,7.389189E+04,9.252524E+04
00:20:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.132439E+04,6.705643E+00,7.379021E+04,9.063094E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.132439E+04,6.705643E+00,7.378928E+04,9.173557E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.132439E+04,6.705643E+00,7.378893E+04,9.235672E+04
00:30:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.142747E+04,6.705643E+00,7.368718E+04,9.043994E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.142747E+04,6.705643E+00,7.368630E+04,9.152911E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.142747E+04,6.705643E+00,7.368594E+04,9.216765E+04
00:40:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.153054E+04,6.705643E+00,7.358416E+04,9.027093E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.153054E+04,6.705643E+00,7.358330E+04,9.134277E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.153054E+04,6.705643E+00,7.358295E+04,9.199746E+04
00:50:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.163362E+04,6.705643E+00,7.348115E+04,9.013194E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.163362E+04,6.705643E+00,7.348031E+04,9.118737E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.163362E+04,6.705643E+00,7.347995E+04,9.185725E+04
01:00:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.173670E+04,6.705643E+00,7.337814E+04,9.001476E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.173670E+04,6.705643E+00,7.337731E+04,9.105744E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.173670E+04,6.705643E+00,7.337695E+04,9.174202E+04
01:10:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.180542E+04,6.705643E+00,7.330949E+04,8.994470E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.180542E+04,6.705643E+00,7.330867E+04,9.097932E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.180542E+04,6.705643E+00,7.330831E+04,9.167854E+04
01:20:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.187414E+04,6.705643E+00,7.324084E+04,8.988027E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.187414E+04,6.705643E+00,7.324002E+04,9.091101E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.187414E+04,6.705643E+00,7.323966E+04,9.162486E+04
01:30:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.194285E+04,6.705643E+00,7.317218E+04,8.981848E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.194285E+04,6.705643E+00,7.317137E+04,9.084850E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.194285E+04,6.705643E+00,7.317100E+04,9.157702E+04
01:40:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.201157E+04,6.705643E+00,7.310349E+04,8.975824E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.201157E+04,6.705643E+00,7.310269E+04,9.078976E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.201157E+04,6.705643E+00,7.310232E+04,9.153300E+04
01:50:00,6.705643E+00,0.000000E+00,6.705643E+00,8.895144E+03,0.000000E+00,6.705643E+00,6.208029E+04,6.705643E+00,7.303480E+04,8.969913E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.526098E+03,0.000000E+00,6.705643E+00,6.208029E+04,6.705643E+00,7.303400E+04,9.073370E+04,6.705643E+00,0.000000E+00,6.705643E+00,9.465791E+03,0.000000E+00,6.705643E+00,6.208029E+04,6.705643E+00,7.303363E+04,9.149171E+04
