Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,3.679719E+03,3.525734E+04,1.804294E-01,3.084341E+00,7.741125E+03,2.170917E+04,3.795742E-01,1.899146E+00,1.516393E+04,2.096347E+04,7.435403E-01,1.833911E+00,1.110535E+04,4.417351E+03,5.444534E-01,3.864727E-01,7.202327E+03,2.865274E+03,3.531007E-01,2.506829E-01,1.109917E+04,4.607188E+03,5.441503E-01,4.030814E-01,7.319397E+03,3.272036E+03,3.588402E-01,2.862696E-01,8.290232E+03,4.253637E+03,4.064646E-01,3.721343E-01,5.406642E+03,3.191683E+03,2.650832E-01,2.792279E-01,8.290224E+03,5.014472E+03,4.064642E-01,4.386955E-01,5.504859E+03,3.751065E+03,2.698987E-01,3.281650E-01,8.750088E+03,4.613989E+03,4.289923E-01,4.036710E-01,5.694949E+03,2.992842E+03,2.792060E-01,2.618401E-01,8.742355E+03,4.809045E+03,4.286132E-01,4.207359E-01,5.800274E+03,3.399850E+03,2.843698E-01,2.974477E-01
00:20:00,3.670098E+03,3.519276E+04,1.799576E-01,3.078689E+00,7.739419E+03,2.163449E+04,3.794906E-01,1.892609E+00,1.516359E+04,2.082181E+04,7.435232E-01,1.821515E+00,1.110528E+04,4.356009E+03,5.444497E-01,3.811055E-01,7.202278E+03,2.824745E+03,3.530983E-01,2.471368E-01,1.109909E+04,4.543112E+03,5.441465E-01,3.974750E-01,7.319348E+03,3.216948E+03,3.588378E-01,2.814499E-01,8.289368E+03,4.213795E+03,4.064222E-01,3.686481E-01,5.406112E+03,3.160362E+03,2.650572E-01,2.764874E-01,8.289361E+03,4.966726E+03,4.064219E-01,4.345180E-01,5.504331E+03,3.706837E+03,2.698728E-01,3.242955E-01,8.749701E+03,4.568913E+03,4.289734E-01,3.997269E-01,5.694703E+03,2.962491E+03,2.791940E-01,2.591844E-01,8.741968E+03,4.760659E+03,4.285943E-01,4.165022E-01,5.800029E+03,3.355383E+03,2.843578E-01,2.935572E-01
00:30:00,3.660535E+03,3.512887E+04,1.794887E-01,3.073098E+00,7.737725E+03,2.156036E+04,3.794075E-01,1.886121E+00,1.516324E+04,2.068362E+04,7.435062E-01,1.809423E+00,1.110520E+04,4.296224E+03,5.444460E-01,3.758746E-01,7.202230E+03,2.785198E+03,3.530960E-01,2.436766E-01,1.109902E+04,4.480802E+03,5.441428E-01,3.920232E-01,7.319300E+03,3.163944E+03,3.588354E-01,2.768126E-01,8.288510E+03,4.174690E+03,4.063802E-01,3.652264E-01,5.405587E+03,3.129614E+03,2.650315E-01,2.737972E-01,8.288503E+03,4.919973E+03,4.063798E-01,4.304274E-01,5.503808E+03,3.663918E+03,2.698472E-01,3.205405E-01,8.749317E+03,4.524811E+03,4.289546E-01,3.958682E-01,5.694459E+03,2.932739E+03,2.791820E-01,2.565813E-01,8.741584E+03,4.713397E+03,4.285754E-01,4.123670E-01,5.799785E+03,3.312528E+03,2.843458E-01,2.898078E-01
00:40:00,3.651031E+03,3.506561E+04,1.790227E-01,3.067561E+00,7.736042E+03,2.148673E+04,3.793250E-01,1.879677E+00,1.516289E+04,2.054866E+04,7.434894E-01,1.797614E+00,1.110513E+04,4.237962E+03,5.444423E-01,3.707769E-01,7.202182E+03,2.746518E+03,3.530936E-01,2.402923E-01,1.109894E+04,4.420087E+03,5.441391E-01,3.867110E-01,7.319252E+03,3.112816E+03,3.588331E-01,2.723392E-01,8.287658E+03,4.136315E+03,4.063384E-01,3.618687E-01,5.405065E+03,3.099369E+03,2.650059E-01,2.711510E-01,8.287650E+03,4.874100E+03,4.063380E-01,4.264139E-01,5.503287E+03,3.622234E+03,2.698216E-01,3.168936E-01,8.748935E+03,4.481485E+03,4.289358E-01,3.920772E-01,5.694217E+03,2.903476E+03,2.791701E-01,2.540208E-01,8.741202E+03,4.667141E+03,4.285567E-01,4.083199E-01,5.799542E+03,3.271099E+03,2.843339E-01,2.861831E-01
00:50:00,3.641584E+03,3.500290E+04,1.785595E-01,3.062072E+00,7.734369E+03,2.141355E+04,3.792430E-01,1.873272E+00,1.516255E+04,2.041667E+04,7.434726E-01,1.786065E+00,1.110505E+04,4.181191E+03,5.444386E-01,3.658097E-01,7.202135E+03,2.708741E+03,3.530913E-01,2.369869E-01,1.109887E+04,4.360772E+03,5.441354E-01,3.815212E-01,7.319205E+03,3.063379E+03,3.588308E-01,2.680138E-01,8.286811E+03,4.098644E+03,4.062968E-01,3.585726E-01,5.404546E+03,3.069554E+03,2.649804E-01,2.685423E-01,8.286803E+03,4.829002E+03,4.062965E-01,4.224680E-01,5.502770E+03,3.581765E+03,2.697963E-01,3.133530E-01,8.748556E+03,4.438965E+03,4.289172E-01,3.883568E-01,5.693976E+03,2.874669E+03,2.791583E-01,2.515003E-01,8.740822E+03,4.621775E+03,4.285381E-01,4.043505E-01,5.799302E+03,3.230943E+03,2.843221E-01,2.826697E-01
01:00:00,3.632196E+03,3.494066E+04,1.780992E-01,3.056623E+00,7.732707E+03,2.134074E+04,3.791614E-01,1.866900E+00,1.516221E+04,2.028743E+04,7.434560E-01,1.774756E+00,1.110498E+04,4.125853E+03,5.444350E-01,3.609679E-01,7.202087E+03,2.671845E+03,3.530890E-01,2.337586E-01,1.109879E+04,4.302679E+03,5.441318E-01,3.764383E-01,7.319158E+03,3.015464E+03,3.588285E-01,2.638215E-01,8.285969E+03,4.061650E+03,4.062556E-01,3.553358E-01,5.404030E+03,3.040056E+03,2.649551E-01,2.659614E-01,8.285961E+03,4.784565E+03,4.062552E-01,4.185800E-01,5.502256E+03,3.542374E+03,2.697711E-01,3.099066E-01,8.748179E+03,4.397256E+03,4.288988E-01,3.847073E-01,5.693736E+03,2.846354E+03,2.791466E-01,2.490228E-01,8.740445E+03,4.577160E+03,4.285196E-01,4.004468E-01,5.799062E+03,3.191927E+03,2.843104E-01,2.792560E-01
01:10:00,3.632808E+03,3.490845E+04,1.781292E-01,3.053802E+00,7.732817E+03,2.129756E+04,3.791669E-01,1.863121E+00,1.516224E+04,2.018970E+04,7.434571E-01,1.766205E+00,1.110498E+04,4.078217E+03,5.444352E-01,3.567999E-01,7.202091E+03,2.639815E+03,3.530891E-01,2.309562E-01,1.109880E+04,4.252206E+03,5.441320E-01,3.720221E-01,7.319161E+03,2.972934E+03,3.588286E-01,2.601004E-01,8.286025E+03,4.031626E+03,4.062583E-01,3.527087E-01,5.404064E+03,3.014932E+03,2.649568E-01,2.637631E-01,8.286017E+03,4.746933E+03,4.062579E-01,4.152874E-01,5.502290E+03,3.507909E+03,2.697728E-01,3.068911E-01,8.748204E+03,4.362710E+03,4.289000E-01,3.816846E-01,5.693752E+03,2.822572E+03,2.791473E-01,2.469418E-01,8.740470E+03,4.539564E+03,4.285208E-01,3.971572E-01,5.799078E+03,3.157978E+03,2.843112E-01,2.762857E-01
01:20:00,3.633416E+03,3.487743E+04,1.781590E-01,3.051086E+00,7.732926E+03,2.125576E+04,3.791722E-01,1.859461E+00,1.516226E+04,2.009542E+04,7.434583E-01,1.757954E+00,1.110499E+04,4.032410E+03,5.444355E-01,3.527920E-01,7.202094E+03,2.608945E+03,3.530893E-01,2.282552E-01,1.109880E+04,4.203515E+03,5.441323E-01,3.677619E-01,7.319164E+03,2.931941E+03,3.588288E-01,2.565137E-01,8.286080E+03,4.002610E+03,4.062610E-01,3.501700E-01,5.404098E+03,2.990464E+03,2.649585E-01,2.616223E-01,8.286073E+03,4.710235E+03,4.062607E-01,4.120764E-01,5.502324E+03,3.474546E+03,2.697744E-01,3.039721E-01,8.748229E+03,4.329430E+03,4.289012E-01,3.787726E-01,5.693768E+03,2.799598E+03,2.791481E-01,2.449317E-01,8.740495E+03,4.503187E+03,4.285220E-01,3.939742E-01,5.799094E+03,3.125276E+03,2.843119E-01,2.734245E-01
01:30:00,3.634021E+03,3.484708E+04,1.781887E-01,3.048427E+00,7.733035E+03,2.121459E+04,3.791776E-01,1.855858E+00,1.516228E+04,2.000376E+04,7.434594E-01,1.749934E+00,1.110499E+04,3.988268E+03,5.444357E-01,3.489298E-01,7.202097E+03,2.579138E+03,3.530894E-01,2.256472E-01,1.109881E+04,4.156463E+03,5.441325E-01,3.636451E-01,7.319167E+03,2.892417E+03,3.588289E-01,2.530556E-01,8.286136E+03,3.974506E+03,4.062637E-01,3.477110E-01,5.404132E+03,2.966603E+03,2.649601E-01,2.595346E-01,8.286128E+03,4.674422E+03,4.062634E-01,4.089430E-01,5.502358E+03,3.442155E+03,2.697761E-01,3.011381E-01,8.748254E+03,4.297276E+03,4.289024E-01,3.759593E-01,5.693784E+03,2.777352E+03,2.791489E-01,2.429852E-01,8.740519E+03,4.467921E+03,4.285232E-01,3.908887E-01,5.799109E+03,3.093613E+03,2.843127E-01,2.706542E-01
01:40:00,3.634622E+03,3.481726E+04,1.782181E-01,3.045817E+00,7.733143E+03,2.117395E+04,3.791829E-01,1.852301E+00,1.516231E+04,1.991452E+04,7.434605E-01,1.742126E+00,1.110500E+04,3.945728E+03,5.444360E-01,3.452079E-01,7.202100E+03,2.550361E+03,3.530896E-01,2.231294E-01,1.109881E+04,4.111005E+03,5.441327E-01,3.596678E-01,7.319170E+03,2.854321E+03,3.588291E-01,2.497225E-01,8.286190E+03,3.947282E+03,4.062664E-01,3.453290E-01,5.404166E+03,2.943339E+03,2.649618E-01,2.574992E-01,8.286183E+03,4.639495E+03,4.062661E-01,4.058871E-01,5.502392E+03,3.410646E+03,2.697777E-01,2.983815E-01,8.748278E+03,4.266212E+03,4.289036E-01,3.732415E-01,5.693799E+03,2.755816E+03,2.791497E-01,2.411010E-01,8.740544E+03,4.433750E+03,4.285244E-01,3.878989E-01,5.799125E+03,3.062989E+03,2.843135E-01,2.679748E-01
