Date/Time,CORE_BOTTOM:Zone Air System Sensible Heating Energy [J](Monthly),CORE_BOTTOM:Zone Air System Sensible Cooling Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Heating Energy [J](Monthly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_MID:Zone Air System Sensible Heating Energy [J](Monthly),CORE_MID:Zone Air System Sensible Cooling Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Heating Energy [J](Monthly),CORE_TOP:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Heating Energy [J](Monthly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,1300798683.4701884,9850934003.767786,15157014709.775661,0.0,4299956715.661822,103261281.76609254,2601495128.9509883,1397378835.0367951,5096209899.281684,5540925257.402133,11377854201.196798,3576162734.296933,14229869099.615618,1433081.627100915,8269941680.735896,18268026.86009113,11540131998.605408,1014945941.1657903,7587614465.915673,274163108.9398477,10741354505.332563,365583.0567566725,5541018967.763419,294865707.4062289,9864108317.55381,63176539.32142047,5424246366.786598,438968621.6823747,10949269399.823423,6828299.039266466,5502467863.312041,471559547.5199059,8365946452.520327,1188057698.9090393,5509511956.948681,506626813.0200847,357408468601.4644,13509013970.14676 
February,182750293.34975865,11362314075.373985,10483411508.530176,15743187.882917574,3072248311.3317776,51397285.70813146,1819918318.6772933,788078636.8612468,2021984377.9448524,7021147004.185536,6707020498.511669,4694704181.103419,10331184189.480633,87339827.95277265,5759827294.966624,340506033.5850722,7921418799.498814,1702367354.5351665,5702301706.688196,333647669.468564,7969576260.64359,52624712.13817581,4119702479.173718,376456216.4409678,6994037248.806317,704165984.2592484,3998065306.393523,422942553.9756928,7786864644.864314,126376941.71567203,4003053968.4413047,503290216.95034385,5648875963.083843,1922807351.9821794,4068954949.799173,555775666.383078,262624143659.02084,12276217139.438437 
March,30432.07728742651,16962356998.169062,6816028519.670112,144041846.19778952,1771325834.0812657,46967356.00158438,1068008165.2207719,657287274.8145772,78966421.344129,11754643246.732088,3044770024.5823874,8769691032.103016,6811585797.002718,396368314.3312792,3830386345.056777,931154058.4852134,5155542192.679883,2541454498.0020685,3834617671.7015057,830302712.7898395,5664144522.2604,234942892.2011812,2854332246.9955025,751825053.9715023,5330080094.117788,641462949.2050977,2854004527.737396,697318291.5400946,4663835686.405726,522598050.32057667,2635077455.5862694,818138631.5302254,3382657728.143858,2839278823.2184587,2587314986.680027,1007508913.8253789,214597082678.9805,13887876551.735527 
April,0.0,14611909694.7565,3431443290.2748556,704699781.4670229,884753690.2135046,311978256.0847212,565811784.9859875,552952767.9495517,41582956.64148014,12489099978.053455,845659472.3861465,10335349218.00265,2992791964.353672,1184487322.7618735,1579659725.9239323,1478158216.1926417,2384576962.3982725,2878418362.174238,1712656048.9678934,1483832537.159318,2302508047.7369337,963819344.5069188,931358966.43967,1346141539.1482623,2673946170.437512,1412959180.3588004,1077495417.7669902,1214519536.1134357,1753992897.56876,1387197729.1974914,896333720.9892789,1417444182.03998,1314804407.0144315,3099573111.9267097,984045591.7013798,1605458769.3182395,123739571354.60909,12441435657.218393 
May,0.0,16037749972.971413,1028026171.0538925,2072206683.8511817,443331391.5026365,793652570.1538494,247307966.04040942,982516410.8887492,0.0,13633404400.79424,2649337.6446031956,12982031357.684153,350556428.24949574,2440747772.7342434,193857329.08795336,2865740288.8852644,317770563.72620666,4249514705.1659055,194788604.28531504,2882021434.6713295,137390153.1221785,2109163184.4574523,53400122.10218229,2310880308.547318,777233270.7885331,2621773968.7891917,45998811.93876299,2238309181.7403803,49222618.86315171,2588535184.467406,30800333.68121599,2839279426.3403125,44270769.82398937,4381515116.146791,28476932.925103437,2933511238.575702,87607059705.80762,12255213542.828356 
June,0.0,20960535567.698116,339906184.85990816,4025178478.6890783,33925102.35089018,1929800499.5749772,26150197.56012854,2027013016.2884772,0.0,16945537309.371569,0.0,15837119957.868433,0.0,4045102017.5366077,0.0,4484122140.136744,0.0,5806563727.543631,0.0,4237586291.1753254,0.0,3170882489.2172484,0.0,3774725246.514924,135446360.47342053,4005726223.7821465,0.0,3481421737.368185,0.0,4118998440.901262,0.0,4416536573.914489,0.0,5850438177.0353,0.0,4252686435.630869,94870724595.192,11150113193.343712 
July,0.0,21659990866.96093,298232125.20873594,5198635546.3824215,34610466.047054045,2653582324.678508,23943432.081716284,2667033433.1646633,0.0,18123343532.110973,0.0,17283395906.479202,0.0,4854979162.363111,0.0,5454608395.9406185,0.0,7069293547.535482,0.0,5141675638.543309,0.0,3955112346.086371,0.0,4886182558.918774,62912664.788017586,5692684133.189436,0.0,4470178531.625554,0.0,4821612815.456183,0.0,5295598590.681713,0.0,6975640615.343816,0.0,5072573535.1116295,103358380246.86362,10738495785.62814 
August,0.0,22870625371.397118,403890078.67111206,4309185370.913375,41920347.99836451,2279442005.5061483,31919143.105064746,2528167932.896615,0.0,18259799107.49246,0.0,16962114496.253706,0.0,4077529158.580804,0.0,4651935409.330794,0.0,7316194822.175252,0.0,4477262428.227934,0.0,3732446695.136864,0.0,4504250164.64948,108102449.36180303,6331337074.087401,0.0,4230000648.74707,0.0,4192409891.2725472,0.0,4634528222.899763,0.0,7429870696.269105,0.0,4533664928.629816,107778776665.15306,11188231197.468346 
September,0.0,16595419714.081476,821631914.7979385,1272658575.043611,401853831.4829689,647543266.7903266,209469185.83390528,915754030.6949079,0.0,12454433730.880247,0.0,11324628712.81408,122273578.14203113,1941897549.5201745,64624463.72080995,1842662370.3461142,73703662.83893909,4355853306.996866,60587373.884572886,2203074480.19493,0.0,2359394710.265281,0.0,2117649170.6512017,436518895.8519495,3780426561.89547,0.0,2381447512.6468287,0.0,2208507747.463057,0.0,1939809434.051995,0.0,4749655751.28008,0.0,2401285610.875812,82103131026.01903,11076821197.162813 
October,0.0,14172917436.401953,3634166501.2551503,232654694.09228122,1108568705.3636353,235494064.07517117,713710782.8584598,400995480.4772562,2850369.737785363,12690391890.898512,835443823.7840891,9700824781.13402,2904313425.123388,854593955.29794,1796505339.9397717,824157253.5887654,2286479065.987808,2636196318.5567822,1751043789.469253,863009976.6471202,933450439.1019558,1435728770.781363,532116206.2676885,1238620799.5192099,1758438424.3426466,2272919391.002548,487517430.203823,1277567930.9356,1452017752.9276574,1222577204.914685,916931994.8546696,853312391.4591665,1090226248.3621006,3117006486.8570776,868221599.580139,1105763321.286676,119689910602.85785,12172028580.588379 
