Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.111171E+03,2.415656E+04,2.015850E-01,2.113251E+00,7.446094E+03,1.828353E+04,3.651078E-01,1.599479E+00,1.486964E+04,1.777368E+04,7.291100E-01,1.554876E+00,1.031568E+04,3.805717E+03,5.057383E-01,3.329612E-01,6.709565E+03,2.480827E+03,3.289425E-01,2.170477E-01,1.030986E+04,3.998030E+03,5.054533E-01,3.497864E-01,6.792362E+03,2.890674E+03,3.330017E-01,2.529044E-01,7.513958E+03,3.525338E+03,3.684042E-01,3.084195E-01,4.915852E+03,2.738837E+03,2.410201E-01,2.396108E-01,7.513951E+03,4.290273E+03,3.684039E-01,3.753396E-01,4.985136E+03,3.298965E+03,2.444170E-01,2.886133E-01,7.966415E+03,3.954745E+03,3.905710E-01,3.459953E-01,5.203969E+03,2.579153E+03,2.551347E-01,2.256472E-01,7.958961E+03,4.153961E+03,3.902055E-01,3.634242E-01,5.277046E+03,2.988873E+03,2.587175E-01,2.614922E-01
00:20:00,4.102424E+03,2.408258E+04,2.011561E-01,2.106775E+00,7.444512E+03,1.819803E+04,3.650303E-01,1.591994E+00,1.486930E+04,1.762072E+04,7.290935E-01,1.541489E+00,1.031560E+04,3.742612E+03,5.057347E-01,3.274397E-01,6.709518E+03,2.439112E+03,3.289402E-01,2.133977E-01,1.030979E+04,3.931728E+03,5.054497E-01,3.439851E-01,6.792315E+03,2.834144E+03,3.329994E-01,2.479583E-01,7.513143E+03,3.484701E+03,3.683643E-01,3.048636E-01,4.915353E+03,2.706261E+03,2.409956E-01,2.367605E-01,7.513136E+03,4.240605E+03,3.683640E-01,3.709937E-01,4.984639E+03,3.253827E+03,2.443926E-01,2.846641E-01,7.966056E+03,3.907900E+03,3.905534E-01,3.418963E-01,5.203741E+03,2.547629E+03,2.551235E-01,2.228889E-01,7.958601E+03,4.103584E+03,3.901879E-01,3.590162E-01,5.276818E+03,2.943318E+03,2.587063E-01,2.575065E-01
00:30:00,4.093731E+03,2.400936E+04,2.007299E-01,2.100365E+00,7.442939E+03,1.811318E+04,3.649532E-01,1.584567E+00,1.486897E+04,1.747131E+04,7.290771E-01,1.528415E+00,1.031553E+04,3.681532E+03,5.057311E-01,3.220953E-01,6.709471E+03,2.398631E+03,3.289379E-01,2.098557E-01,1.030971E+04,3.867341E+03,5.054460E-01,3.383515E-01,6.792268E+03,2.779673E+03,3.329971E-01,2.431925E-01,7.512334E+03,3.445083E+03,3.683246E-01,3.013970E-01,4.914857E+03,2.674345E+03,2.409713E-01,2.339680E-01,7.512327E+03,4.191949E+03,3.683243E-01,3.667364E-01,4.984145E+03,3.209960E+03,2.443684E-01,2.808261E-01,7.965699E+03,3.862276E+03,3.905358E-01,3.379043E-01,5.203514E+03,2.516850E+03,2.551124E-01,2.201958E-01,7.958243E+03,4.054386E+03,3.901703E-01,3.547115E-01,5.276591E+03,2.899254E+03,2.586951E-01,2.536511E-01
00:40:00,4.085092E+03,2.393682E+04,2.003062E-01,2.094016E+00,7.441377E+03,1.802891E+04,3.648766E-01,1.577191E+00,1.486863E+04,1.732527E+04,7.290608E-01,1.515636E+00,1.031546E+04,3.622431E+03,5.057275E-01,3.169243E-01,6.709425E+03,2.359379E+03,3.289356E-01,2.064213E-01,1.030964E+04,3.804781E+03,5.054425E-01,3.328779E-01,6.792222E+03,2.727118E+03,3.329948E-01,2.385943E-01,7.511530E+03,3.406357E+03,3.682852E-01,2.980086E-01,4.914365E+03,2.643064E+03,2.409471E-01,2.312310E-01,7.511523E+03,4.144258E+03,3.682849E-01,3.625637E-01,4.983653E+03,3.167268E+03,2.443443E-01,2.770909E-01,7.965344E+03,3.817820E+03,3.905184E-01,3.340144E-01,5.203288E+03,2.486789E+03,2.551013E-01,2.175655E-01,7.957888E+03,4.006312E+03,3.901529E-01,3.505051E-01,5.276365E+03,2.856571E+03,2.586841E-01,2.499167E-01
00:50:00,4.076505E+03,2.386488E+04,1.998852E-01,2.087719E+00,7.439825E+03,1.794515E+04,3.648005E-01,1.569861E+00,1.486830E+04,1.718232E+04,7.290446E-01,1.503127E+00,1.031538E+04,3.565063E+03,5.057240E-01,3.119049E-01,6.709378E+03,2.321231E+03,3.289334E-01,2.030836E-01,1.030957E+04,3.743964E+03,5.054389E-01,3.275566E-01,6.792176E+03,2.676342E+03,3.329926E-01,2.341517E-01,7.510731E+03,3.368416E+03,3.682460E-01,2.946887E-01,4.913875E+03,2.612392E+03,2.409231E-01,2.285474E-01,7.510724E+03,4.097487E+03,3.682457E-01,3.584713E-01,4.983165E+03,3.125666E+03,2.443204E-01,2.734511E-01,7.964991E+03,3.774516E+03,3.905011E-01,3.302254E-01,5.203064E+03,2.457425E+03,2.550903E-01,2.149963E-01,7.957534E+03,3.959306E+03,3.901356E-01,3.463922E-01,5.276141E+03,2.815172E+03,2.586731E-01,2.462944E-01
01:00:00,4.067971E+03,2.379345E+04,1.994668E-01,2.081467E+00,7.438283E+03,1.786183E+04,3.647248E-01,1.562569E+00,1.486798E+04,1.704221E+04,7.290285E-01,1.490867E+00,1.031531E+04,3.509260E+03,5.057205E-01,3.070223E-01,6.709333E+03,2.284076E+03,3.289311E-01,1.998327E-01,1.030950E+04,3.684832E+03,5.054354E-01,3.223828E-01,6.792130E+03,2.627227E+03,3.329903E-01,2.298544E-01,7.509937E+03,3.331158E+03,3.682071E-01,2.914287E-01,4.913389E+03,2.582319E+03,2.408993E-01,2.259161E-01,7.509930E+03,4.051598E+03,3.682068E-01,3.544563E-01,4.982681E+03,3.085079E+03,2.442966E-01,2.699000E-01,7.964640E+03,3.732284E+03,3.904840E-01,3.265303E-01,5.202841E+03,2.428772E+03,2.550794E-01,2.124892E-01,7.957183E+03,3.913325E+03,3.901184E-01,3.423690E-01,5.275919E+03,2.774969E+03,2.586622E-01,2.427769E-01
01:10:00,4.068529E+03,2.376044E+04,1.994941E-01,2.078576E+00,7.438386E+03,1.781666E+04,3.647299E-01,1.558614E+00,1.486800E+04,1.694213E+04,7.290296E-01,1.482109E+00,1.031532E+04,3.462923E+03,5.057207E-01,3.029680E-01,6.709336E+03,2.252921E+03,3.289313E-01,1.971067E-01,1.030950E+04,3.635367E+03,5.054356E-01,3.180548E-01,6.792133E+03,2.584778E+03,3.329905E-01,2.261404E-01,7.509990E+03,3.302512E+03,3.682097E-01,2.889222E-01,4.913421E+03,2.557887E+03,2.409009E-01,2.237784E-01,7.509983E+03,4.014552E+03,3.682093E-01,3.512148E-01,4.982713E+03,3.050526E+03,2.442982E-01,2.668768E-01,7.964664E+03,3.699056E+03,3.904851E-01,3.236229E-01,5.202856E+03,2.405842E+03,2.550801E-01,2.104828E-01,7.957207E+03,3.876422E+03,3.901195E-01,3.391400E-01,5.275933E+03,2.741033E+03,2.586629E-01,2.398076E-01
01:20:00,4.069082E+03,2.372884E+04,1.995212E-01,2.075809E+00,7.438487E+03,1.777320E+04,3.647349E-01,1.554809E+00,1.486802E+04,1.684586E+04,7.290307E-01,1.473685E+00,1.031532E+04,3.418423E+03,5.057209E-01,2.990744E-01,6.709339E+03,2.222943E+03,3.289314E-01,1.944838E-01,1.030951E+04,3.587904E+03,5.054359E-01,3.139021E-01,6.792136E+03,2.544151E+03,3.329906E-01,2.225857E-01,7.510042E+03,3.274712E+03,3.682123E-01,2.864897E-01,4.913453E+03,2.534258E+03,2.409025E-01,2.217109E-01,7.510035E+03,3.978716E+03,3.682119E-01,3.480793E-01,4.982745E+03,3.017132E+03,2.442998E-01,2.639550E-01,7.964687E+03,3.667176E+03,3.904862E-01,3.208334E-01,5.202871E+03,2.383792E+03,2.550809E-01,2.085535E-01,7.957230E+03,3.840985E+03,3.901206E-01,3.360393E-01,5.275948E+03,2.708495E+03,2.586636E-01,2.369608E-01
01:30:00,4.069633E+03,2.369800E+04,1.995482E-01,2.073107E+00,7.438589E+03,1.773051E+04,3.647398E-01,1.551072E+00,1.486804E+04,1.675238E+04,7.290318E-01,1.465505E+00,1.031533E+04,3.375488E+03,5.057212E-01,2.953178E-01,6.709342E+03,2.193982E+03,3.289316E-01,1.919498E-01,1.030951E+04,3.542179E+03,5.054361E-01,3.099015E-01,6.792139E+03,2.505180E+03,3.329908E-01,2.191761E-01,7.510094E+03,3.247717E+03,3.682148E-01,2.841277E-01,4.913485E+03,2.511305E+03,2.409040E-01,2.197027E-01,7.510087E+03,3.943973E+03,3.682145E-01,3.450395E-01,4.982777E+03,2.984778E+03,2.443014E-01,2.611243E-01,7.964710E+03,3.636420E+03,3.904874E-01,3.181423E-01,5.202885E+03,2.362482E+03,2.550816E-01,2.066890E-01,7.957253E+03,3.806848E+03,3.901218E-01,3.330526E-01,5.275963E+03,2.677201E+03,2.586643E-01,2.342227E-01
01:40:00,4.070180E+03,2.366776E+04,1.995750E-01,2.070460E+00,7.438689E+03,1.768845E+04,3.647448E-01,1.547391E+00,1.486807E+04,1.666144E+04,7.290329E-01,1.457548E+00,1.031533E+04,3.333949E+03,5.057214E-01,2.916834E-01,6.709345E+03,2.165919E+03,3.289317E-01,1.894945E-01,1.030952E+04,3.498071E+03,5.054363E-01,3.060423E-01,6.792142E+03,2.467819E+03,3.329909E-01,2.159073E-01,7.510146E+03,3.221518E+03,3.682174E-01,2.818354E-01,4.913517E+03,2.488970E+03,2.409056E-01,2.177485E-01,7.510139E+03,3.910314E+03,3.682170E-01,3.420946E-01,4.982809E+03,2.953410E+03,2.443029E-01,2.583799E-01,7.964733E+03,3.606690E+03,3.904885E-01,3.155411E-01,5.202900E+03,2.341855E+03,2.550823E-01,2.048843E-01,7.957276E+03,3.773963E+03,3.901229E-01,3.301753E-01,5.275977E+03,2.647088E+03,2.586651E-01,2.315881E-01
