Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 01/01  01:00:00,,,437597089.79948205,437597089.79948205 
 01/01  02:00:00,,,376848641.0781306,376848641.07813054 
 01/01  03:00:00,,,471145725.8316357,471145725.8316357 
 01/01  04:00:00,,,387936576.9767797,387936576.9767797 
 01/01  05:00:00,,,479704911.4159974,479704911.41599727 
 01/01  06:00:00,,,393028847.5832827,393028847.58328265 
 01/01  07:00:00,,,499437182.1530224,499437182.15302247 
 01/01  08:00:00,,,412737301.1383708,412737301.1383709 
 01/01  09:00:00,,,459491743.9203578,459491743.9203579 
 01/01  10:00:00,,,311330738.79434985,311330738.79434985 
 01/01  11:00:00,,,334926510.34212655,334926510.3421265 
 01/01  12:00:00,,,262433590.32600716,262433590.32600716 
 01/01  13:00:00,,,323452203.8948261,323452203.8948261 
 01/01  14:00:00,,,257728678.74482566,257728678.74482566 
 01/01  15:00:00,,,298189756.2187906,298189756.2187906 
 01/01  16:00:00,,,240077170.6449339,240077170.64493388 
 01/01  17:00:00,,,369133620.61963195,369133620.61963195 
 01/01  18:00:00,,,334308416.8048122,334308416.8048121 
 01/01  19:00:00,,,417468877.6703567,417468877.67035663 
 01/01  20:00:00,,,352492217.3358335,352492217.33583343 
 01/01  21:00:00,,,433822530.7065524,433822530.7065524 
 01/01  22:00:00,,,357093441.31741256,357093441.3174126 
 01/01  23:00:00,,,446407980.58022344,446407980.5802234 
 01/01  24:00:00,,,360337022.5959524,360337022.5959525 
 01/02  01:00:00,,,445300994.594314,445300994.59431404 
 01/02  02:00:00,,,360876340.37558246,360876340.3755824 
 01/02  03:00:00,,,446201434.370516,446201434.37051594 
 01/02  04:00:00,,,369654889.0518409,369654889.0518409 
 01/02  05:00:00,,,447077807.1114683,447077807.1114683 
 01/02  06:00:00,,,363592536.40294135,363592536.40294135 
 01/02  07:00:00,,,501801116.97905964,501801116.97905964 
 01/02  08:00:00,,,726199455.1684161,726199455.1684161 
 01/02  09:00:00,,,731910697.9069005,731910697.9069005 
 01/02  10:00:00,,,633405996.7410903,633405996.7410902 
 01/02  11:00:00,,,558992152.6978605,558992152.6978605 
 01/02  12:00:00,,,522986375.8285936,522986375.82859373 
 01/02  13:00:00,,,553176943.0690721,553176943.0690722 
 01/02  14:00:00,,,505374318.49642193,505374318.496422 
 01/02  15:00:00,,,494079249.4637019,494079249.46370196 
 01/02  16:00:00,,,518463752.04960406,518463752.0496042 
 01/02  17:00:00,,,572812596.3992212,572812596.3992213 
 01/02  18:00:00,,,599139424.6456401,599139424.64564 
 01/02  19:00:00,,,611363709.6955522,611363709.6955522 
 01/02  20:00:00,,,614073292.2004122,614073292.2004123 
 01/02  21:00:00,,,603222325.8018397,603222325.8018397 
 01/02  22:00:00,,,603394140.2408742,603394140.240874 
 01/02  23:00:00,,,369151044.64831674,369151044.64831686 
 01/02  24:00:00,,,303101026.7389258,303101026.7389258 
 01/03  01:00:00,,,358999191.64116406,358999191.64116406 
 01/03  02:00:00,,,292343870.11057794,292343870.1105778 
 01/03  03:00:00,,,346921484.2814197,346921484.2814197 
 01/03  04:00:00,,,289495812.1933995,289495812.1933994 
 01/03  05:00:00,,,361792052.4497123,361792052.4497123 
 01/03  06:00:00,,,306953960.27003443,306953960.2700343 
 01/03  07:00:00,,,407691582.1186902,407691582.11869013 
 01/03  08:00:00,,,655295335.16094,655295335.16094 
 01/03  09:00:00,,,661050521.5454255,661050521.5454255 
 01/03  10:00:00,,,642439386.2877383,642439386.2877383 
 01/03  11:00:00,,,630369993.836739,630369993.836739 
 01/03  12:00:00,,,638623290.5571576,638623290.5571578 
 01/03  13:00:00,,,690726599.3504304,690726599.3504305 
 01/03  14:00:00,,,646229882.4030956,646229882.4030955 
 01/03  15:00:00,,,642997880.8098947,642997880.8098946 
 01/03  16:00:00,,,638425634.9547832,638425634.9547831 
 01/03  17:00:00,,,698315810.1069503,698315810.1069503 
 01/03  18:00:00,,,715577251.7950563,715577251.7950562 
 01/03  19:00:00,,,692366518.8617402,692366518.8617402 
 01/03  20:00:00,,,693955722.7690355,693955722.7690356 
 01/03  21:00:00,,,691623722.821904,691623722.8219038 
 01/03  22:00:00,,,692858219.3354921,692858219.3354921 
 01/03  23:00:00,,,451529020.45474756,451529020.4547475 
 01/03  24:00:00,,,379617589.9984698,379617589.9984698 
 01/04  01:00:00,,,456405252.67910576,456405252.6791058 
 01/04  02:00:00,,,378802987.4624611,378802987.4624611 
 01/04  03:00:00,,,467735999.1249932,467735999.1249932 
 01/04  04:00:00,,,388654744.4820354,388654744.4820354 
 01/04  05:00:00,,,478178959.67332304,478178959.673323 
 01/04  06:00:00,,,395603825.3479705,395603825.3479704 
 01/04  07:00:00,,,578546630.0202188,578546630.0202188 
 01/04  08:00:00,,,753771352.6141546,753771352.6141546 
 01/04  09:00:00,,,817237947.8801827,817237947.8801829 
 01/04  10:00:00,,,772166037.317801,772166037.317801 
 01/04  11:00:00,,,753324576.7218751,753324576.7218751 
 01/04  12:00:00,,,705912220.2767478,705912220.2767476 
 01/04  13:00:00,,,722365908.4946835,722365908.4946834 
 01/04  14:00:00,,,681787859.0285738,681787859.0285738 
 01/04  15:00:00,,,677741191.5950948,677741191.5950948 
 01/04  16:00:00,,,690604724.8268842,690604724.826884 
 01/04  17:00:00,,,744766291.5569879,744766291.5569879 
 01/04  18:00:00,,,762273394.6030232,762273394.6030232 
 01/04  19:00:00,,,746329795.6273707,746329795.6273707 
 01/04  20:00:00,,,741823105.7642496,741823105.7642494 
 01/04  21:00:00,,,733256792.0063496,733256792.0063496 
 01/04  22:00:00,,,736298185.085595,736298185.085595 
 01/04  23:00:00,,,520620690.3778779,520620690.3778778 
 01/04  24:00:00,,,424862790.3086169,424862790.3086169 
 01/05  01:00:00,,,507000706.86028767,507000706.86028755 
 01/05  02:00:00,,,416690477.6939909,416690477.69399095 
 01/05  03:00:00,,,510472079.90688264,510472079.90688264 
 01/05  04:00:00,,,419351896.6250016,419351896.6250016 
 01/05  05:00:00,,,513046812.96075606,513046812.96075606 
 01/05  06:00:00,,,420347848.6406165,420347848.6406164 
 01/05  07:00:00,,,617424090.0570033,617424090.0570031 
 01/05  08:00:00,,,774082234.739434,774082234.739434 
 01/05  09:00:00,,,859532381.8495613,859532381.8495613 
 01/05  10:00:00,,,815003072.8063844,815003072.8063844 
 01/05  11:00:00,,,754035128.4772053,754035128.4772053 
 01/05  12:00:00,,,715321157.2269027,715321157.2269027 
 01/05  13:00:00,,,717764000.5004706,717764000.5004706 
 01/05  14:00:00,,,681068978.0611717,681068978.0611717 
 01/05  15:00:00,,,666316750.2149966,666316750.2149965 
 01/05  16:00:00,,,680330084.94971,680330084.9497099 
 01/05  17:00:00,,,744031637.216244,744031637.2162439 
 01/05  18:00:00,,,760913976.7916629,760913976.7916629 
 01/05  19:00:00,,,750125995.6194371,750125995.6194371 
 01/05  20:00:00,,,748876481.8233125,748876481.8233124 
 01/05  21:00:00,,,737277796.6122001,737277796.6122 
 01/05  22:00:00,,,740203249.0969183,740203249.0969183 
 01/05  23:00:00,,,528094523.596056,528094523.596056 
 01/05  24:00:00,,,429204448.37040806,429204448.37040806 
 01/06  01:00:00,,,508102473.7618022,508102473.7618022 
 01/06  02:00:00,,,410147602.5557283,410147602.5557282 
 01/06  03:00:00,,,511958623.81748205,511958623.81748205 
 01/06  04:00:00,,,414539207.8134647,414539207.8134647 
 01/06  05:00:00,,,507294209.1978447,507294209.1978445 
 01/06  06:00:00,,,422234265.44241965,422234265.44241965 
 01/06  07:00:00,,,611043363.2695575,611043363.2695575 
 01/06  08:00:00,,,778895482.9872283,778895482.9872283 
 01/06  09:00:00,,,869840414.843387,869840414.8433874 
 01/06  10:00:00,,,821656349.4117448,821656349.4117448 
 01/06  11:00:00,,,753381571.6104213,753381571.6104214 
 01/06  12:00:00,,,709330009.4392309,709330009.4392309 
 01/06  13:00:00,,,703037230.8604386,703037230.8604386 
 01/06  14:00:00,,,664286489.43183,664286489.4318298 
 01/06  15:00:00,,,640552205.8968633,640552205.8968632 
 01/06  16:00:00,,,656298443.1203266,656298443.1203265 
 01/06  17:00:00,,,716435721.5304958,716435721.5304956 
 01/06  18:00:00,,,735385610.4876295,735385610.4876294 
