Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.296205E-01,1.226786E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.672432E+03,2.098097E-01,2.062119E+03,4.683901E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.405335E+04,1.374192E+00,1.350628E+04,3.067818E+04
00:20:00,2.296054E-01,1.226756E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.692039E+03,2.098097E-01,2.042512E+03,4.663723E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.418177E+04,1.374192E+00,1.337786E+04,3.054602E+04
00:30:00,2.295905E-01,1.226726E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.711646E+03,2.098097E-01,2.022905E+03,4.643545E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.431019E+04,1.374192E+00,1.324944E+04,3.041386E+04
00:40:00,2.295757E-01,1.226696E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.731254E+03,2.098097E-01,2.003298E+03,4.623367E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.443861E+04,1.374192E+00,1.312101E+04,3.028169E+04
00:50:00,2.295609E-01,1.226666E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.750861E+03,2.098097E-01,1.983691E+03,4.603192E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.456703E+04,1.374192E+00,1.299259E+04,3.014955E+04
01:00:00,2.295463E-01,1.226637E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.770468E+03,2.098097E-01,1.964084E+03,4.583014E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.469546E+04,1.374192E+00,1.286417E+04,3.001739E+04
01:10:00,2.295474E-01,1.226639E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.783539E+03,2.098097E-01,1.951013E+03,4.569559E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.478107E+04,1.374192E+00,1.277856E+04,2.992927E+04
01:20:00,2.295485E-01,1.226641E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.796611E+03,2.098097E-01,1.937941E+03,4.556108E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.486668E+04,1.374192E+00,1.269294E+04,2.984117E+04
01:30:00,2.295495E-01,1.226643E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.809682E+03,2.098097E-01,1.924870E+03,4.542657E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.495230E+04,1.374192E+00,1.260733E+04,2.975307E+04
01:40:00,2.295506E-01,1.226645E+04,2.098097E-01,0.000000E+00,0.000000E+00,2.098097E-01,3.822753E+03,2.098097E-01,1.911798E+03,4.529206E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.503791E+04,1.374192E+00,1.252172E+04,2.966497E+04
