Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,24288759.423422545,12966390.651958099,24288759.423422545,5407976.817055512 
 01/01  02:00:00,,,26595468.095088348,12056845.847863462,26595468.09508834,9303577.059812589 
 01/01  03:00:00,,,24914925.91359216,12066163.80388038,24914925.913592152,7625092.397975299 
 01/01  04:00:00,,,24559367.00345123,11956057.28042778,24559367.00345122,7323519.0917416895 
 01/01  05:00:00,,,25700503.711233437,12286376.850785581,25700503.711233433,7766257.093734078 
 01/01  06:00:00,,,28026520.826564096,13057122.514953779,28026520.826564096,9311547.929633234 
 01/01  07:00:00,,,32502178.22560953,14334611.806527387,32502178.225609526,9700908.905837595 
 01/01  08:00:00,,,29534440.450013526,14581039.742617644,29534440.45001352,10716133.858444775 
 01/01  09:00:00,,,28858783.250567343,15213129.41818087,28858783.250567332,10216332.915404845 
 01/01  10:00:00,,,29387852.760028444,15544724.842059586,29387852.76002844,10400383.556183381 
 01/01  11:00:00,,,31690088.304169085,16803638.707801253,31690088.30416908,11440104.14359096 
 01/01  12:00:00,,,40294394.64626025,20824472.30310854,40294394.64626025,15758106.197481856 
 01/01  13:00:00,,,37252853.47247804,16914170.515760828,37252853.47247803,16355119.614765529 
 01/01  14:00:00,,,36727401.58352509,16693106.89984168,36727401.58352508,16593505.481017102 
 01/01  15:00:00,,,36396620.997673936,16472043.28392254,36396620.997673936,16474859.805158187 
 01/01  16:00:00,,,33844150.725539304,16472043.28392254,33844150.7255393,13929684.880406631 
 01/01  17:00:00,,,32064007.49749463,16450493.056037743,32064007.49749463,12292438.075906364 
 01/01  18:00:00,,,34669760.37115935,17417243.385237,34669760.37115935,11457618.193671716 
 01/01  19:00:00,,,35440361.94866154,17453331.19562186,35440361.948661536,9720957.766982613 
 01/01  20:00:00,,,35010170.55585814,17232267.579702713,35010170.555858135,9118351.259125851 
 01/01  21:00:00,,,34959811.640964426,17011203.96378357,34959811.640964426,9330552.661468467 
 01/01  22:00:00,,,32849253.894290958,16790140.347864427,32849253.894290954,7675727.956401443 
 01/01  23:00:00,,,28341683.999726415,15238279.907154456,28341683.99972641,5035782.353638755 
 01/01  24:00:00,,,30652215.15537335,17150120.057866313,30652215.155373346,5060263.5129304575 
 01/02  01:00:00,,,23900077.341601573,12672171.062015373,23900077.34160157,4997139.264044613 
 01/02  02:00:00,,,19985869.48093019,12056845.847863462,19985869.48093019,2743920.145695962 
 01/02  03:00:00,,,19662338.61558145,12066163.80388038,19662338.61558145,2388127.8022996373 
 01/02  04:00:00,,,19861595.06675601,11956057.28042778,19861595.066756003,2654338.5738258967 
 01/02  05:00:00,,,19932277.6221097,12286376.850785581,19932277.6221097,2026050.8690130054 
 01/02  06:00:00,,,24752806.260438323,13754174.505834779,24752806.260438323,5603423.445769747 
 01/02  07:00:00,,,28691825.242321983,15123303.552513106,28691825.242321983,5392793.361099491 
 01/02  08:00:00,,,24372869.308712207,14809115.172193136,24372869.308712207,5621086.448189016 
 01/02  09:00:00,,,24190499.92770486,15566238.592361167,24190499.92770486,5480371.0703458795 
 01/02  10:00:00,,,24351458.418624494,15897834.016239883,24351458.418624498,5288925.709637796 
 01/02  11:00:00,,,25728219.992950886,17509871.17651664,25728219.992950886,4994171.064364043 
 01/02  12:00:00,,,31514975.634147935,21530704.771823928,31514975.634147935,6332644.763779088 
 01/02  13:00:00,,,27937976.852108363,17620402.984476212,27937976.85210836,6336766.577457245 
 01/02  14:00:00,,,28866220.027190913,17399339.36855707,28866220.02719091,8045081.63941827 
 01/02  15:00:00,,,29429947.57022661,17178275.752637926,29429947.570226602,8813080.790277423 
 01/02  16:00:00,,,27720543.534001686,17178275.752637926,27720543.53400168,7122614.278898001 
 01/02  17:00:00,,,27448518.275134586,17509871.17651664,27448518.275134582,6636314.480196055 
 01/02  18:00:00,,,30175002.594248556,18599690.688434444,30175002.59424855,5792887.691518565 
 01/02  19:00:00,,,32486012.73350318,19124671.372466598,32486012.733503178,5116540.433798828 
 01/02  20:00:00,,,32698237.384768397,18903607.756547455,32698237.384768397,5181593.418812258 
 01/02  21:00:00,,,32531294.912702117,18682544.140628308,32531294.912702113,5297036.687096874 
 01/02  22:00:00,,,31985155.401389815,18461480.524709165,31985155.401389807,5233137.687857251 
 01/02  23:00:00,,,28372317.31830884,15238279.907154456,28372317.318308838,5228116.818156637 
 01/02  24:00:00,,,30743468.608457156,17150120.057866313,30743468.608457156,5290561.299134902 
 01/03  01:00:00,,,24050005.57550208,12672171.062015373,24050005.575502075,5259857.50386483 
 01/03  02:00:00,,,19367592.421357736,12056845.847863462,19367592.421357736,2151155.345286125 
 01/03  03:00:00,,,19193914.483767323,12066163.80388038,19193914.483767323,1930694.3446272323 
 01/03  04:00:00,,,19867891.888026353,11956057.28042778,19867891.888026357,2671068.3375491067 
 01/03  05:00:00,,,21792053.220855057,12286376.850785581,21792053.220855054,2262624.395289533 
 01/03  06:00:00,,,26328754.938632846,13754174.505834779,26328754.938632846,5898519.983009461 
 01/03  07:00:00,,,29657150.761691034,15123303.552513106,29657150.76169103,5766801.511624456 
 01/03  08:00:00,,,24688501.922131386,14770123.007830765,24688501.922131382,5999138.498857208 
 01/03  09:00:00,,,24341121.261775397,15566238.592361167,24341121.261775397,5651054.406827708 
 01/03  10:00:00,,,24377912.261184875,15897834.016239883,24377912.261184875,5347723.3848034525 
 01/03  11:00:00,,,25656356.621174343,17509871.17651664,25656356.621174343,4978496.237127785 
 01/03  12:00:00,,,31037854.549126707,21530704.771823928,31037854.5491267,5888039.991939034 
 01/03  13:00:00,,,27508226.460641876,17620402.984476212,27508226.46064187,5931366.571715966 
 01/03  14:00:00,,,28381528.88401235,17399339.36855707,28381528.884012345,7597657.602685165 
 01/03  15:00:00,,,28712926.160816528,17178275.752637926,28712926.16081652,8141488.996663759 
 01/03  16:00:00,,,27706280.097672973,17178275.752637926,27706280.09767297,7145122.220937413 
