Date/Time,DINING:Zone Air System Sensible Heating Energy [J](Monthly),DINING:Zone Air System Sensible Cooling Energy [J](Monthly),KITCHEN:Zone Air System Sensible Heating Energy [J](Monthly),KITCHEN:Zone Air System Sensible Cooling Energy [J](Monthly),ATTIC:Zone Air System Sensible Heating Energy [J](Monthly),ATTIC:Zone Air System Sensible Cooling Energy [J](Monthly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,516133033.9400434,2766306649.2648106,0.0,21891254103.145428,0.0,0.0,27568469622.215683,63877370934.70513 
February,206878390.1574146,2704560925.594873,0.0,19715571464.60305,0.0,0.0,25195774371.58505,56686323597.45444 
March,173328355.87383947,2691898751.971112,0.0,21591382592.692837,0.0,0.0,28498894060.97278,62347721286.27253 
April,13742329.454511724,4014761006.8357077,0.0,21324089063.126812,0.0,0.0,30946082471.958035,58429782582.69758 
May,1205449.4565919945,4797152131.069298,0.0,22202353239.436363,0.0,0.0,37476228339.2627,59288674524.595955 
June,5654994.200573235,6256111068.41633,0.0,22078133274.258595,0.0,0.0,39160769318.94712,56435548660.67346 
July,2865745.2719640136,7477990324.411112,0.0,22958140048.620632,0.0,0.0,43758675517.559975,57528090995.98049 
August,3647587.359476158,7930644450.998216,0.0,23535649197.805664,0.0,0.0,43609360548.16637,57299113821.47669 
September,5449655.26727957,7187353572.58717,0.0,22922783423.527607,0.0,0.0,41305193729.34472,55667754183.86737 
October,4586028.279487006,6349108062.572023,0.0,23800078153.3247,0.0,0.0,38046866181.23514,58260148338.34069 
November,9679732.661982285,4687710006.34262,0.0,22518285999.742935,0.0,0.0,31031291189.42767,57408462223.42146 
December,27039008.930886123,3062980981.2942476,0.0,22359405018.86753,0.0,0.0,27145934039.020252,60915210025.40669 
