Time,PSZ-AC_1:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Heat Cap [W],PSZ-AC_1:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Heat Cap [W],PSZ-AC_1:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_1:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_1:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Heat Cap [W],PSZ-AC_2:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Heat Cap [W],PSZ-AC_2:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC_2:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC_2:2:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.387901E-01,7.752106E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.491007E+03,1.136709E-01,1.160606E+03,2.557279E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.405335E+04,1.374192E+00,1.350628E+04,3.067818E+04
00:20:00,2.387775E-01,7.751864E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.498968E+03,1.044949E-01,1.048487E+03,2.340087E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.418177E+04,1.374192E+00,1.337786E+04,3.054602E+04
00:30:00,2.387649E-01,7.751624E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.506928E+03,9.554754E-02,9.389609E+02,2.126103E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.431019E+04,1.374192E+00,1.324944E+04,3.041386E+04
00:40:00,2.387524E-01,7.751386E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.514889E+03,8.682403E-02,8.319712E+02,1.915398E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.443861E+04,1.374192E+00,1.312101E+04,3.028169E+04
00:50:00,2.387400E-01,7.751149E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.522849E+03,8.518275E-02,8.053786E+02,1.868896E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.456703E+04,1.374192E+00,1.299259E+04,3.014955E+04
01:00:00,2.387277E-01,7.750914E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.530810E+03,8.518275E-02,7.974181E+02,1.860704E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.469546E+04,1.374192E+00,1.286417E+04,3.001739E+04
01:10:00,2.387286E-01,7.750931E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.536117E+03,8.518275E-02,7.921111E+02,1.855241E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.478107E+04,1.374192E+00,1.277856E+04,2.992927E+04
01:20:00,2.387295E-01,7.750948E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.541424E+03,8.518275E-02,7.868041E+02,1.849780E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.486668E+04,1.374192E+00,1.269294E+04,2.984117E+04
01:30:00,2.387304E-01,7.750965E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.546731E+03,8.518275E-02,7.814971E+02,1.844319E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.495230E+04,1.374192E+00,1.260733E+04,2.975307E+04
01:40:00,2.387312E-01,7.750981E+03,8.518275E-02,0.000000E+00,0.000000E+00,8.518275E-02,1.552038E+03,8.518275E-02,7.761901E+02,1.838858E+03,1.374192E+00,7.774291E+04,1.374192E+00,0.000000E+00,0.000000E+00,1.374192E+00,2.503791E+04,1.374192E+00,1.252172E+04,2.966497E+04
