Date/Time,Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly) 
 01/01  01:00:00,,,22781398.659925055,11875753.96910454,22781398.659925055,4991290.313546845 
 01/01  02:00:00,,,25944871.44058743,10976868.122852663,25944871.440587427,9718305.102846226 
 01/01  03:00:00,,,25090959.086902797,10975649.216364183,25090959.086902797,8921968.373252401 
 01/01  04:00:00,,,23726457.269633867,10876079.555416983,23726457.269633867,7573134.075972372 
 01/01  05:00:00,,,23851973.39746356,11174788.538258582,23851973.397463556,7003543.154744686 
 01/01  06:00:00,,,25664039.668408725,11871776.164888982,25664039.668408725,8112984.536049613 
 01/01  07:00:00,,,29856569.014620945,13138199.51416194,29856569.014620945,8220831.658450714 
 01/01  08:00:00,,,26978875.750981506,13363472.328349823,26978875.750981506,9346695.319813054 
 01/01  09:00:00,,,26231354.9043747,13963829.321059484,26231354.904374696,8806832.202973034 
 01/01  10:00:00,,,26770280.99712291,14263692.062084636,26770280.997122906,9032659.49771765 
 01/01  11:00:00,,,29147492.659230877,15469718.123070369,29147492.659230873,10200173.915351912 
 01/01  12:00:00,,,37976933.71676266,19458819.03552409,37976933.71676266,14779375.191377098 
 01/01  13:00:00,,,35079589.816283,15569672.370078752,35079589.816283,15490927.983698763 
 01/01  14:00:00,,,34603940.90195918,15369763.87606198,34603940.90195918,15762326.926605202 
 01/01  15:00:00,,,34383847.84961641,15169855.382045211,34383847.8496164,15733936.156137966 
 01/01  16:00:00,,,31727754.138103105,15169855.382045211,31727754.138103105,13084988.575993178 
 01/01  17:00:00,,,29750989.879366696,15116572.471306855,29750989.879366685,11282757.55854296 
 01/01  18:00:00,,,32212697.263107758,16083322.800506113,32212697.263107754,10303725.630134538 
 01/01  19:00:00,,,32798499.573240414,16140565.732793346,32798499.573240407,8361031.817341897 
 01/01  20:00:00,,,32524045.47491539,15940657.238776578,32524045.474915385,7891078.503491911 
 01/01  21:00:00,,,32668987.543441836,15740748.744759811,32668987.543441825,8278597.61462933 
 01/01  22:00:00,,,30426277.272808835,15540840.250743045,30426277.272808835,6473014.568250505 
 01/01  23:00:00,,,27051100.146390334,14084177.858593762,27051100.14639033,4892337.947945887 
 01/01  24:00:00,,,29478498.69120828,16059483.37501275,29478498.69120828,4978505.851386698 
 01/02  01:00:00,,,22726509.71306457,11581534.379161809,22726509.71306457,4917350.535540198 
 01/02  02:00:00,,,18523508.304177478,10976868.122852663,18523508.304177478,2343900.010827023 
 01/02  03:00:00,,,18253376.54463594,10975649.216364183,18253376.54463594,2046071.3132277401 
 01/02  04:00:00,,,18964174.132061087,10876079.555416983,18964174.132061087,2819331.883461211 
 01/02  05:00:00,,,19116724.48082365,11174788.538258582,19116724.48082365,2300575.998914365 
 01/02  06:00:00,,,23456124.967669863,12568339.774420526,23456124.967669867,5493301.681099857 
 01/02  07:00:00,,,27410396.26857941,13926891.260147657,27410396.2685794,5307825.85196478 
 01/02  08:00:00,,,23070035.808069553,13591547.757925315,23070035.80806955,5535850.287018288 
 01/02  09:00:00,,,22855921.073067825,14316938.495239781,22855921.073067825,5395148.463189014 
 01/02  10:00:00,,,22986475.978724156,14616801.236264933,22986475.978724156,5206108.073043807 
 01/02  11:00:00,,,24310066.23677879,16175950.591785753,24310066.23677879,4916137.1475033425 
 01/02  12:00:00,,,29463530.0647861,20165051.504239477,29463530.064786095,5637772.427052386 
 01/02  13:00:00,,,25813448.386224806,16275904.838794136,25813448.386224806,5536081.294062118 
 01/02  14:00:00,,,26457478.112367958,16075996.34477737,26457478.11236795,6934533.707121417 
 01/02  15:00:00,,,27184752.44069387,15876087.850760601,27184752.44069387,7841449.820208741 
 01/02  16:00:00,,,25380700.085308254,15876087.850760601,25380700.08530825,6056570.206523499 
 01/02  17:00:00,,,25009488.414086618,16175950.591785753,25009488.414086614,5502854.884866081 
 01/02  18:00:00,,,28000291.898889054,17265770.10370356,28000291.89888905,4929367.899916836 
 01/02  19:00:00,,,31059432.609776944,17811905.909638084,31059432.609776944,5003560.953972118 
 01/02  20:00:00,,,31318129.872954965,17611997.415621314,31318129.87295496,5098619.451333669 
 01/02  21:00:00,,,31168170.01071357,17412088.921604548,31168170.010713566,5211196.454400869 
 01/02  22:00:00,,,30644181.85398172,17212180.42758778,30644181.853981715,5148561.3367019445 
 01/02  23:00:00,,,27125895.178559408,14084177.858593762,27125895.178559404,5142840.427367808 
 01/02  24:00:00,,,29569693.78376634,16059483.37501275,29569693.783766337,5210235.646050832 
 01/03  01:00:00,,,22883241.200719412,11581534.379161809,22883241.20071941,5184171.330644946 
 01/03  02:00:00,,,18004023.30714475,10976868.122852663,18004023.30714475,1855751.164948511 
 01/03  03:00:00,,,18341319.35022369,10975649.216364183,18341319.35022369,2148534.8751213653 
 01/03  04:00:00,,,19038702.174731232,10876079.555416983,19038702.17473123,2912624.7484872285 
 01/03  05:00:00,,,20660372.261443373,11174788.538258582,20660372.26144337,2216877.5811043163 
 01/03  06:00:00,,,25079072.18753737,12568339.774420526,25079072.18753737,5832593.098113683 
 01/03  07:00:00,,,28376821.60590192,13926891.260147657,28376821.60590192,5682928.8064782 
 01/03  08:00:00,,,23390437.93989514,13552555.593562944,23390437.93989514,5918697.537770123 
 01/03  09:00:00,,,23010888.189666312,14316938.495239781,23010888.189666312,5570192.829107711 
 01/03  10:00:00,,,23018512.8826397,14616801.236264933,23018512.8826397,5269456.883123355 
 01/03  11:00:00,,,24238182.10383902,16175950.591785753,24238182.103839025,4901379.492287606 
 01/03  12:00:00,,,29098292.79225681,20165051.504239477,29098292.79225681,5306260.025431758 
 01/03  13:00:00,,,25505194.280290436,16275904.838794136,25505194.280290436,5253842.174982613 
 01/03  14:00:00,,,26205963.135788627,16075996.34477737,26205963.135788623,6719279.172008906 
 01/03  15:00:00,,,26676855.967760142,15876087.850760601,26676855.967760142,7379928.287342268 
 01/03  16:00:00,,,25616291.895333223,15876087.850760601,25616291.895333223,6329665.5032254355 
 01/03  17:00:00,,,25696555.16582735,16175950.591785753,25696555.16582735,6221813.669916481 
 01/03  18:00:00,,,28016663.438498978,17205278.964943826,28016663.438498974,5042775.4779923195 
 01/03  19:00:00,,,31048024.706992604,17811905.909638084,31048024.706992604,5056477.570861231 
 01/03  20:00:00,,,30910680.93230601,17611997.415621314,30910680.932306007,5177170.004836315 
 01/03  21:00:00,,,30759264.595926464,17412088.921604548,30759264.59592646,5246867.49993585 
 01/03  22:00:00,,,30325330.75429271,17212180.42758778,30325330.754292715,5183604.804362328 
 01/03  23:00:00,,,27044943.87837898,14084177.858593762,27044943.878378972,5123865.990695084 
 01/03  24:00:00,,,29435828.89406976,16059483.37501275,29435828.894069757,5083066.826571279 
 01/04  01:00:00,,,22701113.75290093,11581534.379161809,22701113.75290093,5003476.978362323 
 01/04  02:00:00,,,18006626.866238244,10976868.122852663,18006626.86623824,1874077.6834321236 
 01/04  03:00:00,,,18217976.803213082,10975649.216364183,18217976.80321308,2036739.126394045 
 01/04  04:00:00,,,18938530.52111344,10876079.555416983,18938530.521113437,2814694.265450957 
 01/04  05:00:00,,,18862057.18434344,11174788.538258582,18862057.18434344,2056386.9640942398 
 01/04  06:00:00,,,23226055.557119764,12568339.774420526,23226055.557119764,5273529.40990528 
 01/04  07:00:00,,,27095753.820005797,13926891.260147657,27095753.82000579,5009100.039746 
 01/04  08:00:00,,,22710599.10083765,13646388.9129345,22710599.100837648,5132296.223697635 
 01/04  09:00:00,,,22557209.68064357,14316938.495239781,22557209.68064357,5065090.516972784 
 01/04  10:00:00,,,22820204.095639132,14616801.236264933,22820204.095639132,4956043.064219543 
 01/04  11:00:00,,,24281656.0159414,16175950.591785753,24281656.0159414,4771338.574467325 
 01/04  12:00:00,,,31797862.27702693,20165051.504239477,31797862.277026925,7935146.513737092 
 01/04  13:00:00,,,29850629.499478757,16275904.838794136,29850629.499478757,9553576.511889827 
 01/04  14:00:00,,,31644459.47631362,16075996.34477737,31644459.47631362,12106385.228916084 
 01/04  15:00:00,,,32275747.586281415,15876087.850760601,32275747.586281415,12923443.82972524 
 01/04  16:00:00,,,30520103.749257218,15876087.850760601,30520103.749257214,11178213.124129444 
 01/04  17:00:00,,,30294248.835026357,16175950.591785753,30294248.835026354,10764759.747393506 
 01/04  18:00:00,,,34094883.17279695,17424207.888290916,34094883.17279694,10842251.541024245 
 01/04  19:00:00,,,36541675.63223522,17811905.909638084,36541675.63223521,10427947.102432292 
 01/04  20:00:00,,,37202033.485002965,17611997.415621314,37202033.48500296,10886377.43448189 
 01/04  21:00:00,,,38219307.620599136,17412088.921604548,38219307.620599136,12129434.661749454 
 01/04  22:00:00,,,38117110.9122451,17212180.42758778,38117110.912245095,12459132.945253924 
 01/04  23:00:00,,,33204546.280909542,14084177.858593762,33204546.28090953,10996066.240564667 
 01/04  24:00:00,,,34748281.93307684,16059483.37501275,34748281.933076836,10103295.690628797 
 01/05  01:00:00,,,26945393.095088065,11581534.379161809,26945393.095088065,8905423.746150158 
 01/05  02:00:00,,,24092636.948569387,10976868.122852663,24092636.948569387,7839011.071771336 
 01/05  03:00:00,,,23141724.216703784,10975649.216364183,23141724.216703784,6900614.897873481 
 01/05  04:00:00,,,23662207.968070175,10876079.555416983,23662207.968070175,7477002.6210185625 
 01/05  05:00:00,,,24711284.955263276,11174788.538258582,24711284.955263276,7860093.463565994 
 01/05  06:00:00,,,28344395.792855706,12568339.774420526,28344395.792855706,10098056.597396256 
 01/05  07:00:00,,,34309602.33587815,13926891.260147657,34309602.33587814,11880492.351896819 
 01/05  08:00:00,,,30264783.394440234,13524983.824628366,30264783.394440234,12465775.056533929 
 01/05  09:00:00,,,32698974.187052686,14316938.495239781,32698974.187052682,14913066.902548267 
 01/05  10:00:00,,,34938579.92949654,14616801.236264933,34938579.929496534,16837841.77078703 
 01/05  11:00:00,,,41059583.18962182,16175950.591785753,41059583.18962182,21390761.96142608 
 01/05  12:00:00,,,51738018.35984972,20165051.504239477,51738018.35984972,27824078.6096102 
 01/05  13:00:00,,,48347140.49592638,16275904.838794136,48347140.49592638,28012705.051677153 
 01/05  14:00:00,,,51608968.8630503,16075996.34477737,51608968.863050304,32032333.311780367 
 01/05  15:00:00,,,50410015.80637213,15876087.850760601,50410015.80637213,31021545.926949043 
 01/05  16:00:00,,,45085392.903597966,15876087.850760601,45085392.90359796,25708813.580342773 
 01/05  17:00:00,,,45893030.754022054,16175950.591785753,45893030.75402205,26332670.4089829 
 01/05  18:00:00,,,47347371.473399535,17193104.8239813,47347371.47339952,24295598.183390174 
 01/05  19:00:00,,,47453834.31538205,17811905.909638084,47453834.31538203,21312442.040261507 
 01/05  20:00:00,,,47536692.42812901,17611997.415621314,47536692.428129,21194078.53522046 
 01/05  21:00:00,,,48375999.745891884,17412088.921604548,48375999.74589188,22263413.610193126 
 01/05  22:00:00,,,47318659.39159473,17212180.42758778,47318659.391594715,21641101.640242197 
 01/05  23:00:00,,,41492586.46247314,14084177.858593762,41492586.46247313,19268404.815121904 
 01/05  24:00:00,,,42338078.11642701,16059483.37501275,42338078.116427004,17683889.477528393 
 01/06  01:00:00,,,32798409.38269499,11581534.379161809,32798409.382694986,14751293.64716335 
 01/06  02:00:00,,,31304004.506461993,10976868.122852663,31304004.506461993,15044170.225160811 
 01/06  03:00:00,,,28239097.5777128,10975649.216364183,28239097.577712793,11997029.024550185 
 01/06  04:00:00,,,30943111.95065141,10876079.555416983,30943111.950651407,14756900.84041118 
 01/06  05:00:00,,,36714411.40722035,11174788.538258582,36714411.40722034,18270634.063652463 
 01/06  06:00:00,,,36430079.5388119,12568339.774420526,36430079.53881189,16822118.499077015 
 01/06  07:00:00,,,39407137.93082401,13926891.260147657,39407137.930824004,16330788.488060366 
 01/06  08:00:00,,,33597223.678424194,13573388.041946718,33597223.678424194,15750472.345274363 
 01/06  09:00:00,,,37435022.69652625,14316938.495239781,37435022.69652625,19647186.656859104 
 01/06  10:00:00,,,42648216.55217545,14616801.236264933,42648216.55217545,24541047.514545552 
 01/06  11:00:00,,,48574128.41865014,16175950.591785753,48574128.41865014,28898986.405840404 
 01/06  12:00:00,,,60826811.643402606,20165051.504239477,60826811.64340261,36882706.46673834 
 01/06  13:00:00,,,60124449.19992547,16275904.838794136,60124449.19992547,39745034.96640073 
 01/06  14:00:00,,,60363439.59022872,16075996.34477737,60363439.59022872,40768388.701392114 
 01/06  15:00:00,,,58788199.63964819,15876087.850760601,58788199.6396482,39381859.235460445 
 01/06  16:00:00,,,53471142.45528915,15876087.850760601,53471142.45528915,34089915.85453107 
 01/06  17:00:00,,,51378801.03295995,16175950.591785753,51378801.03295994,31813368.42897073 
 01/06  18:00:00,,,51534840.62794657,17474420.88355823,51534840.627946556,29022921.41382223 
 01/06  19:00:00,,,51763819.44274923,17811905.909638084,51763819.44274923,25622494.922322903 
 01/06  20:00:00,,,49237108.729413114,17611997.415621314,49237108.72941311,23299594.425614066 
 01/06  21:00:00,,,51600065.25517403,17412088.921604548,51600065.25517403,25864454.781119883 
 01/06  22:00:00,,,41553353.78324759,17212180.42758778,41553353.783247575,16170847.393178241 
 01/06  23:00:00,,,31652214.816232607,14084177.858593762,31652214.816232603,9434204.619981844 
 01/06  24:00:00,,,31646809.927321095,16059483.37501275,31646809.927321095,7003665.78551759 
 01/07  01:00:00,,,23504622.796345625,11875753.96910454,23504622.79634562,5188263.515559981 
 01/07  02:00:00,,,20328205.776591882,10976868.122852663,20328205.77659188,4069194.03176009 
 01/07  03:00:00,,,19580869.769920703,10975649.216364183,19580869.769920703,3328476.077996297 
 01/07  04:00:00,,,21073825.098457105,10876079.555416983,21073825.098457105,4875761.521088821 
 01/07  05:00:00,,,20377965.12377745,11174788.538258582,20377965.12377745,3512670.279820883 
 01/07  06:00:00,,,23008367.01757574,11871776.164888982,23008367.01757574,5470520.55329155 
